X	Y
0	0
0	6000
6000	0
6000	6000
920.28	137
858.5	160.8
824.5	169.5
1064.363636	223.8636364
906.2	236.5
887.6521739	260.5217391
908.5	264.5
879.2142857	264.3571429
923.4117647	266.1176471
884.1578947	266.7894737
909.1333333	269.4
914	270.1578947
963.2	270
952.6216216	273.1351351
934.1666667	274.7
925.1764706	275.1176471
928.8125	275.6875
906.9714286	277.0857143
923.7142857	279.5
1036.428571	277.984127
913.195122	279.0487805
897.3684211	282.6315789
951.0384615	283.2692308
965.5625	281.75
917.625	283.25
966.9166667	284.8333333
1040.378788	284.030303
863.2352941	286.4117647
881.7142857	286.3928571
943.5	287.5
970.71875	287.34375
909.7297297	287.2702703
1048.151515	287.8181818
960	289
1026.863636	289
1033.693548	288.5806452
1042.482759	292.4827586
873.5714286	294.5
882.8181818	294.8181818
870.5238095	297.3809524
889.5806452	297.1935484
976.2162162	297.6756757
1122.285714	301.5
971.3064516	305.2096774
979.7142857	303.5
1007.052632	305.1052632
962.65	307.1
996.9473684	308.3684211
976.3461538	308.7307692
966.5428571	311.6
1118.4	316.4
969.2835821	318.4626866
1124.7	329.1
1027.92	341.6
1022.716981	346.1509434
1100.041667	451.5625
1119.5	453.3888889
1110.151515	453.959596
983.7777778	466.3333333
1053.5	473.8
989.3255814	478.0930233
1195.736842	480.3157895
1135.833333	481.6333333
961.6	481.6
1197.625	484.25
1162.615385	486.6153846
992.0769231	486.8076923
1147.529412	490
1194.666667	489.7333333
779.8846154	492.3076923
989.875	492.3125
1164.882353	491.5882353
1160.666667	492.8888889
958.4444444	493.7777778
1154.411765	495.8823529
1221.636364	497.9090909
982.875	498.875
1018.333333	500.5
978.3584906	502.1886792
1020.681818	503.7727273
1012.583333	505.25
1070.363636	504.9090909
982.4375	507.375
1137.888889	506.4444444
1203.294118	508
1221.090909	507.6363636
1143.722222	508.6111111
1024.5	510.5
1084.833333	512.0833333
987.5	514.5
1058.409091	514.0454545
1133.777778	513.5925926
1123.521739	515.7826087
1043.615385	517.3846154
1222.166667	518.0555556
1084.809524	519.047619
1155.125	521.875
1206.052632	526.7368421
1124.222222	528
1199.648649	527.5135135
963.25	528.6666667
1011.08	530.32
939.9411765	530.7647059
960.7777778	531.5
995.5714286	533.2142857
1065.9	533.2
1129.428571	532.6785714
1071.133333	535.3333333
956.6666667	537
965.96	536.76
952.8	542.4
967.8	541.4666667
1046.090909	541.6363636
1122.117647	541.5882353
1148.615385	542.6153846
991.9642857	542.3928571
945.1111111	545.6666667
965.125	546.3333333
886.2	547.5
958.3636364	547
985.1034483	551.7931034
980.5111111	550.0444444
935.52	553.28
1060.111111	553.2222222
1056.2	553.56
944.8888889	555.6666667
949.5454545	555.3636364
974.25	555.375
990.9333333	555.2666667
1018.090909	555.5
930.875	555.5
1012.88	556.28
940.4814815	556.2962963
1064.571429	556.6428571
1060.434783	557.3913043
1123.5	558.5
1031.631579	559
1149.852459	558.8032787
943.45	559.9
947.6315789	560.6842105
951.6521739	561.3043478
1085.9	562.3
937.05	563.1
946.3809524	564.4285714
956.3333333	563.3333333
1018.685714	564.6571429
1031.166667	564
1051.5	564.4
1011.707317	567.4390244
946.2857143	569
961.28	569.44
1050.722222	568.8888889
923.5	571.5
994.0740741	571.4074074
952.8823529	573.5882353
1027.117647	575.5882353
1175.73913	575.9565217
1010.666667	577.2666667
1151.864865	576.8918919
1078.380952	578.5238095
1037.875	579.125
1134	579
1138.5	579.5
1121.3	580.3
1160.589744	579.974359
1167.5	580.4444444
1152.636364	582.1818182
964.1764706	583
1161.761905	584.5238095
1124.588235	585.8823529
959.2857143	587.6190476
1051.5	589
1164	589.2962963
1071.111111	589.2222222
1156.875	590.125
934.125	590.875
952.8888889	590.6666667
1189.514286	591.5142857
1034.714286	592.5
1145.282609	594.4782609
1162.235294	594.1372549
1171.681818	595.0454545
1204.090909	595.0909091
746.1538462	596
1150.604651	595.4418605
1167.428571	596.5238095
762.3636364	598.0909091
1198	597.5757576
1029.913043	599.2608696
1040.418182	598.3636364
747.3636364	600.0909091
1134.238636	599.0909091
1168.184211	600.9736842
1185.5	600.5
1144.708333	601
1106.809524	601.6666667
1154.508772	599.8947368
928.4230769	603.6153846
940.0566038	602.0754717
1005.625	602.8125
1055.435897	603.025641
1160.822785	603.0253165
1206.392857	602.7857143
924.5263158	604.3684211
1116.052632	603.7894737
1128.008475	604.1440678
1148.055556	605.3055556
1011.535714	606.1071429
1334.923077	607
1039.7	607.95
1045.058824	606.7941176
1076.866667	607.0333333
1140.125	606.35
1197.793651	606.1666667
928.3478261	608.7391304
1093.266667	607.9
1154.36	607.48
932.8095238	610.8571429
1146.035714	610.1428571
1022.125	611.875
1030.882353	612.5882353
1151.433333	611.3333333
1167.620155	610.3875969
893.6744186	613.8837209
1038.388889	614
1158.291139	615
939	614.2105263
917.212766	613.3191489
1069.642857	614.8214286
1172.904762	615.8571429
1009.4	615.65
1089.767123	614.7808219
920.0434783	618.8695652
1115.375	619.15
1136.1	616.9
1150.160494	617.8024691
1179	616.8461538
903.8947368	618.4210526
988.96	620.6
1164.5	620
895.0434783	620
1059.875	621.0625
1072.350515	620.4948454
969.2	623
1148.521739	623.6521739
1152.583333	624.25
895.972973	625.5675676
989.6666667	624.3333333
1091.866667	623.4
1083.666667	624.1111111
969.1111111	626.3333333
1138.391304	624.673913
1130	627.5
1004.272727	628.1363636
1062.2	628
1017.5	629
1150.666667	628.6666667
1067.913043	630.0869565
891.84	630.44
992.7333333	630.9333333
1048.117647	630.5882353
1075.412698	628.3492063
1062.333333	632.1111111
1081.857143	631.7380952
1137.315789	631.0526316
934.1818182	633.5
951.2894737	632.7631579
1023.52381	632.3333333
1072.52	633.2
914.6470588	634
928.8125	633
1044.961538	633.9230769
1050.888889	634.8888889
1154.777778	635.5
931.3636364	636.4545455
1119.423077	635.8461538
1195.975	636.7
1166.583333	638.0833333
1203.125	637.875
1091.884058	638.6086957
1140.538462	639.1538462
1174.2	638.4
1004	640.826087
1008.368421	642.9736842
1071.090909	641.1818182
1075.828571	641.3714286
1134.294118	641.4117647
1170.965517	642.2068966
1184.5	641.1666667
1014.555556	642.3333333
1019.5	643.1666667
1062.083333	643.8333333
1120.741935	644.516129
1213.875	643.875
1050.588235	644.8823529
1091.619048	645.5952381
1106.535714	646.1071429
1129.692308	646
1135.066667	645.7333333
