ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1059.5,153.857142857,1
1,2,1059.5,160.5,2
1,3,939.538461538,168.923076923,3
1,4,945.285714286,171.5,4
1,5,1008.72727273,173.272727273,5
1,6,1002.64102564,176.102564103,6
1,7,909.615384615,179.846153846,7
1,8,1085.61538462,180.615384615,8
1,9,1213.375,210.375,9
1,10,1044.72727273,216.181818182,10
1,11,1202.86956522,215.869565217,11
1,12,1052.04761905,218.095238095,12
1,13,972.16,219.36,13
1,14,1031.75757576,224.121212121,14
1,15,973.64516129,226.129032258,15
1,16,1021.43478261,226.304347826,16
1,17,1037.29411765,227.941176471,17
1,18,1044.1875,228.0,18
1,19,992.791666667,233.645833333,19
1,20,1027.875,232.75,20
1,21,987.5,234.4,21
1,22,1033.57894737,236.605263158,22
1,23,1052.12765957,236.29787234,23
1,24,1099.5,236.8,24
1,25,870.5,238.0,25
1,26,996.714285714,237.523809524,26
1,27,990.125,239.875,27
1,28,1057.45454545,240.590909091,28
1,29,983.482758621,238.362068966,29
1,30,1019.4893617,240.021276596,30
1,31,1011.5,242.0,31
1,32,1031.0,240.823529412,32
1,33,1043.33333333,242.574074074,33
1,34,1066.36842105,242.789473684,34
1,35,978.673469388,244.336734694,35
1,36,1032.78947368,245.315789474,36
1,37,1047.0,248.827160494,37
1,38,1074.16666667,246.990196078,38
1,39,994.5,246.181818182,39
1,40,1009.55,246.8,40
1,41,1028.56521739,249.043478261,41
1,42,1082.5,248.5,42
1,43,1036.86206897,250.379310345,43
1,44,982.8,250.842857143,44
1,45,993.457142857,250.442857143,45
1,46,1003.24615385,252.815384615,46
1,47,1057.26470588,251.764705882,47
1,48,974.987804878,252.963414634,48
1,49,1023.14705882,252.205882353,49
1,50,1080.875,251.65,50
1,51,1087.7,253.833333333,51
1,52,902.5,253.5,52
1,53,986.444444444,254.666666667,53
1,54,961.272727273,254.681818182,54
1,55,994.076923077,256.435897436,55
1,56,1009.11363636,255.204545455,56
1,57,968.827160494,258.765432099,57
1,58,1033.10526316,255.578947368,58
1,59,1070.26190476,257.547619048,59
1,60,1078.96491228,256.684210526,60
1,61,998.846153846,257.615384615,61
1,62,1113.14545455,260.727272727,62
1,63,1317.58333333,258.916666667,63
1,64,976.162162162,259.72972973,64
1,65,986.328571429,259.114285714,65
1,66,1024.5,259.666666667,66
1,67,1039.23076923,260.75,67
1,68,1029.45945946,261.567567568,68
1,69,997.03125,262.3125,69
1,70,1008.125,261.104166667,70
1,71,1322.59375,262.71875,71
1,72,979.903846154,264.480769231,72
1,73,1002.18421053,261.868421053,73
1,74,1015.81967213,261.573770492,74
1,75,1053.93846154,262.369230769,75
1,76,1085.78181818,262.254545455,76
1,77,973.909090909,264.272727273,77
1,78,991.078947368,263.947368421,78
1,79,1076.859375,263.9375,79
1,80,965.692307692,266.769230769,80
1,81,1090.28571429,265.942857143,81
1,82,982.888888889,267.5,82
1,83,1045.05084746,265.423728814,83
1,84,1024.16483516,267.010989011,84
1,85,1036.43333333,266.6,85
1,86,988.525,268.625,86
1,87,1094.63636364,268.363636364,87
1,88,1144.35714286,267.785714286,88
1,89,959.230769231,269.923076923,89
1,90,1005.0,269.06779661,90
1,91,1106.64473684,270.039473684,91
1,92,810.6,271.228571429,92
1,93,1084.45454545,270.727272727,93
1,94,1099.44444444,272.185185185,94
1,95,978.0,271.05,95
1,96,986.0,273.322580645,96
1,97,995.928571429,271.918367347,97
1,98,1087.16666667,273.5,98
1,99,1036.95,272.9,99
1,100,1045.31092437,274.210084034,100
1,101,1143.75,273.1,101
1,102,1003.13043478,274.391304348,102
1,103,1010.17073171,273.195121951,103
1,104,1066.33333333,275.5,104
1,105,979.450704225,277.014084507,105
1,106,1078.26190476,277.119047619,106
1,107,930.8,278.0,107
1,108,997.181818182,279.181818182,108
1,109,1018.0,278.1,109
1,110,1035.93333333,278.266666667,110
1,111,1091.33333333,278.1875,111
1,112,1150.42105263,276.789473684,112
1,113,1057.2173913,278.565217391,113
1,114,1005.63636364,279.127272727,114
1,115,1025.45,279.375,115
1,116,1040.5,283.5,116
1,117,1035.5,284.214285714,117
1,118,1009.68085106,284.425531915,118
1,119,1046.89655172,283.775862069,119
1,120,965.913043478,285.304347826,120
1,121,1105.07142857,286.357142857,121
1,122,1175.31428571,285.285714286,122
1,123,993.277777778,287.444444444,123
1,124,999.033333333,286.733333333,124
1,125,1004.15555556,287.444444444,125
1,126,1184.83333333,287.416666667,126
1,127,1099.10526316,288.157894737,127
1,128,1121.82352941,288.647058824,128
1,129,754.409090909,291.272727273,129
1,130,995.958333333,291.333333333,130
1,131,1020.48571429,289.619047619,131
1,132,1091.5,291.5,132
1,133,1006.14705882,294.029411765,133
