ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1005.33962264,211.283018868,1
1,2,1109.07142857,223.142857143,2
1,3,1173.95,225.0,3
1,4,1126.25,226.083333333,4
1,5,1167.51724138,228.551724138,5
1,6,1172.0625,232.3125,6
1,7,1135.21428571,235.357142857,7
1,8,1239.46666667,258.466666667,8
1,9,1248.06060606,262.03030303,9
1,10,1242.80357143,265.5,10
1,11,1071.93103448,268.724137931,11
1,12,1249.5,267.333333333,12
1,13,1248.56521739,271.652173913,13
1,14,1256.83333333,270.621212121,14
1,15,1252.61111111,273.5,15
1,16,1029.87878788,274.409090909,16
1,17,1043.625,276.25,17
1,18,1095.11764706,277.705882353,18
1,19,1017.9875,277.7625,19
1,20,1022.93150685,284.534246575,20
1,21,1015.6779661,286.762711864,21
1,22,966.515151515,286.090909091,22
1,23,1005.56521739,285.391304348,23
1,24,1010.14285714,285.785714286,24
1,25,1041.60869565,285.5,25
1,26,1090.28070175,285.842105263,26
1,27,1149.64,286.2,27
1,28,1050.5,288.75,28
1,29,1000.125,290.05,29
1,30,1095.75862069,294.103448276,30
1,31,1038.0,293.5,31
1,32,1155.75,293.214285714,32
1,33,1163.77037037,295.355555556,33
1,34,1002.0952381,295.452380952,34
1,35,1080.55,296.8,35
1,36,897.0,297.0,36
1,37,892.105263158,298.578947368,37
1,38,1005.41176471,299.176470588,38
1,39,1110.3,300.371428571,39
1,40,1173.03614458,300.530120482,40
1,41,1066.21052632,302.5,41
1,42,1007.76923077,303.903846154,42
1,43,1021.23076923,303.230769231,43
1,44,1162.1,303.2,44
1,45,1342.66666667,305.0,45
1,46,1014.86111111,305.75,46
1,47,1026.22222222,305.111111111,47
1,48,1181.15,305.2,48
1,49,1164.91666667,307.166666667,49
1,50,1178.42307692,308.192307692,50
1,51,1331.41666667,306.291666667,51
1,52,1116.40909091,306.545454545,52
1,53,1019.48717949,311.897435897,53
1,54,988.181818182,310.454545455,54
1,55,1003.47619048,314.0,55
1,56,1027.54545455,313.636363636,56
1,57,1056.5625,314.4375,57
1,58,1139.39583333,313.8125,58
1,59,1343.09090909,314.090909091,59
1,60,1077.73333333,315.5,60
1,61,1113.30434783,315.304347826,61
1,62,1095.93103448,314.413793103,62
1,63,1327.44827586,316.862068966,63
1,64,1189.97058824,318.088235294,64
1,65,1005.42253521,322.309859155,65
1,66,1343.19047619,319.571428571,66
1,67,1026.8125,320.28125,67
1,68,1349.53333333,322.906666667,68
1,69,1368.8,321.48,69
1,70,1101.35714286,322.0,70
1,71,1088.77777778,325.022222222,71
1,72,1185.2,325.0,72
1,73,995.846153846,325.538461538,73
1,74,1009.93548387,325.64516129,74
1,75,1096.36,325.76,75
1,76,1383.0,327.804347826,76
1,77,1087.0,329.774193548,77
1,78,1024.42105263,330.105263158,78
1,79,1201.27906977,329.744186047,79
1,80,1093.0,330.708333333,80
1,81,1338.5,331.5,81
1,82,1018.83333333,331.5,82
1,83,1006.75757576,332.878787879,83
1,84,1083.5,334.733333333,84
1,85,1013.83333333,335.194444444,85
1,86,1029.36585366,334.975609756,86
1,87,1022.11428571,335.628571429,87
1,88,1048.30232558,336.302325581,88
1,89,1352.57142857,336.428571429,89
1,90,1343.57894737,338.736842105,90
1,91,1021.90322581,340.161290323,91
1,92,1058.93939394,340.03030303,92
1,93,999.333333333,340.416666667,93
1,94,1012.70909091,341.272727273,94
1,95,1067.22222222,341.222222222,95
1,96,1052.74418605,342.790697674,96
1,97,1105.57142857,342.428571429,97
1,98,1124.76,341.84,98
1,99,1348.67857143,342.892857143,99
1,100,1025.77631579,346.868421053,100
1,101,989.28,345.64,101
1,102,1077.64423077,343.509615385,102
1,103,1358.93877551,344.734693878,103
1,104,1401.5,345.0,104
1,105,1019.27083333,346.145833333,105
1,106,1048.88235294,347.235294118,106
1,107,983.285714286,348.142857143,107
1,108,1014.17391304,347.0,108
1,109,1079.91428571,350.285714286,109
1,110,1057.76923077,349.538461538,110
1,111,1125.27027027,348.0,111
1,112,1086.82692308,351.019230769,112
1,113,1384.06,349.98,113
1,114,996.25,348.443548387,114
1,115,1036.61111111,351.555555556,115
1,116,1012.25,351.770833333,116
1,117,1019.06451613,353.419354839,117
1,118,1259.73076923,352.0,118
1,119,1273.96491228,353.035087719,119
1,120,1391.125,353.125,120
1,121,1131.54347826,353.195652174,121
1,122,1002.93333333,354.033333333,122
1,123,1006.94117647,355.705882353,123
1,124,1033.17241379,356.206896552,124
1,125,1046.90082645,355.0,125
1,126,1064.67741935,356.032258065,126
1,127,1107.51515152,356.151515152,127
1,128,1203.54761905,356.357142857,128
1,129,1025.69811321,356.0,129
1,130,1112.82608696,357.0,130
1,131,541.875,358.25,131
1,132,992.0,358.0,132
1,133,1013.625,359.59375,133
1,134,1041.15625,357.28125,134
1,135,1057.0,358.0,135
1,136,1288.03571429,357.321428571,136
1,137,1001.38157895,359.118421053,137
1,138,1025.72368421,360.881578947,138
1,139,1084.02105263,358.526315789,139
1,140,1144.38596491,357.526315789,140
1,141,1449.07142857,358.285714286,141
1,142,1105.2,361.925,142
1,143,1257.10909091,361.909090909,143
1,144,1292.51282051,361.641025641,144
1,145,1056.75862069,362.379310345,145
1,146,1182.4047619,363.023809524,146
1,147,1195.2,362.0,147
1,148,1441.38461538,363.615384615,148
1,149,1683.30769231,363.0,149
1,150,1689.5,363.5,150
1,151,1703.09090909,363.727272727,151
1,152,1046.15384615,364.538461538,152
1,153,1198.42857143,364.428571429,153
1,154,1455.92592593,364.703703704,154
1,155,1086.58333333,365.583333333,155
1,156,1447.89552239,366.582089552,156
1,157,1269.5,365.852941176,157
1,158,1061.94444444,366.259259259,158
1,159,1149.93333333,366.146666667,159
1,160,1289.35294118,366.882352941,160
1,161,1563.48275862,368.344827586,161
1,162,1224.35294118,368.588235294,162
1,163,1481.5,370.0,163
1,164,1490.14814815,368.703703704,164
1,165,1604.12,368.12,165
1,166,1175.92222222,367.233333333,166
1,167,1461.10810811,368.513513514,167
1,168,1468.08333333,369.083333333,168
1,169,1547.71186441,369.627118644,169
1,170,1121.70588235,368.529411765,170
1,171,1142.25531915,369.617021277,171
1,172,1271.89285714,370.178571429,172
1,173,1573.2,370.0,173
1,174,1068.125,370.666666667,174
1,175,1111.0,371.1875,175
1,176,1126.9010989,372.461538462,176
1,177,1133.86956522,373.376811594,177
1,178,1182.35384615,371.861538462,178
1,179,1037.4214876,373.669421488,179
1,180,1237.06976744,373.279069767,180
1,181,1454.29411765,371.490196078,181
1,182,1499.57692308,372.653846154,182
1,183,1521.8372093,371.651162791,183
1,184,1527.48275862,371.068965517,184
1,185,966.125,371.666666667,185
1,186,1494.13636364,374.136363636,186
1,187,1596.66666667,373.512820513,187
