ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,912.241274659,107.259484067,1
1,2,1301.69306931,106.811881188,2
1,3,881.35042735,112.179487179,3
1,4,1288.74766355,111.934579439,4
1,5,930.204433498,115.568965517,5
1,6,1316.54216867,115.86746988,6
1,7,741.209302326,120.728682171,7
1,8,869.208053691,124.402684564,8
1,9,1048.91397849,122.301075269,9
1,10,704.927756654,130.798479087,10
1,11,1267.89299611,122.503891051,11
1,12,793.517431193,127.943119266,12
1,13,725.764932563,129.030828516,13
1,14,1155.75087719,131.333333333,14
1,15,754.810650888,132.668639053,15
1,16,864.356060606,125.954545455,16
1,17,1136.18181818,133.097251586,17
1,18,819.569892473,130.555555556,18
1,19,948.647058824,134.265331665,19
1,20,851.005194805,132.94025974,20
1,21,987.902120718,130.465742251,21
1,22,1178.0648855,133.759541985,22
1,23,1224.67927773,136.66122098,23
1,24,913.026197605,134.738772455,24
1,25,1095.5273224,139.351092896,25
1,26,1114.77876106,140.005309735,26
1,27,836.2125,133.246875,27
1,28,1326.46568627,131.230392157,28
1,29,1048.0,133.438461538,29
1,30,890.052863436,139.828193833,30
1,31,877.587412587,137.062937063,31
1,32,1064.13506494,139.184415584,32
1,33,1017.15859031,141.202643172,33
1,34,1034.62820513,142.175213675,34
1,35,1047.90654206,145.588785047,35
1,36,1341.33522727,147.110795455,36
1,37,726.402061856,143.628865979,37
1,38,1229.35460993,148.241134752,38
1,39,1132.10982659,151.861271676,39
1,40,729.099415205,151.888888889,40
1,41,1181.57413249,152.72555205,41
1,42,1166.8134715,147.559585492,42
1,43,1194.99438202,152.674157303,43
1,44,1122.83266129,162.600806452,44
1,45,1152.25730994,150.65497076,45
1,46,1236.52112676,156.838028169,46
1,47,1138.98728814,159.580508475,47
1,48,1162.5,162.510204082,48
1,49,1208.15722121,161.723948812,49
1,50,1244.21674877,165.669950739,50
1,51,1171.34490741,171.384259259,51
1,52,1190.77358491,168.183962264,52
1,53,1087.06122449,163.43537415,53
1,54,1104.25877193,171.828947368,54
1,55,1228.94117647,163.653594771,55
1,56,1351.38888889,166.493055556,56
1,57,703.853658537,167.987804878,57
1,58,1151.11764706,171.154061625,58
1,59,1254.90513834,166.355731225,59
1,60,1270.40532544,173.579881657,60
1,61,1214.08301887,175.301886792,61
1,62,1092.96791444,182.112299465,62
1,63,1077.92093023,175.409302326,63
1,64,1115.84768212,178.814569536,64
1,65,1355.55555556,179.298245614,65
1,66,1232.43684211,180.602631579,66
1,67,1253.65432099,182.016460905,67
1,68,1345.89761092,183.682593857,68
1,69,1152.52671756,187.122137405,69
1,70,1183.6955267,192.281385281,70
1,71,1313.83056478,182.684385382,71
1,72,1268.34615385,188.995726496,72
1,73,1330.59090909,188.636363636,73
1,74,1164.72392638,188.049079755,74
1,75,1208.18432203,189.94279661,75
1,76,1291.34871795,188.953846154,76
1,77,1138.54033771,190.553470919,77
1,78,1308.51315789,194.197368421,78
1,79,1343.19008264,199.272727273,79
1,80,1446.78540773,195.982832618,80
1,81,1247.82532051,199.908653846,81
1,82,1237.55737705,205.778688525,82
1,83,1148.10734463,208.259887006,83
1,84,1222.73994638,205.158176944,84
1,85,1195.125,208.910714286,85
1,86,1271.31626506,209.924698795,86
1,87,1329.59776536,207.553072626,87
1,88,1165.65083799,205.139664804,88
1,89,1447.74358974,210.912820513,89
1,90,1207.71062992,218.988188976,90
1,91,1157.50442478,218.345132743,91
1,92,1240.72631579,216.610526316,92
1,93,1285.83083512,223.182012848,93
1,94,1318.89919355,219.483870968,94
1,95,1339.62645914,215.564202335,95
1,96,1118.7654321,220.37037037,96
1,97,1359.32268908,209.739495798,97
1,98,1142.64545455,219.027272727,98
1,99,1172.59232614,228.693045564,99
1,100,1183.98679868,216.478547855,100
1,101,1470.50928382,221.818302387,101
1,102,1222.31117021,234.361702128,102
1,103,1352.13081395,231.325581395,103
1,104,1336.65060241,228.698795181,104
1,105,1378.05901639,232.638251366,105
