X	Y
0	0
0	4830
4830	0
4830	4830
1184.545455	34.72727273
1164.425	43.275
1171.612903	42.48387097
1153.565217	47.58695652
1324.242857	48.12857143
1171	47.73684211
1129.728571	51.67142857
1157.076923	52.30769231
1192.684211	51.70175439
1121.363636	52.90909091
1218.028571	52.74285714
1213.147727	55.61363636
1206.083333	56.83333333
1293.27551	59.58163265
1194.961538	59.30769231
1303	60.2
1226.538462	62.65384615
1258.451613	66.35483871
1289.515152	65.81818182
1273.72	68.06
1295.806452	67.5483871
1304.142857	67.66666667
1310.542857	68.2
1091.911111	70.46666667
1258.574468	72
1008.214286	72.64285714
1283.8	73.06666667
1289.857143	74.28571429
1084.157895	75.28947368
1259.394737	77.18421053
999.2857143	77.28571429
1267.5	78.22222222
1077.84	79.52
1357.74	86.94
1070.026316	88.63157895
1355.863636	92.04545455
1360	93.6875
1209.111111	107.6666667
497.6842105	136.6842105
493.6	139.15
486.75	142.375
482.1111111	144.7777778
1536.5	208
791.952381	213.5714286
781.875	216.875
794.0714286	218.5357143
1533.5	219
789.6086957	221.1521739
1529.769231	220.3076923
1319.714286	232.5714286
777.8333333	259.9583333
933.0833333	269.6944444
1428.897959	270.9591837
1428.608696	276.5652174
1080	279
1429.692308	280.8076923
1448.75641	280.4102564
1447.131579	285.6842105
951.0689655	292.7586207
1441.190476	294.4761905
560.7272727	294.7272727
947.5	295.7142857
1435.777778	296.7777778
565	296.5294118
525.6363636	301.0909091
956.8869565	301.2956522
1468.24	301.04
965.4814815	303.1481481
518.5833333	303.5416667
947.575	305.1
962.9811321	308.6603774
983.65625	307.03125
1459.125	307.8125
953.0851064	309.6595745
444.7714286	310.7142857
991.8222222	310.6222222
439.6	311.5333333
1471.8	312.2
974.7247706	311.1651376
965.244898	314.6122449
438.6666667	315.6190476
956.4782609	315.5942029
950.0512821	316.5897436
977.1190476	317.7619048
964.2678571	319.9107143
984.1875	319.1875
949.9375	322.125
955.85	323.55
976.0449438	324.5168539
473.3636364	324.0909091
991.4242424	324.0606061
936.3846154	326.0769231
969.6315789	327.1578947
482.7333333	328.4666667
949.1515152	328.1212121
984.8166667	330.2333333
973.4193548	331.7419355
991.0357143	332.5357143
420.6538462	331.8461538
1004.933333	331.6
451.975	333.95
928.804878	334.2926829
949.5970149	335.5671642
961.7631579	335.7894737
968.7446809	334.8510638
975.3157895	336.7368421
980.1846154	336.9692308
984.7586207	337.5517241
946.2857143	340.25
955.625	338.375
996.6944444	339.875
967.6470588	339.6176471
1011.894737	339.6315789
1478.230769	339.4230769
975.0434783	340.9130435
962.5833333	342.0833333
984.75	344
989.4634146	340.8292683
1007.178571	344.5714286
1473.355556	344.8222222
1477.5	345.2857143
990.2307692	347.5384615
979.4285714	348.4025974
673.1333333	348.4666667
937.8292683	348
947.4193548	347.7419355
958.7045455	347.75
925.6285714	349.1428571
707.2666667	349.6333333
964.4222222	350.8888889
972.0344828	351.5517241
416.6	352
1002.473684	351.0087719
1473.882353	352.0588235
940.8888889	352.5925926
1479.192982	352.8245614
988.9411765	354.7941176
935.1184211	356.1315789
966.8163265	358.9183673
913.90625	360.28125
983.7946429	359.6160714
989.75	363.1923077
1010.307692	361.2692308
905.56	366.12
928.2926829	365.6585366
995.8709677	365.1612903
1038.969697	365.8484848
971.4590164	365.9180328
912.2	367.24
990.2692308	368.8461538
1010.586207	368.7931034
986.3529412	371.4117647
993.7727273	371.2727273
1022.608696	370.0434783
1039.846154	371.1538462
929.4054054	371.8108108
921.28125	372.75
912.0740741	374.6296296
1011.081081	374.6756757
906.3888889	375.2777778
935.5185185	374
963.5294118	375
1024.105263	375.6973684
956.9375	374.4583333
966.6875	377.25
981.9466667	375.8266667
1016.09434	378.8867925
944.4818182	378.1727273
961.8837209	380.1627907
954.5882353	380.7352941
315.6363636	382.4545455
914.9333333	382.3333333
946.2954545	385.4090909
989.35	385.6
996.4705882	385.2745098
952.3265306	386.2040816
961.6923077	385.8076923
312.71875	387.15625
321	387.5
1031.533333	385.6
1025.953488	387.8139535
307.5405405	389.6216216
1016.153846	390
954.1538462	390.6153846
982.025974	390.0779221
898.5	392
1006.608696	391.5652174
966.6666667	395.4722222
1025.454545	392.8787879
310.65	395.05
315.1666667	394.5666667
913.2545455	394.7272727
946.4444444	394.7777778
956.7878788	395.9393939
901.1875	397.375
1024.291667	397.25
302.0894309	398.804878
954.5	400.4107143
900.56	402.4
963.6	403.4333333
314.5	406.2
1026.945946	406.4594595
1032.428571	406.6190476
293.7777778	408.5185185
362.4230769	409.8846154
931.2727273	407.5
969.7	411
1012.45	410.1166667
1018.035714	411.4642857
1029.914894	412.7659574
368.4418605	413.2325581
1039.947368	413.1052632
338.7368421	415.2631579
352.7066667	414.3866667
1012.714286	416.7428571
927.7301587	415.0634921
1018.263158	417.8421053
373.2435897	417.9358974
1034.971429	418.4
1026.279412	417.0588235
290.1168831	418.7532468
924.1	421.1
1015	422
1019.935484	422.5806452
332.3673469	422.3061224
1030.044444	424.0444444
997.5	424.5
1512.042553	425.3191489
1588.357143	425.3214286
948.6470588	426.3529412
1023.956522	426.1304348
973.3191489	428.6170213
951.5	429.7142857
993.2820513	430.6410256
1033.125	427.9375
1031.766667	433.2666667
1045.636364	431.9090909
339.5	433
976.8611111	434.5277778
1023.72	436.52
970.4	436.4
973.8780488	440.0731707
1050.178082	440.7260274
339.8571429	443.4761905
967	445.5
1071.969697	446.6969697
1224.015625	447.25
1016.846154	450.8461538
1034.722222	449.8333333
1168.538462	450.8461538
1042.769231	451.8461538
970.2631579	454.5263158
793.4545455	457.6363636
1003.467391	457.3369565
1054.824561	457.245614
1067.637931	456.1551724
1200	457.4666667
1251.5	458.2777778
1036.38	464
1042.172414	459.6206897
1074.071429	460.0714286
1205.230769	460.7692308
1056.05	465.7333333
963.4545455	464.0909091
972.95	464.25
1048	464.3076923
1015.375	466.8486842
1042.964286	466.8035714
953.1111111	466.3333333
1009.681818	466.4090909
1070.6875	465.8958333
1517.5	468
963	469.3333333
1209.943396	469.6037736
1251.5	470.5
1265.280702	471.4210526
1241.1	472.1
968.8076923	473.3076923
1035.444444	473.4444444
1046.576923	472.7307692
964.5	474
1069.166667	473.9444444
1271.813953	477.0581395
1233.181818	475.8181818
1206.764706	477.1176471
1519.18	477.9
1226.047619	478.047619
1235.5	478.2
1013.762376	479.980198
1037.416667	478.8333333
979.15	479.8
1180.075	479.375
1189.5	479.5
1196.818182	479.4545455
1201.3	479.4
1019.875	481.125
1267.25	480.625
1026.5	482
1213.782609	483.7608696
1230.697674	481.9767442
1270.3125	483.9375
1085.368421	483.5
1197.052632	485.6315789
1204.785714	485.2142857
1239.511111	485.1555556
991.1666667	486.2777778
1189.073684	487.8210526
1247.042254	486.7605634
1257.991228	484.9298246
1219.5	486.5
980.7111111	487.3333333
1208.638889	487.1388889
222.8484848	489.9090909
1200.59375	488.09375
1194.355932	492.6610169
1204.805556	491.4166667
1234.189189	491.3783784
1215.672727	494.1272727
1225.410526	490.9578947
1240.4	491.76
1167.045455	493.0227273
218.7368421	496.5789474
1058.538462	494.6923077
1089.171642	495.0895522
1122.444444	495.0555556
1235.263158	496.7368421
996.0851064	497.6382979
1203.542857	497.5142857
1209.895833	496.0625
1187.46	497.72
1242.45977	498.5862069
1256.47619	499.1746032
1059	501.8367347
1036.465116	502.7906977
1234.290323	501.8709677
1249.290323	503.516129
223.8461538	503.6153846
1224.107143	504.7857143
996.2894737	505.9210526
1220.8	505.3
1147.409091	506.7272727
1069.736842	507.2105263
1192.794118	509
1198.638298	507.7234043
1235.384615	508
1249.090909	508.1818182
1047.86	509.3
1080.5	510.6666667
1177.117647	511.1176471
1186.609756	510
1206.727273	511.7636364
1075.5	513.2857143
1250.5	513
1232	515.3902439
1190.676471	516.5
1063.573529	517.5735294
1197.409836	515.9836066
1249.793103	517.5172414
1178.013793	520.7793103
1220.586207	519.4482759
1013.736842	518.7894737
205.4727273	521.2
1051.727273	519.9090909
1085.166667	523.75
1551.4	523.6
1196.791667	523.0208333
1535.916667	525.1666667
1231.285714	524.4285714
1054.666667	525.745098
1176.090909	527.8787879
1199.409836	529.5409836
269.7142857	528.3571429
1081.357143	529.5
1262.170732	530.1707317
1065.698795	530.0722892
1110.425532	531.0425532
1174.461538	532.6153846
1086.261538	532.4461538
1228.447917	535.4166667
1257.193182	534.7272727
200.2156863	532.6862745
1534.323529	533.0882353
1555.894737	535
1192.064516	535.6451613
1264.666667	536.6666667
1216.72	536.3866667
994	539.5
1159.59375	539.125
1243	539
988.2258065	540.4193548
1171.8	540.4
1605.692308	542.5128205
1124.882353	540.5294118
1188.882353	542.3529412
1071.857143	543.7619048
1224.8	543.1166667
1234.872727	542.7636364
1059.272727	546.1363636
1091.666667	546.4210526
1147.7	544.8
1202.604167	543.5
1103.591837	547.3061224
1230.5	545.7941176
989.3333333	547.5
1078.621212	547.5151515
1052.82	547.76
1111.871795	547.8076923
995.125	548.875
1099.105263	549.4210526
1152.933333	550.6
1224.53125	550.90625
1235.444444	550.6666667
1081.3	554.12
1088	553.8888889
997.2941176	553.7647059
1056.95	553.8
1237.578947	554.1052632
1042.928571	554.8928571
1069.666667	554.4333333
1099.689655	554.6206897
1109.666667	556.1111111
992.1794872	555.9487179
1055.552632	557.6052632
1100.416667	558.8333333
1123.636364	558.9090909
1172	559.3488372
1103.846154	561.1538462
1117.1875	561.8125
1149.387097	560.1612903
1194.938776	562.3673469
1084.411765	561.8823529
1071.269231	562.9423077
1219	563.3157895
1140.388889	564.3611111
1180.5	564.56
1237.586957	564.0217391
1055.947368	564.8157895
1247.175	565.6
1001.3	566.02
1154.565574	568.2377049
1213.285714	566.0952381
1274.5	566.2142857
1165.719298	566.5614035
1173.815789	566.6052632
1187.75	566.25
1147.948718	565.9230769
548.5217391	568.4565217
1072.592593	568.8148148
1132.052632	569.1842105
1164.266667	571.2333333
1170.151515	572.3333333
1194.425	572.3
1058.698113	573.1509434
1138.035714	572.4642857
1176.659574	572.6382979
1053.84375	573.875
183.3125	575.375
1026.95	575.35
1154	575.7307692
1165.026316	575.8421053
1044.424242	578.5757576
1108	576.5
1164.47619	579.5714286
1568.090909	577.6363636
1084.421053	579.5789474
1120.88	579.12
1174.387755	581
182.9166667	581.0833333
1154.058824	582.4117647
1202.833333	581.9583333
1245.785714	582.2857143
1124.659574	583.6808511
1133.647059	582.8823529
1183.122449	586.255102
1054.041667	583.7916667
1087.785714	584.1428571
1159.597403	582.1168831
1251.273973	583.1506849
1047.377778	583.7777778
1193.103448	584.6724138
1219.5	585.6
1571.033333	587.3444444
1090.428571	588.4285714
1153.736842	589.4736842
1082.536585	591.8536585
1096.107143	591.5714286
1212.468354	593.3417722
1243.333333	592.8888889
1056.941176	594.2352941
1051.5	594.8
1094.623656	598.1935484
1228.528302	593.0188679
1131.5	596.3636364
1166.145455	596.8
1187.214286	598.6904762
1206.25	598.375
1200.511111	600.4666667
1213.103448	600.4482759
1229.4	601.05
1578.794872	598.5128205
1162.181818	601.1363636
1181.857143	600.6428571
1134.272727	603.6818182
1234.357143	602.8571429
1575.6	605.28
1089.5	609.3
1136.1	608.2
1177	607.6885246
1250.97561	608.1463415
1570.928571	608.7380952
1208.541667	609.9583333
1213.538462	610.1538462
1163.5	610.8
1135	612.9545455
1564.909091	613.1818182
1125.217391	614.1304348
1204.948718	612.5384615
1231.35	613.95
1192.391304	611.2826087
1128.714286	616.0714286
1074.807692	617.8461538
1206.28125	619.28125
1196.294118	620.1764706
1200.333333	620.8666667
1114.076923	621.1153846
1214.5	622.7692308
636.8235294	624.0588235
626.0212766	626.1489362
1143.111111	625.3333333
1205.24	624.96
1155.25	625.4
1199.21875	625.90625
1221	626.25
1193.625	627.2
1113.42029	630.1449275
1192.933333	632.8666667
1207.337209	633.6860465
1221.1	633.7
1224.666667	633.7222222
1167.076923	634.3846154
1174.022727	635.3181818
1197.2	635.12
1104.344828	638.8275862
1214.04918	640.8852459
1255.793103	642.2068966
1222.470588	641.3970588
1134.206897	643.6206897
1229.8	643.8
1321.23913	643.9565217
1244.636364	647.0909091
1172.810345	647.4137931
1241.076923	648.6923077
1196.809524	649.047619
1201.027778	647.6666667
642.7631579	652.3684211
1129.117647	650.7058824
1140.304348	650.9782609
1187.617647	650.7647059
1252.64	649.16
1210.5	651.1363636
1199.947368	653.1052632
1231.426471	651.3382353
182.4736842	652.9473684
1204.628571	654.2285714
1150.722222	655.6111111
1167.847826	656
561.8333333	657.1666667
588.1666667	659.5
595.1212121	660.4242424
1213.310345	659.7586207
1230	661.9047619
1128.731707	661.097561
1171.3125	661.84375
1163.789474	663.7631579
1179.864865	663.5675676
1109.794872	665.8461538
1189.692308	665.8846154
1210.375	667.5833333
1148.826087	669.0869565
363.95	670.9
1153.73913	671.9565217
1205.777778	670.4166667
1233.230769	672.2307692
358.1538462	674.8076923
1140.166667	673.2222222
1193.537037	673.8703704
1182.333333	675.0833333
1215.803279	674.6885246
1121	675.5
945.2820513	676.1538462
1141.809524	677.3809524
1134.842105	678.4210526
1227.611111	678.3888889
1175.756757	678.8648649
1195.138889	683.2777778
560.2916667	683.125
1134	682.6315789
1148.666667	682.5333333
1143.722222	684.1666667
1602.95122	686.9512195
1179.452381	686.0119048
1149.129032	688.9032258
1607.615385	690.7692308
954.5555556	691.7037037
1112.057143	690.9714286
1192.464286	691.5357143
1255.322034	689.6101695
1103.5	694
1142.714286	692.5952381
1190.8125	696.3125
1252.183673	696.5714286
580.2926829	699.3658537
961.5	699.5
1148.939394	698.4545455
584.55	700.75
1159.44	700.08
1180.5	700
1190	700.1538462
591.3137255	702.3529412
1103.111111	702.1777778
1188.405405	703.2432432
571.84	704.24
1151.107143	705.2857143
1281.171429	704.4714286
502.9	704.2
511.5555556	705.1111111
582.4705882	704.8823529
1157.805556	704.9166667
1272.0625	704.90625
588.826087	706.7826087
1193.56	706.12
504.6	707.1333333
564.7	707.075
577.6206897	706.6551724
1181.952381	707.2857143
539.4666667	708.6666667
1132.79661	708.3728814
1075.5	708.875
1177	708.75
510.6	709.8444444
535.530303	710.8030303
1196.939394	709.6969697
1256.285714	709.2857143
1252.064516	710.5483871
1266.653846	714.0769231
1105.3	712.7
1134.666667	712.75
1139.105263	713.4210526
1146.125	712.875
1163.915254	711.440678
1263.083333	713.8333333
519.0851064	714.4680851
512.8545455	715.6363636
542.1428571	715.4761905
1614.807692	715.0769231
1079.264706	716.7058824
1149.545455	716.7727273
1255.622222	716.5111111
1190	719.7164179
1235.138889	715.25
489.5	719.2857143
562.2083333	719.4583333
576.5	718.8
524.3333333	720.1111111
1272.916667	719.8333333
1117.809524	720.7619048
1127.661972	720.9014085
1144.3	723.825
1150.666667	721.0833333
1161.809524	723.4285714
1205.96	722
1193.833333	723.0833333
1234.52381	722.8571429
1616.12766	724.0851064
1079.777778	723.4814815
1260.825397	723.6666667
1168.608696	725.3478261
497	726.2857143
502.2432432	725.6756757
1125.967742	727.7741935
542.7391304	726.2608696
568.6315789	726.6315789
537.3	727.85
525.6164384	733.0547945
546.0666667	728.6666667
572.6774194	729.5806452
583.2222222	728.9444444
1096.84	728.84
1132.558824	728.2352941
1209.4	728.45
1168.666667	730.25
1185.142857	730.4805195
473.4230769	731.7692308
1100.5	733.4310345
1160.85	731.675
1123.666667	733
1130.95122	735.5365854
1198.45	733.8833333
547.4761905	737.2698413
1139.956522	736.2608696
1186.037037	737.2222222
1211.139535	736.6976744
1260.1	736.95
1112.290698	741.8255814
1135.625	739.325
1080.875	740.5
492.9861111	742.1111111
1099.5	740.8421053
1165.3	740.8666667
520.5	740.375
1141.793103	743.9655172
518.3333333	744.1904762
477.1627907	743.5813953
1117.464286	744.2857143
524.9264706	743.8529412
1076.090909	746.2272727
1136.052632	747.7894737
519.2444444	750.3555556
1130.571429	747.3809524
583.75	749.4375
1117.489796	749.6530612
1139.785714	750.75
1205.653061	751.2653061
490.3421053	752.6052632
497.4761905	752.6666667
1131.892857	753.1071429
1154.755556	754.2
1217.118644	753.0847458
1267.896552	753
1635.571429	752.7857143
558.3333333	756.4
577.1886792	755.6792453
1637.611111	756.5555556
1109.538462	757.1538462
545.5394737	757.1315789
551.9069767	758.3488372
1149.875	758.9375
1162.782609	759.2608696
529	760
1112.333333	759.8888889
1135.013699	759.7808219
564.5348837	762.3372093
583.4347826	760.6956522
1190.489796	761.6326531
1220.365854	761.2439024
1639.928571	760.7857143
1141.035398	760.9115044
1094.432432	762.3243243
1175.964286	763
1181.630435	764.4130435
1258.522727	764
488.0987654	765.1481481
1195.125	763.75
1076.411765	764.8823529
1113.105263	764.8947368
1210.1	764.6
1108.52	766.6
1170.962963	765.4814815
530.425	767.525
572.7	767.8
962.9	767.45
1644.25	766.0909091
340.7307692	770
1217.333333	771.3666667
1263.333333	768.8888889
582.2666667	769.4666667
1082.5	771.5
1118.538462	771.8461538
1170.5	771.0606061
1648	771.1428571
577.8823529	772.5294118
1097.677419	772.0645161
963.45	773.45
1209.02	773.54
1649.904762	774.952381
1136.820513	772.7692308
1183	773.4666667
569.6902655	773.8318584
1083	776.5
1100.285714	775.5238095
1223.367347	774.2755102
1187.540541	778.5675676
1196.576271	777.8644068
1106.285714	780.6428571
1261.2	780
579.75	780.5
1095.5	781
583	781.2
1157.1875	781.8125
588.0243902	781.7317073
1653.4375	783.6875
963.0425532	782.6595745
493.0952381	784.6666667
579.7419355	785.0967742
592.3461538	786.9230769
1147.5	786.3
1223.090909	786.3636364
506.7142857	787.5
546	786.725
585.9821429	787.5892857
1093.357143	787.4285714
1226.4	786.6
570.7674419	787.744186
597.641791	787.6716418
1140.65	787.55
1204.22973	789.1351351
604.7538462	790.6307692
962.25	789.84375
1253.384615	790.3076923
1256.666667	791.3030303
528.5	791.5
543.7096774	792.0322581
567.8148148	790.7037037
1165.5	791
591.2105263	791.7368421
1077.25	792.5892857
485.5769231	793.0641026
1127.415094	793.1886792
550.5	794
594.5862069	794.3793103
1141.565217	793.6086957
1099.888889	795.1555556
521.4166667	795.4583333
605.6153846	795.4615385
527.4074074	797.8148148
537.4137931	796.6551724
490.5	798
511.35	798.1
572.4	795.42
1086.066667	796.8
601.7758621	798.3793103
540.8	800.2
1134.045455	800.1363636
1154.666667	800.8333333
519.2222222	801.7777778
1074.3	800.8
1141.08046	803.2528736
1162.738095	802.1190476
567.3095238	803.0238095
607.9666667	802.2
1082.944444	805.3148148
1151.4	803.3
537.4054054	805.2162162
610.2777778	804.7222222
1174.833333	804.8333333
575.1764706	805.4705882
548.8888889	807.6666667
1155.724138	807.862069
1098.040816	808.244898
1177	808.2105263
613.4	810.7777778
1087.777778	809.7407407
1132.4375	809.75
1181.32	809.56
583.7857143	811.5
1245.388889	810.7222222
609.2333333	813.3666667
565.5365854	815.1707317
1106	814.5
546.75	814.75
1129.576923	815.8461538
1100.628571	817.1285714
1167.418605	815.3255814
1190.452381	817.9761905
532.4029851	816.4776119
1142.586207	818.9827586
1114.102564	818.6153846
1158.604651	818.5348837
1254.974684	819.5443038
1073	821.5
1172.733333	822.3333333
537	822.4736842
542.4864865	821.5135135
1077.738095	821.3333333
1116.619048	822.5714286
1153.521739	822.2608696
552	824.2142857
1261.227273	824.7727273
621.8367347	825.3877551
1075.166667	825.3333333
491.2857143	826.8928571
548.5555556	827.7777778
589.9473684	827.3684211
1154.222222	827.7777778
1253.052632	826.6315789
976.9313725	825.3529412
540.6153846	829.025641
619	831
584.3703704	830.7407407
1124.96	830.76
1191.078947	831.5
1246.928571	831.1428571
515.9047619	833.3809524
589.7021277	832.9148936
1103.636364	833.4545455
1117.52	833.7
1143.26087	833
1166.934426	831.8360656
511.2173913	833.9565217
607	834.1851852
1035.8	834.3
546.4313725	835.8431373
1100.076923	835.5384615
1148.259259	834.8148148
611.2380952	837.8095238
1115.25	837.3125
1178.3125	837.375
1252.8	837.4
110.2857143	838.5
571.5	839.3928571
578.9	837.225
588.6923077	839.1538462
1270.733333	839.3333333
1034.404762	840.8571429
552.54	838.14
591.7777778	841.8888889
1088.732143	841.7321429
1148.5	841.3333333
1239.553571	840.125
1245.428571	840.8571429
1081.677966	844.6610169
556.0869565	843.5652174
1190.0625	844.3
1203.8	844.675
1240.769231	844.9230769
1244.869565	844.826087
624.0243902	845.2682927
1031.035714	844.6785714
1261.607843	844.3333333
1127.4	846.4
1171.7	846.7
1181.928571	846.5357143
1109.304348	850.2173913
1126	850.5
532.7413793	851.7241379
563.5	852
639.8958333	853.3854167
1116.652174	853.3478261
1132.375	855.6136364
1169.225806	853.6774194
549.2121212	853.8787879
626.516129	855.7096774
1101.243243	854.9189189
1123.75	854.5
1092.142857	855.3714286
1119.125	857.125
1173.243902	856.6097561
565.1463415	858.5121951
1680.527027	859.6081081
540.5294118	859.4117647
1102.1	859.7
1128.857143	859.9285714
1670.571429	858.4444444
1078.888889	863
1134.529412	864.2352941
1157.913043	863.4782609
1120.839286	863.75
1029.785714	864.8035714
1036.411765	864.4705882
1101.741379	864.8103448
1115.172414	866.1034483
1201.090909	866.030303
1683.411765	866.7058824
600.5	867.5
587.5	869.7142857
1034.666667	870.4126984
1090.894737	867.9473684
1067.057692	869.9423077
1119.392857	871.5714286
