X,Y
0,0
0,6000
6000,0
6000,6000
867.5,121.5
822.2068966,133.5517241
794.6153846,140.3846154
825.5,141.5
821.5,142.5
731,172
732,176
829.6071429,248.375
837.8636364,249.0606061
832.7857143,253.0357143
843.4285714,250.5714286
826.3421053,253.9210526
847.3389831,255.0677966
825,258
747.5,259
754,260
823.125,260.375
826.0416667,263.2916667
746,262.5
830.1388889,260.6111111
841.025641,259.3461538
838.7826087,264.8695652
846.2,265
834.8666667,263.15
840.1,268.8
831.5,270
834.6363636,272.0909091
753.7878788,280.5454545
819.1304348,284.2608696
832,285
816,290.5
858,291.5
805,292
812.0416667,292.75
726.04,294.92
816.4146341,295.7804878
727.8490566,299.1509434
732.1578947,303.5263158
542,307
729.7674419,309.4418605
808.7142857,308.6428571
718.4516129,310.6774194
719.5555556,315.3333333
724.6315789,317
719,319
588,347
584,350
783,363.1034483
777.6,370.4
776.9,375.05
829.8780488,419.3658537
862,420
825.2,428
829.5,428
762.0526316,436.1578947
699,439.5
702,442.5
705.875,445.125
748.5,444.5
739,447.5
703,450
716,451
702.6,454.4
736.7096774,458.2258065
796,458.6785714
699,462.5
765,470
829.5483871,470.3870968
653,471
957.6363636,471.9090909
745.5294118,477.8823529
800.4,478.6
839,479.5
768.7777778,480.5
901,480
692,482
801,484
481.8695652,486.3913043
485.5,486
509.8947368,485.5789474
887,487
800.5555556,489.2888889
847.7631579,490.5789474
414.0909091,491.9545455
801.9038462,499.1634615
847,494.4444444
411.2,494.1
777,493.5
755,496
696.4,497.4
744.5,497
453.6666667,497.9333333
796.0833333,498.25
656,500
754.4,499.6
778.5789474,502.1052632
442,505
509.7777778,505.5
763.2916667,505.2916667
649.5,505.5
678,505.5
682.9259259,506.4074074
755.2,505.4666667
808,509
473.0909091,510.3636364
762.8888889,509.1666667
791.5,509.5
702.4,511.4
655.0454545,511.9090909
425,513
752,513
741.4444444,514.0277778
758.7333333,513.6666667
557,515.5
737.5,516.5
654.88,518.7333333
489,519
743.1764706,520.4411765
414.875,521.125
712.2857143,520.2380952
716.5,521
707.9193548,524.2903226
747.8888889,524.3333333
490.5,525
780.55,525.95
658,526
756,527
775.5,527.1875
748,529.3684211
740.5652174,529.1304348
759.5428571,530.5142857
832.1052632,531.4210526
754.7272727,534.3181818
755,539
773.0909091,538.9545455
666.9545455,544.9090909
678.7419355,551.3548387
597.4666667,554.5333333
553.0714286,557.1428571
790.9,556.8
556.5,557.5
905.7142857,558.5
638.85,565.45
670.2,566.1
788,564.68
781.4,567.4
714.2,568
717.8947368,567.5789474
646.9090909,569.3636364
672.8461538,569.3846154
760.9090909,570.0454545
648.6730769,574.5576923
607,573
620,573
677.7096774,574.7096774
617,575.5
794.0454545,575.4545455
679.0909091,579.6363636
783.6,580.48
799.72,582.08
695.5,583.5
716.5789474,583.8947368
566.9090909,592.6363636
792.5,597.5
724.6,604.6
751,605.44
822,606
748.6,616.6
753,617
662,619
593.5185185,623.2469136
615.0357143,621.4285714
607.5,621.5
668,622
632.3942308,625.9807692
660,623
637.4054054,623.7567568
625.5853659,627.7560976
647.5,626.5
606.9285714,627.0714286
629.2,629.4666667
880.2264151,629.6037736
882.3333333,633.5833333
876.8974359,635.7179487
639.3913043,634.3913043
884.1,637.05
597.6470588,635.4705882
604.8695652,639.0434783
822.4,638.6
646.2073171,641.8414634
882,640
599.0416667,641.7083333
877.6,642.6
831.1538462,643.7307692
650.7857143,650.3571429
645.4210526,649.8947368
604.9166667,650.9166667
873.2564103,652.1025641
596,656.0472441
659.3913043,653.4347826
448.5,655.5
632.5454545,654.6818182
649.1052632,655.4210526
787,654.5
612.8684211,656.4473684
383.1818182,657.7272727
626.0655738,657.8688525
619.5,660
676.5,660
637.0833333,660.9166667
680.8461538,660.4615385
605,662.3076923
540.3846154,664.3846154
595.3170732,664.6097561
637,665
825,664.5
623.5757576,665.5757576
675.5,666.1
671.84,665.84
797.6,666.6
831.5,667.7142857
621.3333333,669.8333333
668.8095238,670.1428571
600,671.2
595.6666667,671.4333333
838,674
601.7777778,675.4444444
626.5,676.1176471
673.15,676.7
601.2,678
702.8,678.5
583.1538462,683.6307692
589.8518519,683.8148148
795.5,681
833.6153846,682.3846154
866.0714286,684.8571429
424,689
729.7058824,688.7058824
807,688.8
551.6086957,693.4347826
683.0634921,693.3809524
365.125,695.875
687.6,696
684,698.7777778
608.1777778,698.7333333
582.9444444,700.3888889
833.5,701.2
588.1428571,702.1904762
685.3833333,704.1833333
844.5,707
569.5,709.4705882
688.375,710.2916667
789.7727273,710.7727273
399.5,713
571.6666667,717.8333333
576.9275362,718.8695652
585.0333333,719.4333333
834.4210526,719.1052632
561,722
659,725
542.0909091,727.0454545
558.0606061,726.3636364
831.5,728
547.1333333,729.8333333
546.5925926,734.8148148
807,736.5
845,738
821.3333333,740
348,742
810,742.5
1085,744
864.4210526,744.8947368
331.5,747.5
413.4444444,747.5555556
512.0740741,747.7407407
654.173913,749
421,752
513.8,751.9
567.8947368,753.4210526
510.0967742,754.1935484
864,757
571.5,759.7777778
525.2439024,765.9512195
517.3516484,765.7032967
767,763
375.0909091,763.6363636
544.3555556,764
771.5,765
508.7792208,767.6493506
777,766
497,768
539.8823529,771.3176471
436,769.5
619,771
543.3636364,775.0909091
518.9701493,777.4328358
673,776
491.3823529,776.7941176
679.6538462,776.7307692
482.31,780.86
535.3333333,777.4
441.5757576,780
487.6470588,779.6470588
597.5507246,776.2318841
554,780
828,781
517,782
853.6,781.6
879,784
665.5,787
500.8214286,787.1428571
687.1578947,789.8421053
506.8421053,808.1052632
503.875,810.125
598.7,822.3
570.5172414,824.4482759
563.5,826.5
572.05,832.1
787.1578947,848.8421053
711.3181818,851.3636364
710.4705882,855.7647059
749,869
683.3030303,886.3333333
815.6153846,887.6153846
676.442623,892.9836066
495.375,895.125
496.5063291,902.2278481
478.9,902.0666667
481.7837838,906.3783784
498.8709677,908.3225806
506.1875,907.3125
492,907.5625
503.5,909.5
501.7368421,912.2105263
507.8,912.7
499.125,914.1666667
323.6666667,912.75
651.5,914.5
1083.142857,915.1428571
833.3043478,918.8695652
791,927.2307692
804.3958333,930.25
800.2166667,933.6666667
814.35,930.45
808.6363636,931.8181818
795.625,933.25
844,939
808.4827586,940.1724138
841.2,940.1
1049.5,940
815.8823529,940.5882353
549.5555556,942.8888889
765,946
740.875,948.875
