X,Y
0,0
0,6000
6000,0
6000,6000
869.1034483,210.5172414
710,217.5
820.7916667,218.75
793.3666667,220.7333333
812.1555556,227.5111111
809.95,238.25
727.3030303,239.7575758
844.6041667,240.9791667
822,267.8
787.7567568,270.972973
801.9666667,272.2
785.3809524,284.4285714
902.5757576,290.6363636
781.744186,298.6046512
850.7352941,300
870.4210526,303.7368421
803.8043478,305.5217391
900.4074074,305.0740741
812,316.3818182
779,323
842.8421053,324.1578947
792.5,324.7142857
881.8571429,325.5
844.5757576,333.4242424
776.7560976,339.7439024
804.3333333,342.6666667
830.7142857,355
767.5,362.5
854.05,363.25
797.2352941,370.4705882
867.5,372.5
829.62,381.18
466.2,382.4
755.5555556,382.7407407
764.6909091,384.6363636
819,383.5
881.9767442,382.8139535
776.0681818,384.8863636
910.3809524,385.5714286
843.0714286,388.2222222
827.7555556,400.6666667
776.6981132,407.3207547
874.8863636,413.2045455
764.9444444,415.5277778
843.5909091,430.3181818
787.0615385,432.7179487
801.3389831,431.2881356
822.6774194,432.5806452
703.0606061,433.6363636
655.1428571,437.5357143
772.7954545,445.4772727
807.6981132,444.9056604
857.1,445.8
776.8333333,452.0833333
726.1923077,454.8076923
822.1489362,459.5531915
776.8433735,460.0843373
813,460.6296296
861.0731707,461.7804878
848.9,463.62
838.5932203,465.9491525
875.2711864,469.9774011
767.3636364,475.0909091
800.3928571,475.2142857
811.53125,476.65625
929,477.875
781,487.8
690,493.3076923
635,496.875
711.6153846,497.3846154
779.1854839,500.1048387
695,504.2
762.9583333,512.875
730.15,516.85
787,518
793.1851852,518.4074074
779.862069,519.4482759
824.5,522
864.0173913,524.3478261
781.375,527.75
622.88,530.56
774.5,532.5
846,538
806.0508475,541.220339
721.4615385,543.1538462
826.0784314,543.1372549
718.8888889,548.5833333
795.7,551.7
813.8611111,553.6111111
772.0588235,557.6470588
730.8,559.1666667
754.3055556,560.0277778
616.5,562.5
785.5609756,562.5609756
726,569
756.2857143,570
852.0212766,571.5106383
803.7142857,572.3333333
823.5,572.5
624.75,582.5625
754,584
701.2564103,585.7435897
729.4318182,584.9545455
856.4,586.8
795.5,589.7142857
731.7142857,596.4285714
753.4705882,597.3529412
580.1071429,602.3214286
826.7419355,604.2580645
644,608.4693878
749.7142857,608
813.6949153,608.1864407
732.6153846,611.6153846
707.7272727,616.8484848
853.1818182,622.969697
737.1428571,623.5714286
812.0298507,632.3432836
740.2592593,634.4444444
832.1590909,635.5
721.2222222,637.3333333
745.4418605,641.4186047
610.8684211,642.3421053
687.7021277,642.6170213
733.6086957,642.5652174
656.1785714,645.3928571
821.4358974,646.2564103
860.7647059,648.1176471
577.4,653.04
661.5909091,653.1136364
882.3636364,656.9090909
576.8863636,660.5
600.5,660
623,661.8333333
868.4242424,667.7575758
721.3829787,684.4255319
581.4117647,686.1176471
731.6481481,687.2037037
780.6333333,687.3666667
557.6190476,691.5714286
493,694
721.5,695
494,698.5
346.5294118,700.6470588
649.8571429,701.5714286
706.5897436,703
736.78,702.96
762.875,706.875
589.7692308,708.4230769
835.2857143,711.4285714
861.9047619,712.7619048
621.4040404,715.7575758
455,720.6923077
565.5,720.5
616.0909091,731.3636364
731.5,731.5
712.3846154,733.4700855
620.2,736.5
701,736.5
822.0545455,739.4727273
798,743.3877551
625.5,744
551.6511628,751.0697674
573.375,753.5416667
546.7,756.8
674.6410256,755.7692308
846,757.5
483.125,759.125
625.4262295,758.6065574
770.1333333,762.6666667
823,763
795,765.375
518.1881188,768.7623762
656.0740741,770.8333333
715.4939759,769.5542169
482.2083333,772.7916667
602.921875,777.625
733.144,779.416
499.4,780.6
671.2079208,780.049505
781.1111111,781.8333333
754.4772727,782.7045455
803.8909091,784.2181818
674.3142857,791.8285714
624.359375,793.3125
733.5,795.5
680.4166667,795.8333333
656.2857143,798.5
580.5,800.2941176
613.5333333,801.6666667
702.9594595,802.5135135
540.5333333,803.8833333
555.8923077,804.6923077
722.8910256,805.6730769
762.3333333,803.8888889
738.1264368,809.0804598
622.2253521,810.5633803
711.0222222,809.8888889
476.1333333,812.5555556
644.6428571,812.4285714
509.5694444,815.6666667
553.5,816
637.1573034,821.1011236
682.5909091,820.9090909
552.7142857,822.8571429
582.0967742,824.1935484
789.3333333,825.5
529.8225806,828.1935484
714.4,832.4
299.38,833.1
550,833
702.2380952,833.547619
604,834.4893617
505.1481481,835.2962963
777.025641,836.974359
628.6,839.4
530.0526316,839.7894737
688.4125874,841.6573427
780.9791667,845.9791667
615.3421053,848.8421053
750.2891566,848.6626506
673.8536585,851.9268293
690.0714286,854.0714286
619,857.5
587.9259259,858.5925926
743.6153846,858.5641026
576.4117647,859.8823529
637.546875,860.90625
663.8,861.9894737
735.125,862.3333333
709.75,863.8076923
573.9285714,868.8571429
524.5365854,868.9756098
760.0967742,872.5483871
347.1818182,874.8181818
513.5,874
711.6470588,874
726.5,877
709.6666667,878.6666667
553.9361702,881.6170213
651.5,881.5
569.625,882.7291667
731,884
741.5849057,884.6981132
712.3333333,885.8444444
698.6530612,887.3469388
467.82,891.72
627.5681818,895.5681818
579.0384615,897.6923077
655.6666667,899.0222222
715.3714286,899.8571429
793.0909091,899.0909091
593.6585366,901.6585366
703.8,901.5
688.2727273,902.3863636
721.5,903
745.049505,903.960396
758.8333333,904.1666667
628.1176471,905.5882353
641,907.5
664.5909091,906.6590909
657.4324324,910.4324324
535.0163934,911.6721311
621.3673469,912.8367347
761.9361702,912.6382979
919.8888889,921.3333333
823.1351351,922.1351351
494.7692308,923.9230769
518.7,924.475
653.3835616,929.4383562
551.7931034,931.3793103
707.8281938,934.6960352
727.9411765,933.697479
685.3157895,935.9064327
435.8275862,938.7241379
658.7894737,938
766.1747573,937.3398058
562,940.5
657.95,943.9
670.5294118,944.5686275
701.1428571,945.2
537.3333333,945.1111111
455.6304348,946.9130435
545.4074074,948.1481481
617.6153846,947.6153846
445.7692308,948.7692308
774.8125,952.6517857
630.8529412,953.7867647
723.7894737,958.8947368
796,958.5
717,961.6
480,962
588.787234,961.4468085
818,962.5
560.8461538,962.974359
645.2272727,966.7727273
668.8372093,969.2790698
631.0550459,969.2568807
586.4074074,970.9259259
610.1666667,971.1666667
833.875,971.2083333
487.1090909,972.3090909
776.5882353,972.1176471
675.5,973.5
573.5862069,975.7241379
641.0222222,975.0888889
525.6666667,975.7380952
618,976
