X,Y
0,0
0,6000
6000,0
6000,6000
657.125,739.875
690.952381,741.8095238
682.75,744.75
671.8,746.1666667
667.1707317,748.9268293
699.7692308,751.5384615
654.0909091,749.5090909
670.1333333,753.1333333
707.5,753
760.3333333,752.6666667
637.7692308,755.2307692
644.1818182,756.3181818
657.8275862,756
712.557377,755.9180328
755.1111111,756.3333333
720.4,756.6
626.3333333,759.1111111
647.1818182,759.8181818
703.2580645,758.483871
653.2105263,759.6315789
699,759.5
638.5384615,759.6538462
658.9473684,760.5263158
665.6730769,760.5288462
686.826087,761.826087
719.125,762.125
677.4859813,766.4485981
691.4137931,763.2758621
706.2727273,762.7272727
641.359375,763.5
684.5,764.6363636
649.4107143,764.75
654.9548387,771.8129032
592.2307692,765.6153846
594.6666667,767.9166667
664.1176471,768.4117647
682.2592593,768.5555556
804.4761905,768.3571429
629.5714286,770
667.5,770.2
640.8857143,770
699.8823529,771.5882353
717.6363636,770.7272727
747.8888889,771.6666667
646.28125,770.625
756,773.2
627.9473684,773.6315789
714.0416667,773.7083333
623.875,774.75
680.4375,774.625
701.0588235,776.1470588
610.5,777
633.4085366,782.7835366
675,776.5
716,779.3396226
721.5306122,776.8367347
751.2,777.5
645.1304348,777.4202899
651.3896104,783.4155844
677.8636364,778.7272727
708.1764706,779.2647059
618.7894737,780.6315789
698.8421053,781.8421053
724,782
701.5833333,784.6666667
756.7142857,783.8571429
712.5,784.6428571
789.6,784.625
622.1875,786.375
663.5531915,786.9148936
704.6470588,786.4117647
609.5384615,788.0769231
645.775,788.325
696.6973684,788.8684211
759.8666667,787.9333333
706.4473684,790.6578947
786.5909091,789.8636364
674.3333333,789.6363636
711.7142857,790
687.5,791
726.2413793,788.2068966
739.374269,792.3859649
641.0408163,792.1428571
752.1162791,792.0930233
617.3181818,792.6818182
699,793.7692308
736.5555556,797.2777778
759.6,792.2428571
792.7142857,793.5
716.625,793.9125
626.3529412,796.4705882
650.6666667,796.1111111
723.6410256,795.4102564
636.4,796.9428571
690.6530612,796.6734694
781.4415584,795.7402597
604.1818182,798.1818182
646.7,797.85
727.6818182,800.2272727
760.1578947,799.5052632
705.0877193,797.4561404
696.9411765,799.4852941
623.5882353,801.8823529
707.725,802.1
775.5333333,802.1333333
630.1785714,802.2857143
638.1153846,802.3461538
758.3157895,802.7368421
632.9361702,805.9148936
693.7777778,804.5555556
664.44,805.92
765,809.0792079
680.5,806.8
719.8829787,809.2446809
585.3333333,808.0833333
753.6363636,806.9818182
739.7532468,815.8116883
734.703125,813.15625
745.862069,809.8275862
635.8333333,812.9047619
659.85,810.8
709.2,810.5333333
686.2,812.45
772.5,812.6111111
727.1,813.05
619.3636364,813.9090909
676.6969697,813.5454545
706.62,816.14
578.1176471,814.5882353
632.25,814.75
655.5238095,815.0952381
650.245614,818.2982456
698.6666667,816.7111111
692.9615385,820.3076923
768.9137931,820.3103448
711.6846847,821.4324324
696.8125,821.4375
654.65,823.35
680.1875,822.6875
757.4782609,823.1304348
790.5384615,824.3846154
641.6428571,825.5714286
678.1875,825.875
689.7894737,825.4035088
700.2295082,824.7540984
722.6666667,824.75
770.3529412,827.1764706
606.1176471,828.4705882
619.5,827.7142857
632.9482759,828.6034483
759.8235294,827.8235294
672.2380952,826.0634921
699.2857143,829.3571429
752.5,830.2857143
660.9782609,832.3043478
724.8414634,831.2317073
766.3529412,832.2941176
637.4925373,833.5671642
692.8305085,833.2966102
715.1176471,832.5882353
754.1578947,834.1578947
643.6909091,835.4545455
700.65,835.15
632.0192308,837.0576923
764,838
738.3448276,839.4482759
656.3,840.4
700.5833333,841.0833333
704.1525424,842.0338983
691.1875,842.8125
695.6,842.6
745.4444444,842.3333333
713.7954545,843.8863636
729.4285714,843.9047619
707.6153846,846.6153846
751.2095238,847.952381
678.6285714,845.9142857
695.3333333,846.2666667
672.7407407,846.8888889
779.3917051,848.843318
692.2,848.6666667
729.8421053,849.1578947
717.5263158,853.5789474
759.4285714,850.3673469
698.8888889,852.1111111
709.1034483,851.1724138
576,852
636.5,854
773.9545455,854.6818182
804.4,854.6
622.3846154,855.6153846
698.8113208,857.8490566
704.75,858.6785714
709.4090909,857.9090909
747.1009174,862.9908257
648.7619048,858.1904762
596.6153846,861.3846154
632.097561,863.2439024
635.625,861.9583333
638.7906977,863.4186047
678.0833333,862.0833333
693.4583333,862.125
759.5909091,860.030303
775.9090909,861.6363636
643.9090909,863.0909091
684.5505618,862.8988764
732.0869565,862.8913043
626.8064516,864.4193548
663.7096774,867.0645161
678.84,866.96
714.2272727,868.469697
720.6984127,868.6349206
778.1923077,867.1923077
647.5,868.2222222
702.1,867.05
735.9784946,868.9354839
758.3529412,868.0882353
673.4210526,868.6052632
539.25,870.95
595.8,870.5
629.86,870.42
659.2916667,870.8333333
579.0526316,872.2105263
639.8681319,871.8131868
702.16,872
613.3529412,873.5294118
693.7333333,872.9333333
727.7948718,873.3589744
757.1346154,875.0192308
683.8095238,875.2380952
696.9285714,875.8571429
646.8214286,877.2142857
611.95,877.75
628.691358,877.7407407
742.0526316,877.6842105
705.7647059,878.8529412
730.1703297,885.2582418
752.0645161,882.0645161
739.4722222,882.3333333
623.047619,881.4285714
683.7619048,882.1428571
759,881.5
585.5641026,883.4871795
648.3333333,883.6666667
659.7826087,884.0869565
675.5294118,883.6470588
704.9285714,883.9285714
801,884.1428571
669.1111111,884.6666667
619.2857143,886.5
638.6538462,884.5769231
693.2,885.5
719.125,885.875
643.8947368,887
541.3469388,889.0612245
575.0555556,888.3333333
610.95,888.25
654.5714286,888.8857143
700.85,888.1
650.1,889.2
758.875,889.125
797.7297297,889.2972973
580.1764706,888.7647059
587.0869565,890
938.8181818,891.4545455
581.6666667,892.5
608.3103448,891.7586207
633.2545455,893.0181818
613.75,893.05
628.525,893.775
643.3571429,892.7857143
585.7307692,895.1923077
650.1041667,894.4583333
731.3333333,895.3888889
536.7894737,896.3684211
580.1176471,896.4117647
617.952381,896.8095238
624.1,896.4
640.2647059,898.3529412
795.4090909,897.1818182
589.4,897.4
727.6666667,898.3333333
650.375,899.125
715.9166667,898.75
627.1590909,900.8181818
710.2195122,900.8536585
718.1728395,903.6419753
851,901.6470588
794.0909091,903.3636364
585.4166667,903.3333333
590.4545455,903.3636364
604.016129,903.516129
657.125,903.875
756.8461538,904.5384615
798.4375,903.5625
