X,Y
0,0
0,6000
6000,0
6000,6000
959,30.5
910.5,34.5
840.2380952,56.78571429
996.4074074,72.33333333
994.9,76.8
813.9411765,78.17647059
995.25,83.375
709.3658537,136.2926829
702.8421053,138.9473684
678.5,142.5
675.2222222,149.2777778
673.3,154.4
769.1818182,159.0909091
657.2833333,169.1
651,175.8
742,195.5
947.8181818,200.6363636
895,205
945.3488372,206.7209302
900.5925926,208.0740741
621.8852459,209.8688525
830.4705882,211
663.5882353,210.5294118
629.5,211.5
914.1428571,214.9285714
637.3636364,217.4545455
614.9375,217.375
832.3157895,218.1578947
828.0588235,218.7647059
992,219.8
827.975,223.375
802.3902439,227.5609756
828.047619,228
832.4,228.7
835.9,228.2
823.3793103,229.7586207
863.5,229.875
866.8235294,230.3529412
829.5454545,231.6363636
838.8611111,232.5833333
804.2380952,234
819,234.75
834.7777778,234.3703704
729,237.5
806.6470588,238.6470588
815.2222222,237.9444444
732.2916667,242.0833333
811.8,244.0571429
809.9230769,256.6346154
794.3333333,266.9166667
845.6875,268.375
726.125,269.875
797.4090909,270.1818182
836.8928571,271.8571429
794.2368421,272.1052632
823.5714286,276.6190476
661.6666667,277.5333333
798.4285714,277.7142857
663.8461538,280.4615385
802.3928571,283.8035714
831.3835616,280.9315068
824.8536585,282.902439
835.3684211,286.7894737
606.4347826,287.3913043
628.5454545,288.1212121
826.3666667,288.9
984.7142857,289.1428571
829.1010101,293.5858586
853.875,291.125
806.2045455,298.2045455
814.6153846,301.3846154
825.7857143,301.5
515.7777778,303.4444444
978.7692308,303.6923077
678.4166667,305.25
514,306
882.90625,304.90625
876.3823529,309.5147059
511.7777778,309.5555556
880.75,310.625
887.6410256,308.0512821
887.84,312.8266667
818.8666667,314.4
833.3846154,314.6153846
877.875,317
506.44,317.08
577.4117647,316.1176471
862.5,316
888.255814,318.9302326
784.2758621,320.6896552
882.875,320.375
886.6842105,324.3684211
808.6956522,320.9565217
815.7567568,320.2702703
742.2857143,324.047619
781.25,324.375
873.625,324.2291667
880.0471698,328.2641509
809.4141414,326.1010101
867.6296296,326.7407407
500.5555556,328.2222222
863.3529412,330.3529412
802.75,329.8854167
959.2173913,329.6521739
807.8,332.3666667
870.9,332.025
865.2926829,335.8292683
492.1034483,337.9310345
873.65625,337.0625
879.0512821,336.3846154
784.5121951,346.5
789.5,343.7727273
493.3023256,343.1162791
491.325,350.725
780.7575758,351.0606061
892.6346154,356.25
551.875,357.5416667
909.5294118,360.2647059
893.5666667,362.9
914.2142857,362.3571429
918.9655172,364.6551724
913.8947368,366.5263158
896.9142857,367.2
908.7647059,366.5882353
924.88,366.44
817.2666667,368.2
904.2903226,368.1612903
938.6,367.3333333
936.125,371.125
822.0952381,371.9047619
899.1860465,375.0581395
889.5,372.9444444
894.3333333,373.4444444
892.05,379.9
897.6521739,380.173913
895.5,383.2777778
815.125,384.875
927.5,385.5625
680.6111111,387.1111111
858.3,388.7
929.3846154,390.6153846
685,391.1428571
828.9545455,395.3030303
523.2702703,393.6216216
835.6,395
688.0555556,394.2222222
422.8666667,399.3333333
832.96,399.12
692.7636364,399.9454545
778.4285714,402.0952381
873.44,402.68
864.8695652,403.9130435
828.0588235,403.254902
832.9264706,407.75
833.0444444,413.9111111
831.9736842,418.6578947
851.125,417.125
847.8,418.9
877.3157895,423.2631579
788.8837209,426.4418605
874.8888889,427.6666667
787.1875,431.8125
849.625,432.3333333
598.4,436.3333333
868.5384615,436.8461538
848.7735849,438.7735849
601.125,439.875
843.7966102,441.8813559
793.3650794,445.4761905
850.5,445.9615385
603.68,446
850.3684211,449.6842105
844.1904762,449.8412698
789.38,447.1
836.1212121,450.6969697
1014,450
1008.909091,451.1818182
568.5789474,453.3157895
606.1176471,453.4705882
791.4,454.9714286
371.75,457.375
781.5333333,458.6666667
571.375,460.1875
912.5,462.6666667
780.44,464.08
911,468
778.5789474,469.4736842
690.6,470.3333333
797.4189189,470.1081081
694.3888889,475.1111111
697.7142857,479.7857143
700.75,483.8333333
873.3974359,483.8205128
843.56,491.26
874.2857143,490.5
707.0212766,490.9574468
877.2051282,495.5897436
712.3125,497.3125
879.9230769,504.2615385
562.1578947,500.3157895
829.6857143,500.0857143
714.375,501.125
789.2941176,507.6764706
571.0943396,511.5283019
856.125,512.875
484.5581395,513.8139535
790.1666667,514.1111111
885.4444444,514.6666667
782.2419355,517.1451613
784.4444444,520.5555556
789.3684211,521.0526316
801.8636364,520.6818182
579.3157895,522.0526316
783.8181818,524.6363636
957.5,523
582.3888889,526.1111111
777.3548387,526.9354839
787.7096774,526.8064516
780.6666667,530.3939394
797.5769231,530.2307692
784.0454545,535.6212121
776.3636364,534.2181818
803.3225806,537.6451613
797.6363636,538.5227273
781,542.2142857
890.875,545.125
999.5,545
855.6571429,546.0571429
991,549.5
820.5192308,558.9615385
384.2777778,560.5
702.8181818,563.1818182
824.4615385,564.0769231
843.7407407,564.7592593
767.5,565.2
390.0714286,567.3571429
522.5909091,567.9545455
838.25,569
706.9545455,570.1363636
820.0943396,569.0943396
825.4444444,569.4074074
884.4137931,573.4827586
526.2666667,572.6666667
713,573.5
710,575
877.38,577.56
529.7586207,577.5172414
721.6666667,576.6666667
713.8181818,577.4090909
733.5833333,581.75
882.2571429,581.8571429
887.08,582.28
877.5681818,585.6363636
826,586
296.2,589.3
729.5,591
725.2,592
721.75,593.125
714.2,593.8666667
674.4,597.9333333
635,599.5
865.9285714,599.3571429
684,600
292.0769231,600.6923077
679.1764706,603
446.1578947,604.4210526
290.7428571,606.4285714
449.6363636,609.4545455
678.0416667,608.875
756.4285714,610.7142857
454.1875,612.0625
675.4375,615
289.125,613.7916667
609.6428571,614.6428571
755.3333333,614.4166667
759.3333333,616.625
287.3888889,618.7777778
754.6904762,618.5238095
293.5,619
679.2947368,622.3105263
423.8571429,621.3571429
942.25,620.5833333
618.6714286,624.8071429
874.1111111,623.4166667
685.3157895,624.4210526
940.1428571,625.1904762
428.7619048,627.2380952
875,628.25
286.9111111,627.6666667
875.875,629.75
752.3684211,629.5263158
285.3333333,631.6666667
682.5,634.5909091
936.875,631.875
728.7804878,630.8292683
877.2941176,632.7352941
933.4615385,634.1538462
754.7666667,634.1333333
475,635.5
678.4,636.12
287.5454545,637.2727273
878.0909091,637.8181818
1002.37931,636.5517241
477.3333333,638.5555556
437.55,636.85
