ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,979.382352941,108.970588235,1
1,2,944.84,139.72,2
1,3,950.875,140.5,3
1,4,811.8,201.5,4
1,5,811.818181818,205.272727273,5
1,6,848.180952381,210.695238095,6
1,7,905.5,208.714285714,7
1,8,817.275,209.55,8
1,9,813.222222222,210.388888889,9
1,10,909.933333333,211.16,10
1,11,956.986111111,212.819444444,11
1,12,984.586206897,213.551724138,12
1,13,911.666666667,217.142857143,13
1,14,980.785714286,217.357142857,14
1,15,793.9375,218.0,15
1,16,809.909090909,220.636363636,16
1,17,824.090909091,220.909090909,17
1,18,794.6,222.4,18
1,19,953.804347826,222.391304348,19
1,20,976.0,222.0,20
1,21,926.68,224.5,21
1,22,825.882352941,225.0,22
1,23,882.393939394,225.787878788,23
1,24,914.513513514,225.783783784,24
1,25,943.96969697,223.818181818,25
1,26,938.454545455,226.818181818,26
1,27,980.368421053,227.0,27
1,28,955.590909091,227.954545455,28
1,29,959.6,230.4,29
1,30,1013.0,230.0,30
1,31,917.727272727,231.727272727,31
1,32,785.843137255,233.62745098,32
1,33,957.875,236.666666667,33
1,34,962.25,237.6875,34
1,35,919.615384615,240.230769231,35
1,36,866.0,243.92,36
1,37,952.5,243.0,37
1,38,926.411764706,244.941176471,38
1,39,898.0625,244.958333333,39
1,40,895.090909091,250.590909091,40
1,41,911.136363636,249.636363636,41
1,42,983.56,250.08,42
1,43,848.633333333,251.166666667,43
1,44,886.608695652,252.086956522,44
1,45,965.933333333,251.733333333,45
1,46,903.857142857,253.666666667,46
1,47,899.227272727,253.681818182,47
1,48,877.0,254.7,48
1,49,915.968253968,255.793650794,49
1,50,919.833333333,256.0,50
1,51,967.19047619,256.047619048,51
1,52,900.5,258.0,52
1,53,963.545454545,258.909090909,53
1,54,927.0,260.0,54
1,55,886.333333333,261.111111111,55
1,56,995.541666667,262.375,56
1,57,874.220930233,261.837209302,57
1,58,964.3,264.285714286,58
1,59,951.146666667,263.293333333,59
1,60,882.3875,266.425,60
1,61,1041.625,265.0,61
1,62,983.5,265.807692308,62
1,63,886.08,272.32,63
1,64,891.206896552,272.068965517,64
1,65,900.107142857,271.714285714,65
1,66,854.5,275.0,66
1,67,913.8,275.0,67
1,68,928.103448276,275.482758621,68
1,69,899.25,276.416666667,69
1,70,910.333333333,277.0,70
1,71,981.632653061,277.714285714,71
1,72,988.505050505,279.676767677,72
1,73,862.363636364,280.0,73
1,74,946.333333333,280.111111111,74
1,75,956.666666667,281.208333333,75
1,76,924.217391304,282.173913043,76
1,77,859.52,284.4,77
1,78,943.625,284.25,78
1,79,962.422077922,287.558441558,79
1,80,995.027777778,284.402777778,80
1,81,882.344827586,284.724137931,81
1,82,899.0,284.857142857,82
1,83,955.230769231,285.846153846,83
1,84,987.769230769,287.076923077,84
1,85,952.157894737,290.631578947,85
1,86,990.964285714,290.892857143,86
1,87,956.03030303,292.727272727,87
1,88,1006.34146341,292.317073171,88
1,89,1048.0,293.5,89
1,90,908.368421053,299.263157895,90
1,91,780.5,300.0,91
1,92,958.489361702,301.063829787,92
1,93,905.2,302.0,93
1,94,936.782608696,300.782608696,94
1,95,873.134831461,306.0,95
1,96,881.733333333,304.911111111,96
1,97,919.512820513,302.538461538,97
1,98,991.0,304.0,98
1,99,822.117647059,304.37254902,99
1,100,842.105263158,304.649122807,100
1,101,942.24,307.706666667,101
1,102,888.875,304.732142857,102
1,103,904.166666667,307.222222222,103
1,104,952.790697674,307.046511628,104
1,105,990.882352941,308.411764706,105
1,106,948.0,308.333333333,106
1,107,941.941176471,312.970588235,107
1,108,991.25,313.55,108
1,109,827.88,312.7,109
1,110,948.941176471,314.058823529,110
1,111,970.5625,314.3125,111
1,112,974.020833333,320.520833333,112
1,113,939.507246377,320.057971014,113
1,114,988.2,320.275,114
1,115,818.6,321.6,115
1,116,1048.09090909,321.363636364,116
1,117,897.117647059,324.588235294,117
1,118,910.125,323.875,118
1,119,993.2,325.433333333,119
1,120,902.76,325.8,120
1,121,938.019417476,331.048543689,121
1,122,947.837837838,329.981981982,122
1,123,891.233766234,329.116883117,123
1,124,904.6,329.6,124
1,125,927.6,328.6,125
1,126,945.916666667,331.916666667,126
1,127,840.45631068,335.466019417,127
1,128,988.157894737,332.578947368,128
1,129,992.357142857,331.785714286,129
1,130,831.986666667,332.653333333,130
1,131,848.516666667,332.316666667,131
1,132,960.111111111,334.333333333,132
1,133,854.310344828,335.017241379,133
1,134,966.296296296,335.592592593,134
1,135,869.939393939,336.636363636,135
1,136,969.125,336.75,136
1,137,981.368421053,336.789473684,137
1,138,986.483870968,336.967741935,138
1,139,911.52,338.4,139
1,140,973.368421053,337.684210526,140
1,141,963.933333333,339.6,141
1,142,956.666666667,340.266666667,142
1,143,977.142857143,340.095238095,143
1,144,868.214285714,340.785714286,144
1,145,834.75,342.5,145
1,146,847.857142857,340.632653061,146
1,147,931.623762376,344.95049505,147
1,148,981.710526316,342.210526316,148
1,149,989.552631579,343.894736842,149
1,150,846.666666667,346.805555556,150
1,151,855.760869565,344.02173913,151
1,152,914.909090909,344.181818182,152
1,153,942.0,343.633333333,153
1,154,839.649122807,344.98245614,154
1,155,997.121212121,344.878787879,155
1,156,1004.30555556,343.638888889,156
1,157,888.941176471,348.588235294,157
1,158,908.068965517,348.586206897,158
1,159,946.746031746,346.904761905,159
1,160,832.307692308,349.923076923,160
1,161,842.6,349.942857143,161
