ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,912.235294118,10.431372549,1
1,2,907.615384615,16.3076923077,2
1,3,952.6,16.6,3
1,4,911.2,19.65,4
1,5,908.935483871,23.1290322581,5
1,6,914.090909091,22.6363636364,6
1,7,873.666666667,24.9444444444,7
1,8,934.03030303,28.8181818182,8
1,9,869.28125,32.65625,9
1,10,872.5,35.0,10
1,11,959.825396825,39.6031746032,11
1,12,849.363636364,39.9090909091,12
1,13,895.875,40.125,13
1,14,949.476190476,38.5238095238,14
1,15,897.5,44.5,15
1,16,913.277777778,46.3888888889,16
1,17,839.653061224,45.7142857143,17
1,18,950.888888889,46.6111111111,18
1,19,905.941176471,47.7647058824,19
1,20,836.294117647,48.8823529412,20
1,21,855.454545455,49.0454545455,21
1,22,954.85,49.575,22
1,23,852.8125,53.1875,23
1,24,842.5,57.375,24
1,25,942.416666667,58.25,25
1,26,956.1,57.8,26
1,27,813.857142857,59.3333333333,27
1,28,901.818181818,60.8181818182,28
1,29,933.0,62.125,29
1,30,935.125,64.875,30
1,31,876.904761905,64.8571428571,31
1,32,810.75,67.0,32
1,33,954.647058824,69.2058823529,33
1,34,881.363636364,67.4545454545,34
1,35,837.0,69.0454545455,35
1,36,939.823529412,69.1764705882,36
1,37,949.769230769,69.4615384615,37
1,38,806.5,70.1538461538,38
1,39,950.0,72.0,39
1,40,802.789473684,73.0,40
1,41,942.5,72.8636363636,41
1,42,938.3,73.1,42
1,43,835.727272727,73.2272727273,43
1,44,924.15,73.95,44
1,45,889.592592593,76.5185185185,45
1,46,955.296296296,77.6296296296,46
1,47,951.9,81.5,47
1,48,956.0,81.0,48
1,49,777.204081633,83.8163265306,49
1,50,857.875,84.125,50
1,51,753.666666667,85.7333333333,51
1,52,935.435897436,86.7692307692,52
1,53,836.875,87.125,53
1,54,752.090909091,89.3636363636,54
1,55,794.235294118,87.7058823529,55
1,56,833.684210526,88.5789473684,56
1,57,898.708333333,89.625,57
1,58,836.75,90.4166666667,58
1,59,827.615384615,91.3846153846,59
1,60,895.538461538,92.8461538462,60
1,61,739.076923077,97.2307692308,61
1,62,963.212121212,101.787878788,62
1,63,937.5,106.318181818,63
1,64,937.625,110.375,64
1,65,722.833333333,112.0,65
1,66,934.636363636,112.272727273,66
1,67,959.2,112.0,67
1,68,721.5625,115.125,68
1,69,923.875,113.875,69
1,70,955.75862069,114.620689655,70
1,71,931.916666667,116.125,71
1,72,921.129032258,117.580645161,72
1,73,693.039473684,118.684210526,73
1,74,926.212121212,116.090909091,74
1,75,759.806451613,120.741935484,75
1,76,882.818181818,124.454545455,76
1,77,823.927272727,129.072727273,77
1,78,923.830508475,131.559322034,78
1,79,665.4,131.8,79
1,80,663.071428571,132.857142857,80
1,81,944.5,133.285714286,81
1,82,821.0,133.5,82
1,83,770.0,135.5,83
1,84,931.207792208,137.571428571,84
1,85,942.5,137.285714286,85
1,86,763.8,138.5,86
1,87,920.125,137.875,87
1,88,651.902439024,138.756097561,88
1,89,767.272727273,139.454545455,89
1,90,773.296296296,138.62962963,90
1,91,683.421052632,140.684210526,91
1,92,873.153846154,140.538461538,92
1,93,870.777777778,143.333333333,93
1,94,820.333333333,144.111111111,94
1,95,875.285714286,143.80952381,95
1,96,952.954545455,142.272727273,96
1,97,644.294117647,145.176470588,97
1,98,648.264705882,145.029411765,98
1,99,871.882352941,146.588235294,99
1,100,771.777777778,146.333333333,100
1,101,950.64516129,145.838709677,101
1,102,642.4,148.6,102
1,103,652.888888889,148.916666667,103
1,104,775.307692308,149.230769231,104
1,105,799.158730159,152.158730159,105
1,106,773.80952381,153.047619048,106
1,107,629.702970297,154.178217822,107
1,108,623.432432432,158.837837838,108
1,109,771.56097561,157.829268293,109
1,110,929.0,156.592592593,110
1,111,800.466666667,158.066666667,111
1,112,635.0,160.0,112
1,113,753.111111111,161.333333333,113
1,114,757.0,160.5,114
1,115,629.380952381,162.142857143,115
1,116,885.5,162.125,116
1,117,619.71875,163.5625,117
1,118,850.3,162.7,118
1,119,624.090909091,165.363636364,119
1,120,956.666666667,166.266666667,120
1,121,959.727272727,169.5,121
1,122,609.5,173.0,122
1,123,604.0,173.857142857,123
1,124,735.909090909,174.090909091,124
1,125,794.9375,173.1875,125
1,126,909.5,175.85,126
1,127,964.759259259,176.537037037,127
1,128,711.472222222,176.472222222,128
1,129,777.8,176.342857143,129
1,130,781.6,178.3,130
1,131,907.125,177.875,131
1,132,611.851851852,178.925925926,132
1,133,710.0,180.0,133
1,134,904.928571429,180.214285714,134
1,135,623.125,184.125,135
1,136,962.653846154,187.269230769,136
1,137,603.166666667,189.458333333,137
1,138,578.166666667,191.633333333,138
1,139,910.676923077,190.292307692,139
1,140,574.388888889,192.388888889,140
1,141,899.0,192.0,141
1,142,591.515463918,194.175257732,142
1,143,626.28125,194.21875,143
1,144,847.8125,194.8125,144
1,145,850.8,194.6,145
1,146,897.357142857,195.071428571,146
1,147,584.0,194.368421053,147
1,148,596.727272727,196.727272727,148
1,149,620.222222222,194.825396825,149
1,150,575.75,196.5,150
1,151,629.277777778,197.777777778,151
1,152,617.6,200.35,152
1,153,563.512820513,198.564102564,153
1,154,573.461538462,198.307692308,154
1,155,955.529411765,199.882352941,155
1,156,576.3,200.4,156
1,157,572.0,202.5,157
1,158,621.125,202.125,158
1,159,655.0,202.642857143,159
1,160,954.0,203.5,160
1,161,556.235294118,204.588235294,161
1,162,743.689655172,204.068965517,162
1,163,866.888888889,206.0,163
1,164,870.636363636,205.0,164
1,165,895.7,208.3,165
1,166,638.384615385,208.615384615,166
1,167,869.24137931,209.379310345,167
1,168,930.357142857,211.071428571,168
1,169,638.384615385,212.384615385,169
1,170,619.695652174,214.847826087,170
1,171,533.769230769,217.961538462,171
1,172,551.283018868,216.566037736,172
1,173,539.872727273,216.363636364,173
1,174,555.916666667,219.333333333,174
1,175,959.821428571,220.142857143,175
1,176,851.538461538,221.692307692,176
1,177,954.685714286,223.057142857,177
1,178,606.575757576,223.696969697,178
1,179,701.212121212,225.151515152,179
1,180,609.222222222,227.666666667,180
1,181,843.75,226.583333333,181
1,182,956.162162162,227.324324324,182
1,183,950.857142857,228.285714286,183
1,184,536.105263158,228.842105263,184
1,185,845.826086957,230.913043478,185
1,186,855.684210526,232.315789474,186
1,187,580.583333333,233.916666667,187
1,188,933.697674419,235.860465116,188
1,189,851.75,235.75,189
1,190,847.5,237.277777778,190
1,191,937.083333333,237.333333333,191
1,192,850.833333333,240.083333333,192
1,193,857.666666667,243.916666667,193
1,194,500.8,247.76,194
1,195,552.432432432,247.783783784,195
1,196,510.448275862,252.172413793,196
1,197,853.1875,253.8125,197
1,198,730.875,253.875,198
1,199,828.0,254.0,199
1,200,870.285714286,255.285714286,200
1,201,506.075,252.525,201
1,202,774.666666667,255.888888889,202
1,203,786.571428571,255.904761905,203
1,204,780.733333333,257.8,204
1,205,866.866666667,256.666666667,205
1,206,502.909090909,258.886363636,206
1,207,853.0,258.5,207
1,208,769.941176471,259.764705882,208
1,209,531.314285714,261.257142857,209
1,210,872.096774194,261.870967742,210
1,211,943.892857143,261.428571429,211
1,212,479.852459016,262.540983607,212
1,213,623.333333333,263.111111111,213
1,214,854.625,262.25,214
1,215,866.0,263.0,215
1,216,533.647058824,264.764705882,216
1,217,621.793103448,266.0,217
1,218,943.538461538,265.923076923,218
1,219,927.857142857,268.619047619,219
1,220,620.5,269.2,220
1,221,874.0,270.357142857,221
1,222,529.785714286,272.928571429,222
1,223,624.5,272.5,223
1,224,929.416666667,271.583333333,224
1,225,894.702702703,273.351351351,225
1,226,666.684210526,274.263157895,226
1,227,664.043478261,276.173913043,227
1,228,502.541666667,276.625,228
1,229,510.0,275.695652174,229
1,230,543.428571429,276.785714286,230
1,231,476.145454545,279.563636364,231
1,232,656.827586207,278.172413793,232
1,233,917.571428571,277.619047619,233
1,234,546.357142857,278.571428571,234
1,235,628.30952381,278.738095238,235
1,236,646.615384615,281.384615385,236
1,237,775.615384615,281.615384615,237
1,238,647.7,284.2,238
1,239,795.933333333,283.233333333,239
1,240,439.0,288.0,240
1,241,443.066666667,291.266666667,241
1,242,843.818181818,292.363636364,242
1,243,935.535714286,291.535714286,243
1,244,814.5,293.0,244
1,245,883.875,293.125,245
1,246,939.909090909,292.272727273,246
1,247,441.636363636,294.863636364,247
1,248,535.928571429,294.142857143,248
1,249,451.833333333,295.555555556,249
1,250,607.3,296.7,250
1,251,885.272727273,295.818181818,251
1,252,938.555555556,296.555555556,252
1,253,447.366666667,296.733333333,253
1,254,934.730769231,297.692307692,254
1,255,816.0,297.8,255
1,256,870.615384615,297.384615385,256
1,257,654.9,298.8,257
1,258,911.0,299.0,258
1,259,540.137931034,297.620689655,259
1,260,571.416666667,300.166666667,260
1,261,907.956521739,301.434782609,261
1,262,482.939393939,302.303030303,262
1,263,541.280487805,303.048780488,263
1,264,503.3,305.7,264
1,265,867.21875,304.125,265
1,266,886.5,305.0,266
1,267,481.625,306.375,267
1,268,811.705882353,305.882352941,268
1,269,877.027027027,306.567567568,269
1,270,505.1875,308.6875,270
1,271,969.125,307.875,271
1,272,643.966666667,309.266666667,272
1,273,447.956521739,309.52173913,273
1,274,416.333333333,310.888888889,274
1,275,430.74025974,309.61038961,275
1,276,424.466666667,313.033333333,276
1,277,448.363636364,315.909090909,277
1,278,447.846153846,319.384615385,278
1,279,684.3,319.375,279
1,280,502.976190476,321.380952381,280
1,281,970.382978723,322.489361702,281
1,282,875.5,321.727272727,282
1,283,979.896551724,324.413793103,283
1,284,975.935483871,326.387096774,284
1,285,410.193548387,327.064516129,285
1,286,675.333333333,326.111111111,286
1,287,678.761904762,326.952380952,287
1,288,849.875,327.333333333,288
1,289,483.218390805,328.954022989,289
1,290,895.0,328.333333333,290
1,291,909.875,328.25,291
1,292,906.615384615,329.384615385,292
1,293,980.25,329.083333333,293
1,294,407.65,330.65,294
1,295,402.5,332.333333333,295
1,296,910.0,333.0,296
1,297,871.615384615,334.384615385,297
1,298,874.636363636,334.272727273,298
1,299,889.129032258,333.903225806,299
1,300,986.615384615,332.846153846,300
1,301,503.5,338.333333333,301
1,302,539.694444444,336.944444444,302
1,303,892.4,337.9,303
1,304,626.794117647,337.647058824,304
1,305,630.421052632,339.052631579,305
1,306,975.344827586,339.172413793,306
1,307,500.15,340.45,307
1,308,739.761904762,339.428571429,308
1,309,989.942857143,339.971428571,309
1,310,890.666666667,341.333333333,310
1,311,983.421052632,343.421052632,311
1,312,761.432835821,345.462686567,312
1,313,494.290322581,347.193548387,313
1,314,586.666666667,348.0,314
1,315,766.142857143,350.071428571,315
1,316,934.076923077,349.538461538,316
1,317,744.88,350.28,317
1,318,931.333333333,351.533333333,318
1,319,433.727272727,353.0,319
1,320,991.608,353.824,320
1,321,895.65,355.575,321
1,322,432.0,355.615384615,322
1,323,594.833333333,355.541666667,323
1,324,672.0,356.0,324
1,325,675.0,357.25,325
1,326,737.0,356.8,326
1,327,599.961538462,357.865384615,327
1,328,898.265306122,360.693877551,328
1,329,376.842105263,362.736842105,329
1,330,660.4,362.133333333,330
1,331,835.136363636,364.045454545,331
1,332,658.576923077,364.884615385,332
1,333,818.202247191,363.831460674,333
1,334,736.4,367.4,334
1,335,838.55,367.6,335
1,336,648.5,368.0,336
1,337,811.431818182,368.113636364,337
1,338,834.25,368.9375,338
1,339,480.125,369.75,339
1,340,804.666666667,369.166666667,340
1,341,922.307692308,370.076923077,341
1,342,997.0,371.363636364,342
1,343,790.666666667,370.666666667,343
1,344,818.434782609,371.347826087,344
1,345,915.75,371.5,345
1,346,836.470588235,372.882352941,346
1,347,841.763157895,373.236842105,347
1,348,796.347826087,375.326086957,348
1,349,801.136363636,373.227272727,349
1,350,757.909090909,374.25,350
1,351,912.615384615,375.384615385,351
1,352,410.270833333,378.5625,352
1,353,673.06,376.92,353
1,354,876.625,378.1875,354
1,355,798.611111111,379.944444444,355
1,356,480.090909091,381.363636364,356
1,357,863.875,381.125,357
1,358,874.363636364,382.181818182,358
1,359,405.333333333,383.777777778,359
1,360,544.80952381,385.595238095,360
1,361,696.428571429,382.523809524,361
