ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,864.692307692,275.961538462,1
1,2,860.086956522,278.826086957,2
1,3,821.028571429,280.285714286,3
1,4,854.976190476,280.333333333,4
1,5,865.474358974,284.91025641,5
1,6,858.341463415,286.341463415,6
1,7,886.227272727,283.772727273,7
1,8,817.157894737,285.368421053,8
1,9,872.078431373,286.254901961,9
1,10,853.942028986,289.536231884,10
1,11,884.833333333,290.0,11
1,12,776.541666667,291.041666667,12
1,13,794.266666667,289.983333333,13
1,14,881.55,291.95,14
1,15,889.361111111,291.027777778,15
1,16,837.739130435,295.130434783,16
1,17,874.388888889,295.444444444,17
1,18,773.6,295.75,18
1,19,843.263157895,295.447368421,19
1,20,787.956521739,296.0,20
1,21,891.970588235,296.588235294,21
1,22,794.466666667,297.4,22
1,23,863.131578947,295.460526316,23
1,24,852.233333333,297.511111111,24
1,25,870.092592593,299.314814815,25
1,26,858.205882353,301.147058824,26
1,27,801.705882353,300.705882353,27
1,28,885.244444444,302.488888889,28
1,29,797.192307692,303.519230769,29
1,30,878.75,303.95,30
1,31,858.095238095,305.047619048,31
1,32,863.363636364,304.090909091,32
1,33,795.636363636,309.545454545,33
1,34,884.125,313.0,34
1,35,805.76119403,312.402985075,35
1,36,793.1,315.8,36
1,37,868.866666667,316.4,37
1,38,770.2,317.0,38
1,39,800.681818182,316.340909091,39
1,40,867.5,320.409090909,40
1,41,881.0625,324.6875,41
1,42,819.59375,327.71875,42
1,43,826.469387755,327.285714286,43
1,44,811.666666667,327.962962963,44
1,45,875.0,330.5,45
1,46,792.842105263,330.842105263,46
1,47,811.5,332.323529412,47
1,48,842.032258065,330.677419355,48
1,49,830.5,331.5,49
1,50,816.526315789,333.157894737,50
1,51,831.714285714,336.0,51
1,52,814.16,338.08,52
1,53,826.229885057,335.413793103,53
1,54,834.9375,337.375,54
1,55,840.0,337.739130435,55
1,56,819.71875,338.640625,56
1,57,848.214285714,337.642857143,57
1,58,785.65,340.55,58
1,59,836.5,341.222222222,59
1,60,827.263157895,342.631578947,60
1,61,832.909090909,341.636363636,61
1,62,850.913043478,342.260869565,62
1,63,845.0,344.789473684,63
1,64,789.333333333,345.0,64
1,65,822.538461538,345.942307692,65
1,66,828.181818182,348.272727273,66
1,67,833.355555556,348.355555556,67
1,68,786.0,349.0,68
1,69,891.227272727,348.590909091,69
1,70,884.149606299,353.015748031,70
1,71,813.557522124,349.389380531,71
1,72,894.204545455,353.045454545,72
1,73,834.413043478,354.760869565,73
1,74,821.9375,353.6875,74
1,75,812.75,357.25,75
1,76,826.617021277,356.255319149,76
1,77,768.333333333,357.333333333,77
1,78,805.779411765,355.073529412,78
1,79,816.421052632,358.736842105,79
1,80,820.586956522,359.239130435,80
1,81,796.913043478,360.260869565,81
1,82,890.555555556,358.666666667,82
1,83,835.888888889,360.955555556,83
1,84,882.307692308,360.230769231,84
1,85,815.25,363.428571429,85
1,86,851.56,363.96,86
1,87,777.121212121,363.393939394,87
1,88,810.161764706,364.897058824,88
1,89,909.909090909,363.636363636,89
1,90,799.791666667,364.625,90
1,91,831.175824176,364.604395604,91
1,92,772.314285714,366.628571429,92
1,93,792.804878049,366.829268293,93
1,94,821.363636364,367.227272727,94
1,95,838.133333333,368.066666667,95
1,96,845.5,368.5,96
1,97,769.346153846,370.153846154,97
1,98,788.21875,371.84375,98
1,99,823.55,372.6,99
1,100,850.090909091,372.363636364,100
1,101,912.88,372.16,101
1,102,842.566666667,374.266666667,102
1,103,853.0,374.2,103
1,104,869.869565217,373.782608696,104
1,105,776.375,374.1875,105
1,106,838.0,375.0,106
1,107,767.982758621,377.017241379,107
1,108,782.816326531,377.612244898,108
1,109,868.458333333,378.791666667,109
1,110,789.41025641,379.025641026,110
1,111,876.526315789,379.368421053,111
1,112,796.848484848,379.393939394,112
1,113,804.681818182,378.5,113
1,114,838.277777778,381.166666667,114
1,115,862.5,380.772727273,115
1,116,800.230769231,383.0,116
1,117,874.5,385.0,117
1,118,778.961038961,385.714285714,118
1,119,811.451612903,385.193548387,119
1,120,806.909090909,387.590909091,120
1,121,825.0,387.888888889,121
1,122,817.365591398,388.806451613,122
1,123,839.913043478,388.108695652,123
1,124,865.5,390.5,124
1,125,814.060606061,393.666666667,125
1,126,838.666666667,393.644444444,126
1,127,861.909090909,391.909090909,127
1,128,781.980392157,392.411764706,128
1,129,792.545454545,393.931818182,129
1,130,829.473684211,393.394736842,130
1,131,777.5,395.0,131
1,132,797.366666667,397.833333333,132
1,133,783.0,401.5,133
1,134,864.115384615,400.923076923,134
