ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,919.797101449,111.391304348,1
1,2,924.677419355,113.967741935,2
1,3,917.25,117.416666667,3
1,4,922.5,117.714285714,4
1,5,919.222222222,122.698412698,5
1,6,760.19047619,121.523809524,6
1,7,916.9,128.7,7
1,8,914.235294118,131.529411765,8
1,9,924.333333333,137.888888889,9
1,10,697.153846154,142.307692308,10
1,11,697.441860465,149.360465116,11
1,12,912.5,154.0,12
1,13,925.888888889,154.333333333,13
1,14,676.038461538,156.269230769,14
1,15,699.647058824,156.882352941,15
1,16,700.066666667,159.866666667,16
1,17,926.090909091,159.363636364,17
1,18,732.5,160.0,18
1,19,702.301886792,166.641509434,19
1,20,698.045454545,169.272727273,20
1,21,906.083333333,169.25,21
1,22,700.5,173.5,22
1,23,833.5,175.0,23
1,24,829.357142857,176.0,24
1,25,826.461538462,177.615384615,25
1,26,829.0,186.5,26
1,27,834.0,186.2,27
1,28,658.1,194.8,28
1,29,648.833333333,199.5,29
1,30,899.583333333,201.25,30
1,31,835.0,204.0,31
1,32,927.210526316,204.947368421,32
1,33,650.428571429,205.380952381,33
1,34,832.0,208.0,34
1,35,833.7,210.6,35
1,36,659.6,211.35,36
1,37,636.157894737,213.105263158,37
1,38,836.952380952,213.19047619,38
1,39,802.0,216.764705882,39
1,40,704.0,217.636363636,40
1,41,800.090909091,220.363636364,41
1,42,921.5,223.375,42
1,43,696.0625,224.3125,43
1,44,859.135135135,226.243243243,44
1,45,801.529411765,228.117647059,45
1,46,817.436170213,232.776595745,46
1,47,824.118421053,232.315789474,47
1,48,828.705882353,230.882352941,48
1,49,841.210526316,230.789473684,49
1,50,844.333333333,232.75,50
1,51,916.125,232.125,51
1,52,830.722222222,235.722222222,52
1,53,892.219512195,237.073170732,53
1,54,797.04048583,238.995951417,54
1,55,834.36,238.12,55
1,56,917.9375,236.90625,56
1,57,783.587301587,239.301587302,57
1,58,778.153846154,239.384615385,58
1,59,814.407407407,239.185185185,59
1,60,808.653846154,239.115384615,60
1,61,820.3125,240.875,61
1,62,839.410958904,244.246575342,62
1,63,916.5625,242.25,63
1,64,810.744186047,244.302325581,64
1,65,817.923076923,242.615384615,65
1,66,824.875,243.21875,66
1,67,762.5,244.0,67
1,68,779.772727273,244.272727273,68
1,69,815.466666667,244.666666667,69
1,70,604.0,246.0,70
1,71,786.045454545,246.954545455,71
1,72,724.111111111,246.333333333,72
1,73,911.106060606,249.136363636,73
1,74,820.027777778,247.388888889,74
1,75,758.892857143,249.5,75
1,76,764.703703704,251.314814815,76
1,77,824.5,249.0,77
1,78,852.5,249.5,78
1,79,814.043478261,251.869565217,79
1,80,819.5,252.166666667,80
1,81,754.625,251.75,81
1,82,858.952380952,252.428571429,82
1,83,883.547619048,253.297619048,83
1,84,825.214285714,256.19047619,84
1,85,878.0,254.275862069,85
1,86,809.909090909,255.363636364,86
1,87,863.787234043,255.382978723,87
1,88,902.583333333,255.291666667,88
1,89,747.588235294,255.823529412,89
1,90,792.75,256.583333333,90
1,91,750.333333333,258.533333333,91
1,92,807.045454545,259.272727273,92
1,93,816.740740741,259.037037037,93
1,94,797.642857143,258.5,94
1,95,852.127272727,261.436363636,95
1,96,859.0,261.5,96
1,97,727.5,262.5,97
1,98,842.0,262.0,98
1,99,892.529411765,262.117647059,99
1,100,722.820512821,263.743589744,100
1,101,839.3,263.4,101
1,102,798.491803279,263.540983607,102
1,103,728.166666667,265.916666667,103
1,104,794.965517241,264.931034483,104
1,105,830.058823529,266.617647059,105
1,106,850.8,266.0,106
1,107,825.823529412,265.764705882,107
1,108,844.894736842,265.921052632,108
1,109,866.338028169,269.718309859,109
1,110,781.675324675,269.051948052,110
1,111,895.653846154,268.384615385,111
1,112,847.6875,268.75,112
1,113,817.323308271,271.586466165,113
1,114,851.411764706,269.882352941,114
1,115,721.461538462,271.153846154,115
1,116,726.772727273,274.196969697,116
1,117,794.47826087,271.52173913,117
1,118,803.933333333,271.8,118
1,119,884.639344262,272.147540984,119
1,120,891.08,270.56,120
1,121,789.25,271.625,121
1,122,847.142857143,272.642857143,122
1,123,874.280898876,277.129213483,123
1,124,880.739130435,269.956521739,124
1,125,896.8,272.0,125
1,126,775.636363636,272.909090909,126
1,127,824.666666667,272.375,127
1,128,712.8,275.0,128
1,129,893.055555556,275.222222222,129
1,130,752.090909091,275.818181818,130
1,131,829.967741935,275.806451613,131
1,132,804.5,277.0,132
1,133,866.731707317,279.682926829,133
1,134,884.956521739,276.869565217,134
1,135,763.333333333,278.25,135
1,136,852.259259259,278.62962963,136
1,137,816.214285714,279.547619048,137
1,138,840.818181818,279.818181818,138
1,139,881.466666667,280.133333333,139
1,140,722.606060606,281.454545455,140
1,141,727.461538462,282.230769231,141
1,142,758.615384615,280.615384615,142
1,143,788.380952381,280.571428571,143
1,144,740.333333333,280.37037037,144
1,145,703.5625,283.625,145
1,146,713.0,282.5,146
1,147,747.0,282.631578947,147
1,148,848.8,282.64,148
1,149,708.121212121,283.666666667,149
1,150,842.475,283.95,150
1,151,861.575,290.29375,151
1,152,520.230769231,286.461538462,152
1,153,729.328571429,290.542857143,153
1,154,743.5625,286.125,154
1,155,808.0,286.5,155
1,156,818.192307692,286.730769231,156
1,157,868.916666667,286.708333333,157
1,158,756.5,287.222222222,158
1,159,852.40397351,291.543046358,159
1,160,858.25,287.875,160
1,161,710.621621622,290.405405405,161
1,162,751.280701754,288.578947368,162
1,163,844.1875,288.3125,163
1,164,878.125,288.875,164
1,165,795.033333333,290.266666667,165
1,166,869.272727273,290.727272727,166
1,167,757.5,291.285714286,167
1,168,790.25,290.5625,168
1,169,822.0,291.5,169
1,170,881.875,290.875,170
1,171,891.615384615,291.384615385,171
1,172,798.733333333,291.866666667,172
1,173,705.52173913,294.043478261,173
1,174,766.76344086,291.548387097,174
1,175,834.009345794,291.345794393,175
1,176,747.28,293.64,176
1,177,811.888888889,294.555555556,177
1,178,792.1875,296.234375,178
1,179,624.294117647,295.882352941,179
1,180,821.321428571,296.25,180
1,181,877.615384615,296.384615385,181
1,182,711.107142857,297.678571429,182
1,183,749.473684211,297.289473684,183
1,184,849.75,299.680555556,184
1,185,833.6,298.3,185
1,186,755.583333333,299.291666667,186
1,187,816.0,298.875,187
1,188,717.741258741,301.615384615,188
1,189,731.052631579,300.526315789,189
1,190,789.610169492,301.627118644,190
1,191,804.314049587,300.148760331,191
1,192,828.652173913,299.043478261,192
1,193,735.5,300.5,193
1,194,744.0,300.083333333,194
1,195,865.024390244,301.268292683,195
1,196,888.586206897,301.517241379,196
1,197,798.565217391,301.826086957,197
1,198,818.95,301.9,198
1,199,826.898550725,306.427536232,199
1,200,840.7,304.314285714,200
1,201,848.588235294,304.735294118,201
1,202,584.908045977,306.471264368,202
1,203,740.225806452,305.548387097,203
1,204,770.2,305.5,204
1,205,812.769230769,305.538461538,205
1,206,715.730769231,309.576923077,206
1,207,777.347826087,306.869565217,207
1,208,796.23255814,306.23255814,208
1,209,781.513274336,312.977876106,209
1,210,802.971428571,308.485714286,210
1,211,809.076923077,307.884615385,211
1,212,831.166666667,306.5,212
1,213,837.909090909,307.636363636,213
1,214,869.032258065,307.241935484,214
1,215,722.40625,309.6875,215
1,216,728.5,308.75,216
1,217,739.6,308.96,217
1,218,856.047619048,308.19047619,218
1,219,590.25,311.375,219
1,220,757.056603774,310.037735849,220
1,221,773.578947368,310.105263158,221
1,222,768.56,310.04,222
1,223,796.950819672,314.0,223
1,224,853.384615385,311.615384615,224
1,225,878.366666667,310.5,225
1,226,792.7,312.15,226
1,227,593.090909091,313.363636364,227
1,228,743.923076923,312.0,228
1,229,811.716666667,313.183333333,229
1,230,823.785714286,314.107142857,230
1,231,847.823529412,313.882352941,231
1,232,864.318181818,314.090909091,232
1,233,752.045454545,314.863636364,233
1,234,788.571428571,316.510204082,234
1,235,804.515151515,314.666666667,235
1,236,737.705882353,316.323529412,236
1,237,887.217391304,317.043478261,237
1,238,729.391752577,316.958762887,238
1,239,832.777777778,317.5,239
1,240,866.2,317.8,240
1,241,900.0,316.8,241
1,242,798.236363636,319.672727273,242
1,243,822.766666667,318.6,243
1,244,829.153846154,320.153846154,244
1,245,843.126315789,318.421052632,245
1,246,749.975308642,319.333333333,246
1,247,855.163522013,325.144654088,247
1,248,736.5,321.75,248
1,249,746.916666667,322.333333333,249
