ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,912.8,231.5,1
1,2,915.642857143,234.785714286,2
1,3,894.714285714,254.5,3
1,4,898.894736842,253.631578947,4
1,5,895.090909091,258.363636364,5
1,6,918.761904762,259.380952381,6
1,7,895.666666667,264.111111111,7
1,8,917.714285714,263.5,8
1,9,920.714285714,265.071428571,9
1,10,901.888888889,265.888888889,10
1,11,902.6,269.6,11
1,12,909.714285714,280.5,12
1,13,923.03030303,301.090909091,13
1,14,877.0,306.5,14
1,15,880.2,307.4,15
1,16,920.322580645,306.870967742,16
1,17,871.444444444,309.722222222,17
1,18,904.375,312.1875,18
1,19,869.75,314.5,19
1,20,900.733333333,320.933333333,20
1,21,896.916666667,323.104166667,21
1,22,904.5,324.5,22
1,23,881.677419355,325.193548387,23
1,24,890.166666667,327.083333333,24
1,25,909.0,328.047619048,25
1,26,900.85,330.85,26
1,27,883.25,332.05,27
1,28,929.875,331.875,28
1,29,904.083333333,334.416666667,29
1,30,889.294117647,338.852941176,30
1,31,907.333333333,338.8,31
1,32,849.8,339.56,32
1,33,900.642857143,342.0,33
1,34,863.0,348.5,34
1,35,884.305555556,349.111111111,35
1,36,865.866666667,350.666666667,36
1,37,896.25,352.125,37
1,38,873.105263158,353.631578947,38
1,39,880.276595745,353.29787234,39
1,40,865.75,354.333333333,40
1,41,890.75,358.333333333,41
1,42,984.733333333,363.2,42
1,43,981.0,365.0,43
1,44,912.0625,366.0625,44
1,45,920.133333333,366.933333333,45
1,46,861.833333333,367.722222222,46
1,47,850.5,369.0,47
1,48,917.25,369.25,48
1,49,921.047619048,370.619047619,49
1,50,916.294117647,372.705882353,50
1,51,906.153846154,372.692307692,51
1,52,910.263888889,378.027777778,52
1,53,897.714285714,382.5,53
1,54,847.3125,383.0625,54
1,55,907.444444444,388.111111111,55
1,56,878.65625,401.546875,56
1,57,884.5,404.272727273,57
1,58,868.466666667,405.666666667,58
1,59,852.454545455,408.181818182,59
1,60,881.235294118,408.0,60
1,61,895.5,408.035714286,61
1,62,847.928571429,412.857142857,62
1,63,872.923076923,412.0,63
1,64,877.857142857,412.071428571,64
1,65,889.047619048,413.666666667,65
1,66,847.2,417.9,66
1,67,866.2,418.55,67
1,68,881.1,418.6,68
1,69,877.461538462,428.615384615,69
1,70,855.565217391,430.608695652,70
1,71,877.5,436.8,71
1,72,736.68,445.68,72
1,73,747.428571429,449.428571429,73
1,74,714.0,464.0,74
1,75,735.391304348,465.869565217,75
1,76,732.970588235,469.088235294,76
1,77,761.954545455,471.136363636,77
1,78,717.264705882,473.558823529,78
1,79,766.034482759,476.724137931,79
1,80,722.125,481.875,80
1,81,678.8,484.066666667,81
1,82,756.384615385,484.384615385,82
1,83,727.40625,485.46875,83
1,84,680.95,489.75,84
1,85,665.447368421,490.657894737,85
1,86,669.68,495.76,86
1,87,759.4,501.4,87
1,88,672.685714286,503.542857143,88
1,89,735.588235294,501.411764706,89
1,90,742.5,503.5,90
1,91,764.53125,507.34375,91
1,92,746.47826087,508.086956522,92
1,93,673.5,509.777777778,93
1,94,719.944444444,511.666666667,94
1,95,780.913043478,512.739130435,95
1,96,788.0,516.5,96
1,97,757.4,517.4,97
1,98,755.0,522.12,98
1,99,770.05,523.85,99
1,100,795.5,522.5,100
1,101,627.671641791,528.23880597,101
1,102,718.0,533.5,102
1,103,700.454545455,535.424242424,103
1,104,711.529411765,534.823529412,104
