X,Y
979.3823529,108.9705882
944.84,139.72
950.875,140.5
811.8,201.5
811.8181818,205.2727273
848.1809524,210.6952381
905.5,208.7142857
817.275,209.55
813.2222222,210.3888889
909.9333333,211.16
956.9861111,212.8194444
984.5862069,213.5517241
911.6666667,217.1428571
980.7857143,217.3571429
793.9375,218
809.9090909,220.6363636
824.0909091,220.9090909
794.6,222.4
953.8043478,222.3913043
976,222
926.68,224.5
825.8823529,225
882.3939394,225.7878788
914.5135135,225.7837838
943.969697,223.8181818
938.4545455,226.8181818
980.3684211,227
955.5909091,227.9545455
959.6,230.4
1013,230
917.7272727,231.7272727
785.8431373,233.627451
957.875,236.6666667
962.25,237.6875
919.6153846,240.2307692
866,243.92
952.5,243
926.4117647,244.9411765
898.0625,244.9583333
895.0909091,250.5909091
911.1363636,249.6363636
983.56,250.08
848.6333333,251.1666667
886.6086957,252.0869565
965.9333333,251.7333333
903.8571429,253.6666667
899.2272727,253.6818182
877,254.7
915.968254,255.7936508
919.8333333,256
967.1904762,256.047619
900.5,258
963.5454545,258.9090909
927,260
886.3333333,261.1111111
995.5416667,262.375
874.2209302,261.8372093
964.3,264.2857143
951.1466667,263.2933333
882.3875,266.425
1041.625,265
983.5,265.8076923
886.08,272.32
891.2068966,272.0689655
900.1071429,271.7142857
854.5,275
913.8,275
928.1034483,275.4827586
899.25,276.4166667
910.3333333,277
981.6326531,277.7142857
988.5050505,279.6767677
862.3636364,280
946.3333333,280.1111111
956.6666667,281.2083333
924.2173913,282.173913
859.52,284.4
943.625,284.25
962.4220779,287.5584416
995.0277778,284.4027778
882.3448276,284.7241379
899,284.8571429
955.2307692,285.8461538
987.7692308,287.0769231
952.1578947,290.6315789
990.9642857,290.8928571
956.030303,292.7272727
1006.341463,292.3170732
1048,293.5
908.3684211,299.2631579
780.5,300
958.4893617,301.0638298
905.2,302
936.7826087,300.7826087
873.1348315,306
881.7333333,304.9111111
919.5128205,302.5384615
991,304
822.1176471,304.372549
842.1052632,304.6491228
942.24,307.7066667
888.875,304.7321429
904.1666667,307.2222222
952.7906977,307.0465116
990.8823529,308.4117647
948,308.3333333
941.9411765,312.9705882
991.25,313.55
827.88,312.7
948.9411765,314.0588235
970.5625,314.3125
974.0208333,320.5208333
939.5072464,320.057971
988.2,320.275
818.6,321.6
1048.090909,321.3636364
897.1176471,324.5882353
910.125,323.875
993.2,325.4333333
902.76,325.8
938.0194175,331.0485437
947.8378378,329.981982
891.2337662,329.1168831
904.6,329.6
927.6,328.6
945.9166667,331.9166667
840.4563107,335.4660194
988.1578947,332.5789474
992.3571429,331.7857143
831.9866667,332.6533333
848.5166667,332.3166667
960.1111111,334.3333333
854.3103448,335.0172414
966.2962963,335.5925926
869.9393939,336.6363636
969.125,336.75
981.3684211,336.7894737
986.483871,336.9677419
911.52,338.4
973.3684211,337.6842105
963.9333333,339.6
956.6666667,340.2666667
977.1428571,340.0952381
868.2142857,340.7857143
834.75,342.5
847.8571429,340.6326531
931.6237624,344.9504951
981.7105263,342.2105263
989.5526316,343.8947368
846.6666667,346.8055556
855.7608696,344.0217391
914.9090909,344.1818182
942,343.6333333
839.6491228,344.9824561
997.1212121,344.8787879
1004.305556,343.6388889
888.9411765,348.5882353
908.0689655,348.5862069
946.7460317,346.9047619
832.3076923,349.9230769
842.6,349.9428571
838.0333333,352.6333333
938.5268817,350.9569892
953.952381,352.452381
981.6376812,354.6086957
986.6923077,352.7692308
976.0612245,351.9387755
930.6428571,354.9285714
971.9722222,354.25
917.66,355.7
959.8,356.5
846.75,357.4375
934.6363636,358.5454545
841.5,357.5
926,356.8181818
950.9230769,360.9230769
943.2409639,360.4096386
921.8571429,360.9285714
926.6,361.4
902.7536232,362.5362319
938.5,362.1875
747,362.2368421
897.0769231,362.8461538
894.1333333,365.3
935.6904762,365.0238095
1026.117647,364.5882353
845.7697368,369.4473684
916.375,366.25
882.4375,367.625
841.1,370
939.8571429,369.8095238
1027.645161,369.3548387
838.45,371.65
930.0909091,370.0909091
613.2566372,371.0442478
943.8181818,371.2727273
973.1764706,370.5588235
612.3333333,375.6666667
831.3684211,374.5263158
1038.74359,373.7179487
910.8878505,373.6915888
941.8095238,375.1428571
955.5714286,376.5714286
861,377
888.2857143,377.5428571
982,379
950.2058824,381.3137255
958.9545455,380.5227273
966.1111111,380.0555556
835.7333333,381.88
976,381
971.9736842,379.7894737
960.6,384.7
888.4262295,386.6065574
955.9333333,385.2666667
980.4166667,385.25
904,385.5
929.5,387.328125
947.2280702,387.1403509
897.7076923,388.1846154
1043.5625,389.25
964.5135135,389.027027
960.1931818,393.5454545
977.5135135,391.3243243
967.9859155,396.084507
572.8888889,394.3333333
951.8764045,395.8988764
957.5666667,398.5333333
845.7272727,397.1212121
936.862069,397.4827586
972.6666667,400.2222222
851.625,399.625
863.5882353,400.8823529
828.5,402
854.5192308,404.2692308
913.7894737,403.3684211
942.9210526,402.2368421
867.1034483,403.4482759
899.3571429,403.7857143
918.6153846,404.3846154
881.84,406.16
858.1086957,408.5217391
875.6770833,408.5729167
552.5,409.2857143
846.7692308,409.1538462
863,411.3333333
904.0714286,409.8571429
909.5,409.5
937.25,409.7
872.1034483,413.137931
848.5333333,413.3333333
841.9846154,414.9846154
894.12,414.76
860.6585366,416.2439024
942.0862069,414.9137931
830.3243243,417.6756757
930.8421053,417.8421053
836.9230769,420.1923077
943.7708333,423.1041667
857.1363636,419.9090909
871.5,419.5
817,424
843.3283582,424.9701493
849.6666667,424.75
795.6363636,426.4545455
