X	Y
0	0
0	6000
6000	0
6000	6000
1021.901961	15.68627451
1019.179487	20.69230769
1036.366667	19.5
963.53125	23.40625
1030.771084	22.74698795
1000.12069	23.87931034
1007.368421	25.63157895
1041.528302	25.77358491
1048.708333	27.875
1044.5	30.1875
1046.8	32.97142857
975.875	31.125
950	33
996.5833333	33.16666667
971.6	35.3
943.9545455	36.22727273
1053.733333	35.8
968.2142857	37.28571429
938.8095238	38.42857143
1050.181818	39.40909091
935.137931	40.51724138
1016.8	40
1020.884615	42.15384615
941.5714286	41.66666667
975.3076923	41.61538462
972.2916667	44.375
977.9583333	43.79166667
981.9	43.8
920.2083333	45.375
961.84375	46.71875
978.5882353	48
1018.619048	46.33333333
1053.172414	47.27586207
1021.157895	50.15789474
902.2985075	52.43283582
992.5	52.27272727
993.6470588	55.23529412
1028.941176	57.85294118
950.2352941	58.64705882
874.9090909	61.63636364
918.5	63.2
977.5789474	65.31578947
1032.891892	62.18918919
918.1111111	66.11111111
1030.264706	66.82352941
1039.186667	66.52
920.7692308	68.76923077
867.1707317	70.82926829
1020.533333	71.13333333
1025.647059	73
1040.944444	73.16666667
853.4285714	74.80952381
1046	74.625
1050.5	75.5
858.3636364	76.63636364
911	76.63157895
995.1304348	78.7826087
846.3859649	79.38596491
1055.292683	78.7804878
991.5	80.71428571
855.4444444	83.2
1008.25	83.33333333
1042.342857	82.8
1048.25	82.875
991.3125	84.1875
995.3571429	83.28571429
996.5714286	86.85714286
833.9090909	90.36363636
1025.121951	93.02439024
820.1904762	95.28571429
843.5	95.2
1017.125	95.625
802.8095238	97.76190476
806	98
1024.866667	97.4
835.4375	98.75
905.8181818	99.72727273
842.0714286	98.67857143
822.6206897	101.8448276
869.2	101.55
838.2	102
965.125	103.125
827.2222222	104.7777778
810.0666667	105.7333333
834.7419355	106.7419355
789.0238095	107.0714286
952.0625	107.3125
782.2222222	110.5925926
951.5	110.5
866.6666667	111.2222222
869.9230769	113.3076923
799.2465753	114.369863
915.2	116.5
875.2	117.1333333
867.25	117.05
871.4210526	119.3157895
874.5	121.5
1062.136364	121.8863636
780.3333333	128.1111111
851.8571429	128.1904762
834.7419355	129.7419355
759.5185185	130.2037037
840.12	129.24
856.2857143	130.2380952
852.6363636	131.9090909
896.3333333	132.3333333
1027.571429	134.7857143
986.1904762	137.1904762
774.125	138
1054.5	138.8181818
983.8	139.9
1020	139.5
764.7096774	141.2903226
760.3023256	143.6511628
787.96875	145.09375
1046.24	144.36
839.8095238	146.0952381
1052.055556	144.6111111
797.1636364	149.2909091
1048.588235	148.7058824
786.3333333	149.0833333
728.3023256	156.2790698
1049.354839	153.7741935
706.3157895	156.8157895
703.3157895	159.8421053
1050.458333	158.375
694.7070707	163.6161616
834.7017544	163.3684211
990.125	168.125
842.125	170.125
947.4375	171
830.1333333	172.8
1057.5	172.5714286
763.7903226	175.8225806
685.047619	176.3650794
829.6666667	176.3888889
678.6976744	178.6744186
628	181
968.2380952	181.7619048
795.6734694	182.5918367
970.2666667	184.2
710.8888889	184.6444444
795.6666667	187.7222222
659.1136364	187.2727273
654.875	188.9166667
1049.860465	192.0232558
740.2	193.7
939.875	192.5
1043.125	193.5
660.7857143	193.1071429
940.8	195.5
741.6153846	196.3846154
696.8666667	197.5333333
727.3571429	198.7857143
819.0192308	199.75
731.1923077	201.1923077
823.7857143	202.7857143
634.3	203.7
1059.548387	205.5806452
1053.029412	207.3823529
644.3548387	207.0967742
619.5777778	208.9777778
783.5	209
641	210.5
983.6315789	211
613.25	211.975
757	213.375
608	213
674.244898	216.0408163
925.6666667	216.9166667
1054.263158	217.2631579
601.8461538	218
609.5595238	217.797619
754.0526316	217.2105263
757.6923077	218.3076923
597.875	219.3333333
735.8235294	218.5588235
652.1147541	221.1967213
778.6666667	222.8888889
872	225
626.2857143	226.6031746
995.3529412	225.9411765
604.4782609	228.0869565
1046	231
588.7333333	234.25
910.7692308	234.7692308
578.3846154	236.6153846
997	236.1538462
919.7058824	238.2941176
908.5	239.5
931.3448276	240.1896552
936.875	238.5
999.5555556	238.5555556
905	240
997.1818182	239.9090909
577.9130435	240.7391304
709.5384615	240.6538462
606.8	242.8
918.1428571	243.7142857
1055.153846	244.4615385
925	247.5
938.7391304	246.8913043
1050.837838	249.3648649
575.1204819	253.0722892
950.125	249.125
983.125	249.125
937.1818182	252.1818182
932.5641026	249.5641026
948.9090909	252.3636364
941.5	252.5
630.8461538	254.4615385
929.625	254.25
928.9285714	257
946.1111111	256.2777778
637.0769231	260.4871795
919.5714286	260.7142857
723.6888889	261.1111111
867	262.6923077
547	265.8
660.8958333	267.7083333
948.6666667	268.5555556
725	271.3333333
659.6	274.4
662.7	274.2
647.4074074	273.7407407
542.9333333	276.15
895.3529412	276.2352941
975.55	276.75
572	276.5
725.2592593	276.4074074
739.1111111	277.3333333
678.6585366	279.1219512
980.125	278.25
847.7307692	278.9615385
948.4666667	281.3333333
583.3333333	284.8
739.7857143	283.9285714
945.90625	284.46875
830.6578947	286.3157895
641.3636364	286.4545455
581.8	288.3
916.8852459	289.3278689
640	289.6470588
675.6521739	289.9565217
1004.8	291.15
519.8846154	291.8076923
629.6481481	292.7037037
949	292.1052632
837.8125	294.0625
745.5	294.75
954.1	295.5333333
843.0731707	296.0487805
642.8979592	296.0204082
833.6631579	296.2842105
514.6944444	299.7777778
746.2	298.56
844.1304348	300.1304348
963.75	299.5
713.6666667	299.8611111
802.1764706	301.7647059
967.1333333	300.6
811.5	301.5
644.0833333	304.5833333
1000.128205	305.2307692
566.125	306.125
646.8	306.5
953.25	306.7826087
994.3636364	306.4545455
510.7027027	309.1486486
525.452381	305.6666667
587.7083333	306.2083333
532.6363636	307.4848485
634.8421053	309.8421053
997.0833333	308.75
1022.147059	308.2352941
526.6875	310.6875
553.625	314
706.875	314.125
761.5	314.5
557.3793103	315.2758621
814.5	314.5
846.6086957	315.6521739
951.5652174	314.6521739
956.1176471	315.6764706
851.3846154	315.6153846
523.875	317.125
648.625	317.425
500.1315789	318.1578947
695.4642857	318.3214286
721.6	318.45
534.7777778	319.6666667
598.6363636	319.2727273
514.7272727	320.7575758
651.779661	322
693.0869565	320.4347826
816	320.25
821.6956522	320.4347826
520.25	321.1875
726.5	321.3703704
540.5	323.2
600.6363636	323.0909091
953.2242991	324.0747664
502.8918919	323.8378378
