X,Y
913.5625,86.75
915.1176471,90.64705882
770.1538462,124.25
843.5090909,131.8727273
743.0972222,155.5972222
746.5555556,163.5555556
748,167
749.625,169.75
860.875,183.875
710.6666667,188.4
919,192
921.3333333,194.3333333
715.2105263,197.4473684
926.0789474,199.0526316
909.3103448,210.0689655
919.2075472,209.1415094
901.7368421,211.5263158
925.8035714,214.3392857
890.8641975,215.7160494
848.5454545,216.8181818
780.1538462,227.3974359
806.8888889,226.6666667
845.1176471,229.4117647
840.3125,233.1875
934.4545455,238.4545455
716.6428571,239.7857143
931.64,241.08
927.8372093,246.3023256
834.1363636,245.2272727
704.5,245.5
708.4615385,247.6153846
923.9130435,251.3913043
893.125,250.875
923.8461538,255.7692308
898.8,257.5
771.7,260.3
811.6153846,271.6153846
880.5555556,272.3333333
795.125,273.125
768.5833333,273.1944444
771.9047619,275.3809524
850.1333333,280.4666667
619.5675676,283.3783784
826.7692308,282.7435897
548.3157895,284.6842105
844.3766234,283.4805195
824.2083333,286.5416667
837.2222222,286.5
553.5833333,287.1666667
635.8292683,285.5853659
830.2666667,287.4666667
768.04,288.36
802.3043478,290.7826087
563.5,292
829.9615385,292.5
584.9375,290.6875
836.8181818,296.2727273
787.4666667,299.6666667
832.4117647,299.7352941
845.6206897,300.3448276
862.5,301.2
848.5625,302.75
850.3333333,306.0833333
846.7222222,307.1666667
787.0833333,307.1666667
889.125,309.125
793.375,309.375
810.6964286,313.2142857
831.0769231,310.8461538
842.2,311.7142857
652.6153846,311.6153846
805.9583333,314.4583333
837.5454545,315.1818182
834,318.8
784,320
815.5957447,319.6595745
841.9230769,319.5128205
734.4615385,320.6153846
863.75,321.1666667
834.9361702,323.3829787
534.09375,323.0625
781.4146341,325.9512195
809.7272727,323.3090909
819.6333333,327
768.5,327
798.6296296,325.962963
878.125,326.875
791.9902913,323.1067961
868.0833333,328.0833333
808.2,328.6666667
814.7692308,329
825.2857143,329.2571429
790.0181818,334.3909091
797.9259259,332.2037037
717.1296296,331.0925926
818.8070175,336.2280702
828.6666667,333.1111111
871,333.5
879.2,333.2666667
803.2857143,336.2380952
830.5263158,336.6315789
811.8152174,334.6086957
809.0048544,348.5194175
842.71875,339.09375
799.0666667,340.8444444
770,344.5
857.8,344.1333333
800.1793103,350.0896552
792.1724138,344.3793103
794.2,346.9333333
834.6470588,349.2352941
844.3728814,350.1355932
851,350.9183673
757.3137255,352.6078431
