X,Y
912.8461538,231.2692308
915.5789474,235.1052632
971,238.8
898.826087,253.4347826
894.5294118,254.3529412
895.4,258.4
918.5555556,259.4444444
895.8333333,264.3888889
917.5,263.5
920.5294118,265.1176471
901.35,265.95
902.5,269.5833333
910.8888889,274.3333333
910,280.5
923.2,283.1
923.2105263,300.8684211
876.6,306.6
880.5,307.5
920.3333333,307.030303
871.68,309.56
922,311
904.2857143,312.2857143
921.125,314.125
869.7222222,315.2222222
889.1875,319
900.8333333,321.1111111
855.875,323.125
896.7358491,323.1698113
904.7407407,324.4814815
881.3958333,325
890.1290323,326.0645161
857.4117647,327.2352941
909.3076923,328.1923077
889.8,330.9
900.6976744,330.8139535
883.16,331.84
929.5,332.1875
904.0689655,334.5862069
888.9761905,339.2857143
907.5789474,339.1578947
849.7419355,339.6129032
900.9512195,342.0731707
862.8095238,348.7142857
884.3783784,349.0540541
905,350.2
866.1176471,350.7058824
895.9444444,352.1111111
872.78125,354.625
880.5087719,353.6140351
865.5,354.2857143
890.9333333,358.2666667
911.9166667,366.5
920,366.7
862.3666667,368.0333333
850.7619048,369.2857143
916.9,369.1
921.2083333,370.625
915.5714286,372.5357143
906.3809524,372.2380952
846.875,375.125
851.8571429,374.1428571
901.125,377.125
910.326087,377.2608696
847,378
860.6666667,379.5
843.875,380.125
897.6,382.4
847.1666667,382.5833333
865.8888889,385.4444444
860.7857143,387.6428571
907.5555556,388.3333333
890.3333333,393.8888889
896.6666667,394.8095238
872.8888889,397.6666667
878.075,402.0625
884.68,404.36
868.4090909,405.7727273
852.6111111,408.1666667
881.5581395,408.372093
895.3529412,408.0588235
848.2,412.6
872.787234,411.9574468
877.9310345,412.1724138
889.5,413.8333333
847.5263158,418.3684211
866.2142857,418.7142857
880.8928571,418.5
877.3333333,428.6666667
855.6551724,430.7931034
877.75,436.4375
846.5,440.5
736.6071429,445.6428571
747.2916667,449.5833333
741.125,453.875
736.0909091,456.3636364
643.75,463.4166667
714.3846154,464.3846154
754.9090909,464.6363636
736.0333333,465.6333333
722.8,468
715,468.5
732.7435897,469.0769231
761.8484848,471.7272727
717.3,473.225
721.6363636,474.5454545
765.8108108,476.8648649
722.1818182,481.8181818
679.5555556,482.1666667
756.4705882,484.1176471
771,484
678.2105263,485.3684211
727.0512821,485.5384615
681.2413793,490.3448276
665.3555556,490.4444444
669.7037037,495.7777778
759.2352941,501.2352941
672.7659574,503.4680851
735.8,501.56
742.6,503.4
764.5384615,507.4358974
746.3793103,508.2068966
673.8095238,509.952381
719.92,511.56
780.7419355,512.4516129
788.08,516.44
757.25,517.25
736.125,520.875
755.0645161,522.2903226
770,523.7142857
795.5,522.75
713.0909091,525.3636364
627.6266667,528.2933333
718,533.5
700.6097561,535.4390244
710.9655172,534.9310345
653.3333333,536.1111111
623.9183673,538.3265306
704.25,540.3333333
730.5,540.7142857
801.9333333,541.9333333
726.5,542.8
723.4137931,546.862069
651.9090909,546.0909091
646,549.3076923
649.8095238,550
728.2608696,549.1304348
732.2857143,549.5
628.2,550.8
744.68,551.32
693.6363636,553.0909091
734.5185185,553.2962963
622.2173913,555.6956522
649.2142857,555.7142857
766.1818182,555.8181818
859.5,555.7142857
727.4827586,557.4482759
681,558.5
769.0909091,561.3636364
681.4848485,562.6666667
736.4615385,562.6153846
644.3414634,564.5853659
751.5882353,564.1176471
900.3684211,563.7894737
731.2727273,564.7272727
758.2051282,565.0512821
643.9565217,571.0869565
654.7142857,571.5
753.1851852,575.5555556
775.5357143,575.7142857
647.1111111,577.5555556
694.05,578.15
756.7142857,578.6428571
769.9655172,580.1724138
620.6666667,581.5
762.9148936,584.6382979
880.3846154,587
788.0909091,590.3636364
767.7142857,592.5
790.05,594.9
760.2948718,602.0641026
723.8823529,604.4117647
774,609
881.25,611.75
673.4615385,613.1538462
785.3103448,612.6896552
647,613.8
883.5,614.5
856,618
657.5,618.5
806.5,621
636.4,624.4
790.0714286,625.1428571
807.5,624.6
648.1818182,625.5909091
774.1290323,627.2903226
783.6808511,625.5106383
768.7894737,629.7368421
754,632.5
784.7820513,633.525641
767.8,633.8
848.5833333,633.3333333
736.1578947,634.6315789
742.1818182,635.5454545
815.875,639.125
739.5128205,639.3589744
777.04,640.64
793.1818182,639.969697
735.1538462,643.3076923
739.5333333,644.4666667
724.0666667,644.8
775.1111111,645.6666667
778.0909091,646.3636364
736.2162162,649.0540541
722.5526316,649.7368421
787.125,651.125
803.0909091,650.6363636
727.25,652.75
774.5,652.90625
782.5,653.1176471
718.21875,653.90625
718.9705882,660.4117647
723.0666667,658.4666667
774.2857143,659.2857143
742.1428571,658.4285714
752.8,660.7666667
734.5,662.6428571
729,663
773.5625,664.9375
751.1875,665.375
780.0454545,663.6818182
708.9444444,667.3333333
782.047619,667.3333333
797.0909091,666.5
755.7692308,667.8461538
760,668.5
765.2592593,668.3703704
736.9285714,671.7142857
744.7,671.1
661.86,673.28
715.75,672.5909091
709.5,673.0909091
759,673
730.4545455,675
786.0909091,674.0454545
788.1785714,678.0357143
740.9574468,677
783.4705882,678.3529412
733.40625,678.15625
762.6111111,679.8888889
767.875,679.09375
793.5833333,678.75
663.1071429,681.3214286
737.75,681.625
764,683.2083333
753,684.625
787.125,684.7083333
710.3333333,685.4444444
725.5,689.46875
736.245283,689.0943396
753.2,689.3
729.2222222,689.4444444
721.8888889,692.3888889
785.8088235,691.7794118
713.5,694
748.94,692.88
700.4375,695.5875
730.1607143,696.8928571
745.375,695.375
735,696.6666667
779.6,698.7818182
705.8571429,698.5714286
748.3636364,698.6363636
702.8333333,701
734.6153846,700.3846154
773.125,700.125
723.9230769,700.7692308
760.7735849,702.6981132
767.2857143,701
792.8,702.0545455
719.0967742,704.8709677
785.8888889,705.9777778
726.6216216,706.5405405
798.5714286,707
757.825,708.5
748.75,709.875
752.7346939,709.6734694
772.254902,707.4117647
800.2258065,712.0322581
767.4,713.6666667
729.137931,714.3793103
711.7037037,716.7037037
722.65,718.25
799.5,718.5
712.6521739,720.3913043
781.3913043,719.0434783
735.9230769,719.6538462
717.1538462,721.4615385
727.5,722.25
723.4166667,722.3333333
743.8421053,724.1315789
772.6,723.9333333
831.8823529,724.5294118
636.1578947,727.1578947
728.1764706,726.8823529
760,727.3076923
830.4,728.3
644.173913,728.7826087
718.8,728.5
765.72,729.36
773.5,729
755.6410256,730.5384615
