X	Y
0	0
0	6000
6000	0
6000	6000
919.7971014	111.3913043
924.6774194	113.9677419
917.25	117.4166667
922.5	117.7142857
919.2222222	122.6984127
760.1904762	121.5238095
916.9	128.7
914.2352941	131.5294118
924.3333333	137.8888889
697.1538462	142.3076923
697.4418605	149.3604651
912.5	154
925.8888889	154.3333333
676.0384615	156.2692308
699.6470588	156.8823529
700.0666667	159.8666667
926.0909091	159.3636364
732.5	160
702.3018868	166.6415094
698.0454545	169.2727273
906.0833333	169.25
700.5	173.5
833.5	175
829.3571429	176
826.4615385	177.6153846
829	186.5
834	186.2
658.1	194.8
648.8333333	199.5
899.5833333	201.25
835	204
927.2105263	204.9473684
650.4285714	205.3809524
832	208
833.7	210.6
659.6	211.35
636.1578947	213.1052632
836.952381	213.1904762
802	216.7647059
704	217.6363636
800.0909091	220.3636364
921.5	223.375
696.0625	224.3125
859.1351351	226.2432432
801.5294118	228.1176471
817.4361702	232.7765957
824.1184211	232.3157895
828.7058824	230.8823529
841.2105263	230.7894737
844.3333333	232.75
916.125	232.125
830.7222222	235.7222222
892.2195122	237.0731707
797.0404858	238.9959514
834.36	238.12
917.9375	236.90625
783.5873016	239.3015873
778.1538462	239.3846154
814.4074074	239.1851852
808.6538462	239.1153846
820.3125	240.875
839.4109589	244.2465753
916.5625	242.25
810.744186	244.3023256
817.9230769	242.6153846
824.875	243.21875
762.5	244
779.7727273	244.2727273
815.4666667	244.6666667
604	246
786.0454545	246.9545455
724.1111111	246.3333333
911.1060606	249.1363636
820.0277778	247.3888889
758.8928571	249.5
764.7037037	251.3148148
824.5	249
852.5	249.5
814.0434783	251.8695652
819.5	252.1666667
754.625	251.75
858.952381	252.4285714
883.547619	253.297619
825.2142857	256.1904762
878	254.2758621
809.9090909	255.3636364
863.787234	255.3829787
902.5833333	255.2916667
747.5882353	255.8235294
792.75	256.5833333
750.3333333	258.5333333
807.0454545	259.2727273
816.7407407	259.037037
797.6428571	258.5
852.1272727	261.4363636
859	261.5
727.5	262.5
842	262
892.5294118	262.1176471
722.8205128	263.7435897
839.3	263.4
798.4918033	263.5409836
728.1666667	265.9166667
794.9655172	264.9310345
830.0588235	266.6176471
850.8	266
825.8235294	265.7647059
844.8947368	265.9210526
866.3380282	269.7183099
781.6753247	269.0519481
895.6538462	268.3846154
847.6875	268.75
817.3233083	271.5864662
851.4117647	269.8823529
721.4615385	271.1538462
726.7727273	274.1969697
794.4782609	271.5217391
803.9333333	271.8
884.6393443	272.147541
891.08	270.56
789.25	271.625
847.1428571	272.6428571
874.2808989	277.1292135
880.7391304	269.9565217
896.8	272
775.6363636	272.9090909
824.6666667	272.375
712.8	275
893.0555556	275.2222222
752.0909091	275.8181818
829.9677419	275.8064516
804.5	277
866.7317073	279.6829268
884.9565217	276.8695652
763.3333333	278.25
852.2592593	278.6296296
816.2142857	279.547619
840.8181818	279.8181818
881.4666667	280.1333333
722.6060606	281.4545455
727.4615385	282.2307692
758.6153846	280.6153846
788.3809524	280.5714286
740.3333333	280.3703704
703.5625	283.625
713	282.5
747	282.6315789
848.8	282.64
708.1212121	283.6666667
842.475	283.95
861.575	290.29375
520.2307692	286.4615385
729.3285714	290.5428571
743.5625	286.125
808	286.5
818.1923077	286.7307692
868.9166667	286.7083333
756.5	287.2222222
852.4039735	291.5430464
858.25	287.875
710.6216216	290.4054054
751.2807018	288.5789474
844.1875	288.3125
878.125	288.875
795.0333333	290.2666667
869.2727273	290.7272727
757.5	291.2857143
790.25	290.5625
822	291.5
881.875	290.875
891.6153846	291.3846154
798.7333333	291.8666667
705.5217391	294.0434783
766.7634409	291.5483871
834.0093458	291.3457944
747.28	293.64
811.8888889	294.5555556
792.1875	296.234375
624.2941176	295.8823529
821.3214286	296.25
877.6153846	296.3846154
711.1071429	297.6785714
749.4736842	297.2894737
849.75	299.6805556
833.6	298.3
755.5833333	299.2916667
816	298.875
717.7412587	301.6153846
731.0526316	300.5263158
789.6101695	301.6271186
804.3140496	300.1487603
828.6521739	299.0434783
735.5	300.5
744	300.0833333
865.0243902	301.2682927
888.5862069	301.5172414
798.5652174	301.826087
818.95	301.9
826.8985507	306.4275362
840.7	304.3142857
848.5882353	304.7352941
584.908046	306.4712644
740.2258065	305.5483871
770.2	305.5
812.7692308	305.5384615
715.7307692	309.5769231
777.3478261	306.8695652
796.2325581	306.2325581
781.5132743	312.9778761
802.9714286	308.4857143
809.0769231	307.8846154
831.1666667	306.5
837.9090909	307.6363636
869.0322581	307.2419355
722.40625	309.6875
728.5	308.75
739.6	308.96
856.047619	308.1904762
590.25	311.375
757.0566038	310.0377358
773.5789474	310.1052632
768.56	310.04
796.9508197	314
853.3846154	311.6153846
878.3666667	310.5
792.7	312.15
593.0909091	313.3636364
743.9230769	312
811.7166667	313.1833333
823.7857143	314.1071429
847.8235294	313.8823529
864.3181818	314.0909091
752.0454545	314.8636364
788.5714286	316.5102041
804.5151515	314.6666667
737.7058824	316.3235294
887.2173913	317.0434783
729.3917526	316.9587629
832.7777778	317.5
866.2	317.8
900	316.8
798.2363636	319.6727273
822.7666667	318.6
829.1538462	320.1538462
843.1263158	318.4210526
749.9753086	319.3333333
855.163522	325.1446541
736.5	321.75
746.9166667	322.3333333
784.6666667	323.3222222
814.7857143	322.6428571
861.3068182	321.5681818
886.5	322
882.125	322.875
701.9956897	333.2241379
711.7727273	324.7670455
804.5159817	326.086758
839	325
720.7857143	325.7857143
888.7692308	326.2307692
727.5384615	327.6307692
762.2222222	327.5
774.8068182	327.2727273
789.5625	325.96875
817.8888889	326.6666667
832.8461538	327.3076923
866.6153846	327.3846154
724.4666667	330.3333333
743.2	329.5
733.3636364	331.1818182
782.7916667	331.3333333
791.9529412	331.1176471
690.86	332.44
710.75	334.6875
721.2	333
811.1935484	332.1290323
580.0909091	334.3636364
780.375	334.78125
786.05	335.85
797.1	335.2
681	336
714.1	335.8
751.8947368	336
683.5483871	339.0645161
736.5	337.8
807.1318681	338.7912088
871.6111111	339.8777778
877.3235294	338.4117647
767.2727273	340.7662338
783.9411765	340.0588235
737.4117647	341.8823529
755.05	341.6
761.0652174	340.8695652
779.4358974	342.8974359
792.6276596	342.4148936
580.6315789	343.7368421
716.75	344.225
785.9	344.2
808.375	344.375
727.75	344.9166667
798.9090909	345.6363636
805.3846154	347.6153846
819.7142857	346.7857143
864.8	347.3
