X,Y
918.1818182,20.16666667
923.0408163,24.6122449
927.08,22.32
899.4545455,27.18181818
931.5576923,32.07692308
934,41.6875
935.0625,49.9375
861.225,62.175
894.825,62.9
862.8,68.74285714
897.35,71.3
838.375,71.75
899.1818182,79.40909091
800.375,82.34821429
920.3333333,81.66666667
918.125,85.125
793.6818182,87.59090909
833.7777778,86.44444444
921.1111111,86.77777778
903.3,86.3
795.6666667,90.44444444
902.3777778,90.13333333
950.625,96.25
902.4444444,97.83333333
773.375,99.25
927.4457831,98.74698795
792.7916667,100.9166667
798.6666667,105.9166667
903.7692308,106.5384615
793,107.6315789
947.826087,107.8695652
923.2738095,113.1309524
929.2173913,111.173913
902.16,113.28
798.7894737,115.3157895
931.0714286,117.1428571
910.2857143,119
941.5714286,118.0357143
841.5,119.7142857
730.7916667,122.5833333
799.5172414,120.2758621
936.3111111,120.9111111
912,122.5
925.8474576,126.5254237
930.9285714,122.1428571
798.8484848,125.7878788
723.3125,126.7083333
689.6428571,128
695.6792453,129.0566038
946.5,128.5
696.9545455,133.3181818
917.7619048,131.0238095
922.7857143,130.8214286
797.952381,131.6666667
757.6,134.1333333
699.5,136.05
928.6,134.9
798.1463415,139.4146341
700.12,139.88
943.8,139
933.2142857,139.4285714
916.2727273,140.6363636
661.3,141.8
936.6097561,144.195122
952.0196078,144.3921569
941.8,146.6
701.2444444,147.2222222
798.5454545,149.5454545
940.5882353,150.2941176
952.25,150.8333333
915.5,151
928,149.8518519
649.8571429,152.0714286
680.6666667,153.5
693.9166667,153.3333333
701.9583333,153.125
703.82,159.24
640.7272727,156.8484848
870.8,157.3333333
633.9361702,160.1489362
640,162.3333333
653.0625,161.3125
653.4545455,164.1818182
772.6,164.8666667
908.5294118,165.4705882
702.2333333,166.8666667
626.987013,167.974026
930.5384615,167.6153846
707.0724638,169.7971014
925.53125,169.84375
622.0434783,171.6521739
797.625,171.75
633.4545455,174.0454545
627.8684211,176.2368421
616.5135135,176.0810811
621.7454545,178.2545455
644.6666667,175.4444444
647.3333333,176.8888889
709.6363636,176.9090909
610.40625,179.09375
644.875,178.875
636.1724138,180.137931
606.1333333,181.5333333
615.09375,182.59375
664.8333333,181.9166667
628.4761905,182.7142857
619.4444444,184.0555556
634.0606061,184.9393939
607.4193548,186.9193548
624.4642857,186.1428571
925.7333333,185.6
733.8235294,186.7058824
601.6097561,187.9756098
613.7941176,188.5
708.6,188.6333333
619.2807018,190.7192982
629.6842105,189.4736842
778.8846154,191
705.0571429,191.0285714
599.2181818,194.4909091
610.4827586,192.4827586
630.4444444,193.6666667
917.6,193.3
606.2727273,197.5909091
622.2068966,196.7758621
928.875,196.875
924.5,198.5625
584.9130435,198.6956522
594.2,199.8
608.5384615,201.8461538
907.4615385,203.1538462
930.6666667,202.7619048
961.7272727,201.7272727
577.7826087,203.1521739
586,205.6666667
612.5,204.25
574.3333333,207
593.0909091,206.7272727
570.5,207.6428571
625.64,207.84
564.2222222,209.962963
619.2941176,209.8235294
956.6666667,210.0833333
616.0833333,210.8333333
960.2941176,210.9411765
573.1568627,212.8627451
937.3529412,213.0588235
952.375,214.3125
580,214
589.9591837,214.5306122
582.9166667,214.0833333
932.875,215.5
552.875,215.875
941.7,216.25
946.4,215.4
641.9166667,217.1666667
584.3636364,218.7272727
925.1875,220.8125
954.0923077,222.0769231
892.75,220.9166667
546.6363636,221.9090909
552.1463415,222.0243902
960.4339623,221.0754717
804.7619048,223.1428571
561.1111111,225.2222222
638.1818182,225.1818182
552.8095238,227.3809524
617,227.3529412
588,229.5
769.9036145,231.8072289
956.2022472,233.0224719
531.95,232.65
946.875,232.25
554.4354839,233.9354839
764.3333333,232.6666667
602.1403509,234.3684211
943.2857143,233.3571429
938.8333333,235.1111111
526.1,235.95
932.2608696,236.7391304
523,237.5
608.6470588,238.4705882
550.2,239
895.9285714,238.4285714
953.5789474,239.1052632
654,239.8
765.7,240
772.2,238
770.4166667,243
774.65,242.7
859.8333333,242.547619
916.5873016,242.4365079
945.2142857,242.7142857
512.0588235,244.7647059
892.7837838,243.5675676
550.2941176,245.1764706
929.4615385,247.0769231
553.5,248
729.4464286,248.9642857
735.0263158,247.8684211
905.1333333,249
956.24,248.36
544.5555556,249.3333333
727.7647059,251.8823529
510.2105263,250.6842105
530.3,250
723.8125,249
783.1666667,250.9583333
929.7,251.2
806.6049383,251.617284
896.5652174,251.6086957
525.7647059,253.5294118
544,253.2
900.4193548,253.9354839
724.65,257.525
802.9130435,255.7608696
888.9144144,261.9324324
545.125,256.875
954.6363636,257.4090909
814.36,258.68
652,258
499.8,259.76
599,257.0344828
547.8421053,261.2631579
936.6666667,260.5555556
506.5,264.9117647
878.7142857,264.7428571
602.48,265.32
641.2,264.5
952.5185185,264.7777778
479.4545455,268.3636364
490.2222222,267.8888889
724.3181818,270.7045455
798,268.5
882.6923077,271
876.28125,271.09375
481.3125,272.375
501.1666667,271.4333333
815.9090909,271.6363636
833.8823529,272.5882353
948.3488372,271.8372093
496.125,273.125
523,273.1428571
508.5,273.3
718.0116279,276.8604651
488.75,274.75
869.6521739,274.7826087
510.5454545,275.3636364
818.2068966,276.5517241
618.6,276.8
478.34375,277.375
482.21875,278.5625
523.6382979,278.5531915
713,281.6
924.9333333,281.2666667
820.4772727,282.7045455
465.275,282.3
936.1025641,284.5384615
499.8888889,284.7777778
646.75,286.625
839.2692308,285.7307692
819.3960396,290.8910891
891.6666667,286.5333333
821.6470588,288.1176471
455.1714286,290.4285714
500.7222222,289.2777778
509,289
936.2,289.24
627.44,290.56
932.9166667,292.75
940.4615385,292.6153846
467.7058824,291.7058824
471.5588235,293.9411765
646,295.1111111
450.9354839,295.3870968
463.6666667,295.037037
822.1666667,296.5
826.1,297.9
446.6666667,298.4444444
533.5925926,299.1111111
468.757764,303.3602484
587.4137931,300.0344828
754.8571429,300.6666667
724.25,302.15
795.9252669,311.4839858
942.3181818,302.5
459.9642857,305.25
754.4259259,304.037037
534.125,305.875
593.1388889,305.4166667
440.875,307.875
452.75,307.875
905.7913669,311.6258993
455.75,309.125
935.25,308.6
650.6,310
598.4,310.55
783.480315,313.9055118
446.5833333,312.75
774.3076923,313.7179487
644.0416667,315.0416667
433.8974359,316.1538462
481.4705882,317.5294118
773.8333333,317.75
454.1818182,319
643.9565217,320.3804348
940,318.1578947
427.3548387,323.3870968
438.3214286,322.9107143
787.2142857,323.6
793.5555556,324.5555556
854.1528239,335.2192691
762,325.3333333
819.2666667,323.9333333
637.0625,326.375
490,327.5
794.1052632,328.1578947
824.056338,327.2676056
435.1176471,327.2352941
787.6666667,329.3333333
447.3846154,328.6153846
447.6470588,331.5882353
549.9393939,330.3030303
791.9285714,330.8571429
416.1935484,330.2903226
637,332.0909091
502.9090909,333.4545455
706.4482759,333.137931
411.5454545,335.3409091
817.8148148,334.5185185
939.9565217,334.8695652
968.9756098,333.5121951
935.8333333,337
973.7058824,337.4117647
453.75,338
515.0666667,338.6666667
551.6041667,338.25
815.875,339.5
404.7356322,342.7011494
452,340.875
704.6239316,341.5641026
428.875,342.75
812.4285714,341.8571429
825.44,342.4
894.3571429,343.452381
456.9047619,342.5714286
520.2820513,343.4358974
530.75,343.375
641.8611111,340.7777778
617.0833333,346.0833333
638.1,344.7
919.3913043,345.6521739
471,346
636,345.8333333
646.3333333,347.6666667
525.875,348.125
839.0540541,349.2297297
846.8269231,348.5769231
907.6153846,348.1538462
396.5,349.5833333
510.4074074,348.0555556
885.7333333,349.4666667
902.0416667,349.75
983.9285714,350.7857143
628,351.5
906.5,351.2857143
537.125,351.875
888.8529412,353.3823529
987,352
479.9285714,353.8571429
587.5882353,352.9411765
623.5428571,351.9428571
461.5185185,355.4814815
643.4705882,355.1176471
881.5,356.78125
517.5555556,356.8888889
386.25,358.0833333
409.4878049,357.9268293
585.1041667,358.3333333
638.5,358.5
466.6326531,359.9591837
646.2272727,360.8181818
382.7,360.85
714.7727273,362.4545455
743,362.6190476
378.6875,363.9375
424.12,363.56
868.225,373.1840909
883.6153846,366.3461538
638.1111111,364.8888889
985.6956522,364.5217391
470.0740741,366
385.9285714,367.8571429
711.8571429,366.9285714
990.1578947,367.9473684
386,372.7058824
391.6666667,371.5555556
367.4545455,373.3636364
393,374.5384615
894.8219895,378.0471204
827.1111111,375.4722222
929.5614035,377.0877193
873.9047619,378.6666667
937.1666667,378.9583333
1001.888889,378.5555556
913.6666667,378.8888889
363.6571429,379.2857143
478,381.5
939.0833333,382.3333333
943.8,382.1
1002,382.25
404.7380952,384.2380952
861.6666667,384.75
543.875,383.875
361.8421053,385.2631579
369.125,386.125
428.2037037,386.3611111
433.875,386.125
358.1904762,387.4285714
372.4705882,387.6470588
727.6407186,390.0479042
891.5652174,385.826087
377,388.2777778
398.7368421,387.8947368
417.3,388.5
437.6060606,389.3939394
368.1764706,389.7058824
1001.941176,391.6470588
385.8181818,391.3636364
402.125,391.4375
406.2,392.3333333
389.3636364,393.0909091
434.047619,393.6666667
368.6296296,393.2962963
373.3333333,393.5416667
345.4444444,396.8888889
437.8181818,396.5454545
363.8333333,397.9166667
376.7777778,398.6111111
1001.72973,398.2702703
871.3636364,401.5
339.7058824,403
729.7068966,406.9655172
762.4285714,404.3809524
844.4,403.4
1003.733333,405.75
375.3913043,403.7391304
766.38,406.18
379.0666667,405.7333333
495.3846154,405.6153846
391.2307692,406.2307692
698,407.5
723.296875,410.4375
381,409
866.4166667,409.5833333
875.853211,403.1559633
334.2,409.5
411.6666667,408.9166667
871.29,414.97
757,411.9736842
459.5555556,412.8888889
730.7123288,417.739726
331.95,414
763.9827586,415.7758621
977.4444444,416.7777778
727.4736842,417.6315789
869.1111111,417.2222222
749.3571429,418.4285714
977.4117647,419.7647059
775.4,421.6
1000.774194,421.8709677
1005.392857,422.7678571
764.34375,423.625
957.4285714,421.6666667
412.575,421.9
863.2321429,425.5803571
495.75,425.375
374.5,426.8
415.7368421,427.4736842
768.8604651,427.627907
957,426.5
529.7352941,427.6176471
739.5883838,437.1287879
749.6462585,431.9183673
999.2941176,427.2352941
354.0833333,428.9166667
499,429.1666667
760.7804878,431.1463415
778.8,434.175
783.4545455,433.4090909
416.96875,434.0625
792.4032258,438.1935484
861.9473684,436.3157895
1000.272727,435
1012.76,436.12
324,435.8
416.6363636,439.6818182
405.8333333,439.1666667
410.2173913,438.2608696
402.3333333,440.2222222
