ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,806.923076923,261.384615385,1
1,2,821.407407407,296.074074074,2
1,3,796.235294118,315.882352941,3
1,4,836.6875,322.8125,4
1,5,788.648148148,323.740740741,5
1,6,779.741935484,328.483870968,6
1,7,804.454545455,329.181818182,7
1,8,807.485714286,333.257142857,8
1,9,833.103448276,333.724137931,9
1,10,824.268292683,335.43902439,10
1,11,785.692307692,336.615384615,11
1,12,823.444444444,342.333333333,12
1,13,830.25,344.388888889,13
1,14,775.87755102,347.306122449,14
1,15,798.4375,358.25,15
1,16,806.153846154,358.184615385,16
1,17,820.0,360.0,17
1,18,812.130434783,362.239130435,18
1,19,780.490566038,364.58490566,19
1,20,824.875,366.125,20
1,21,782.851851852,370.074074074,21
1,22,794.630769231,367.369230769,22
1,23,813.931506849,369.397260274,23
1,24,764.972972973,375.459459459,24
1,25,788.8,376.6,25
1,26,783.866666667,377.733333333,26
1,27,800.636363636,379.5,27
1,28,814.017241379,378.672413793,28
1,29,778.235294118,381.058823529,29
1,30,787.588235294,381.5,30
1,31,813.796610169,386.406779661,31
1,32,802.318181818,388.045454545,32
1,33,785.641025641,390.948717949,33
1,34,801.276595745,395.531914894,34
1,35,797.595238095,691.642857143,35
1,36,725.963636364,699.218181818,36
1,37,1051.82608696,702.760869565,37
1,38,803.916666667,704.083333333,38
1,39,1053.33333333,710.444444444,39
1,40,793.6875,721.208333333,40
1,41,762.072727273,719.3,41
1,42,773.657534247,723.273972603,42
1,43,767.882352941,726.147058824,43
1,44,1058.53846154,727.769230769,44
1,45,730.961538462,726.076923077,45
1,46,762.678571429,726.785714286,46
1,47,772.7,729.9,47
1,48,769.384615385,731.307692308,48
1,49,764.543478261,732.847826087,49
1,50,779.618421053,736.236842105,50
1,51,744.142857143,738.232142857,51
1,52,744.260869565,742.47826087,52
1,53,718.418604651,741.906976744,53
1,54,810.146341463,743.317073171,54
1,55,726.230769231,745.523076923,55
1,56,715.740740741,748.87037037,56
1,57,722.032258065,749.258064516,57
1,58,755.045454545,751.681818182,58
1,59,705.246753247,751.415584416,59
1,60,711.504854369,757.54368932,60
1,61,728.925373134,754.462686567,61
1,62,722.24,757.88,62
1,63,704.375,758.75,63
1,64,701.618181818,763.890909091,64
1,65,662.653846154,764.846153846,65
1,66,784.038461538,771.692307692,66
1,67,740.125,781.541666667,67
1,68,790.693877551,782.142857143,68
1,69,798.818181818,784.113636364,69
1,70,790.352941176,787.294117647,70
1,71,793.857142857,785.428571429,71
1,72,724.28,788.32,72
1,73,729.586206897,791.034482759,73
1,74,739.162790698,791.930232558,74
1,75,733.913043478,793.652173913,75
1,76,745.4,794.6,76
1,77,718.31147541,797.278688525,77
1,78,719.363636364,801.5,78
1,79,724.055555556,802.361111111,79
1,80,735.785714286,807.714285714,80
1,81,741.082191781,806.890410959,81
1,82,780.78125,811.625,82
1,83,712.428571429,818.214285714,83
1,84,685.217391304,826.086956522,84
1,85,734.188405797,824.884057971,85
1,86,729.452380952,828.904761905,86
1,87,697.666666667,839.0,87
1,88,680.0,842.2,88
1,89,729.106382979,863.723404255,89
1,90,639.931372549,874.745098039,90
1,91,648.0,881.166666667,91
1,92,634.290909091,885.127272727,92
1,93,629.346153846,885.038461538,93
1,94,640.166666667,890.261904762,94
1,95,659.388888889,892.75,95
1,96,750.477272727,903.204545455,96
1,97,726.348837209,906.488372093,97
1,98,685.714285714,907.5,98
1,99,653.4,910.04,99
1,100,761.6,911.571428571,100
1,101,651.318181818,915.409090909,101
1,102,764.736842105,916.105263158,102
1,103,647.671052632,922.815789474,103
1,104,692.428571429,926.321428571,104
1,105,651.023529412,931.070588235,105
1,106,834.272727273,930.151515152,106
1,107,808.888888889,931.888888889,107
1,108,648.058823529,934.529411765,108
1,109,748.794871795,934.025641026,109
1,110,820.316546763,933.611510791,110
1,111,721.866666667,936.666666667,111
1,112,648.483333333,939.866666667,112
1,113,757.0,938.903225806,113
1,114,810.571428571,941.163265306,114
1,115,693.076923077,943.307692308,115
1,116,738.75,943.416666667,116
1,117,781.28,945.6,117
1,118,803.972972973,946.27027027,118
1,119,859.636363636,945.654545455,119
1,120,647.338235294,946.426470588,120
1,121,642.854545455,951.072727273,121
1,122,733.5625,949.15625,122
1,123,726.185185185,950.555555556,123
1,124,715.282608696,950.369565217,124
1,125,742.5,950.8,125
1,126,868.72972973,950.72972973,126
1,127,639.916666667,955.166666667,127
1,128,716.85,954.4,128
1,129,769.4,952.575,129
1,130,760.310344828,956.448275862,130
1,131,712.34,960.28,131
1,132,852.12195122,963.536585366,132
1,133,637.8125,967.75,133
1,134,684.088888889,968.288888889,134
1,135,697.266666667,968.333333333,135
1,136,724.346938776,967.010204082,136
1,137,753.896551724,971.172413793,137
1,138,850.675675676,973.202702703,138
1,139,728.6,975.84,139
1,140,734.523809524,976.380952381,140
1,141,855.783333333,975.583333333,141
1,142,673.866666667,976.5,142
1,143,787.481481481,977.333333333,143
1,144,641.806451613,978.096774194,144
1,145,829.822033898,978.576271186,145
1,146,761.333333333,979.888888889,146
1,147,673.676923077,981.984615385,147
1,148,712.5,981.206896552,148
1,149,722.228915663,981.626506024,149
1,150,707.393939394,985.878787879,150
1,151,716.612903226,986.838709677,151
1,152,766.586956522,994.391304348,152
1,153,831.125,995.333333333,153
1,154,691.888888889,997.666666667,154
1,155,813.188679245,1002.67924528,155
1,156,628.92,1004.6,156
1,157,653.75,1002.75,157
1,158,630.0,1019.71875,158
1,159,741.818181818,1023.81818182,159
1,160,744.483870968,1032.77419355,160
1,161,732.913043478,1044.08695652,161
1,162,726.811320755,1048.73584906,162
1,163,749.0,1048.54545455,163
1,164,639.5,1059.5,164
1,165,648.894736842,1087.47368421,165
1,166,644.045454545,1090.27272727,166
1,167,782.56097561,1090.85365854,167
1,168,707.081632653,1092.08163265,168
1,169,788.930232558,1095.27906977,169
1,170,621.2,1097.2,170
1,171,643.656716418,1100.10447761,171
1,172,793.813953488,1103.04651163,172
1,173,703.625,1104.625,173
1,174,621.8,1108.63076923,174
1,175,676.472222222,1117.63888889,175
1,176,674.272727273,1122.06060606,176
1,177,683.516483516,1121.52747253,177
1,178,652.88372093,1123.11627907,178
1,179,622.0,1125.0,179
1,180,678.115942029,1127.88405797,180
1,181,765.75,1125.30555556,181
1,182,712.407407407,1128.25925926,182
1,183,700.0,1130.0,183
1,184,682.614035088,1132.96491228,184
1,185,756.793103448,1135.31034483,185
1,186,675.727272727,1135.42424242,186
1,187,685.4375,1137.08333333,187
1,188,659.703296703,1141.25274725,188
1,189,687.5625,1147.14583333,189
1,190,705.891891892,1148.67567568,190
1,191,655.916666667,1149.66666667,191
1,192,680.609756098,1151.95121951,192
1,193,792.275862069,1156.5862069,193
1,194,686.2,1157.7,194
1,195,787.033333333,1157.43333333,195
1,196,744.756756757,1167.51351351,196
1,197,692.901960784,1167.88235294,197
1,198,764.837837838,1168.86486486,198
1,199,739.314285714,1171.4,199
1,200,705.264705882,1179.0,200
1,201,737.157894737,1180.50877193,201
1,202,733.142857143,1194.12857143,202
1,203,770.567567568,1194.62162162,203
1,204,686.421052632,1206.85526316,204
1,205,763.266666667,1205.83333333,205
1,206,679.730769231,1209.73076923,206
1,207,699.50617284,1209.33333333,207
1,208,709.0,1218.17391304,208
1,209,667.128205128,1224.87179487,209
1,210,729.724137931,1227.27586207,210
1,211,731.0,1251.5,211
1,212,737.460526316,1257.06578947,212
1,213,731.235294118,1263.88235294,213
1,214,665.315789474,1263.5,214
1,215,688.303571429,1264.21428571,215
1,216,695.430769231,1267.01538462,216
1,217,709.5,1267.0,217
1,218,689.657142857,1272.64285714,218
1,219,683.086956522,1268.65217391,219
1,220,696.756097561,1274.09756098,220
1,221,677.614035088,1271.45614035,221
1,222,627.826086957,1274.0,222
1,223,679.476190476,1276.0,223
1,224,684.1,1274.0,224
1,225,672.5,1277.29166667,225
1,226,692.571428571,1279.61904762,226
1,227,685.74025974,1280.14285714,227
1,228,679.758928571,1284.33035714,228
1,229,693.473684211,1284.76315789,229
1,230,641.636363636,1285.5,230
1,231,644.28125,1291.34375,231
1,232,653.0,1291.0,232
1,233,733.222222222,1290.5,233
1,234,739.696969697,1299.42424242,234
1,235,641.340909091,1300.20454545,235
1,236,693.961538462,1301.92307692,236
1,237,703.708333333,1307.95833333,237
1,238,697.06,1309.42,238
1,239,693.483870968,1314.80645161,239
1,240,631.424242424,1321.66666667,240
1,241,685.947368421,1327.07894737,241
1,242,697.245283019,1330.39622642,242
1,243,686.909090909,1338.48484848,243
1,244,703.209302326,1339.11627907,244
1,245,675.91025641,1344.16666667,245
1,246,684.4,1345.23333333,246
1,247,672.39,1351.32,247
1,248,648.755725191,1366.58778626,248
1,249,744.8,1365.5,249
1,250,675.0,1376.6,250
1,251,689.25,1389.375,251
1,252,514.939393939,1391.78787879,252
1,253,539.698630137,1397.32876712,253
1,254,633.038461538,1401.23076923,254
1,255,754.5,1398.89285714,255
1,256,634.263157895,1405.47368421,256
1,257,758.767857143,1406.23214286,257
1,258,727.981818182,1404.0,258
1,259,510.88372093,1407.20930233,259
1,260,744.631578947,1407.81578947,260
1,261,684.409090909,1408.81818182,261
1,262,747.416666667,1412.75,262
1,263,545.633333333,1417.63333333,263
1,264,748.80952381,1421.3452381,264
1,265,529.316239316,1444.23076923,265
1,266,458.296296296,1443.33333333,266
1,267,694.076086957,1444.09782609,267
1,268,641.5,1444.98148148,268
1,269,509.333333333,1445.73809524,269
1,270,635.537037037,1447.31481481,270
1,271,651.0,1446.5,271
1,272,535.459459459,1449.06756757,272
1,273,451.87804878,1448.5,273
1,274,513.25,1451.0,274
1,275,450.387755102,1454.73469388,275
1,276,644.184210526,1452.36842105,276
1,277,460.52173913,1455.34782609,277
1,278,518.975,1455.15,278
1,279,467.650793651,1455.25396825,279
1,280,445.166666667,1458.125,280
1,281,640.647058824,1457.58823529,281
1,282,522.357142857,1461.35714286,282
1,283,647.958333333,1463.29166667,283
1,284,557.438356164,1464.52054795,284
1,285,564.125,1470.08333333,285
1,286,442.520547945,1469.78082192,286
1,287,534.042553191,1472.06382979,287
1,288,628.96969697,1471.87878788,288
1,289,448.16,1473.72,289
1,290,644.909090909,1472.72727273,290
1,291,559.246376812,1479.14492754,291
1,292,566.371428571,1481.22857143,292
1,293,550.5,1483.5,293
1,294,651.19047619,1483.85714286,294
1,295,700.951219512,1485.26829268,295
1,296,444.264705882,1485.33823529,296
1,297,449.368421053,1511.86842105,297
1,298,616.555555556,1516.11111111,298
1,299,746.725490196,1520.1372549,299
1,300,702.605263158,1520.84210526,300
1,301,591.277777778,1523.94444444,301
1,302,438.526315789,1528.52631579,302
1,303,422.298701299,1533.50649351,303
1,304,438.548387097,1539.70967742,304
1,305,803.321100917,1546.68807339,305
1,306,629.14,1548.0,306
1,307,422.346938776,1548.65306122,307
1,308,451.357142857,1551.17857143,308
1,309,452.908163265,1558.04081633,309
1,310,822.705882353,1556.52941176,310
1,311,463.0,1558.5,311
1,312,815.612903226,1556.0,312
1,313,470.171428571,1558.34285714,313
1,314,819.085714286,1560.82857143,314
1,315,473.314285714,1562.77142857,315
1,316,464.525,1563.35,316
1,317,807.759689922,1563.15503876,317
1,318,821.371428571,1565.91428571,318
1,319,478.6,1565.4,319
1,320,813.857142857,1567.45714286,320
1,321,830.169491525,1566.23728814,321
1,322,610.606557377,1567.95081967,322
1,323,826.2,1570.62857143,323
1,324,455.302631579,1571.60526316,324
1,325,816.588235294,1572.52941176,325
1,326,604.356643357,1575.98601399,326
1,327,614.098360656,1574.62295082,327
1,328,600.6,1578.05,328
1,329,817.0,1577.10714286,329
1,330,442.525252525,1576.73737374,330
1,331,457.565217391,1578.80434783,331
1,332,603.0,1581.0,332
1,333,834.782608696,1582.14492754,333
1,334,596.924528302,1580.58490566,334
1,335,432.137931034,1587.53448276,335
1,336,439.43902439,1585.0,336
1,337,709.75,1585.86363636,337
1,338,590.8125,1585.25,338
1,339,596.882352941,1587.19607843,339
1,340,611.512195122,1586.41463415,340
1,341,418.538461538,1587.84615385,341
1,342,395.269230769,1588.63461538,342
1,343,411.227272727,1590.45454545,343
1,344,447.473684211,1588.12280702,344
1,345,605.443037975,1589.10126582,345
1,346,708.171428571,1591.04285714,346
1,347,596.15625,1593.59375,347
1,348,445.459259259,1595.72592593,348
1,349,721.90625,1599.53125,349
1,350,688.817073171,1601.25609756,350
1,351,399.333333333,1601.74074074,351
1,352,439.090909091,1601.54545455,352
1,353,682.666666667,1602.88888889,353
1,354,425.0,1606.5,354
1,355,431.840336134,1606.72268908,355
1,356,608.358974359,1605.05128205,356
1,357,851.24,1603.28,357
1,358,817.384615385,1606.15384615,358
1,359,844.883333333,1607.95,359
1,360,415.37704918,1606.57377049,360
1,361,438.333333333,1606.66666667,361
1,362,588.849315068,1606.5890411,362
1,363,629.588235294,1606.88235294,363
1,364,401.6875,1608.3125,364
1,365,853.727272727,1608.15151515,365
1,366,454.513513514,1609.59459459,366
1,367,448.916666667,1611.89583333,367
1,368,442.912087912,1608.46153846,368
1,369,629.652173913,1613.65217391,369
1,370,691.194029851,1614.58208955,370
1,371,713.775,1613.3,371
1,372,403.435897436,1616.07692308,372
1,373,478.516129032,1618.62365591,373
1,374,431.75,1620.5,374
1,375,835.464285714,1622.17857143,375
1,376,413.615384615,1623.61538462,376
1,377,481.617647059,1627.47058824,377
1,378,491.234042553,1628.34042553,378
1,379,475.058823529,1629.76470588,379
1,380,870.911764706,1631.91176471,380
1,381,423.97826087,1637.08695652,381
1,382,425.567567568,1643.91891892,382
1,383,690.707317073,1644.92682927,383
1,384,479.441176471,1646.97058824,384
1,385,429.75,1650.41666667,385
1,386,474.142857143,1649.97142857,386
1,387,480.657142857,1653.6,387
1,388,467.970588235,1654.73529412,388
1,389,464.0,1657.05882353,389
1,390,501.409836066,1657.16393443,390
1,391,470.4,1657.86666667,391
1,392,474.25,1660.25,392
1,393,465.661290323,1661.91935484,393
1,394,845.719298246,1661.8245614,394
1,395,443.37037037,1664.82716049,395
1,396,707.96969697,1672.0,396
1,397,705.869565217,1676.95652174,397
1,398,515.661971831,1688.71830986,398
1,399,662.833333333,1692.5,399
1,400,350.417910448,1735.73134328,400
1,401,350.205882353,1740.70588235,401
1,402,788.022727273,1763.0,402
1,403,782.041666667,1766.66666667,403
1,404,692.055555556,1771.05555556,404
1,405,776.403846154,1772.32692308,405
1,406,785.129032258,1773.0,406
1,407,791.545454545,1774.36363636,407
1,408,721.0,1775.08888889,408
1,409,798.928571429,1774.89285714,409
1,410,382.838709677,1775.64516129,410
1,411,757.133333333,1779.26666667,411
1,412,741.714285714,1781.12244898,412
1,413,784.32,1781.44,413
1,414,682.30952381,1785.52380952,414
1,415,764.0,1785.33333333,415
1,416,731.294117647,1787.82352941,416
1,417,808.5,1790.5,417
1,418,733.153846154,1791.30769231,418
1,419,734.833333333,1795.375,419
1,420,685.981481481,1796.07407407,420
1,421,714.961538462,1797.30769231,421
1,422,740.267857143,1799.10714286,422
1,423,746.536585366,1800.73170732,423
1,424,764.243902439,1803.36585366,424
1,425,818.5,1804.88461538,425
1,426,367.279569892,1806.34408602,426
1,427,686.275862069,1806.96551724,427
1,428,755.228571429,1807.37142857,428
1,429,808.706896552,1808.96551724,429
1,430,796.9375,1811.0625,430
1,431,350.655172414,1813.72413793,431
1,432,759.71875,1813.28125,432
1,433,342.023255814,1814.27906977,433
1,434,373.254901961,1813.82352941,434
1,435,832.5,1814.1875,435
1,436,386.517241379,1816.13793103,436
1,437,699.297297297,1816.21621622,437
1,438,814.666666667,1816.05882353,438
1,439,823.960784314,1818.09803922,439
1,440,760.113207547,1820.94339623,440
1,441,362.166666667,1822.94444444,441
1,442,357.4,1818.29444444,442
1,443,349.476744186,1824.73255814,443
1,444,787.195652174,1824.86956522,444
1,445,815.551020408,1823.3877551,445
1,446,818.290322581,1828.87096774,446
1,447,757.875,1829.125,447
1,448,360.464285714,1832.17857143,448
1,449,370.333333333,1832.88888889,449
1,450,356.13559322,1836.0,450
1,451,364.171428571,1836.31428571,451
1,452,821.075,1834.225,452
1,453,817.8,1837.83333333,453
1,454,387.311111111,1836.88888889,454
1,455,376.602150538,1837.62365591,455
1,456,382.984126984,1841.80952381,456
1,457,786.628571429,1840.77142857,457
1,458,815.539215686,1844.28431373,458
1,459,369.15,1846.85,459
1,460,783.47826087,1845.08695652,460
1,461,791.688888889,1845.08148148,461
1,462,819.5,1848.92857143,462
1,463,375.1,1849.66666667,463
1,464,399.705882353,1851.5,464
1,465,369.428571429,1852.71428571,465
1,466,759.641025641,1856.71794872,466
1,467,752.694444444,1859.13888889,467
1,468,381.924528302,1859.77358491,468
1,469,756.76,1862.28,469
1,470,837.666666667,1861.91666667,470
1,471,374.628571429,1862.58571429,471
1,472,649.5,1867.5,472
1,473,374.885714286,1869.11428571,473
1,474,816.944444444,1870.40277778,474
1,475,751.5,1874.63333333,475
1,476,712.6,1875.6,476
1,477,797.86440678,1875.54237288,477
1,478,720.04,1876.16,478
1,479,758.790697674,1877.8372093,479
1,480,793.230769231,1884.25641026,480
1,481,755.453125,1884.9375,481
1,482,390.787878788,1885.60606061,482
1,483,771.4,1886.23333333,483
1,484,372.625,1888.72916667,484
1,485,398.9,1888.7,485
1,486,761.09,1890.26,486
1,487,749.074074074,1893.59259259,487
1,488,764.5625,1894.39583333,488
1,489,773.0,1892.23333333,489
