X,Y
0,0
0,4714
4714,0
4714,4714
777.2285714,278.8571429
796.9333333,313.9666667
836.7096774,341.7096774
772.5714286,346.0857143
835.2631579,360.1754386
783.0175439,373.1929825
793.2361111,394.4444444
775,397.5
771.5,409.2142857
765.0869565,411.3478261
761.2682927,418.1707317
800.1463415,440.9268293
758.4545455,448.5454545
801.72,449.5
811.5,461.5
755.9193548,465.016129
824.5,744.5
819.6086957,746.6521739
710.6666667,755.875
732.0384615,759.1730769
648.95,770.1
680.15625,787.375
696.925,788.2
590.1904762,802.8571429
680.65625,806.4375
651.1481481,806.8888889
661.0724638,808.173913
632,815.5
660.4761905,817.0952381
787.5483871,821.7096774
671.1,823.2333333
681.9183673,825.877551
773.5217391,827.7536232
724.2325581,856.5348837
700.3333333,864.1111111
694.6923077,868.8846154
707.3225806,869.0967742
647.6307692,873.5692308
604,875.5
689.8979592,882.2244898
747.2121212,883.6666667
662.5757576,884.2727273
603.5,888.9166667
672.7058824,891.5
638.5,893
656.4210526,895.8421053
654.4,900
696.9166667,900.1666667
776.2666667,901.8
780.75,905.5277778
667.2051282,912.6153846
702.9310345,917.5862069
762.3214286,919.7678571
687.5,937.8
668.7090909,938.8
657.3333333,942.8222222
649.3636364,949.5
712.125,952.125
644,952.5
661.6181818,952.8727273
598.375,956.2083333
665.4285714,962
669.1714286,962.6571429
786.65,962.525
650.46,972.26
643.3666667,973.6333333
676.3928571,983.8214286
703.5,986.5
571.1111111,993.1666667
645.195122,992.6585366
607.0823529,997
679.6486486,997.1891892
675.358209,1000
608.375,1006.125
706.7411765,1009.858824
622.7647059,1011.5
715.5,1012.5
626.25,1015.1875
675.5,1014.785714
711.5,1020.5
732.9333333,1020.133333
647.4848485,1024.090909
652.3913043,1025.782609
743.5,1028.363636
650.0833333,1029.583333
770.7741935,1029.580645
768.4,1037.44
692.8823529,1040.470588
739.3492063,1040.079365
569.7692308,1044.846154
676.4285714,1045.428571
711.5555556,1046.518519
720.3571429,1050.857143
572.2592593,1052.185185
629.3623188,1054.144928
787,1061.558824
652.6129032,1063.177419
709.1875,1063.1875
753.1509434,1063.226415
737.5294118,1065.529412
730.9615385,1066.826923
759.3461538,1067.346154
676.5333333,1072.466667
784.125,1071.333333
619.2,1075.5
705.3623188,1073.898551
698.9107143,1077.232143
751.6666667,1078.025641
783.0434783,1079.217391
710.2921348,1082.438202
756.4146341,1080.878049
702.125,1083.375
668.5090909,1085.018182
726,1085.5
816,1087.416667
686.1515152,1093.121212
764.6153846,1093.153846
778,1096.704918
730.2608696,1104.347826
722.047619,1106.02381
782.6,1105.911111
746.1538462,1107.230769
793.48,1108.56
690.7692308,1109.461538
711.3303571,1111.0625
754.3076923,1110.907692
742,1122.5
719.5777778,1124.8
791.5,1126
636.3333333,1130.333333
668.85,1154.3
643.4375,1160.125
672.75,1160.75
601.6065574,1165.737705
647.6956522,1166.804348
755.6964286,1168.535714
604.3421053,1171.605263
685.3076923,1171.230769
607.2352941,1176.803922
799.5,1177.25
734.8529412,1178.323529
712.8181818,1185.836364
730.4269663,1187.337079
608.1111111,1187.185185
602.1162791,1190.488372
610.56,1190.12
633.7083333,1192.208333
606.5,1197
774.8333333,1203.566667
734.5555556,1204.622222
617.4074074,1205.740741
769.7857143,1204.125
741,1207.84375
779.7352941,1207.382353
772.2580645,1210
600.5901639,1213.196721
787.125,1221.666667
771.2,1229.342857
679.02,1231.92
766.8039216,1234.647059
776.5862069,1238.551724
695.3,1241.066667
688.7179487,1243.102564
661.5,1244.785714
783.2580645,1244.516129
725.7894737,1246.657895
768.5054945,1251.010989
735.3684211,1253.263158
621.578125,1258.390625
673.5,1257.818182
677.7878788,1259.69697
669.0967742,1260.16129
618.76,1264.16
673.9571429,1265.314286
772.3611111,1261.722222
710.25,1263.181818
625.804878,1267.097561
656.3030303,1268.075758
680.0363636,1270.763636
624.3513514,1272.108108
683.1428571,1271.857143
674.8571429,1274
741.8630137,1278.465753
759.5,1278
667.2340426,1279.106383
689.8,1282.666667
723.6521739,1293
675.9824561,1300.315789
648.0181818,1300.8
677.8333333,1303.666667
701.8461538,1305.307692
755.5,1310
765.1,1317.033333
742.9473684,1323.789474
666.9761905,1328.333333
672.9512195,1330.292683
641.8611111,1349.777778
757.5652174,1350.673913
763.15,1351.5
627,1355
795.5,1354.5
738.6571429,1357.057143
699.6545455,1361.127273
733.9642857,1365.25
709.9032258,1368.193548
594.35,1373.7
689.7567568,1373.567568
655.3653846,1381
611.1707317,1383.95122
730.8,1383.533333
725.0806452,1388.306452
661.5283019,1392.622642
656.5121951,1403.439024
728,1402.394737
588.1081081,1406.972973
748.6111111,1409.055556
715.3731343,1411.19403
673.3916667,1413.608333
678.0813953,1418.523256
807.5,1418.705882
588.7878788,1441.969697
624.45,1443.175
825,1443.5
672.0882353,1444.970588
632.0857143,1445.757143
685.6666667,1451.25
760.5789474,1453.421053
741.0909091,1456.909091
617.5652174,1460.652174
727.0526316,1461.192982
716.6451613,1462.483871
687.7560976,1474
742.1081081,1478.864865
609.5230769,1480.076923
672.804878,1481.02439
715,1524.166667
547.88,1533.96
687.4117647,1540.882353
671.0454545,1541.272727
686.8,1549.075
550.8846154,1551.269231
536.125,1553.791667
644,1556.777778
643.5,1564.266667
627.5,1565.666667
869.1724138,1567.586207
501.3695652,1571.347826
630.2,1576.76
547.2280702,1584.526316
432.5641026,1588.705128
500.5555556,1588.666667
515.9166667,1592.75
800.21875,1594.34375
423.4871795,1595
429.7,1594.35
444.4516129,1597.903226
427.952381,1598.952381
517.3,1600.9
490,1603.5
881.65,1602.55
429.5789474,1604.289474
543.9863014,1605.616438
441.5816327,1608.285714
550.4285714,1608.071429
794.2142857,1606.642857
532.9591837,1608.326531
514.6976744,1609.116279
568.5294118,1609.431373
426.4285714,1611.469388
435.0967742,1612.548387
520.6969697,1612.484848
739.5,1620.454545
765.5,1623.444444
426.525,1624.95
693.725,1626.375
774.5151515,1627.727273
447.625,1641.5625
863.8571429,1649.5
899.3461538,1653.769231
886.1666667,1655.333333
771.9090909,1659.090909
356.4117647,1660
877.1612903,1660.548387
863.25,1662.25
455.1166667,1667.866667
442.5681818,1679.363636
