X,Y
0,0
0,4714
4714,0
4714,4714
788.75,307.625
787.9130435,310.6956522
784.4375,315.75
827.8,318.8
778.7340426,320.4361702
783,323.6923077
822.2068966,325.2068966
828.3513514,323.9189189
830.9615385,328.2307692
817.7142857,327.5714286
835.9032258,329.1935484
840.6969697,330.6969697
818.3333333,333.8888889
833.5,334
814.2307692,344.8076923
809.7096774,345.0967742
811.245283,351.754717
790.25,349.25
823.05,351.475
817.5443038,355.2531646
828.1111111,351.2222222
825.3448276,356.9310345
829.8,356.5
794.7183099,354.8732394
810.9756098,359.9756098
819.4705882,361
813.25,363.25
814.32,366.12
819.88,367.28
808.5833333,367.25
823.625,370.75
816.6,371.4
810.3076923,372
820.4615385,375.4102564
810,377.6904762
811.2222222,382.1111111
729.5,695.2857143
731.8,699.05
727.1578947,700.6842105
730.2307692,711.7692308
736.2142857,713.2857143
742.6,713.2
682.0721649,719.9381443
691.1785714,726
759.4358974,724.8461538
754.6034483,726.2068966
752.2,731.5
702.5,751
695.7272727,754.1515152
686.1578947,765.1578947
778.0952381,765
775.6438356,776.2739726
770,775
770.3846154,779.3846154
729.5714286,810.5714286
726.1428571,815.6666667
661.6111111,840.8611111
693.225,845.85
691.8627451,851.2156863
689.0952381,855.8095238
689,859.5
694.0714286,860.8571429
626,864.8
632.8,867.5
625.1666667,870.0833333
660,871
670.1048544,888.5747573
643.75,876.4722222
673.8181818,877
656.8818182,881.3636364
729.5,879
645.5064378,888.8841202
650,879.5
678.9705882,879.5588235
685.45,881.15
696.5,885.5844156
742.6791569,890.3185012
682.5384615,884.6153846
730.3095238,885.1190476
753.8125,885.5
687.8461538,886
756,890.2
701.7058824,892.2941176
731.7692308,892.1538462
640.1111111,893.3333333
695.195122,892.9268293
656.125,894
667.6666667,898.1111111
657.3181818,899.6363636
642.3846154,901.3846154
651.875,901.875
740.5,902
673.4047619,904.7619048
694.6428571,911.2857143
698.5,911.5
721.6363636,911.0909091
714.5357143,913.3928571
772.5,912.7777778
637.984375,913.453125
649.1153846,916.0096154
647.6425121,925.3091787
697.1111111,920.5555556
702.2,919
707.3636364,918.9090909
777.7022901,920.2290076
689.8888889,919.8888889
789.1111111,920.6666667
718.34,920.93
807.1666667,921.125
636.2741935,925.7177419
710.3928571,922.8392857
726.8888889,923.3333333
655.7142857,924
723,924.6923077
704.125,925.5
716.5175439,932.2631579
789.6111111,926.2962963
627.5,928.3571429
798.1875,927.6875
788.1761658,933.238342
651.9583333,933.3541667
800.1071429,932.3214286
796.625,933.4375
712.2941176,937.3529412
651.4736842,939.6842105
784.125,938.875
719.125,941.875
797.0727273,944.5090909
721.1052632,946.4210526
785.2352941,946.1176471
791.2553191,945.5531915
722.4913295,960.4710983
736.6666667,953.1111111
742.875,953.125
724,954.5
629.0181818,955.1454545
739.2380952,956.1428571
743.6540284,967.1090047
661.5,959
669.5,959
737.125,959
658,960
749.2666667,960.3333333
842.78125,960.375
848.2682927,961.7560976
667.371134,965.8247423
712.1111111,962.6666667
662.862069,965.3793103
842.0666667,965.5333333
846.05,967.25
658.4,968.05
728.5263158,971.3157895
734.1052632,971.4210526
661.3636364,973.5454545
739.1666667,975.2222222
750.3333333,973.8888889
684.1428571,975.0714286
736.6666667,977.0833333
674.0909091,979.6363636
682.5833333,982.9469697
674.7,983.5
814.2,983
800.6153846,984.6153846
673.6153846,989.3846154
809.2068966,989.5517241
803.0588235,992.627451
813,992.2727273
807.25,995.5625
732.7179487,1016.076923
743,1017.8
736.3939394,1019.545455
730.6153846,1021.384615
740.6222222,1022.8
633.1875,1042.5
612.5,1046.8
606.9285714,1053.190476
606.3636364,1059.909091
675,1063
687,1066.5
679.44,1067.34
674.1428571,1071.071429
680.3333333,1072.880952
686.5833333,1071.833333
674.3529412,1075.470588
680.3333333,1077.888889
782.375,1086.75
780.516129,1090.548387
775.7179487,1092.230769
789.6451613,1099.806452
778.2180685,1110.685358
787.030303,1104.484848
774.6,1103.4
661.6923077,1104.923077
671.9360465,1119.734496
672.2333333,1105.333333
676.125,1104.875
679,1105.5
768.6,1103.4
789.7272727,1107.727273
771.12,1106.04
790.8888889,1111.333333
620.95,1112.6
630.3846154,1113.615385
744.1111111,1113.666667
770.8125,1116.375
762.2352941,1117.058824
619.4615385,1117.615385
625.027972,1123.48951
657.7,1117.7
773.5,1118.583333
773,1121.641026
747.1532258,1119.830645
778.9411765,1124.411765
770.1666667,1125.083333
775.5,1126.125
644.3636364,1126.909091
642.125,1130.875
679.8163265,1136.836735
648.64,1133.768
675.1538462,1135.538462
724.56,1136.08
641,1137.25
654.8,1137.5
644.25,1142.173077
678,1142.534884
685.1818182,1140.090909
653,1140.5
675,1139.2
723.5692308,1143
693.3636364,1142.909091
701,1145.16
696.9516129,1148.016129
705.9583333,1146.208333
752.4444444,1147.314815
780.0238095,1148.47619
787,1150.125
783,1155.444444
789.9090909,1154.363636
777.8125,1157
708,1159.5
720.125,1158.875
733.4246575,1164.534247
713.673913,1167.137681
720.5,1163.5
728.0263158,1166.131579
706.8888889,1167.555556
725.3870968,1169.387097
682.4252874,1172.885057
733.2,1172
725.1538462,1172.923077
730.0625,1173.0625
722.0833333,1173.833333
728.8709677,1176.83871
672,1175.650794
687.3333333,1174.833333
734.4117647,1175.882353
667.1176471,1176.235294
707.6,1176.377778
680.0714286,1177.857143
729.15625,1180.625
686.8,1182.5
675.3636364,1185.090909
689.2,1191.5
692.3333333,1191.333333
686.5,1193.5
697.8210526,1194.915789
676.3440367,1195.495413
690,1196.882353
701.6666667,1202.466667
692.375,1201.666667
666.0909091,1202.363636
678.6666667,1202.888889
696.5833333,1203.916667
691.9375,1205.125
698.6,1206.5
664.6666667,1205.888889
698.8431373,1211.901961
698.6666667,1218.230769
702.8461538,1216
676.8333333,1228.222222
788.0909091,1229.363636
672.4210526,1230.368421
674.5555556,1234.925926
708.8125,1240
712.3636364,1240.181818
720.24,1239.8
714.030303,1245.712121
707.8,1245.85
676.8571429,1247.071429
689.3076923,1247
698.4358974,1251.74359
702.3333333,1251.25
725.3207547,1251.773585
707.3472222,1250.472222
719.1923077,1253.474359
686.2405063,1256.177215
674,1253.333333
695.3636364,1253.636364
