X	Y
0	0
0	4714
4714	0
4714	4714
803.9090909	282.9090909
791.05	289.9
783.1162791	316.1162791
802.7919708	313.9708029
801.1764706	334.7647059
715.0441176	656.6470588
690	668
730.3157895	667.1578947
753.5	731.5
738.5757576	732.9393939
705.8873239	737.4507042
682.5932203	774.1355932
703.6111111	785.5555556
676	796.3529412
675.4358974	805.9230769
683.3333333	813
683.5	822
712	845
704.2105263	846.1052632
695	848.5964912
826.8	852.08
826.4901961	859.9411765
666.7	861.5666667
698.6470588	864.4117647
709.2	865.1285714
801.25	866.75
838.3478261	879.6086957
703.3529412	882.4705882
746.3913043	888.8043478
772.2857143	898.4285714
693.6111111	899.8611111
760.2727273	909.5
712.5	914.8
754.9393939	936.8787879
836.7142857	936.5
766.3846154	942.6153846
775.5967742	942.9032258
767.5	952.7142857
840.6315789	962.7894737
701.0769231	970.8846154
884.2	971.76
639.0714286	985.2857143
623.5	988.2941176
685.734375	1023.75
875.5	1026.285714
784.6538462	1070.653846
753.125	1081.875
862.8965517	1082.448276
833.4	1088.6
860.5	1090.5
821.2170543	1091.604651
782.5	1099.166667
868.5	1100.5
784.8095238	1106.928571
660.4285714	1110.619048
772.4193548	1111.451613
684.2857143	1113.357143
844.5	1119.272727
783.1868132	1127.065934
765.5625	1134.041667
842.5	1144
757.8076923	1147.192308
767.5288462	1146.076923
788.3809524	1151.047619
732.54	1152.68
934.7179487	1159.948718
872	1169.243902
727.8684211	1172.315789
730.5	1276.2
744.2857143	1281.142857
575.9491525	1306.576271
734.5	1313
564.0909091	1324.090909
765.9375	1333.09375
486.3333333	1335.857143
647.8421053	1340.157895
517.96	1342.92
643.1538462	1350.230769
649.5	1355.5
678.5	1371
499.25	1394.75
647.625	1411.125
689.5	1416.5
775.2	1435.4
486.4482759	1440.689655
809	1442.5
619.1578947	1461.947368
651.5	1463
761.2702703	1462.513514
472.3030303	1474.757576
517.3333333	1490.888889
610.3913043	1492.391304
778.7692308	1506.769231
737.1142857	1510.257143
817	1510.5
627	1517.5
631.75	1522.75
809.5	1538.647059
627.8117647	1541.235294
656	1565.5
653.5	1573
763.6666667	1650.111111
770.6190476	1668.571429
713.6333333	1784.633333
506.8888889	1785.166667
579.2307692	1794.846154
743.7798165	1808.990826
561.5	1811.5
535.8378378	1812.081081
785.4545455	1821.363636
566.8717949	1828.589744
615.9375	1828.09375
854.5	1833.285714
558	1855.5
582.75	1864.897059
630.45	1870.65
602.5405405	1879.216216
594.4516129	1890.419355
567.5454545	1892.636364
720.6842105	1907.052632
518.5	1921
535.7346939	1933.571429
758.5	1935.28125
756	1945.5
555.5	1954.5
702.9375	1957.78125
432.3913043	1962.782609
315.5	1968.5
447.0571429	1987.542857
466.3888889	1988.722222
713.2419355	1990.83871
432.225	1991.125
731.1538462	1991.884615
739.5806452	1992.548387
839.3962264	2002.90566
601.7346939	2014.040816
722.5	2023.666667
512.8	2062.5
426.5238095	2074.619048
300.7391304	2079.826087
531.4358974	2080.076923
617.4117647	2119.117647
439.8421053	2138.315789
373.46	2148.28
536.862069	2158.172414
246.4482759	2160.586207
345.8139535	2168.116279
407.7878788	2185.727273
368.2285714	2189.4
407	2193.34375
554.5	2198.5
825.6142857	2199.328571
427.4210526	2204.105263
374.3055556	2211.833333
435.9285714	2222.464286
440.5	2235.5
386.5	2241.5
661.0285714	2244.571429
573.4347826	2253.608696
873.5	2280.727273
813.2857143	2283.428571
865.3809524	2283.428571
372.5806452	2285.741935
679.1111111	2290.777778
395.3181818	2295.363636
647.3684211	2327
535.1875	2329.140625
642.7	2333.3
383.3773585	2343.169811
540.9090909	2347.909091
266.6774194	2370.419355
719.09375	2371.296875
322	2374.105263
638.4242424	2396.575758
606.6785714	2398
601.0322581	2405.016129
561.3809524	2408.761905
693	2412.5
168.3611111	2415.777778
307	2423
293.2682927	2429.902439
258	2431
631.7241379	2434.586207
392.6111111	2438.388889
437	2443.5
379.2542373	2448.220339
640.6938776	2450.122449
403.5	2453
252.1081081	2455.243243
693.5	2456.230769
655.8461538	2460.435897
715.2333333	2477.3
350.4109589	2482.328767
394.3703704	2489.537037
584.8518519	2494.87037
604.0645161	2504.870968
615	2508
399.7586207	2509.482759
639.6086957	2516.217391
708.1666667	2520.125
454.3243243	2528.216216
781.5	2557.285714
649.5	2560.5
765.3541667	2570.354167
637.9090909	2573.909091
782.1666667	2576.166667
483	2590
392.125	2594.6875
708.5	2603.5
343.8181818	2606
396.1111111	2614.333333
408.5	2622.142857
784.6666667	2624.733333
392.3333333	2629.416667
523.2142857	2636.5
785.4	2637.066667
343.3076923	2646.25641
435.5	2650.5
444	2653.2
337.7446809	2654.382979
334.6571429	2664.228571
345.6285714	2670.742857
441.84375	2672.375
775.8571429	2678.333333
343.7111111	2681.2
368.7826087	2688.608696
450.92	2689.44
410.6086957	2712.695652
456.9565217	2716.608696
460.8571429	2737.047619
444.9259259	2759.592593
458	2763.5
434.4565217	2770.130435
356.25	2796.75
671.3333333	2798.111111
587.5757576	2811.424242
396.5757576	2822.424242
743.9189189	2896.540541
631.6862745	2902.117647
746.2894737	2913.605263
763.5	2919.214286
367.1764706	2936.823529
720.3255814	2939.651163
313.4210526	2956.105263
323.2	2956.5
252.24	2958.2
318.7466667	2967.493333
297.25	2992.375
762.7352941	3035.852941
342.5714286	3108.285714
683.5	3113
692.6086957	3115.26087
693	3163.636364
972.4339623	3189.54717
688.2727273	3234.181818
852.8661417	3265.677165
862.3125	3273.0625
550.5882353	3273.882353
685.2	3282.08
1000.965116	3283.232558
768.375	3296.75
538.1785714	3298.392857
558.3529412	3299.705882
832.6428571	3301.142857
792.939759	3301.590361
476.826087	3312
589.3095238	3313.97619
628.3846154	3316.384615
428.5	3318.5
606.65625	3320.375
422.8055556	3322
477.8571429	3336.285714
715.7037037	3340.62963
786.2	3344.757143
797.4210526	3347.157895
520.5277778	3362.722222
569	3424
579.1612903	3473.709677
384.1666667	3477.861111
571.375	3483.65625
599.06	3484.42
462.7368421	3491.736842
583.3529412	3511.470588
823.5	3520.5
741.0588235	3556.676471
901.7297297	3569
741.220339	3569.966102
742.6896552	3583.724138
907.05	3599.25
1197.93617	3604.531915
846.71875	3608.46875
