ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,773.609375,543.078125,1
1,2,782.2,547.0,2
1,3,768.24,549.18,3
1,4,765.351351351,553.27027027,4
1,5,768.846153846,557.205128205,5
1,6,772.4375,560.25,6
1,7,776.5,560.0,7
1,8,763.654545455,563.836363636,8
1,9,776.416666667,578.222222222,9
1,10,772.689655172,589.448275862,10
1,11,783.0,591.0,11
1,12,779.666666667,600.111111111,12
1,13,779.875,611.125,13
1,14,777.25,612.666666667,14
1,15,778.64,626.6,15
1,16,794.3,626.9,16
1,17,791.602409639,632.56626506,17
1,18,799.609756098,633.048780488,18
1,19,790.268292683,638.902439024,19
1,20,799.265895954,643.63583815,20
1,21,666.909090909,643.909090909,21
1,22,671.125,644.125,22
1,23,805.333333333,643.8,23
1,24,680.705882353,645.294117647,24
1,25,788.451612903,646.322580645,25
1,26,667.235294118,648.705882353,26
1,27,663.846153846,650.0,27
1,28,676.1,649.95,28
1,29,760.875,650.125,29
1,30,786.333333333,650.095238095,30
1,31,802.125,654.125,31
1,32,663.580645161,657.612903226,32
1,33,649.071428571,657.714285714,33
1,34,674.242424242,657.393939394,34
1,35,790.310880829,660.808290155,35
1,36,683.46,659.66,36
1,37,666.033898305,663.694915254,37
1,38,659.636363636,662.090909091,38
1,39,640.928571429,662.714285714,39
1,40,692.941176471,662.764705882,40
1,41,680.0,664.666666667,41
1,42,697.0,664.0,42
1,43,630.0,666.08,43
1,44,640.5,666.5,44
1,45,778.608108108,665.810810811,45
1,46,661.125,668.125,46
1,47,676.212121212,668.818181818,47
1,48,645.034482759,669.034482759,48
1,49,655.4,669.066666667,49
1,50,787.6,668.2,50
1,51,649.266666667,670.133333333,51
1,52,686.130434783,669.52173913,52
1,53,667.357142857,670.857142857,53
1,54,777.4,672.133333333,54
1,55,690.592592593,673.481481481,55
1,56,766.2,674.0,56
1,57,646.277777778,674.666666667,57
1,58,685.909090909,674.363636364,58
1,59,635.5,677.0,59
1,60,699.8,676.6,60
