ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,700.5,340.5,1
1,2,589.666666667,411.666666667,2
1,3,694.0,464.5,3
1,4,728.80952381,475.142857143,4
1,5,559.0,477.0,5
1,6,763.333333333,505.333333333,6
1,7,732.1,505.95,7
1,8,777.615384615,513.769230769,8
1,9,811.333333333,531.666666667,9
1,10,556.0,532.5,10
1,11,745.285714286,538.357142857,11
1,12,735.0,558.5,12
1,13,797.8,562.5,13
1,14,841.5,563.5,14
1,15,826.5,570.5,15
1,16,780.0,572.5,16
1,17,703.666666667,573.666666667,17
1,18,670.47826087,579.043478261,18
1,19,800.5,586.5,19
1,20,763.476190476,600.142857143,20
1,21,796.8,600.0,21
1,22,711.909090909,603.636363636,22
1,23,730.0,606.285714286,23
1,24,747.0,609.5,24
1,25,796.0,609.0,25
1,26,654.2,615.6,26
1,27,851.8,617.5,27
1,28,668.5,625.0,28
1,29,659.666666667,635.111111111,29
1,30,710.5,636.5,30
1,31,803.428571429,637.714285714,31
1,32,754.833333333,641.583333333,32
1,33,790.2,642.4,33
1,34,633.384615385,645.384615385,34
1,35,686.466666667,644.866666667,35
1,36,707.8125,651.625,36
1,37,808.37037037,653.851851852,37
1,38,751.454545455,657.181818182,38
1,39,792.25,656.25,39
1,40,682.0,658.0,40
1,41,828.125,658.125,41
1,42,753.5,660.5,42
1,43,666.384615385,667.615384615,43
1,44,777.428571429,669.380952381,44
1,45,791.0,671.0,45
1,46,687.0,672.5,46
1,47,689.411764706,676.647058824,47
1,48,734.0,691.0,48
1,49,740.666666667,697.333333333,49
1,50,766.0,714.0,50
1,51,811.36,716.12,51
1,52,766.666666667,718.5,52
1,53,816.666666667,765.583333333,53
1,54,601.333333333,802.333333333,54
1,55,697.736842105,828.052631579,55
1,56,681.95,829.75,56
1,57,733.5,932.5,57
1,58,735.333333333,937.666666667,58
1,59,715.5,975.5,59
1,60,692.538461538,977.846153846,60
1,61,745.705882353,991.705882353,61
1,62,694.5,998.5,62
1,63,703.277777778,997.611111111,63
1,64,714.666666667,1021.33333333,64
1,65,683.666666667,1037.46666667,65
1,66,778.3,1046.7,66
1,67,816.8,1048.1,67
1,68,753.785714286,1052.64285714,68
1,69,845.5,1054.5,69
1,70,822.714285714,1060.42857143,70
1,71,802.75,1064.05,71
1,72,686.25,1068.4,72
1,73,722.0,1077.5,73
1,74,788.5,1077.0,74
1,75,721.588235294,1084.64705882,75
1,76,812.875,1095.125,76
1,77,816.5,1095.0,77
1,78,841.818181818,1095.22727273,78
1,79,744.0,1098.0,79
1,80,824.090909091,1100.90909091,80
1,81,792.526315789,1107.57894737,81
1,82,753.233333333,1109.76666667,82
1,83,655.551724138,1110.62068966,83
1,84,876.125,1113.6875,84
1,85,826.333333333,1116.66666667,85
1,86,710.125,1117.125,86
1,87,732.8,1122.4,87
1,88,716.333333333,1129.66666667,88
1,89,776.0,1130.0,89
1,90,738.5,1131.7,90
1,91,678.0,1140.8,91
1,92,733.285714286,1142.5,92
1,93,657.368421053,1142.94736842,93
1,94,838.035714286,1142.58928571,94
1,95,903.5,1146.5,95
1,96,734.666666667,1147.88888889,96
1,97,670.333333333,1160.66666667,97
1,98,777.0,1166.0,98
1,99,788.571428571,1168.0,99
1,100,860.090909091,1167.90909091,100
1,101,755.666666667,1169.91666667,101
1,102,694.666666667,1172.33333333,102
1,103,730.8,1176.4,103
1,104,698.333333333,1179.20833333,104
1,105,749.0,1179.82608696,105
1,106,669.0,1180.0,106
1,107,842.565217391,1182.0,107
1,108,684.8125,1184.1875,108
1,109,781.333333333,1185.33333333,109
1,110,787.3,1189.37142857,110
1,111,752.0,1189.72727273,111
1,112,856.0,1193.5,112
1,113,647.916666667,1195.08333333,113
1,114,769.363636364,1196.54545455,114
1,115,741.5,1197.0,115
1,116,885.5,1200.5,116
1,117,680.875,1203.875,117
1,118,803.272727273,1205.5,118
1,119,680.666666667,1208.88888889,119
1,120,864.066666667,1213.73333333,120
1,121,744.666666667,1222.11111111,121
1,122,886.5,1222.5,122
1,123,905.909090909,1222.81818182,123
1,124,919.6,1222.2,124
1,125,678.230769231,1226.76923077,125
1,126,842.411764706,1226.58823529,126
1,127,888.083333333,1227.16666667,127
1,128,785.5,1228.28571429,128
1,129,820.888888889,1229.44444444,129
1,130,793.875,1230.125,130
1,131,834.0,1230.30769231,131
1,132,757.666666667,1232.66666667,132
1,133,901.0,1234.5,133
1,134,822.0,1237.5,134
1,135,761.357142857,1239.21428571,135
1,136,894.214285714,1239.35714286,136
1,137,797.666666667,1239.66666667,137
1,138,780.181818182,1241.54545455,138
1,139,745.882352941,1241.58823529,139
1,140,797.0,1242.0,140
1,141,697.6,1244.33333333,141
1,142,889.0,1244.0,142
1,143,740.272727273,1246.90909091,143
1,144,880.0,1251.5,144
1,145,751.0,1252.0,145
1,146,703.666666667,1253.33333333,146
1,147,688.666666667,1255.66666667,147
1,148,818.421052632,1256.57894737,148
1,149,850.68,1257.32,149
1,150,681.5,1258.5,150
1,151,793.666666667,1258.14285714,151
1,152,711.625,1261.1875,152
1,153,777.777777778,1262.38888889,153
1,154,862.421052632,1265.05263158,154
1,155,878.178571429,1264.21428571,155
1,156,804.666666667,1265.33333333,156
1,157,659.733333333,1267.2,157
1,158,885.0,1267.0,158
1,159,852.666666667,1268.125,159
1,160,805.5,1271.0,160
1,161,731.888888889,1275.51851852,161
1,162,642.5,1277.0,162
1,163,866.5,1279.5,163
1,164,654.0,1284.5,164
1,165,707.444444444,1288.83333333,165
1,166,915.866666667,1290.46666667,166
1,167,634.0,1291.0,167
1,168,764.5,1293.5,168
1,169,811.555555556,1295.11111111,169
1,170,748.333333333,1298.33333333,170
1,171,723.0,1300.0,171
1,172,900.1,1300.95,172
1,173,726.363636364,1302.09090909,173
1,174,693.333333333,1304.33333333,174
1,175,780.5,1305.5,175
1,176,788.8,1304.6,176
1,177,811.1,1307.05,177
1,178,866.5,1308.5,178
1,179,618.6,1309.4,179
1,180,833.0,1311.0,180
1,181,1028.5,1310.71428571,181
1,182,671.8,1318.66666667,182
1,183,713.5,1319.5,183
1,184,831.0,1321.8,184
1,185,904.166666667,1320.95833333,185
1,186,733.5,1322.0,186
1,187,743.5,1322.0,187
1,188,751.4,1322.8,188
1,189,799.157894737,1323.15789474,189
1,190,660.25,1327.5,190
1,191,902.333333333,1327.0,191
1,192,817.0,1328.0,192
1,193,788.5,1330.5,193
1,194,731.411764706,1330.88235294,194
1,195,808.47826087,1334.04347826,195
1,196,691.909090909,1335.63636364,196
1,197,734.285714286,1337.0952381,197
1,198,753.181818182,1339.18181818,198
1,199,836.333333333,1339.66666667,199
1,200,652.117647059,1343.41176471,200
1,201,814.5,1344.0,201
1,202,715.0,1345.0,202
1,203,697.1875,1349.53125,203
1,204,709.875,1348.66666667,204
1,205,663.647058824,1354.0,205
1,206,819.246376812,1355.47826087,206
1,207,904.03030303,1355.90909091,207
1,208,645.666666667,1357.66666667,208
1,209,722.666666667,1362.33333333,209
1,210,887.0,1368.0,210
1,211,729.657142857,1372.05714286,211
1,212,673.3,1374.5,212
1,213,723.285714286,1379.57142857,213
1,214,667.675,1382.25,214
1,215,781.733333333,1386.06666667,215
1,216,687.833333333,1386.58333333,216
1,217,672.5,1389.0,217
1,218,700.0,1389.0,218
1,219,757.5,1389.5,219
1,220,743.75,1391.3,220
1,221,879.277777778,1391.83333333,221
1,222,696.266666667,1395.06666667,222
1,223,870.945945946,1395.54054054,223
1,224,735.5,1397.20833333,224
1,225,762.5,1398.5,225
1,226,699.866666667,1401.46666667,226
1,227,741.285714286,1408.0,227
1,228,633.411764706,1409.41176471,228
1,229,820.592592593,1411.92592593,229
1,230,748.5,1412.5,230
1,231,863.5,1412.5,231
1,232,719.5,1413.0,232
1,233,760.32,1412.06,233
1,234,665.5,1416.5,234
1,235,696.608695652,1417.95652174,235
1,236,720.0,1419.0,236
1,237,802.133333333,1418.86666667,237
1,238,616.315789474,1420.31578947,238
1,239,709.5,1422.0,239
1,240,753.230769231,1428.33333333,240
1,241,831.0,1428.5,241
1,242,655.363636364,1429.09090909,242
1,243,798.857142857,1429.07142857,243
1,244,719.5,1432.0,244
1,245,799.583333333,1434.25,245
1,246,835.875,1434.875,246
1,247,656.083333333,1437.16666667,247
1,248,714.7,1437.7,248
1,249,719.409090909,1445.77272727,249
1,250,819.0,1447.71428571,250
1,251,760.5,1449.0,251
1,252,806.0,1452.2,252
1,253,830.8125,1453.1875,253
1,254,697.588235294,1454.11764706,254
1,255,735.7,1455.7,255
1,256,746.666666667,1455.88888889,256
1,257,800.103448276,1455.68965517,257
1,258,872.307692308,1458.17948718,258
1,259,659.0,1460.0,259
1,260,748.5,1461.5,260
1,261,822.5,1461.0,261
1,262,676.454545455,1463.18181818,262
1,263,731.5,1462.0,263
1,264,767.0,1466.5,264
1,265,690.0,1467.5,265
1,266,636.5,1468.0,266
1,267,710.0,1468.28571429,267
1,268,852.05,1470.1,268
1,269,805.375,1471.5625,269
1,270,817.472727273,1473.67272727,270
1,271,629.421052632,1475.73684211,271
1,272,690.388888889,1476.72222222,272
1,273,854.0,1477.28571429,273
1,274,790.130434783,1477.86956522,274
1,275,756.666666667,1480.5,275
1,276,842.0,1480.5,276
1,277,684.5,1484.0,277
1,278,767.5,1485.0,278
1,279,715.0,1493.0,279
1,280,673.216216216,1494.81081081,280
1,281,697.615384615,1500.61538462,281
1,282,752.5,1505.5,282
1,283,722.615384615,1510.61538462,283
1,284,730.055555556,1510.83333333,284
1,285,803.0,1511.5,285
1,286,710.0,1516.5,286
1,287,721.0,1517.0,287
1,288,765.5,1517.5,288
1,289,637.5,1520.5,289
1,290,682.103448276,1521.4137931,290
1,291,756.315789474,1521.52631579,291
1,292,707.8,1522.6,292
1,293,804.0,1525.28571429,293
1,294,735.666666667,1528.73333333,294
1,295,720.0,1530.0,295
1,296,754.08,1532.52,296
1,297,672.4,1535.8,297
1,298,737.0,1536.71428571,298
1,299,662.6,1537.2,299
1,300,607.0,1538.0,300
1,301,739.5,1540.0,301
1,302,776.571428571,1540.71428571,302
1,303,695.5,1543.5,303
1,304,651.608695652,1545.52173913,304
1,305,785.047619048,1546.38095238,305
1,306,853.0,1546.8,306
1,307,727.333333333,1548.33333333,307
1,308,747.75,1550.33333333,308
1,309,813.0,1559.0,309
1,310,617.5,1560.0,310
1,311,973.7,1561.8,311
1,312,747.882352941,1562.58823529,312
1,313,735.363636364,1567.90909091,313
1,314,782.5625,1567.25,314
1,315,807.0,1568.71428571,315
1,316,746.833333333,1569.83333333,316
1,317,653.444444444,1574.74074074,317
1,318,756.384615385,1580.38461538,318
1,319,752.666666667,1583.33333333,319
1,320,703.0,1584.5,320
1,321,724.5,1587.5,321
1,322,717.0,1588.0,322
1,323,659.923076923,1589.38461538,323
1,324,736.0,1592.0,324
1,325,700.285714286,1595.5,325
1,326,770.5,1598.5,326
1,327,663.909090909,1600.63636364,327
1,328,797.5,1600.5,328
1,329,779.0,1604.0,329
1,330,829.5,1606.5,330
1,331,660.888888889,1609.22222222,331
1,332,749.5,1609.5,332
1,333,590.5,1611.0,333
1,334,759.875,1613.125,334
1,335,704.5,1619.5,335
1,336,765.8,1624.0,336
1,337,672.8,1627.6,337
1,338,740.913043478,1628.52173913,338
1,339,668.5,1629.0,339
1,340,723.409090909,1630.36363636,340
1,341,761.5,1630.5,341
1,342,700.2,1633.0,342
1,343,732.2,1635.1,343
1,344,771.0,1636.0,344
1,345,782.0,1637.5,345
1,346,817.636363636,1639.45454545,346
1,347,741.0,1640.71428571,347
1,348,801.238095238,1641.04761905,348
1,349,669.6,1645.6,349
1,350,710.958333333,1645.91666667,350
1,351,746.5,1648.5,351
1,352,646.916666667,1649.75,352
1,353,736.5,1650.0,353
1,354,898.0,1650.0,354
1,355,666.647058824,1651.94117647,355
1,356,715.333333333,1653.66666667,356
1,357,703.333333333,1659.33333333,357
1,358,859.642857143,1661.21428571,358
1,359,739.888888889,1662.33333333,359
1,360,812.6,1662.8,360
1,361,636.277777778,1670.38888889,361
1,362,691.285714286,1672.5,362
1,363,634.0,1679.2,363
1,364,763.11627907,1679.0,364
1,365,798.588235294,1681.11764706,365
1,366,851.166666667,1682.33333333,366
1,367,891.8,1682.6,367
1,368,791.0,1688.5,368
1,369,642.133333333,1692.53333333,369
1,370,763.5,1693.0,370
1,371,720.95,1694.5,371
1,372,831.5,1697.5,372
1,373,882.866666667,1697.46666667,373
1,374,594.903225806,1700.0,374
1,375,611.44,1699.08,375
1,376,738.9375,1703.375,376
1,377,755.8,1704.5,377
1,378,624.5,1706.0,378
1,379,846.2,1706.4,379
1,380,665.6,1706.6,380
1,381,888.75,1707.0,381
1,382,636.384615385,1710.38461538,382
1,383,703.5,1711.5,383
1,384,815.571428571,1711.28571429,384
1,385,753.4,1712.95,385
1,386,838.0,1712.69565217,386
1,387,567.421052632,1713.42105263,387
1,388,806.375,1714.375,388
1,389,845.5,1715.0,389
1,390,799.636363636,1723.90909091,390
1,391,706.615384615,1724.46153846,391
1,392,877.0,1725.33333333,392
1,393,565.647058824,1728.29411765,393
1,394,711.541666667,1731.125,394
1,395,814.3125,1731.75,395
1,396,884.961538462,1731.73076923,396
1,397,837.818181818,1734.18181818,397
1,398,892.0,1735.5,398
1,399,576.736842105,1736.05263158,399
1,400,815.8,1738.8,400
1,401,845.636363636,1739.90909091,401
1,402,683.5,1740.5,402
1,403,762.210526316,1740.0,403
1,404,981.5,1740.28571429,404
1,405,751.333333333,1745.0,405
1,406,870.5,1746.5,406
1,407,696.5,1749.0,407
1,408,743.952380952,1749.04761905,408
1,409,774.0,1749.88888889,409
1,410,668.0,1756.0,410
1,411,753.857142857,1755.0,411
1,412,810.0,1754.83333333,412
1,413,691.782608696,1761.63043478,413
1,414,831.833333333,1760.66666667,414
1,415,706.166666667,1761.16666667,415
1,416,616.846153846,1762.53846154,416
1,417,658.380952381,1762.57142857,417
1,418,821.095238095,1763.0,418
1,419,640.5,1765.31578947,419
1,420,559.5,1766.0,420
1,421,850.388888889,1767.27777778,421
1,422,766.5,1769.5,422
1,423,846.0,1769.5,423
1,424,566.4,1771.8,424
1,425,629.411764706,1772.11764706,425
1,426,610.588235294,1775.11764706,426
1,427,743.0,1775.5,427
1,428,750.2,1774.76,428
1,429,764.8,1774.8,429
1,430,680.615384615,1776.53846154,430
1,431,779.5,1777.0,431
1,432,826.285714286,1779.5,432
1,433,844.5,1779.5,433
1,434,864.5,1781.5,434
1,435,648.0,1782.0,435
1,436,776.375,1782.625,436
1,437,808.230769231,1783.76923077,437
1,438,626.25,1784.0,438
1,439,844.0,1785.0,439
1,440,861.333333333,1786.53333333,440
1,441,784.0,1787.28571429,441
1,442,576.9375,1789.5625,442
1,443,703.5,1789.5,443
1,444,845.333333333,1790.33333333,444
1,445,646.333333333,1791.33333333,445
1,446,677.5,1791.0,446
1,447,685.666666667,1792.11111111,447
1,448,617.615384615,1796.61538462,448
1,449,669.117647059,1796.41176471,449
1,450,637.2,1796.6,450
1,451,688.5,1797.5,451
1,452,722.75,1796.91666667,452
1,453,589.833333333,1799.16666667,453
1,454,768.3,1798.7,454
1,455,813.0,1799.5,455
1,456,873.631578947,1800.05263158,456
1,457,685.5,1800.71428571,457
1,458,615.633333333,1802.6,458
1,459,742.5,1804.5,459
1,460,836.5,1806.5,460
1,461,884.285714286,1814.0,461
1,462,835.4,1816.6,462
1,463,585.6875,1819.1875,463
1,464,667.333333333,1819.53333333,464
1,465,773.882352941,1818.58823529,465
1,466,686.5,1822.5,466
1,467,699.305555556,1822.41666667,467
1,468,955.125,1823.875,468
1,469,779.393939394,1828.66666667,469
1,470,795.0,1829.0,470
1,471,819.0,1830.5,471
1,472,810.266666667,1836.66666667,472
1,473,700.0625,1837.40625,473
1,474,764.111111111,1837.66666667,474
1,475,876.285714286,1838.0,475
1,476,670.5,1839.5,476
1,477,643.0,1841.0,477
1,478,658.571428571,1842.61904762,478
1,479,753.5,1844.5,479
1,480,805.941176471,1844.41176471,480
1,481,683.833333333,1844.83333333,481
1,482,861.454545455,1845.63636364,482
1,483,935.0,1846.0,483
1,484,811.5,1850.5,484
1,485,577.5,1853.0,485
1,486,666.090909091,1854.63636364,486
1,487,866.875,1853.6875,487
1,488,730.5,1855.71428571,488
1,489,900.615384615,1856.38461538,489
1,490,851.882352941,1857.41176471,490
1,491,886.5,1858.5,491
1,492,962.8125,1859.375,492
1,493,929.4,1860.8,493
1,494,811.846153846,1862.0,494
1,495,559.157894737,1863.84210526,495
1,496,572.363636364,1864.09090909,496
1,497,654.0,1864.0,497
1,498,623.9,1865.8,498
1,499,701.526315789,1866.15789474,499
1,500,707.842105263,1866.15789474,500
1,501,822.0,1867.0,501
1,502,722.5,1868.5,502
1,503,759.666666667,1868.33333333,503
1,504,934.0,1869.0,504
1,505,870.714285714,1871.0,505
1,506,942.47826087,1870.91304348,506
1,507,562.5,1874.25,507
1,508,882.066666667,1873.26666667,508
1,509,672.0,1875.25,509
1,510,771.5,1875.5,510
1,511,712.333333333,1876.0,511
1,512,581.0,1877.33333333,512
1,513,666.111111111,1879.33333333,513
1,514,685.153846154,1879.53846154,514
1,515,572.5,1879.71428571,515
1,516,616.166666667,1881.16666667,516
1,517,749.0,1881.0,517
1,518,895.352941176,1882.52941176,518
1,519,768.333333333,1882.88888889,519
1,520,823.375,1883.0,520
1,521,936.454545455,1883.63636364,521
1,522,620.5,1888.5,522
1,523,648.333333333,1888.91666667,523
1,524,816.1875,1887.625,524
1,525,799.588235294,1889.70588235,525
1,526,565.166666667,1893.61111111,526
1,527,646.5,1893.5,527
1,528,881.843137255,1894.39215686,528
1,529,722.333333333,1893.88888889,529
1,530,570.6,1895.2,530
1,531,656.5,1895.0,531
1,532,685.75,1895.625,532
1,533,1181.0,1898.0,533
1,534,755.333333333,1899.11111111,534
1,535,605.25,1900.58333333,535
1,536,621.684210526,1900.42105263,536
1,537,873.083333333,1902.91666667,537
1,538,814.625,1905.75,538
1,539,832.928571429,1905.21428571,539
1,540,844.4,1905.6,540
1,541,575.8,1906.5,541
1,542,641.653846154,1910.15384615,542
1,543,692.0,1910.0,543
1,544,772.3,1910.1,544
1,545,873.714285714,1910.0,545
1,546,935.857142857,1910.0,546
1,547,815.5,1913.5,547
1,548,709.882352941,1914.41176471,548
1,549,923.842105263,1915.0,549
1,550,672.0,1915.5,550
1,551,601.0,1918.0,551
1,552,714.875,1918.125,552
1,553,907.0,1918.0,553
1,554,824.909090909,1920.36363636,554
1,555,600.111111111,1924.66666667,555
1,556,632.5,1926.5,556
1,557,741.666666667,1926.33333333,557
1,558,813.888888889,1927.33333333,558
1,559,551.928571429,1927.85714286,559
1,560,560.5,1928.0,560
1,561,863.615384615,1928.61538462,561
1,562,584.833333333,1929.16666667,562
1,563,842.5,1928.75,563
1,564,591.166666667,1929.83333333,564
1,565,754.411764706,1929.0,565
1,566,799.882352941,1933.58823529,566
1,567,593.545454545,1935.81818182,567
1,568,683.294117647,1934.88235294,568
1,569,833.588235294,1935.11764706,569
1,570,352.0,1936.0,570
1,571,647.461538462,1936.15384615,571
1,572,708.2,1937.26666667,572
1,573,934.0,1937.5,573
1,574,694.243243243,1938.10810811,574
1,575,884.833333333,1938.16666667,575
1,576,600.857142857,1939.42857143,576
1,577,951.125,1938.875,577
1,578,767.3,1940.4,578
1,579,872.764705882,1943.52941176,579
1,580,609.0,1944.0,580
