ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,583.923076923,189.692307692,1
1,2,661.0,868.0,2
1,3,644.294117647,891.5,3
1,4,633.416666667,944.25,4
1,5,761.0,949.0,5
1,6,704.25,968.4375,6
1,7,736.5,970.777777778,7
1,8,706.0,977.0,8
1,9,724.071428571,984.142857143,9
1,10,718.625,1001.8125,10
1,11,815.0,1040.0,11
1,12,796.0,1044.2,12
1,13,692.777777778,1047.38888889,13
1,14,708.872727273,1053.41818182,14
1,15,731.384615385,1058.38461538,15
1,16,725.782608696,1063.17391304,16
1,17,670.3125,1063.875,17
1,18,693.363636364,1064.45454545,18
1,19,667.357142857,1066.78571429,19
1,20,748.421052632,1066.84210526,20
1,21,705.433333333,1069.1,21
1,22,718.0,1070.5,22
1,23,729.3,1076.3,23
1,24,638.5,1076.5,24
1,25,662.625,1079.8125,25
1,26,672.5,1079.8,26
1,27,648.090909091,1083.63636364,27
1,28,639.133333333,1084.53333333,28
1,29,644.333333333,1084.88888889,29
1,30,684.0,1085.0,30
1,31,715.2,1086.4,31
1,32,731.5,1086.10714286,32
1,33,646.592592593,1088.88888889,33
1,34,694.5,1090.2,34
1,35,740.2,1090.0,35
1,36,681.896551724,1091.5862069,36
1,37,691.125,1092.875,37
1,38,664.769230769,1095.23076923,38
1,39,726.631578947,1094.78947368,39
1,40,659.777777778,1094.61111111,40
1,41,673.615384615,1095.61538462,41
1,42,706.666666667,1097.11111111,42
1,43,858.818181818,1099.18181818,43
1,44,862.16,1099.32,44
1,45,675.608695652,1102.30434783,45
1,46,632.090909091,1104.36363636,46
1,47,678.777777778,1104.88888889,47
1,48,743.882352941,1103.58823529,48
1,49,707.909090909,1105.63636364,49
1,50,660.0,1106.2,50
1,51,668.909090909,1106.63636364,51
1,52,702.125,1107.0,52
1,53,719.1,1108.1,53
1,54,681.5,1108.5,54
1,55,645.3125,1110.9375,55
1,56,726.75,1112.0,56
1,57,632.258064516,1111.4516129,57
1,58,637.235294118,1115.17647059,58
1,59,682.181818182,1114.54545455,59
1,60,677.266666667,1117.93333333,60
1,61,712.5,1118.0,61
1,62,638.7,1119.65,62
1,63,644.5,1121.5,63
1,64,703.0,1121.8,64
1,65,729.551724138,1124.68965517,65
1,66,700.591836735,1125.18367347,66
1,67,683.6875,1128.8125,67
1,68,731.764705882,1131.58823529,68
1,69,650.333333333,1133.73333333,69
1,70,756.0,1133.75862069,70
1,71,696.636363636,1135.27272727,71
1,72,733.761904762,1135.85714286,72
1,73,693.0,1136.66666667,73
1,74,826.5,1138.5,74
1,75,700.0,1140.0,75
1,76,706.633333333,1141.43333333,76
1,77,773.090909091,1142.63636364,77
1,78,625.966101695,1143.94915254,78
1,79,787.0,1145.05,79
1,80,730.909090909,1146.36363636,80
1,81,713.875,1147.125,81
1,82,867.428571429,1148.71428571,82
1,83,741.0,1150.0,83
1,84,637.857142857,1151.07142857,84
1,85,744.571428571,1150.78571429,85
1,86,745.75,1154.33333333,86
1,87,819.666666667,1154.11111111,87
1,88,692.875,1156.0,88
1,89,702.0,1156.2,89
1,90,866.071428571,1156.85714286,90
1,91,683.0,1157.8,91
1,92,658.466666667,1162.13333333,92
1,93,865.933333333,1161.73333333,93
1,94,703.888888889,1164.33333333,94
1,95,818.5,1163.5,95
1,96,672.0,1165.5,96
1,97,727.117647059,1165.52941176,97
1,98,625.2,1166.1,98
1,99,646.615384615,1166.61538462,99
1,100,656.424242424,1167.12121212,100
1,101,735.783783784,1167.83783784,101
1,102,681.8,1168.5,102
1,103,712.8,1168.5,103
1,104,762.8,1169.0,104
1,105,822.846153846,1170.46153846,105
1,106,736.461538462,1176.38461538,106
1,107,745.206896552,1176.24137931,107
1,108,693.0,1178.0,108
1,109,623.19047619,1179.28571429,109
1,110,629.444444444,1179.44444444,110
1,111,649.5,1178.0,111
1,112,684.409090909,1180.81818182,112
1,113,716.166666667,1181.36111111,113
1,114,626.078947368,1183.44736842,114
1,115,654.6,1186.6,115
1,116,617.130434783,1188.60869565,116
1,117,724.0,1189.2,117
1,118,839.6,1191.6,118
1,119,631.333333333,1193.25,119
1,120,628.5,1196.41666667,120
1,121,621.921052632,1198.68421053,121
1,122,644.909090909,1198.63636364,122
1,123,615.0,1200.30952381,123
1,124,645.875,1201.875,124
1,125,625.5,1204.10869565,125
1,126,631.363636364,1204.95454545,126
1,127,612.0,1206.0,127
1,128,651.0,1207.2,128
1,129,645.111111111,1208.66666667,129
1,130,657.0,1211.5,130
1,131,738.0,1212.5,131
1,132,869.285714286,1213.16666667,132
1,133,785.1875,1214.375,133
1,134,609.153846154,1215.76923077,134
1,135,772.916666667,1216.58333333,135
1,136,595.0,1217.88235294,136
1,137,615.117647059,1218.41176471,137
1,138,621.653846154,1218.38461538,138
