ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,707.274509804,8.27450980392,1
1,2,714.074074074,8.66666666667,2
1,3,698.94,9.04,3
1,4,689.72,11.62,4
1,5,716.416666667,13.0,5
1,6,680.848101266,16.4936708861,6
1,7,725.906666667,13.72,7
1,8,688.133333333,17.4,8
1,9,733.0,17.9090909091,9
1,10,736.291666667,19.1666666667,10
1,11,740.184210526,21.9210526316,11
1,12,671.714285714,21.7142857143,12
1,13,744.230769231,25.9615384615,13
1,14,666.101694915,27.7796610169,14
1,15,750.466666667,29.1666666667,15
1,16,661.7,32.9,16
1,17,754.157894737,33.4210526316,17
1,18,757.823529412,38.3235294118,18
1,19,763.523809524,46.1428571429,19
1,20,768.0,54.7142857143,20
1,21,644.157894737,57.5789473684,21
1,22,774.5,61.9,22
1,23,779.921052632,68.3421052632,23
1,24,783.25,73.1666666667,24
1,25,634.666666667,74.037037037,25
1,26,787.666666667,77.4615384615,26
1,27,630.297297297,80.027027027,27
1,28,791.52173913,82.6956521739,28
1,29,626.625,85.25,29
1,30,793.913043478,87.347826087,30
1,31,797.285714286,91.619047619,31
1,32,801.744186047,97.3953488372,32
1,33,620.724137931,96.8275862069,33
1,34,619.939393939,103.060606061,34
1,35,807.5,105.035714286,35
1,36,729.456521739,103.717391304,36
1,37,733.833333333,105.166666667,37
1,38,617.384615385,110.0,38
1,39,727.785714286,109.285714286,39
1,40,730.578947368,110.526315789,40
1,41,811.454545455,110.636363636,41
1,42,808.615384615,111.615384615,42
1,43,616.894736842,116.157894737,43
1,44,814.466666667,115.133333333,44
1,45,817.631578947,119.894736842,45
1,46,619.9,119.2,46
1,47,680.714285714,119.357142857,47
1,48,822.733333333,125.8,48
1,49,613.25,128.321428571,49
1,50,720.625,130.1875,50
1,51,611.133333333,133.533333333,51
1,52,720.333333333,134.555555556,52
1,53,827.055555556,134.444444444,53
1,54,820.02173913,136.434782609,54
1,55,608.9375,137.8125,55
1,56,777.40625,139.03125,56
1,57,770.833333333,140.333333333,57
1,58,767.625,141.25,58
1,59,775.318181818,142.590909091,59
1,60,811.166666667,140.166666667,60
1,61,717.75,141.583333333,61
1,62,830.157894737,141.368421053,62
1,63,716.090909091,145.363636364,63
1,64,780.0,145.5,64
1,65,756.888888889,146.722222222,65
1,66,833.210526316,147.578947368,66
1,67,752.692307692,147.846153846,67
1,68,800.3,154.0,68
1,69,615.421052632,154.684210526,69
1,70,790.5,153.772727273,70
1,71,604.944444444,156.166666667,71
1,72,646.266666667,157.833333333,72
1,73,651.652173913,157.869565217,73
1,74,692.370967742,156.709677419,74
1,75,618.5,158.875,75
1,76,683.896103896,160.025974026,76
1,77,842.723404255,160.489361702,77
1,78,713.875,161.875,78
1,79,747.7,163.8,79
1,80,679.357142857,167.142857143,80
1,81,847.037037037,167.222222222,81
1,82,849.8,172.433333333,82
1,83,706.523809524,172.142857143,83
1,84,792.2625,169.3625,84
1,85,792.466666667,179.511111111,85
1,86,852.086956522,179.043478261,86
1,87,853.882352941,183.529411765,87
1,88,796.206896552,184.965517241,88
1,89,856.047619048,187.761904762,89
1,90,796.5,190.0,90
1,91,859.378378378,196.459459459,91
1,92,599.28125,196.5,92
1,93,601.888888889,197.666666667,93
1,94,706.6,199.6,94
1,95,595.666666667,202.722222222,95
1,96,595.642857143,207.571428571,96
1,97,800.2,205.5,97
1,98,863.294117647,206.294117647,98
1,99,719.05,207.75,99
1,100,864.588235294,210.941176471,100
1,101,594.090909091,212.0,101
1,102,715.179487179,214.051282051,102
1,103,602.714285714,216.285714286,103
1,104,592.555555556,216.925925926,104
1,105,866.842105263,217.684210526,105
1,106,861.5625,220.625,106
1,107,594.714285714,220.928571429,107
1,108,713.384615385,221.384615385,108
1,109,602.846153846,225.384615385,109
1,110,595.8,225.9,110
1,111,597.148148148,229.518518519,111
1,112,592.575,226.7,112
1,113,725.769230769,230.0,113
1,114,870.09375,233.0125,114
1,115,590.636363636,234.022727273,115
1,116,839.176470588,235.294117647,116
1,117,846.888888889,235.444444444,117
1,118,729.333333333,236.333333333,118
1,119,608.4,238.32,119
1,120,811.854368932,241.572815534,120
1,121,874.88,241.84,121
1,122,588.607142857,242.285714286,122
1,123,877.409090909,247.886363636,123
1,124,789.148148148,247.555555556,124
1,125,794.5,247.1,125
1,126,797.7,248.6,126
1,127,802.620689655,247.310344828,127
1,128,585.347826087,248.47826087,128
1,129,782.142857143,248.257142857,129
1,130,774.677966102,252.610169492,130
1,131,879.814814815,254.592592593,131
1,132,583.125,257.125,132
1,133,881.272727273,260.227272727,133
1,134,580.8,262.52,134
1,135,753.882352941,264.411764706,135
1,136,850.25,265.583333333,136
1,137,757.5,266.5,137
1,138,880.724137931,266.551724138,138
1,139,884.8,266.08,139
1,140,804.615384615,270.0,140
1,141,710.666666667,270.25,141
1,142,791.818181818,270.318181818,142
1,143,888.745098039,273.294117647,143
1,144,579.075471698,272.79245283,144
1,145,795.666666667,274.111111111,145
1,146,800.545454545,275.636363636,146
1,147,585.208333333,277.875,147
1,148,577.806451613,281.935483871,148
1,149,893.787234043,281.70212766,149
1,150,889.5,283.5,150
1,151,798.1,284.1,151
1,152,585.510638298,282.914893617,152
1,153,589.357142857,290.821428571,153
1,154,732.333333333,292.0,154
1,155,896.444444444,293.055555556,155
1,156,571.641025641,298.0,156
1,157,810.315789474,296.842105263,157
1,158,891.333333333,297.666666667,158
1,159,569.870967742,304.580645161,159
1,160,626.230769231,301.769230769,160
1,161,901.545454545,301.545454545,161
1,162,609.2,303.7,162
1,163,807.327102804,306.53271028,163
1,164,870.266666667,304.933333333,164
1,165,891.891891892,305.162162162,165
1,166,874.666666667,305.625,166
1,167,749.095238095,309.142857143,167
1,168,871.692307692,308.538461538,168
1,169,883.471153846,311.653846154,169
1,170,873.785714286,312.214285714,170
1,171,903.457142857,312.357142857,171
1,172,888.192307692,311.807692308,172
1,173,748.5,316.0,173
1,174,574.3,316.75,174
1,175,894.125,316.5,175
1,176,568.166666667,315.95,176
1,177,887.294117647,321.941176471,177
1,178,900.152284264,324.406091371,178
1,179,565.80952381,324.404761905,179
1,180,879.888888889,324.055555556,180
1,181,765.125,325.25,181
1,182,895.217391304,328.913043478,182
1,183,884.289473684,327.421052632,183
1,184,821.125,332.125,184
1,185,824.9375,331.6875,185
1,186,563.066666667,332.977777778,186
1,187,863.0,332.5,187
1,188,896.2,333.3,188
1,189,890.333333333,334.5,189
1,190,886.538461538,334.615384615,190
1,191,856.0,336.0,191
1,192,669.807692308,338.538461538,192
1,193,909.869565217,337.347826087,193
1,194,562.285714286,339.5,194
1,195,771.142857143,337.964285714,195
1,196,853.5,339.333333333,196
1,197,665.416666667,339.833333333,197
1,198,900.702702703,339.72972973,198
1,199,567.090909091,341.636363636,199
1,200,875.131578947,342.631578947,200
1,201,882.730769231,342.333333333,201
1,202,868.828125,339.875,202
1,203,894.605263158,343.605263158,203
1,204,861.925925926,345.962962963,204
1,205,901.26,347.0,205
1,206,757.111111111,348.333333333,206
1,207,867.120689655,348.568965517,207
1,208,906.125,346.25,208
1,209,916.189189189,344.081081081,209
1,210,811.954545455,348.0,210
1,211,908.710526316,352.0,211
1,212,559.25,351.333333333,212
1,213,850.636363636,350.090909091,213
1,214,893.736842105,352.157894737,214
1,215,856.965517241,351.126436782,215
1,216,556.0,353.307692308,216
1,217,849.8125,353.6875,217
1,218,916.7,353.96,218
1,219,909.142857143,356.928571429,219
1,220,884.1875,356.875,220
1,221,845.540540541,357.864864865,221
1,222,558.891891892,359.513513514,222
1,223,907.571428571,360.857142857,223
1,224,927.805970149,364.149253731,224
1,225,903.162162162,365.243243243,225
1,226,919.0,363.650485437,226
1,227,807.742857143,366.6,227
1,228,800.966666667,367.9,228
1,229,627.534482759,368.362068966,229
1,230,793.619047619,368.571428571,230
1,231,797.351351351,371.216216216,231
1,232,835.166666667,368.916666667,232
1,233,926.852941176,370.794117647,233
1,234,558.0,370.333333333,234
1,235,901.384615385,370.615384615,235
1,236,932.575,371.85,236
1,237,561.578947368,372.105263158,237
1,238,790.52173913,371.391304348,238
1,239,738.529411765,373.352941176,239
1,240,555.666666667,375.851851852,240
1,241,572.5,375.0,241
1,242,779.847826087,375.25,242
1,243,938.947368421,375.947368421,243
1,244,568.25,376.0,244
1,245,790.862385321,377.449541284,245
1,246,800.795698925,378.946236559,246
1,247,945.0,375.3125,247
1,248,681.368421053,376.552631579,248
1,249,550.125,378.875,249
1,250,742.733333333,379.166666667,250
1,251,773.560606061,380.196969697,251
1,252,827.125,379.0,252
1,253,833.025641026,380.256410256,253
1,254,558.185185185,380.925925926,254
1,255,747.0,381.0,255
1,256,752.538461538,381.384615385,256
1,257,758.625,381.333333333,257
1,258,766.655737705,382.442622951,258
1,259,550.625,382.9375,259
1,260,845.450704225,384.084507042,260
1,261,562.956521739,386.52173913,261
1,262,946.432432432,385.472972973,262
1,263,559.75,386.75,263
1,264,694.666666667,389.0,264
1,265,764.125,387.875,265
1,266,771.5,388.5,266
1,267,891.789473684,389.842105263,267
1,268,550.111111111,392.333333333,268
1,269,553.0,392.6,269
1,270,692.5,393.0,270
1,271,888.636363636,392.818181818,271
1,272,843.263157895,393.789473684,272
1,273,739.875,395.125,273
1,274,883.044776119,395.865671642,274
1,275,949.62962963,396.333333333,275
1,276,676.28358209,396.820895522,276
1,277,759.333333333,397.466666667,277
1,278,683.152941176,399.905882353,278
1,279,948.928571429,401.642857143,279
1,280,563.083333333,402.833333333,280
1,281,678.044117647,405.632352941,281
1,282,550.952380952,406.380952381,282
1,283,950.189189189,407.297297297,283
1,284,676.079365079,411.428571429,284
1,285,954.710526316,407.052631579,285
1,286,591.432835821,412.611940299,286
1,287,880.0,414.0,287
1,288,958.662162162,416.472972973,288
1,289,845.56,413.64,289
1,290,953.222222222,416.644444444,290
1,291,790.571428571,422.619047619,291
1,292,553.0,423.05,292
1,293,957.48,424.42,293
1,294,957.0,429.222222222,294
1,295,889.625,431.625,295
1,296,958.69047619,433.666666667,296
1,297,962.64516129,429.838709677,297
1,298,781.5,431.583333333,298
1,299,966.380952381,432.80952381,299
1,300,543.933333333,434.2,300
1,301,864.423076923,434.974358974,301
1,302,781.342857143,436.257142857,302
1,303,540.636363636,434.954545455,303
1,304,646.083333333,435.75,304
1,305,856.25,436.291666667,305
1,306,883.619047619,435.952380952,306
1,307,891.333333333,435.083333333,307
1,308,658.533333333,437.6,308
1,309,716.869565217,437.195652174,309
1,310,870.777777778,437.296296296,310
1,311,536.842105263,437.157894737,311
1,312,620.5,437.8,312
1,313,628.115384615,437.692307692,313
1,314,640.208333333,437.791666667,314
1,315,804.761904762,437.714285714,315
1,316,879.68,438.64,316
1,317,618.125,439.875,317
1,318,633.606060606,440.363636364,318
1,319,699.461538462,440.384615385,319
1,320,962.422857143,445.051428571,320
1,321,968.6,439.8,321
1,322,658.947368421,444.210526316,322
1,323,864.411764706,442.882352941,323
1,324,535.833333333,444.433333333,324
1,325,621.6,445.066666667,325
1,326,821.2,446.4,326
1,327,825.5,446.0,327
1,328,859.869565217,445.913043478,328
1,329,900.351648352,444.164835165,329
1,330,594.083333333,447.666666667,330
1,331,968.537634409,450.64516129,331
1,332,816.5,448.5,332
1,333,600.05,450.25,333
1,334,535.111111111,451.472222222,334
1,335,856.409090909,451.0,335
1,336,897.72,452.78,336
1,337,764.058823529,452.0,337
1,338,768.166666667,452.166666667,338
1,339,851.5,452.2,339
1,340,601.0,454.692307692,340
1,341,615.764705882,453.058823529,341
1,342,946.888888889,456.333333333,342
1,343,616.307692308,459.0,343
1,344,958.846153846,460.0,344
1,345,964.148148148,459.222222222,345
1,346,609.655172414,460.724137931,346
1,347,949.08,460.56,347
1,348,968.340425532,462.468085106,348
1,349,939.571428571,464.214285714,349
1,350,611.034482759,466.068965517,350
1,351,835.894736842,464.052631579,351
1,352,676.12195122,464.756097561,352
1,353,964.0,465.592592593,353
1,354,972.139534884,467.976744186,354
1,355,974.981818182,464.109090909,355
1,356,833.333333333,467.75,356
1,357,967.886363636,471.863636364,357
1,358,535.774193548,471.580645161,358
1,359,530.555555556,472.777777778,359
1,360,822.66,471.38,360
1,361,563.676470588,476.411764706,361
1,362,566.791666667,474.166666667,362
1,363,829.263157895,474.263157895,363
1,364,979.728571429,473.357142857,364
1,365,974.282051282,477.051282051,365
1,366,825.0,478.84,366
1,367,540.5,479.5,367
1,368,570.166666667,478.277777778,368
1,369,980.470588235,479.823529412,369
1,370,537.16,480.8,370
1,371,808.666666667,480.666666667,371
1,372,922.125,480.875,372
1,373,569.62962963,481.592592593,373
1,374,542.75,483.458333333,374
1,375,563.941176471,483.235294118,375
1,376,971.125,482.666666667,376
1,377,555.961538462,483.557692308,377
1,378,823.111111111,485.0,378
1,379,840.683760684,484.658119658,379
1,380,984.135135135,483.216216216,380
1,381,978.715277778,489.625,381
1,382,972.653846154,490.038461538,382
1,383,834.666666667,491.666666667,383
1,384,524.175438596,492.350877193,384
1,385,752.0,492.5,385
1,386,718.272727273,493.909090909,386
1,387,817.444444444,495.222222222,387
1,388,986.596774194,494.435483871,388
1,389,972.081081081,496.864864865,389
1,390,814.5,498.5,390
1,391,980.903225806,499.35483871,391
1,392,522.5,501.857142857,392
1,393,750.913793103,500.965517241,393
1,394,982.75862069,502.827586207,394
1,395,824.746478873,505.943661972,395
1,396,972.794117647,502.558823529,396
1,397,977.019607843,506.294117647,397
1,398,819.411764706,506.882352941,398
1,399,522.5,507.5,399
1,400,672.444444444,508.111111111,400
1,401,727.086956522,508.608695652,401
1,402,985.0,508.327868852,402
1,403,585.111111111,509.0,403
1,404,753.126582278,512.164556962,404
1,405,979.695652174,512.347826087,405
1,406,986.75,515.159090909,406
1,407,517.727272727,513.545454545,407
1,408,690.303571429,515.642857143,408
1,409,748.041666667,517.416666667,409
1,410,811.5,516.5,410
1,411,981.157894737,516.736842105,411
1,412,530.535714286,516.642857143,412
1,413,780.25,518.583333333,413
1,414,520.140625,517.21875,414
1,415,798.0,521.842105263,415
1,416,705.727272727,524.672727273,416
1,417,774.5,522.8,417
1,418,795.25,525.107142857,418
1,419,936.142857143,522.857142857,419
1,420,939.80952381,521.857142857,420
1,421,518.875,524.625,421
1,422,802.729166667,524.604166667,422
1,423,697.818181818,526.519480519,423
1,424,792.0,528.076923077,424
1,425,965.466666667,527.866666667,425
1,426,535.928571429,528.5,426
1,427,802.666666667,530.592592593,427
1,428,645.613636364,530.409090909,428
1,429,517.837837838,533.324324324,429
1,430,641.888888889,533.111111111,430
1,431,788.642857143,531.857142857,431
1,432,796.71875,531.640625,432
1,433,990.67896679,530.173431734,433
1,434,538.159090909,533.522727273,434
1,435,764.87804878,532.609756098,435
1,436,784.424242424,534.212121212,436
1,437,543.107142857,534.928571429,437
1,438,672.548387097,535.0,438
1,439,718.666666667,535.111111111,439
1,440,791.105263158,535.789473684,440
1,441,536.222222222,538.444444444,441
1,442,610.5,537.0,442
1,443,649.111111111,536.666666667,443
1,444,620.5,538.75,444
1,445,661.787878788,542.090909091,445
1,446,693.388888889,541.111111111,446
1,447,516.65,544.55,447
1,448,625.88,545.88,448
1,449,514.0,551.745454545,449
1,450,998.235294118,545.717647059,450
1,451,624.473684211,550.263157895,451
1,452,994.655172414,550.293103448,452
1,453,970.380952381,552.428571429,453
1,454,1003.37837838,554.189189189,454
1,455,518.0,557.0,455
1,456,714.461538462,558.846153846,456
1,457,998.5,560.242424242,457
1,458,1006.42105263,558.473684211,458
1,459,738.264705882,565.411764706,459
1,460,689.391304348,564.260869565,460
1,461,1006.62962963,564.907407407,461
1,462,512.282051282,567.051282051,462
1,463,522.533333333,568.333333333,463
1,464,1007.06666667,570.2,464
1,465,999.936708861,571.253164557,465
1,466,671.857142857,573.5,466
1,467,885.833333333,574.214285714,467
1,468,508.8,575.0,468
1,469,877.783783784,575.216216216,469
1,470,512.333333333,577.625,470
1,471,832.896551724,576.896551724,471
1,472,669.666666667,578.4,472
1,473,881.44,578.8,473
1,474,1005.65644172,581.570552147,474
1,475,506.928571429,579.714285714,475
1,476,874.1875,580.5,476
1,477,831.054054054,582.554054054,477
1,478,902.666666667,582.111111111,478
1,479,995.775,583.075,479
1,480,577.226415094,584.188679245,480
1,481,823.0,583.0,481
1,482,868.666666667,583.133333333,482
1,483,971.695652174,582.826086957,483
1,484,506.3125,584.0625,484
1,485,669.709677419,584.0,485
1,486,699.8,585.0,486
1,487,807.222222222,585.333333333,487
1,488,820.086956522,585.782608696,488
1,489,638.0,586.2,489
1,490,801.47826087,586.47826087,490
1,491,824.230769231,586.615384615,491
1,492,510.346938776,584.836734694,492
1,493,813.333333333,587.6,493
1,494,1006.88888889,589.944444444,494
1,495,504.636363636,588.454545455,495
1,496,617.617647059,592.117647059,496
1,497,1008.48,592.92,497
1,498,502.36,594.84,498
