ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,693.0,48.9361702128,1
1,2,705.666666667,170.5,2
1,3,881.75,238.583333333,3
1,4,886.8125,285.625,4
1,5,853.8125,291.375,5
1,6,884.210526316,292.052631579,6
1,7,804.357142857,301.214285714,7
1,8,835.6,307.133333333,8
1,9,847.256410256,348.205128205,9
1,10,855.05,353.45,10
1,11,871.466666667,353.4,11
1,12,840.289473684,356.631578947,12
1,13,825.62962963,356.740740741,13
1,14,819.380952381,359.119047619,14
1,15,859.941176471,358.588235294,15
1,16,864.739130435,359.47826087,16
1,17,824.880952381,363.428571429,17
1,18,830.62962963,364.444444444,18
1,19,725.622222222,366.0,19
1,20,812.636363636,367.636363636,20
1,21,813.393939394,371.454545455,21
1,22,853.514285714,367.904761905,22
1,23,834.0,374.076923077,23
1,24,814.5,376.0,24
1,25,844.678571429,376.5,25
1,26,831.184210526,380.868421053,26
1,27,824.783783784,380.567567568,27
1,28,839.25,381.916666667,28
1,29,835.2,384.457142857,29
1,30,818.75,384.339285714,30
1,31,832.0,387.346153846,31
1,32,827.842105263,388.0,32
1,33,809.056338028,387.507042254,33
1,34,812.983606557,391.606557377,34
1,35,824.3125,391.895833333,35
1,36,807.5,399.35,36
1,37,825.034482759,399.206896552,37
1,38,719.641025641,401.692307692,38
1,39,813.384615385,402.384615385,39
1,40,820.833333333,404.833333333,40
1,41,826.642857143,405.785714286,41
1,42,713.913043478,406.630434783,42
1,43,803.888888889,407.111111111,43
1,44,816.5,408.058823529,44
1,45,822.333333333,409.0,45
1,46,821.3,412.8,46
1,47,961.6,428.066666667,47
1,48,948.16,432.24,48
1,49,961.857142857,432.404761905,49
1,50,961.206896552,438.482758621,50
1,51,845.0,442.261904762,51
1,52,961.705882353,444.676470588,52
1,53,843.212121212,446.666666667,53
1,54,627.5,451.285714286,54
1,55,962.689655172,451.988505747,55
1,56,866.146341463,458.463414634,56
1,57,965.666666667,459.688888889,57
1,58,603.125,464.125,58
1,59,966.325,467.0625,59
1,60,971.652173913,466.52173913,60
1,61,873.473684211,471.842105263,61
1,62,973.052631579,473.315789474,62
1,63,968.777777778,474.5,63
1,64,799.5,482.5,64
1,65,956.473684211,486.368421053,65
1,66,680.260869565,490.217391304,66
1,67,957.666666667,491.0,67
1,68,966.666666667,496.111111111,68
1,69,805.620689655,501.965517241,69
1,70,814.083333333,502.604166667,70
1,71,820.842105263,502.842105263,71
1,72,852.0,506.1875,72
1,73,972.125,505.0,73
1,74,804.0,506.2,74
1,75,722.742857143,507.885714286,75
1,76,550.357142857,512.214285714,76
1,77,973.658536585,513.317073171,77
1,78,796.181818182,514.545454545,78
1,79,805.551724138,513.086206897,79
1,80,710.0,521.419354839,80
1,81,787.16091954,521.172413793,81
1,82,798.135135135,522.027027027,82
1,83,805.8125,521.375,83
1,84,546.266666667,525.933333333,84
1,85,724.552631579,524.552631579,85
1,86,796.402985075,529.029850746,86
1,87,552.391304348,526.347826087,87
1,88,779.5,527.0,88
1,89,728.341463415,528.0,89
1,90,784.225806452,528.096774194,90
1,91,803.078947368,528.0,91
1,92,746.868421053,528.105263158,92
1,93,791.173913043,529.826086957,93
1,94,818.0,528.5,94
1,95,633.583333333,530.625,95
1,96,768.139534884,530.976744186,96
1,97,973.214285714,531.071428571,97
1,98,763.342857143,535.685714286,98
1,99,789.32,533.88,99
1,100,742.681818182,535.545454545,100
1,101,793.045454545,536.272727273,101
1,102,593.76,536.68,102
1,103,745.888888889,538.722222222,103
1,104,542.0,540.0,104
1,105,596.9375,540.0625,105
1,106,758.166666667,540.0,106
1,107,592.971428571,542.114285714,107
1,108,742.590909091,540.954545455,108
1,109,810.95,544.466666667,109
1,110,719.5,544.0,110
1,111,723.675,544.675,111
1,112,779.5,543.714285714,112
1,113,795.0,543.611111111,113
1,114,799.408450704,542.85915493,114
1,115,779.5,548.0,115
1,116,718.85,549.6,116
1,117,710.969230769,548.784615385,117
1,118,792.795180723,551.638554217,118
1,119,700.875,551.875,119
1,120,756.740740741,552.203703704,120
1,121,806.5,552.0,121
1,122,782.4,553.6,122
1,123,715.363636364,554.090909091,123
1,124,778.102040816,555.102040816,124
1,125,801.125,552.875,125
1,126,576.25,555.583333333,126
1,127,734.0,555.625,127
1,128,772.885714286,553.685714286,128
1,129,788.277777778,555.722222222,129
1,130,797.875,556.75,130
1,131,814.047619048,555.214285714,131
1,132,790.157894737,559.473684211,132
1,133,817.352941176,558.823529412,133
1,134,810.263157895,560.245614035,134
1,135,804.333333333,559.888888889,135
1,136,771.4625,559.7625,136
1,137,788.95,564.85,137
1,138,778.125,564.125,138
1,139,685.352941176,565.411764706,139
1,140,702.333333333,565.5,140
1,141,781.0,565.0,141
1,142,796.684210526,564.2,142
1,143,813.8125,568.5625,143
1,144,670.125,566.125,144
1,145,667.333333333,567.0,145
1,146,772.6,567.6,146
1,147,809.452830189,569.150943396,147
1,148,710.363636364,571.090909091,148
1,149,802.111111111,570.888888889,149
1,150,771.68,572.82,150
1,151,777.673913043,571.739130435,151
1,152,782.352941176,572.588235294,152
1,153,805.25,573.3125,153
1,154,797.277777778,573.222222222,154
1,155,801.6,574.4,155
1,156,824.931818182,575.159090909,156
1,157,655.766666667,575.366666667,157
1,158,687.074074074,575.962962963,158
1,159,710.757575758,575.575757576,159
1,160,724.785714286,576.285714286,160
1,161,791.684210526,576.815789474,161
1,162,784.4,578.2,162
1,163,710.857142857,579.80952381,163
1,164,777.84,580.92,164
1,165,821.014084507,582.732394366,165
1,166,714.75,583.95,166
1,167,735.0,584.0,167
1,168,806.0,583.5,168
1,169,691.666666667,586.966666667,169
1,170,776.46875,587.53125,170
1,171,815.684210526,589.026315789,171
1,172,825.395348837,592.313953488,172
1,173,791.344827586,591.827586207,173
1,174,811.073684211,595.305263158,174
1,175,801.337662338,596.454545455,175
1,176,818.625,597.375,176
1,177,660.591836735,600.06122449,177
1,178,665.777777778,599.444444444,178
1,179,773.438202247,599.97752809,179
1,180,679.188679245,602.518867925,180
1,181,754.428571429,600.285714286,181
1,182,800.642857143,605.214285714,182
1,183,686.0,601.636363636,183
1,184,663.933333333,604.4,184
1,185,756.592592593,605.074074074,185
1,186,777.125,605.125,186
