ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,664.125,244.875,1
1,2,820.846153846,272.512820513,2
1,3,824.022727273,286.886363636,3
1,4,824.292682927,292.170731707,4
1,5,832.23943662,308.873239437,5
1,6,695.538461538,312.153846154,6
1,7,845.473684211,314.842105263,7
1,8,837.555555556,318.666666667,8
1,9,812.0,323.5,9
1,10,835.576271186,325.542372881,10
1,11,832.923076923,330.230769231,11
1,12,818.388888889,331.611111111,12
1,13,806.8,332.4,13
1,14,831.166666667,332.944444444,14
1,15,828.357142857,334.357142857,15
1,16,808.333333333,336.0,16
1,17,819.6,337.4,17
1,18,797.705882353,340.235294118,18
1,19,807.068965517,342.24137931,19
1,20,818.588235294,342.882352941,20
1,21,811.416666667,346.25,21
1,22,804.923076923,347.961538462,22
1,23,811.785714286,356.142857143,23
1,24,810.272727273,359.909090909,24
1,25,790.333333333,463.6,25
1,26,773.615384615,466.615384615,26
1,27,784.733333333,468.233333333,27
1,28,776.322580645,470.419354839,28
1,29,780.125,472.125,29
1,30,775.12,480.44,30
1,31,761.8,484.1,31
1,32,756.297297297,484.405405405,32
1,33,724.888888889,485.833333333,33
1,34,750.666666667,485.666666667,34
1,35,731.552631579,486.789473684,35
1,36,722.214285714,488.928571429,36
1,37,758.5,489.5,37
1,38,720.55,492.55,38
1,39,742.4,490.8,39
1,40,745.666666667,491.888888889,40
1,41,742.225806452,494.774193548,41
1,42,748.714285714,493.476190476,42
1,43,735.350877193,496.140350877,43
1,44,716.888888889,496.888888889,44
1,45,721.8,497.0,45
1,46,748.625,496.625,46
1,47,728.125,499.35,47
1,48,764.131147541,501.229508197,48
1,49,752.606060606,502.272727273,49
1,50,740.333333333,505.527777778,50
1,51,758.027027027,507.27027027,51
1,52,765.666666667,507.555555556,52
1,53,790.5,507.633333333,53
1,54,701.166666667,509.166666667,54
1,55,742.666666667,510.5,55
1,56,714.411764706,510.882352941,56
1,57,762.964285714,511.107142857,57
1,58,795.529411765,510.647058824,58
1,59,703.625,513.875,59
1,60,753.034482759,514.068965517,60
1,61,793.875,513.875,61
1,62,688.5,515.0,62
1,63,736.117647059,516.294117647,63
1,64,769.0,515.0,64
1,65,703.25,517.0,65
1,66,725.029411765,517.617647059,66
1,67,698.734693878,519.489795918,67
1,68,708.75,518.625,68
1,69,776.111111111,519.222222222,69
1,70,769.476190476,520.904761905,70
1,71,742.458333333,520.541666667,71
1,72,758.130434783,519.869565217,72
1,73,732.9375,521.75,73
1,74,778.2,522.1,74
1,75,727.0,524.0,75
1,76,723.846153846,525.384615385,76
1,77,749.333333333,525.466666667,77
1,78,806.3,525.4,78
1,79,788.7,526.76,79
1,80,796.38372093,525.523255814,80
1,81,692.142857143,527.119047619,81
1,82,701.4,527.04,82
1,83,738.720588235,526.588235294,83
1,84,779.021276596,527.382978723,84
1,85,679.820512821,531.205128205,85
1,86,756.378787879,529.287878788,86
1,87,713.552631579,530.763157895,87
1,88,766.266666667,531.7,88
1,89,809.333333333,531.666666667,89
1,90,734.607142857,532.571428571,90
1,91,728.179487179,532.974358974,91
1,92,746.625,534.75,92
1,93,776.44,534.96,93
1,94,672.0,536.5,94
1,95,745.083333333,538.0,95
1,96,760.148148148,537.888888889,96
1,97,767.035714286,539.232142857,97
1,98,719.724137931,538.793103448,98
