ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,657.0,223.0,1
1,2,714.75,263.65,2
1,3,719.125,265.875,3
1,4,779.888888889,293.333333333,4
1,5,788.578947368,328.947368421,5
1,6,786.642857143,333.214285714,6
1,7,769.222222222,341.592592593,7
1,8,759.5,355.423076923,8
1,9,758.166666667,359.25,9
1,10,745.666666667,418.0,10
1,11,749.555555556,418.111111111,11
1,12,628.928571429,465.857142857,12
1,13,625.236363636,466.672727273,13
1,14,644.909090909,481.0,14
1,15,655.2,485.5,15
1,16,657.9,486.8,16
1,17,657.736842105,490.0,17
1,18,689.5,514.285714286,18
1,19,616.611111111,518.111111111,19
1,20,625.722222222,532.444444444,20
1,21,741.161290323,533.0,21
1,22,622.421052632,535.157894737,22
1,23,735.736842105,534.263157895,23
1,24,585.714285714,549.5,24
1,25,637.666666667,552.111111111,25
1,26,672.5,552.5,26
1,27,639.0,556.0,27
1,28,605.769230769,556.230769231,28
1,29,727.285714286,559.357142857,29
1,30,658.818181818,563.090909091,30
1,31,655.5,566.285714286,31
1,32,647.529411765,573.176470588,32
1,33,590.0,576.666666667,33
1,34,827.625,577.4,34
1,35,587.166666667,577.583333333,35
1,36,775.846153846,579.461538462,36
1,37,679.692307692,582.461538462,37
1,38,616.64,587.84,38
1,39,658.8,589.0,39
1,40,603.875,595.875,40
1,41,696.0,599.5,41
1,42,822.5,606.333333333,42
1,43,536.8,610.0,43
1,44,593.0,610.0,44
1,45,766.137931034,614.0,45
1,46,788.714285714,615.657142857,46
1,47,921.875,621.875,47
1,48,619.25,622.583333333,48
1,49,606.25,624.083333333,49
1,50,725.727272727,624.272727273,50
1,51,616.0,648.272727273,51
1,52,652.5,648.1875,52
1,53,728.666666667,647.25,53
1,54,736.12745098,649.558823529,54
1,55,795.692307692,650.076923077,55
1,56,727.5,651.0,56
1,57,638.636363636,659.909090909,57
1,58,726.5,663.714285714,58
1,59,736.0,666.0,59
1,60,710.777777778,668.888888889,60
1,61,731.130434783,670.173913043,61
1,62,760.5,669.0,62
1,63,616.368421053,669.052631579,63
1,64,707.75,669.916666667,64
1,65,726.965517241,671.448275862,65
1,66,619.681818182,672.409090909,66
1,67,624.086956522,673.565217391,67
1,68,653.25,674.0,68
1,69,658.444444444,674.277777778,69
1,70,740.257142857,674.6,70
1,71,750.0,675.363636364,71
1,72,620.916666667,677.333333333,72
1,73,624.416666667,677.583333333,73
1,74,654.5625,679.25,74
1,75,704.285714286,681.642857143,75
1,76,675.578947368,683.789473684,76
1,77,719.0,687.0,77
1,78,709.777777778,687.111111111,78
1,79,658.941176471,691.705882353,79
1,80,652.285714286,693.485714286,80
1,81,728.6875,692.8125,81
1,82,629.769230769,694.230769231,82
1,83,664.75,694.0,83
1,84,671.875,694.875,84
1,85,668.166666667,696.916666667,85
1,86,670.375,698.75,86
1,87,697.793103448,699.862068966,87
1,88,629.0,700.0,88
1,89,690.655172414,702.551724138,89
1,90,696.6875,705.9375,90
1,91,588.909090909,708.909090909,91
1,92,714.384615385,710.384615385,92
1,93,612.352941176,710.764705882,93
1,94,672.172413793,712.068965517,94
1,95,684.875,713.875,95
1,96,651.75,724.5,96
1,97,655.705882353,724.294117647,97
1,98,653.151515152,729.03030303,98
1,99,779.363636364,759.545454545,99
1,100,759.367346939,768.408163265,100
1,101,795.3,768.6,101
1,102,706.636363636,772.909090909,102
1,103,885.0,787.0,103
1,104,882.111111111,788.333333333,104
1,105,797.294117647,810.705882353,105
