ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,715.842105263,13.1578947368,1
1,2,648.125,13.875,2
1,3,708.111111111,22.6666666667,3
1,4,707.75,26.3333333333,4
1,5,660.810526316,33.4421052632,5
1,6,739.842105263,40.1578947368,6
1,7,672.125,44.3333333333,7
1,8,757.266666667,50.8,8
1,9,680.911111111,53.6222222222,9
1,10,667.0,54.5,10
1,11,674.0,53.1627906977,11
1,12,666.125,62.125,12
1,13,704.875,62.875,13
1,14,719.844444444,66.9111111111,14
1,15,772.371428571,70.7142857143,15
1,16,652.5,74.1875,16
1,17,708.875,81.875,17
1,18,628.727272727,88.2272727273,18
1,19,687.083333333,88.0833333333,19
1,20,658.0,93.44,20
1,21,633.761904762,95.0952380952,21
1,22,656.0,96.7894736842,22
1,23,770.222222222,98.4444444444,23
1,24,778.25,100.95,24
1,25,639.2,106.0,25
1,26,819.46875,115.875,26
1,27,708.6,119.4,27
1,28,711.875,119.125,28
1,29,744.333333333,120.0,29
1,30,816.568627451,121.333333333,30
1,31,797.375,120.5625,31
1,32,711.933333333,122.266666667,32
1,33,811.5,122.5,33
1,34,799.588235294,123.882352941,34
1,35,803.36,124.32,35
1,36,810.772727273,126.545454545,36
1,37,730.384615385,131.384615385,37
1,38,767.5,133.0,38
1,39,651.875,133.875,39
1,40,820.545454545,137.909090909,40
1,41,693.3,139.7,41
1,42,807.111111111,142.5,42
1,43,724.5,143.5,43
1,44,774.8,146.0,44
1,45,791.7,146.7,45
1,46,827.125,145.875,46
1,47,668.8,151.5,47
1,48,822.818181818,151.909090909,48
1,49,660.875,153.125,49
1,50,822.875,155.791666667,50
1,51,835.913043478,162.869565217,51
1,52,627.181818182,164.090909091,52
1,53,827.818181818,165.181818182,53
1,54,799.884615385,176.269230769,54
1,55,844.914285714,190.171428571,55
1,56,725.5,191.0,56
1,57,845.459016393,200.147540984,57
1,58,653.181818182,203.545454545,58
1,59,583.833333333,212.416666667,59
1,60,734.0,213.982758621,60
1,61,583.0,215.0,61
1,62,584.782608696,217.304347826,62
1,63,854.981481481,220.907407407,63
1,64,777.058823529,222.411764706,64
1,65,746.111111111,229.666666667,65
1,66,609.65,233.1,66
1,67,853.0,233.789473684,67
1,68,857.5,236.111111111,68
1,69,624.4,239.511111111,69
1,70,853.44,239.56,70
1,71,573.853146853,240.153846154,71
1,72,778.030769231,241.138461538,72
1,73,595.384615385,244.230769231,73
1,74,843.611111111,244.777777778,74
1,75,741.5,246.0,75
1,76,668.466666667,247.666666667,76
1,77,575.409090909,249.863636364,77
1,78,599.212121212,250.424242424,78
1,79,680.0,249.8,79
1,80,641.882352941,251.470588235,80
1,81,671.166666667,251.0,81
1,82,778.8,251.0,82
1,83,570.586206897,252.724137931,83
1,84,598.285714286,254.714285714,84
1,85,650.0,255.0,85
1,86,644.818181818,254.954545455,86
1,87,569.384615385,257.038461538,87
1,88,571.444444444,261.925925926,88
1,89,851.409090909,265.488636364,89
1,90,583.285714286,265.5,90
1,91,785.115384615,267.115384615,91
1,92,611.5,269.0,92
1,93,632.8,269.0,93
1,94,766.875,270.875,94
1,95,682.694444444,273.055555556,95
1,96,585.117647059,272.588235294,96
1,97,602.321428571,274.892857143,97
1,98,775.363636364,276.363636364,98
1,99,633.965517241,278.034482759,99
1,100,586.862068966,279.103448276,100
1,101,805.34375,279.6875,101
1,102,749.15,281.35,102
1,103,772.25,280.9375,103
1,104,584.578947368,282.263157895,104
1,105,799.615384615,281.307692308,105
1,106,589.0,283.0,106
1,107,622.0,282.8,107
1,108,658.684210526,282.526315789,108
1,109,789.862068966,282.275862069,109
1,110,662.148148148,284.037037037,110
1,111,752.428571429,283.714285714,111
1,112,804.829268293,284.658536585,112
1,113,845.6,284.714285714,113
1,114,575.176470588,283.941176471,114
1,115,597.733333333,285.666666667,115
1,116,816.657142857,284.657142857,116
1,117,563.846153846,286.346153846,117
1,118,747.875,285.875,118
1,119,849.2,286.68,119
1,120,572.318181818,286.363636364,120
1,121,873.701923077,289.634615385,121
1,122,612.84375,289.359375,122
1,123,641.5,288.714285714,123
1,124,841.84,289.4,124
1,125,758.363636364,289.545454545,125
1,126,833.25,289.666666667,126
1,127,844.764705882,291.705882353,127
1,128,562.181818182,292.5,128
1,129,632.733333333,293.066666667,129
1,130,835.384615385,294.384615385,130
1,131,677.263157895,295.421052632,131
1,132,708.5,295.2,132
1,133,862.391304348,295.652173913,133
1,134,563.735294118,295.852941176,134
1,135,783.822222222,297.622222222,135
1,136,604.857142857,298.714285714,136
1,137,679.714285714,297.642857143,137
1,138,775.631578947,297.631578947,138
1,139,570.363636364,299.363636364,139
1,140,646.466666667,298.966666667,140
1,141,675.2,298.5,141
1,142,573.709677419,300.709677419,142
1,143,577.333333333,300.703703704,143
1,144,593.0,300.0,144
1,145,676.0,301.0,145
1,146,838.1,301.2,146
1,147,787.532258065,302.548387097,147
1,148,656.384615385,304.384615385,148
1,149,641.0,304.294117647,149
1,150,647.625,304.75,150
1,151,842.088888889,306.222222222,151
1,152,792.0,305.833333333,152
1,153,856.028571429,306.857142857,153
1,154,644.8,307.1,154
1,155,697.15,307.35,155
1,156,664.333333333,309.888888889,156
1,157,690.058823529,309.705882353,157
1,158,686.85,311.25,158
1,159,704.0,311.5,159
1,160,840.6,311.6,160
1,161,579.333333333,313.0,161
1,162,580.125,315.5,162
1,163,825.483870968,316.258064516,163
1,164,631.285714286,315.642857143,164
1,165,641.0,316.117647059,165
1,166,780.621621622,317.243243243,166
1,167,776.428571429,316.952380952,167
1,168,558.090909091,319.363636364,168
1,169,789.125,320.125,169
1,170,550.176470588,326.235294118,170
1,171,562.0,326.0,171
1,172,665.636363636,325.909090909,172
1,173,555.392857143,326.285714286,173
1,174,637.5,327.5,174
1,175,558.894736842,328.421052632,175
1,176,582.2,327.5,176
1,177,598.523809524,327.19047619,177
1,178,602.344827586,330.172413793,178
1,179,834.772727273,329.272727273,179
1,180,872.4,329.4,180
1,181,587.485714286,330.0,181
1,182,848.285714286,330.5,182
1,183,552.366666667,331.366666667,183
1,184,805.25,330.75,184
1,185,769.2,332.0,185
1,186,794.208333333,333.0,186
1,187,762.875,334.5,187
1,188,789.636363636,334.090909091,188
1,189,874.28125,332.75,189
1,190,883.811320755,333.603773585,190
1,191,541.875,336.125,191
1,192,596.5,336.25,192
1,193,745.625,335.625,193
1,194,879.617647059,335.970588235,194
1,195,593.384615385,337.538461538,195
1,196,791.6,337.0,196
1,197,623.0,338.066666667,197
1,198,894.772727273,336.590909091,198
1,199,542.75,338.875,199
1,200,598.875,339.125,200
1,201,553.8125,339.75,201
1,202,581.888888889,341.333333333,202
1,203,890.042553191,341.425531915,203
1,204,895.227272727,342.181818182,204
1,205,572.285714286,342.5,205
1,206,745.6,342.08,206
1,207,554.0,343.5,207
