ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,773.375,619.75,1
1,2,805.388888889,634.277777778,2
1,3,662.692307692,635.846153846,3
1,4,819.875,636.125,4
1,5,786.047619048,637.071428571,5
1,6,658.588235294,639.117647059,6
1,7,662.125,640.125,7
1,8,635.947368421,641.052631579,8
1,9,698.404255319,639.957446809,9
1,10,662.48,645.84,10
1,11,685.79245283,649.528301887,11
1,12,635.368421053,651.684210526,12
1,13,631.75,653.458333333,13
1,14,637.972222222,655.0,14
1,15,649.0,654.5,15
1,16,691.5,654.75,16
1,17,704.153846154,655.0,17
1,18,678.291666667,655.319444444,18
1,19,792.461538462,658.403846154,19
1,20,663.5,660.5,20
1,21,684.727272727,660.303030303,21
1,22,690.555555556,660.333333333,22
1,23,709.0,661.0,23
1,24,649.611111111,665.5,24
1,25,634.916666667,665.75,25
1,26,664.25,666.833333333,26
1,27,644.0,668.0,27
1,28,656.0,667.137931034,28
1,29,692.227272727,667.227272727,29
1,30,664.444444444,671.111111111,30
1,31,694.209302326,671.418604651,31
1,32,652.458333333,671.25,32
1,33,657.405405405,674.243243243,33
1,34,661.814814815,675.259259259,34
1,35,676.5,684.363636364,35
1,36,682.173913043,684.0,36
1,37,686.578947368,683.894736842,37
1,38,662.1,693.95,38
1,39,648.4,698.4,39
1,40,666.223529412,700.0,40
1,41,704.780487805,701.707317073,41
1,42,711.367346939,704.897959184,42
1,43,657.161290323,703.419354839,43
1,44,700.090909091,702.636363636,44
1,45,716.788461538,705.038461538,45
1,46,651.0,704.0,46
1,47,620.357142857,706.214285714,47
1,48,665.204545455,708.397727273,48
1,49,681.388888889,706.111111111,49
1,50,686.375,706.75,50
1,51,675.964912281,707.228070175,51
1,52,703.0,707.911764706,52
1,53,642.729166667,708.125,53
1,54,716.466666667,713.466666667,54
1,55,720.259259259,711.074074074,55
1,56,645.647058824,713.470588235,56
1,57,680.611111111,712.944444444,57
1,58,649.133333333,715.466666667,58
1,59,656.233009709,714.291262136,59
1,60,808.818181818,714.818181818,60
1,61,638.181818182,716.681818182,61
1,62,671.930379747,717.892405063,62
1,63,737.764705882,717.176470588,63
1,64,608.5,718.0,64
1,65,666.777777778,718.0,65
1,66,725.285714286,719.5,66
1,67,830.421052632,719.736842105,67
1,68,737.5,722.0,68
1,69,714.787878788,723.454545455,69
1,70,708.125,726.125,70
1,71,665.888888889,728.333333333,71
1,72,642.0,731.5,72
1,73,682.363636364,733.181818182,73
1,74,686.256410256,733.743589744,74
1,75,679.526315789,734.842105263,75
1,76,711.421052632,1047.73684211,76
1,77,687.333333333,1048.66666667,77
1,78,714.695652174,1048.39130435,78
1,79,700.159090909,1056.86363636,79
1,80,705.333333333,1055.51851852,80
1,81,702.142857143,1061.42857143,81
1,82,672.1,1063.43333333,82
1,83,704.818181818,1063.27272727,83
1,84,676.833333333,1065.35714286,84
1,85,702.888888889,1070.44444444,85
1,86,812.909090909,1070.63636364,86
1,87,667.692307692,1076.76923077,87
1,88,702.36,1076.24,88
1,89,697.666666667,1078.88888889,89
1,90,675.875,1093.125,90
1,91,803.904761905,1095.61904762,91
1,92,691.0,1095.5,92
1,93,675.575757576,1098.84848485,93
1,94,802.75,1099.5,94
1,95,693.461538462,1100.15384615,95
1,96,759.6875,1099.96875,96
1,97,667.057377049,1100.12295082,97
1,98,806.375,1103.25,98
1,99,766.362068966,1105.72413793,99
1,100,736.338709677,1106.09677419,100
1,101,673.285714286,1107.47619048,101
1,102,806.608695652,1108.47826087,102
1,103,692.057142857,1111.2,103
1,104,758.0,1112.0,104
1,105,688.363636364,1113.90909091,105
1,106,664.50877193,1116.21052632,106
1,107,692.375,1116.8125,107
1,108,688.230769231,1118.15384615,108
1,109,658.436363636,1121.92727273,109
1,110,653.810810811,1122.59459459,110
1,111,664.9,1123.05,111
1,112,800.034482759,1128.94252874,112
1,113,681.0,1134.5,113
1,114,748.461538462,1136.15384615,114
1,115,753.0,1135.875,115
1,116,759.6,1135.8,116
1,117,745.0,1137.69565217,117
1,118,813.714285714,1138.5,118
1,119,803.090909091,1138.63636364,119
1,120,683.5,1141.5,120
1,121,742.576923077,1142.07692308,121
1,122,772.695652174,1146.0,122
1,123,835.230769231,1151.76923077,123
1,124,769.857142857,1159.07142857,124
1,125,671.255555556,1159.83333333,125
1,126,665.444444444,1162.0,126
1,127,660.351351351,1163.78378378,127
1,128,667.0,1169.5,128
1,129,672.766666667,1173.06666667,129
1,130,769.75,1172.58333333,130
1,131,676.25,1174.3,131
1,132,683.529411765,1176.35294118,132
1,133,763.916666667,1178.66666667,133
1,134,769.277777778,1178.18518519,134
1,135,773.580645161,1179.5483871,135
1,136,690.642857143,1180.64285714,136
1,137,653.823529412,1183.17647059,137
1,138,764.631578947,1182.84210526,138
1,139,687.191176471,1184.52941176,139
1,140,715.3125,1186.0625,140
1,141,679.7625,1187.8375,141
1,142,685.454545455,1190.36363636,142
1,143,624.2,1190.0,143
1,144,675.5625,1192.5,144
1,145,713.35,1192.08333333,145
1,146,760.19,1191.72,146
1,147,850.666666667,1192.88888889,147
1,148,856.193548387,1192.4516129,148
1,149,639.125,1194.125,149
1,150,706.8,1197.0,150
1,151,662.0,1197.5,151
1,152,709.875,1198.125,152
1,153,715.033333333,1197.5,153
1,154,663.384615385,1201.38461538,154
1,155,679.947368421,1200.44736842,155
1,156,629.15,1203.3,156
1,157,676.333333333,1204.58333333,157
1,158,634.0,1203.34,158
1,159,747.666666667,1208.0,159
1,160,629.060606061,1209.0,160
1,161,751.35,1210.2,161
1,162,634.428571429,1210.54761905,162
1,163,693.416666667,1212.33333333,163
1,164,748.5,1213.22222222,164
1,165,666.0,1215.0,165
1,166,699.571428571,1216.38095238,166
1,167,750.666666667,1215.91666667,167
1,168,840.678571429,1217.0,168
1,169,630.444444444,1230.33333333,169
1,170,627.5,1233.0,170
1,171,756.933333333,1256.46666667,171
1,172,736.083333333,1259.16666667,172
1,173,692.5,1262.525,173
1,174,678.977272727,1264.13636364,174
1,175,686.481481481,1264.74074074,175
1,176,696.0,1267.33333333,176
1,177,683.111111111,1268.11111111,177
1,178,690.033333333,1268.33333333,178
1,179,733.943396226,1290.56603774,179
1,180,740.3,1292.05,180
1,181,735.615384615,1296.23076923,181
1,182,746.085365854,1297.32926829,182
1,183,832.538461538,1296.38461538,183
1,184,826.808333333,1302.05833333,184
1,185,684.0,1300.0,185
1,186,754.090909091,1301.36363636,186
1,187,829.882352941,1305.76470588,187
1,188,830.215384615,1313.12307692,188
1,189,860.714285714,1306.94285714,189
1,190,703.0,1309.0,190
1,191,824.6,1310.55,191
1,192,696.833333333,1310.72222222,192
1,193,854.4,1309.85,193
1,194,681.769230769,1312.34615385,194
1,195,699.19047619,1313.23809524,195
1,196,859.8125,1312.90625,196
1,197,777.764705882,1313.54901961,197
1,198,783.869565217,1314.39130435,198
1,199,855.357142857,1316.21428571,199
1,200,744.125,1322.125,200
1,201,735.0,1323.5,201
1,202,760.1875,1323.375,202
1,203,738.538461538,1324.15384615,203
1,204,735.894736842,1327.42105263,204
1,205,802.125,1328.125,205
1,206,776.688172043,1331.1827957,206
1,207,787.3,1332.7,207
1,208,873.615384615,1334.76923077,208
1,209,771.615384615,1336.53846154,209
1,210,792.622222222,1337.28888889,210
1,211,782.3125,1336.22916667,211
1,212,873.636363636,1337.90909091,212
1,213,882.8,1339.0,213
1,214,728.125,1344.125,214
1,215,837.833333333,1344.83333333,215
1,216,785.919117647,1346.44117647,216
1,217,842.8125,1348.1875,217
1,218,835.115384615,1349.73076923,218
1,219,732.174418605,1351.86046512,219
1,220,867.2,1353.2,220
1,221,862.564102564,1358.1025641,221
1,222,867.62962963,1360.11111111,222
1,223,722.7,1359.5,223
1,224,694.5,1364.5,224
1,225,766.272727273,1377.27272727,225
1,226,771.0,1379.5,226
1,227,801.905660377,1384.09433962,227
1,228,771.066666667,1386.76666667,228
1,229,838.0,1388.125,229
1,230,799.458333333,1391.43055556,230
1,231,845.875,1393.125,231
