ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,717.111111111,13.3333333333,1
1,2,705.714285714,17.5,2
1,3,713.4,19.36,3
1,4,708.764705882,20.0588235294,4
1,5,712.727272727,22.7272727273,5
1,6,733.671641791,38.223880597,6
1,7,738.277777778,42.2222222222,7
1,8,671.967213115,44.4098360656,8
1,9,729.5,45.1538461538,9
1,10,733.150943396,49.7735849057,10
1,11,671.948717949,51.3333333333,11
1,12,682.0,50.0,12
1,13,667.136363636,54.8181818182,13
1,14,751.647058824,55.4705882353,14
1,15,670.95,57.25,15
1,16,692.0,56.0,16
1,17,758.085714286,58.7142857143,17
1,18,699.1,63.2,18
1,19,707.100917431,63.8990825688,19
1,20,772.578947368,68.2631578947,20
1,21,780.166666667,74.4166666667,21
1,22,806.0,106.2,22
1,23,813.368421053,116.421052632,23
1,24,820.5,123.2,24
1,25,831.1,135.8,25
1,26,833.133333333,144.466666667,26
1,27,734.222222222,147.555555556,27
1,28,784.636363636,147.045454545,28
1,29,786.820895522,151.820895522,29
1,30,736.5,150.852941176,30
1,31,782.375,152.375,31
1,32,721.394366197,178.267605634,32
1,33,770.875,181.4875,33
1,34,763.409090909,182.954545455,34
1,35,726.969072165,185.93814433,35
1,36,718.016393443,186.180327869,36
1,37,721.9375,186.4375,37
1,38,765.52,191.0,38
1,39,767.7,205.9,39
1,40,859.727272727,205.454545455,40
1,41,574.5,210.5,41
1,42,593.264705882,213.294117647,42
1,43,862.295454545,213.454545455,43
1,44,865.557692308,222.269230769,44
1,45,868.206896552,231.172413793,45
1,46,593.453125,235.5,46
1,47,722.526315789,246.0,47
1,48,872.676470588,245.294117647,48
1,49,645.307692308,249.0,49
1,50,720.04,248.92,50
1,51,874.461538462,250.846153846,51
1,52,586.58974359,249.205128205,52
1,53,650.214285714,251.696428571,53
1,54,727.0,250.12,54
1,55,721.25,253.361111111,55
1,56,874.588235294,254.705882353,56
1,57,582.671641791,258.701492537,57
1,58,875.379310345,261.793103448,58
1,59,877.620689655,269.103448276,59
1,60,574.538461538,284.153846154,60
1,61,883.183486239,283.275229358,61
1,62,797.533333333,295.666666667,62
1,63,889.285714286,294.619047619,63
1,64,867.684210526,300.842105263,64
1,65,897.070707071,301.727272727,65
1,66,889.5625,312.25,66
1,67,683.59375,313.71875,67
1,68,685.272727273,318.454545455,68
1,69,905.87804878,321.170731707,69
1,70,912.08,319.8,70
1,71,623.25,322.1875,71
1,72,681.025641026,323.384615385,72
1,73,615.269230769,324.346153846,73
1,74,915.350877193,327.105263158,74
1,75,677.0,331.5,75
1,76,791.5,331.5,76
1,77,557.0,333.0,77
1,78,915.16,335.12,78
1,79,886.88,339.44,79
1,80,887.875,345.875,80
1,81,816.125,347.875,81
1,82,904.0,350.323529412,82
1,83,909.230769231,356.0,83
1,84,913.541666667,359.666666667,84
1,85,906.209302326,363.372093023,85
1,86,913.611111111,365.944444444,86
1,87,901.048780488,368.0,87
1,88,549.620689655,369.137931034,88
1,89,933.303030303,386.454545455,89
1,90,938.65,392.25,90
1,91,935.75,394.75,91
1,92,942.066666667,399.0,92
1,93,531.708333333,403.25,93
1,94,546.606060606,403.363636364,94
1,95,605.294117647,401.588235294,95
1,96,938.65625,402.625,96
1,97,609.523809524,403.285714286,97
1,98,613.380952381,408.238095238,98
1,99,946.912280702,409.192982456,99
1,100,791.5,410.818181818,100
1,101,900.0,414.0,101
1,102,791.385714286,417.257142857,102
1,103,947.764705882,421.647058824,103
