X,Y
0,0
0,6857
6857,0
6857,6857
657,223
715.0714286,263.75
719.25,265.5625
779.7142857,293.8571429
785.2222222,328.6666667
788.7692308,328.8461538
786.5,333.2727273
776.2,335
768.6097561,341.804878
759.5128205,355.3076923
758.0625,359.625
762.8125,371.375
788.25,383.5833333
790.6666667,385.2222222
766.1764706,417.6470588
745.7368421,417.8421053
749.7586207,417.7931034
655.8235294,429.5294118
626.0352941,466.8352941
645.25,480.2857143
742,486
656.4166667,485.9583333
657.4137931,490.2413793
661.5,502.5
688.9333333,514.3666667
616.8666667,518.1
624.559322,532.9830508
778.5,532.2857143
741.6829268,532.6585366
624.25,536.125
735.4074074,534.6296296
733.4666667,539.1333333
673.8333333,547.8333333
741.8125,547.375
585.7307692,549.3076923
637.7333333,552.0666667
672.15,552.55
722.2142857,553.4285714
728.875,552.875
585.6363636,555.0909091
638.4333333,556.3
605.68,556.64
601.8,557.3333333
679.125,558.125
727.2692308,559.2307692
658.85,563.3
637.7142857,563.8571429
655.1818182,566.2727273
777.1111111,570.6666667
647.7837838,573.4054054
599.0833333,576.5
827.4705882,577.2941176
588.1136364,577.6818182
776,579.5
645,581.5
679.5348837,582.1860465
617.075,587.625
659.3043478,589.3043478
885.5,593.1666667
603.8823529,595.5882353
696.1304348,599.6521739
669.3684211,603.2631579
504.4615385,603.9230769
509.5555556,604.8888889
822.4761905,606.0952381
530.3,608.7
537,609.7894737
593.2608696,610.0434783
765.75,613.9722222
788.7636364,616.0909091
757.5882353,615.8823529
768.75,617.75
921.6,621.6
619.8928571,622.2857143
606.05,624.25
725.9130435,624.6521739
718.125,631.625
614.9166667,638.8333333
616.0434783,648.5217391
652.5,648.5
739.3521127,649.3661972
655.625,649.75
732.6603774,650.1320755
795.875,649.9583333
727.4571429,649.6571429
643.4,657.4
638.2222222,659.7777778
503.9,662.05
726.2916667,664.125
704.5,666.8333333
735.85,665.9
765.3333333,667.1111111
649,667.8
625.875,668.875
710.7,668.25
731.6486486,670.2702703
760.6666667,668.8571429
616.5,668.59375
707.5714286,670.0952381
726.7857143,671.7857143
702.5555556,671.7777778
605,673
619.7307692,672.1923077
608.9375,673.6875
624.7419355,673.3870968
652.8125,673.6875
658.8064516,673.483871
674.0769231,675.1538462
740.0666667,674.3111111
749.85,675.25
620.5,677.5
703.25,676.9166667
716.2,675.6
609.25,677.875
624.5625,677.8125
654.4,680.0222222
659.3,678.4
750,679.375
612.1875,678.9375
615.4375,681.5
680.6666667,681.5833333
743.6470588,680.7647059
672.1111111,681.7777778
704.3684211,681.9473684
675.4827586,683.7931034
690.6153846,683.6153846
643.8823529,686.7058824
719.8214286,685.75
709.4545455,687.7272727
654.1,688.2
718.4,690.6
658.8888889,691.4444444
652.0517241,693.862069
728.6153846,692.5769231
630,694.1428571
664.4814815,693.7037037
672.3157895,694.5263158
668.0625,696.875
675.5,695.5
670.6428571,699.2142857
697.6,699.95
628.9090909,699.9090909
756.1111111,701.3333333
690.372093,702.3255814
696.8,706.12
511.875,707.875
588.6470588,708.9117647
714.4285714,710.6190476
612.28,711.2
693.1111111,711.3333333
672.3181818,711.7727273
684.8571429,713.9285714
651.25,724.5
656.2,723.88
653.106383,729.3191489
696.125,742.125
614.125,744.875
779.5,759.5
759.3275862,768.1896552
796.1764706,768.1176471
706.55,772.65
885.5,786.7142857
882.2142857,788.3571429
495.5333333,810.8666667
797.2,810.44
494.75,814.5833333
844.7058824,815.2941176
841.5333333,817.8666667
476.8571429,825.3571429
844.7777778,826.9444444
847.5294118,829.3529412
549.5,837.75
791.0666667,838.2666667
555.075,839.725
629.6,839.4
760.875,839.125
757.7142857,843.5
712.75,847.5625
582.52,859.12
610.95,859
589.4444444,861.8888889
585.1666667,863.2777778
581.5,865.5
620.4047619,868.2619048
624.6666667,870.4666667
584.0909091,871.3636364
701.3636364,872.9090909
704.8,873.1
933,877
929.8666667,878.5333333
653.2,883.2
610.1875,895.625
865.3333333,896.625
712.85,897.45
712.9230769,901.1923077
742.4545455,902.6363636
746.9545455,904.8181818
742.8666667,906.9333333
745.2941176,910.7058824
749,908.7142857
675.1470588,914.5294118
523.5813953,917.5581395
754,929.5
921.5,931.75
919.8648649,936.9189189
1012.466667,941.4222222
1017.742857,941.1142857
1013.333333,947.030303
603.0909091,956.2727273
445,958.952381
448.3333333,959
606.4615385,960.5
646.4,964.4
650.45,965.9
675.5,970.1875
649.025,974.125
832,979.5
690.4583333,983.0416667
668.3272727,987.5636364
714.0833333,988.1666667
679.1111111,988.3333333
693.5833333,988.75
662.2580645,993.5806452
667.9375,993.6875
673.7078652,997.2808989
656.6732673,995.4950495
526.2142857,994.4285714
699.9090909,995.2727273
667.3636364,996.9090909
646.9795918,998.244898
650.9230769,1002.423077
662.6764706,1001.088235
702.8125,1001.34375
656.5909091,1004.454545
660,1005.8
666.5806452,1005.870968
649.0833333,1007.833333
672.4102564,1008.230769
677.5,1009
654.0810811,1010.72973
666.7916667,1010.708333
717.1428571,1010.928571
763.8387097,1011.387097
856.5,1010.888889
648.5333333,1013.866667
679.5,1013.5
670.8947368,1015.157895
654.2380952,1017.071429
676.8333333,1019.083333
659.173913,1022
667.4545455,1023.818182
675.4666667,1025.033333
653.4516129,1026.806452
617.2631579,1027.789474
566.4444444,1030.111111
652.4,1030.7
628,1035.5
682.3529412,1035.411765
766,1038.5
759.2,1039.6
628.2156863,1041.490196
683.6666667,1043.166667
718,1045.2
778.5789474,1050.578947
739.6470588,1052.529412
610.3333333,1054.566667
614.8,1056.5
740.0294118,1056.705882
746.4782609,1057.086957
709.5714286,1059.642857
591.5,1060.25
638.2857143,1063.5
1010.5,1063
709.6363636,1063.363636
802.90625,1063.625
591.2727273,1064.727273
659.6153846,1066.384615
663.8421053,1067
712.234375,1067.046875
801.4666667,1068
606.5,1069.714286
627.4705882,1069.882353
759.125,1071.125
652.3636364,1073.545455
741.0434783,1074.869565
625.3888889,1077.277778
700.375,1077.4375
712.5294118,1076.382353
717.8333333,1076.904762
795.875,1077.125
742.05,1078.7
753.7916667,1079.375
706.7058824,1078.764706
638,1080
851,1079.5
644.3333333,1080.888889
749.0434783,1081.652174
772.2352941,1080.867647
754.7142857,1082.642857
787.5,1082.2
824.0384615,1082.269231
748.0909091,1086.363636
812.3478261,1087.304348
753.1818182,1086.977273
803.2777778,1088.611111
610.25,1089.4375
735.3513514,1089.378378
800.2222222,1090.555556
666.6153846,1092.076923
717.375,1093.208333
731.4666667,1092.266667
749.6,1094.4
730.9285714,1097.309524
746.8888889,1097.444444
772.4473684,1095.552632
795.28125,1097.75
801.5,1103.5
740.5555556,1105.777778
727,1105.465116
740.6315789,1110.894737
661.7777778,1109.611111
648.3333333,1116.888889
737.875,1116.875
801.25,1116.5625
719.7368421,1117.421053
819.1111111,1117.666667
715,1119.8
811.875,1119.125
830.4347826,1122.086957
723.5333333,1123.511111
977.8214286,1123.107143
666,1124.5
981.3703704,1126.481481
506.4166667,1129.416667
723.0714286,1129.785714
626.173913,1132
805.7368421,1132.052632
827.2857143,1132.333333
791,1133.5
642.5,1135.388889
646.0416667,1136.125
795.4651163,1137.023256
781.5411765,1135.682353
785.6111111,1141.666667
791.925,1140.325
647.0740741,1142.222222
778.9444444,1141.805556
939.125,1143.125
602.6363636,1149.090909
655.5909091,1150
692.5555556,1150.666667
778.0625,1152.0625
799.1333333,1154.733333
805.2692308,1154.461538
691.6764706,1155.558824
775.3333333,1157.111111
648.9615385,1156.846154
801.5,1157
818.7272727,1156.5
784.4705882,1159.352941
667.8888889,1161.333333
693.5454545,1162.181818
707.875,1161.875
742,1162.5
704.5555556,1163.111111
679.047619,1164.095238
775.3611111,1164.194444
632.6666667,1165.111111
721.7307692,1166.346154
806.3333333,1164.259259
701.5,1165.875
717.4545455,1166.181818
788.5,1165.714286
814.5,1166.125
671.7,1169.1
682.9130435,1168.695652
712.5555556,1169.777778
906.1875,1169.8125
628.75,1171.416667
799.375,1170.75
988.2,1171.85
813.8666667,1170.666667
687.3333333,1173.69697
775,1172.9
807.8181818,1171.522727
859.0434783,1172.608696
663.4642857,1175.285714
723.125,1175.125
793,1174.8
632.203125,1174.890625
682.8518519,1176.740741
710,1176.25
908.46875,1178.25
752.6186441,1176.516949
772.8125,1177.1875
687,1179.352941
705.8823529,1179.588235
904.56,1180
771.05,1181.65
722.4133333,1182
791.0625,1181.75
807.3333333,1181.333333
643.4390244,1184.536585
785.1428571,1181.061224
778.7222222,1184.527778
601.5882353,1185.117647
651.4366197,1186.492958
634.5882353,1186.882353
771.3636364,1186.818182
801.4117647,1188.882353
684.6428571,1189.285714
735.1578947,1189.631579
825.8505747,1189.321839
794.7014925,1188.567164
657.244186,1192.488372
720.3,1191.5
786.1414141,1190.030303
725.45,1191.8
731.05,1192.1
735.826087,1194
779.1818182,1193.318182
612.9090909,1194.363636
632.175,1194.125
685.5,1194.222222
789.7307692,1195.346154
646.721519,1193.835443
438.8333333,1195.416667
678.375,1194.625
752.1940299,1197.58209
839.6603774,1195.09434
832.2807018,1197
640.625,1197.916667
825.9615385,1196.653846
683,1199.64
666.4,1199.6
689.8152174,1203.48913
842.1111111,1200.222222
623.92,1202.8
678.6666667,1200.066667
773.25,1202.25
775.4666667,1206.8
832.6086957,1202.434783
673.4516129,1203.548387
754.1538462,1204.461538
808.12,1202.92
667.3928571,1204.053571
525.6666667,1205.888889
627.4,1205.6
685.625,1204.708333
803.0714286,1207.071429
652.3529412,1207.411765
677.4054054,1208.702703
683.75,1207.875
644.6,1209.6
671.7916667,1208.708333
842.5454545,1209.454545
516.6153846,1211.384615
778.6666667,1210
783.1071429,1210.642857
831.425,1211.9
1019.782609,1210.913043
625.125,1211.625
819.3529412,1212.588235
835.8571429,1212.333333
796.75,1213.625
661.3428571,1214.828571
729.3333333,1214.30303
828.7368421,1216.157895
669.6415094,1217.943396
719.5,1218.8
689.7083333,1219.875
768.5,1221.5
620.68,1221.6
815.3636364,1222.545455
687.875,1224.541667
694.6551724,1223.034483
642.1111111,1225.333333
668.8064516,1224.83871
684.75,1227.666667
581.2058824,1228.823529
593.2,1229.24
671.137931,1229.758621
693.5882353,1230.911765
845.5333333,1228.666667
684.375,1230.375
688.5384615,1230.307692
622.1707317,1232.682927
664,1229.8
762,1231
581.3636364,1233.909091
670.3333333,1234.142857
762,1234.333333
599,1235.210526
714.1176471,1235
605.75,1236.416667
673.55,1236.65
717.5,1237
863.1515152,1236.848485
602.1333333,1238.466667
691,1239
719.125,1239.875
456.4920635,1239.47619
675.9210526,1240.342105
737.3684211,1241.368421
743.1111111,1241.333333
721.9583333,1243.708333
856.4705882,1245.705882
679.4347826,1246.021739
754.875,1245.875
606.8571429,1246.5
656.9,1247.633333
743.2162162,1248.918919
673,1248.666667
734,1249
737.78,1247.54
852.3571429,1249.285714
863.4074074,1250.740741
843.8888889,1250.333333
748.5,1250.833333
612.8333333,1253.645833
626.6969697,1253.318182
731.2758621,1252.747126
752.875,1251.875
797,1252.5
714.1428571,1254.178571
719.5,1253.5
705.3157895,1254.842105
739.6666667,1254.121212
793.4285714,1254.785714
634,1256.3
637,1255.333333
604.1875,1256.4375
630.75,1257.25
678.5,1257.25
717.1111111,1257.722222
860.8,1257.85
621,1258.818182
683.9090909,1259.363636
725.9,1258.8
710.9428571,1259.2
722.4666667,1259.666667
754.3333333,1260.142857
623.5588235,1261.735294
630.52,1260.92
760.1578947,1260.438596
725.2777778,1262.333333
803.7586207,1262.137931
701.0714286,1263.857143
602.5,1266
731.0833333,1266.583333
632.1666667,1267.833333
667.6666667,1267.444444
807.1111111,1267.833333
620.9,1268.2
663.2068966,1268.068966
694.875,1268.125
716.5238095,1267.619048
602.3478261,1269.478261
607.1538462,1269.961538
693.4666667,1271.133333
859,1270.833333
631.1944444,1273.944444
662.5,1272.444444
690.3333333,1272
843.2142857,1274.214286
637.4814815,1274.537037
820.0909091,1275.090909
824.3157895,1274.263158
706.5,1275.5
759.2222222,1276.666667
780.6666667,1276.944444
794.2,1276.7
748.6388889,1279.75
763.3333333,1278.5
789.25,1278.5625
818.2727273,1278.363636
793.25,1280.4375
832.8,1280
864.5909091,1281.136364
757.5,1281.8
836,1281.583333
515,1283
632.2,1284
637.4444444,1283.888889
863.6666667,1286.916667
919.3913043,1288.086957
861,1290.727273
864.4117647,1290.882353
688.65,1292.05
610.804878,1293.121951
719.8823529,1293.529412
637.9534884,1294.72093
693.4,1295.08
617.125,1295.875
744.254902,1297.117647
855.3529412,1297.352941
739.8,1299.2
724.2258065,1298.451613
823.4583333,1298.125
840.2592593,1299.62963
828,1300.375
819.7692308,1301.384615
428.7692308,1303.230769
726.8,1303.166667
624.3,1304.2
661.1111111,1304.333333
825.0857143,1304.314286
432.5,1305
739.3181818,1306.136364
829.875,1306.125
816.75,1307.416667
820.75,1306.6875
786,1308
691.9333333,1309.266667
826.5,1308.5
763.1034483,1309.172414
869.4883721,1311.093023
740.3076923,1310.923077
782.0909091,1311.363636
696.8947368,1311.578947
854.125,1311.425
676.1111111,1314.444444
858.2962963,1314.666667
864.6049383,1314.925926
920.8888889,1315.888889
622.55,1317.35
853.5,1317.3
733,1318.2
677.9090909,1318.636364
781.7297297,1318.675676
856.625,1319.75
731,1321
770.8125,1321.875
622.6315789,1322.052632
754,1322.846154
776.7,1323
862.2,1323.44
763.5294118,1324.705882
718.7857143,1326.785714
841,1327
844.6,1326.75
730.2142857,1328.928571
854.4,1329.4
753.3846154,1330.384615
694.9642857,1330.964286
666.5714286,1331.380952
872.1447368,1333.592105
720.0344828,1333.689655
725.7333333,1331.283333
848.3846154,1333.384615
697.6842105,1334.263158
740,1333.5
834.2608696,1334.043478
860.372549,1334.882353
689,1334.5
710.7857143,1333.8
771,1333.4
855.3571429,1335.285714
631,1335.375
700.7333333,1336.333333
790,1336.5
839.7,1335
633.3913043,1336.782609
742.3333333,1336.916667
769.2272727,1336.772727
802.375,1338.375
868.24,1338.52
623.5853659,1338.219512
709.0909091,1339.954545
715.1428571,1339.8
469.0833333,1339.833333
652.6111111,1339.722222
619,1341.2
698.6428571,1341.857143
757.5,1342.7
590.125,1343.125
830.9333333,1343.533333
613.3818182,1344.290909
789.6162791,1343.523256
825.1428571,1343.428571
1057.126316,1346.273684
581.4666667,1345.266667
698.125,1344.875
