X,Y
0,0
0,6857
6857,0
6857,6857
746.5714286,23.66666667
761,33.5
716.1818182,42.45454545
711,44.95238095
816,66.5
688,69.5
794.2272727,70.93181818
775.7380952,70.80952381
691.5,81.25
688,82
695.2,82
677.875,82.875
686.875,84.5
692.2857143,84.5
741.75,92
810.0833333,97.25
665.6666667,105.9333333
800,111.5
816.8888889,113.2222222
841.2631579,123.8947368
814.5,125.75
853.8421053,133.1578947
649.5,142
645.6153846,146.9230769
853.2666667,148.2333333
852.8235294,153.9411765
641.75,160.625
784.4736842,162.9473684
729.5,170
802.0434783,170.6086957
670.5,175
665.85,176.25
642.6666667,177.8
641.0645161,181.9354839
825.75,184.3333333
822.6363636,185.9090909
672.2380952,192.3333333
882.5,193.1388889
882.8461538,203.5
873.1707317,212.2682927
630.72,214.76
871.4864865,216.8378378
876.4090909,224.8181818
829.9090909,226.3636364
891.1851852,230.1481481
634,231.8
895.5,232.45
793.5625,233.875
790.7826087,236.3043478
850.4705882,241.6470588
890.2439024,242.804878
837.125,247.875
869.875,247.875
650.9166667,250.7916667
621.4545455,251.1818182
894.6875,252.875
618.4193548,256.1935484
660.5263158,256.4736842
892.8333333,256
897.1428571,256.1428571
854.44,257.82
620.7272727,261.7272727
903.826087,261.4347826
840.2857143,264.9047619
680.5,267.8125
885.1052632,270.4210526
843.5,271
682.1818182,271.8181818
883,276.46
714.6363636,278.4545455
691.8181818,284.1818182
852.6521739,283.6521739
857.9827586,285.3448276
689.2142857,286.2142857
887.2,286.12
906.7837838,286.3648649
910.6521739,284
694.1,287.3
614.5,287.8125
787.6923077,287.9230769
690.4285714,289.5714286
890.1666667,290.3888889
906.0285714,298.6285714
912.825,302.525
904.3846154,304.3846154
608.8333333,308.2777778
742.1,309.95
728.3529412,321.7647059
725.7777778,322.8888889
740.15,323.55
922.1666667,326.8888889
611.125,331.125
918.3658537,330.6829268
711.1,332.2
911.1481481,332.8888889
908.8571429,339.0714286
935.5833333,339.2083333
694.56,342.2
928.5,342.7272727
619.3191489,342.0851064
910.7407407,343.1111111
615.5714286,345.7857143
598.5882353,347.7058824
623,348.8461538
605.6,350.2
913,356.0714286
599.2068966,356.0689655
909.875,356
903.6875,357.9375
597.4375,361
749.375,360.25
935,360.2
631.6111111,360.3888889
932.5454545,362.1818182
789.4615385,363.6923077
785.2307692,363.9230769
949.7083333,364.7916667
718,364.8181818
749.5263158,365.1052632
786.6666667,366.5
630.6428571,367.3571429
692.7391304,369.3043478
595.1052632,371.4736842
932.8055556,374.6944444
599.2941176,374.1176471
834.7580645,374.1129032
895,374.5
592.3846154,377
837.8793103,380.0172414
697.0714286,381
591.9166667,382.0833333
700.4666667,382.3333333
836.7272727,384.0909091
600.175,384.375
685.5714286,388.0714286
589.7619048,394.3333333
742.875,395.875
653.8,398.2
598,400.3030303
925.3,403
941.8461538,403.1538462
900.8181818,404.1818182
897.8823529,406.4117647
944.6666667,406.9206349
671.3478261,409.7826087
881.4761905,408.7142857
636,411.1538462
843.6521739,412.4782609
903.84,414.4
893.7142857,414.5357143
846.5294118,417.8823529
945.1818182,417.7575758
734.3125,428.4375
909.8873239,428.9295775
888.5294118,432.3529412
892.5,432
906.1388889,434.1944444
717.1555556,434.6222222
890.5,436.1666667
930.1111111,435.6666667
871.15,437.6
897.8888889,440.3333333
859.6470588,444.2352941
752.96875,446.25
867.15,444.825
911.25,453.375
944.8666667,458.2
893.8888889,459.3333333
967.4761905,459.1428571
921.2307692,460.1538462
861,460.5
608.1875,462.375
875.48,463.2
944.4,461.3666667
576.8571429,463.0714286
628.5686275,469.1960784
920.4358974,466.8717949
928.875,469.375
967.7058824,470.1764706
624.5333333,471.8666667
914.6956522,470.3913043
746.8888889,472.3333333
751.125,473.5
953.75,473.5
912.4117647,473.9411765
957.4333333,474.9333333
759.0952381,476.7142857
908.4666667,476.6666667
951.9473684,477.2105263
754.25,478
874,478.9090909
964.85,479.6
970,481.2222222
897.3269231,483
939.8148148,481.1666667
650.375,484.1875
877.0645161,486.2258065
643.2105263,486.6315789
873.4166667,489.9583333
952.7647059,490.8235294
645.5,490
651.8571429,491.5714286
636.4705882,491.8823529
648.8181818,492.5454545
909.0714286,492.1428571
912.2608696,492.6086957
956.7391304,492.9565217
807.8,494
952.8181818,495.7272727
870.5555556,495.6388889
900,497.5
596.0909091,497.5
629.7,498.25
950.75,499.625
627,500
807.5192308,500.2115385
973.6153846,500.3846154
889.15,503.15
897.9545455,503.8181818
902.58,503.14
973.1111111,504.3333333
967.4482759,504.862069
574.3846154,505.5384615
938.8043478,507.0652174
803.1818182,507.9090909
970.5,508.5
976.5,508
582.7857143,509.3571429
562.8518519,512.0740741
919.5454545,511.0909091
584.4545455,512.3636364
810.0967742,511.9354839
976.3529412,512.2352941
813.4375,515.125
918.3076923,514.1538462
612.875,517.875
652.0869565,518.3913043
810.6363636,519.0909091
667.2,519.5
815.5625,520.96875
919,520.0416667
809.6428571,522.1428571
651.3,523.4
677.4615385,524.3846154
584.7894737,525.6842105
811.5333333,524.9333333
917.8205128,525.5897436
821.32,530.04
586,529
896.744186,531.9069767
559.1111111,532.6666667
861.15,533.45
888.4722222,533.4166667
702,535
864.68,534.96
699.25,537.3333333
674.25,538.125
985.4583333,537.7083333
618,539
966.3846154,539.6153846
571.5,541.5
798,541.5
962.9473684,541.4736842
990.8541667,541.5208333
641.3125,547.9375
904.0625,549.75
796.8888889,549.6666667
939.8333333,550.3333333
974.4444444,553.2777778
557.7575758,554.4545455
970.5416667,555.25
992.7826087,554.2608696
923.4166667,556.5833333
965.6363636,556.5454545
894.6129032,559.6774194
578.2857143,561.4761905
978.5,562.625
547.030303,563.3939394
988.2,567
595.3571429,569.2142857
598.9090909,569.3636364
971.4242424,570.5757576
893.1666667,575.5
896.3333333,575.1111111
1000.846154,578.3846154
759.3448276,579.8275862
572.7391304,580.1521739
552.32,582.12
852.6875,587.125
545.7692308,587.1538462
561,588.6315789
565.5384615,588.3846154
851.1538462,589.7692308
546.1428571,591.5714286
823.4042553,596.8510638
689.1666667,596.2
852,603
968.9375,603.78125
593.2857143,606.5
547.6923077,609.8846154
742.1111111,609.3333333
901.125,613.875
921.0416667,614.7083333
646.6896552,618.5172414
921.1923077,618.4615385
1015.357143,620.5714286
657.5833333,622.25
563.3461538,629.2692308
861.0816327,632.7142857
886.2173913,631.6956522
672.9333333,633.9333333
1011.979592,635.1020408
985.5,636
663.6086957,636.1304348
534.173913,639.0434783
1025.745455,637.4363636
805.0909091,640.3636364
676.5,642
915.1690141,646.3802817
933.2,643.24
584,645.8947368
671.9411765,645.5882353
917.9230769,645.8461538
1001.666667,647.4666667
529.7333333,648.2
587.5833333,647.75
668.7272727,648
644.0714286,650.3571429
990.3,651.375
1003.194444,651.5555556
579.3870968,651.6129032
950.4117647,655.1176471
1005,655.6
1036.565217,654.6521739
901,655.8461538
1029,656.65
635.6052632,659.5263158
848.2962963,657
984.5,659.175
1027.578947,660.2631579
675.125,660.875
937.7777778,660.5
1038.338462,661.2615385
531.8181818,661.4545455
958.6666667,663.125
937,664
527.6896552,664.7586207
598.0869565,665.3913043
958.3888889,666.7222222
1041.636364,667.0454545
521,669.5
550.34375,669.9375
1043.5,670.2
518.3636364,670.6363636
939.0344828,669.2413793
690.0555556,672.2777778
935.5,672
679.1212121,673.8484848
938.6153846,673.5384615
693.6666667,674
935.35,676.55
584.3684211,676.9473684
638.1304348,678.9565217
682.9,680
641.1904762,681.6666667
677.1818182,682.6363636
853.4117647,682.5882353
952.3529412,682.4117647
517.5,684.1666667
680.4615385,686.6153846
762.4,685.2
948.7435897,684.5897436
1023.52,685.76
578.9090909,687.3636364
685.0588235,687.7647059
851.96,687.28
691.5483871,688.0645161
591.15,688.6
993.875,688.875
1032.588235,688.8235294
724.097561,691.300813
903.9166667,690.0833333
591.9230769,691.8461538
707.3125,692.21875
685.1428571,692.0714286
689.6521739,692.173913
695.2631579,692.4736842
715.88,692.68
979.5,692.8333333
702,694
513.3636364,694.7727273
520.6111111,695.5
714.1612903,696.2580645
905.2244898,695.3265306
1015,694.6296296
1031.205882,694.1176471
540.4375,696.5
591.8666667,695.6666667
690.4761905,697.5714286
956.375,696.5833333
1024.236842,697.8421053
606.3333333,698.7333333
701.2142857,699.9761905
811.625,698
1041.87931,698.2931034
518.4615385,698.1153846
953.2105263,698.6842105
591.96875,700.59375
1032.468085,700.7234043
696.5416667,701.8333333
707.6716418,702.5522388
1002.941176,699.8823529
924.2432432,701.9189189
686.1935484,704
904.15,705.5833333
928.6538462,704.2692308
937.3333333,705.2666667
1033.8,705.88
511.7777778,706.4444444
508.1935484,710.0322581
507.4,714.3
877.4117647,714.1176471
1026.071429,714.1428571
1028.571429,716.6190476
532.2222222,716.8888889
872.4615385,718.4615385
1022.6,717.5333333
645.8235294,718.1176471
534.4615385,719.8461538
671.5454545,720.0909091
503.5357143,719.2678571
904,723.6666667
890.6666667,726.5238095
903.4375,727.375
1009.1875,726.8125
897.5555556,727.2222222
921.1818182,727.3636364
510.1515152,730.4545455
1061.555556,730.2222222
1009.529412,730.6470588
513.0909091,733
1021.2,734.1428571
794.5238095,734.9047619
799.5384615,734.1538462
814.9230769,734.8846154
1058,736.2
1016.128205,737.8974359
1019.888889,738.6666667
1061.742857,737.2857143
1055.033333,739.3666667
997.25,740.375
580,741.5
1065.526316,741.7631579
550.9130435,744.8695652
534.5178571,745.2678571
996.8666667,744.1333333
503.5,747.3333333
599.2272727,746.7727273
611.6857143,746.7714286
494.3125,748.0625
769,747.6666667
766.0909091,748.6363636
498.0416667,750.0416667
499.8888889,753.4444444
1060.36,756.58
1077,755.5
872.6666667,756
1068.826923,755.1346154
743.5,757.5
946.05,757.1
1012.512195,759.2682927
649.1153846,761.0769231
991.1176471,761.5882353
1058.090909,761.3636364
1069.916667,762.7291667
500.3076923,763.3846154
952.8888889,766.4722222
853.5555556,768.6666667
916.2857143,767.1904762
842,768
673,768.5
919,770.1666667
559.6923077,771.0384615
840.4054054,770.0810811
559.0909091,774.5454545
576.7352941,775.1764706
880.7,774.8
1063.903226,776.4516129
1087.210526,775.5263158
1081.378378,776.7837838
1090.210526,777.6315789
932.625,778.1875
545.7222222,779.5555556
723.0909091,778.7272727
490.4761905,779.3015873
1056.193548,781.0967742
823.2857143,781.9285714
1077.230769,782.8461538
494,785.3571429
497.5,785.7142857
878.9047619,785.3809524
957.5813953,785.3023256
875.7391304,786.8695652
1084,786.7272727
1095,787.5
960.8387097,788.8387097
648.5,789.2
1068.111111,787.7777778
1076.111111,790.7777778
979.98,791.18
1080.657895,791.8947368
958.125,792.125
654,793.5
1066.323529,791.2647059
955.2,795.48
959.0909091,795.3636364
484.7,797.5
982.9565217,797.4782609
1077.727273,797.7272727
562.5666667,799.7666667
682.6190476,798.7619048
1009.8125,799.5
488.2222222,800.3333333
1072.16129,799.4516129
485,801
681.125,802.2916667
986.4166667,801.1944444
566.75,801.75
1076,802
565,804.1875
506.1875,805.5625
479.7272727,805.2727273
508.7777778,806.3333333
795.12,808.56
546.375,809.625
1021,809
763.3846154,809.6153846
1032.944444,812.3333333
1086.02439,811.4390244
550.2631579,811.3684211
557.0833333,813.25
560.0769231,814.4615385
1058.947368,813.0789474
875.9459459,813.1081081
473.8666667,817
527.5454545,816.1818182
543.05,818.25
805.8947368,817.4210526
990.4565217,819.0217391
897.3666667,819.3666667
1003.589744,819.3333333
1089.224719,819.8876404
1018.509091,822.8181818
1011.217391,823.3913043
987.475,824.475
992.0625,825.6875
509.6086957,825.5652174
1081.382353,824.8235294
469.7931034,826.6896552
1071.916667,826.8333333
585.875,828.125
597.5,828.5
1020.2,829.1
583.5135135,830.2432432
466.75,830.5625
602.9,831.9
948.5,831.5
1085.5,831.36
473.3333333,832.9166667
977.5454545,833.3333333
981,833.7272727
1090.066667,834.8666667
484.5882353,835.1176471
988.2,835.1
1076.25,835.6346154
1085.604167,837.0416667
463.9,837.3
988.6842105,838.3157895
483.6470588,838.1764706
462.35,840.25
641.6666667,839.5
644.6666667,841
1039.642857,841
465.4032258,842.2419355
565.4444444,842.1111111
689.6724138,841.1724138
980.962963,841.8888889
1058.47619,841.5952381
976.6410256,841.9230769
1054.692308,844.1282051
704,845.0416667
707.5625,845.5
1066.02381,845.047619
522.2142857,845.2142857
525.6538462,846.3461538
876.6153846,846.3846154
980.6808511,846.1914894
468.9393939,848.6060606
600.5,847.5
879.5,848.5
874.8571429,849.7619048
924.5294118,851.3823529
951.3103448,849.137931
986.5,848.2291667
943.516129,849.9354839
934,851.16
947.375,851.25
1048.381443,851.5051546
562.3409091,853.3181818
759.4545455,853.1818182
931.0344828,853.1034483
1047.769231,855.7692308
621.2413793,855.4137931
461.2758621,857.5517241
479.2173913,856.5217391
1027.434783,857.5
1080.148148,857.2962963
534,857.5
774.5625,857.5625
778,858
603.2380952,859.3809524
885.6666667,858.4
775.5454545,860.9090909
