X,Y
0,0
0,6857
6857,0
6857,6857
783.4615385,227.9230769
763.9749632,241.6936672
688,440.5
701.125,448.875
698.1818182,455.8181818
732.5,467
758,467
632.5,479
661.6451613,479.9354839
957.2857143,484
958,489
739.34375,499.15625
722.6451613,498.8064516
655.5,501.5
662.1538462,518.2692308
646.3846154,528.6153846
685.8,532.2
632.2222222,533.5
599,542.5
627.8888889,544.6666667
660.5,551.5
613.3333333,566.5333333
682,574.5
701,580.5
612.0714286,584.2142857
747.4166667,590.4722222
638.5,597.5
624.1111111,602.2777778
939.6153846,602.3846154
600.4666667,604.6666667
665.5,605
708,606.5
661.6363636,609.0909091
673.4848485,631.5151515
603.1290323,642.2903226
609.09375,647.28125
703.6363636,647.6818182
735.09375,650.9375
778.9705882,650.6176471
727,658
644.3333333,664.125
710.3333333,668.6666667
650.65,671.4
733.7777778,677.5
671,679.5
688,683.2857143
729.5555556,685.8888889
676.7777778,688.5555556
629.12,699
718.5882353,707.1176471
778.5,707
641.0857143,709.4285714
668.5,710.5
644.8421053,723.8421053
731.6,773.8666667
703.7826087,795.2173913
637.6315789,822.0526316
629.5,862
673.4,864.2
727.1034483,868.4827586
821.5,879
702.1111111,888.5185185
681.5,895.5
660.8888889,899.7222222
650.3846154,917.3846154
787.2857143,955.5
549.952381,956.2857143
824.4814815,957.9259259
706.3243243,964.7837838
785.3478261,967.826087
732.6153846,970.6153846
763.5,978
729.2222222,980.3777778
739.59375,984.46875
812.6551724,995.862069
839.5238095,999.0952381
768.0909091,1005.090909
685.05,1009.75
627.4814815,1013.592593
649.4666667,1018.866667
675.9375,1019.3125
720.5076923,1023.630769
773.0285714,1024.6
706.2173913,1027.130435
669.2058824,1028.088235
676.1818182,1036.181818
688.9333333,1040.6
732.2857143,1041
634.8666667,1042.533333
659.1111111,1043.277778
743,1045.685714
809.2777778,1045.166667
766.9,1045.9
778.5,1047.5
688.6,1048.6
642.5,1050
817,1051.84
722.2857143,1054
690.1153846,1056.807692
732.3684211,1055.947368
652.4666667,1058.133333
723.9714286,1060.628571
779.5,1061.5
622,1062
694.5,1062
709.4324324,1062.72973
764.8,1064
846.8333333,1065.722222
621.5,1068.5
739.2962963,1072.444444
851.9705882,1078.441176
718.7058824,1080.705882
752.05,1083.1
823,1083.171429
695,1084.5
631.875,1086.333333
730.16,1087.84
843.75,1086.5625
666.5,1088.5
680.7826087,1094.869565
720.125,1094.875
646.9666667,1095.866667
736.24,1099.04
782.5,1100
882.3913043,1101.956522
740,1107.8
639.5185185,1110.407407
646.3571429,1110.678571
834.4285714,1115.678571
755.95,1118.25
676.8461538,1120.653846
735.7083333,1120.708333
827.6666667,1120.916667
644.0769231,1123.923077
800.6875,1124.0625
708.7377049,1126.95082
829.6153846,1127.384615
891.3333333,1127.666667
739.3793103,1129.551724
805.1153846,1129.961538
643.7083333,1133
721.0392157,1135.058824
795.5,1139
819.4347826,1139.086957
712.4074074,1141.259259
592.4285714,1143.035714
647.1923077,1143.884615
639.2142857,1149.642857
730.2692308,1149.615385
842.0666667,1149.933333
803.7142857,1151.5
813.52,1151.88
835.76,1151.96
898.88,1152.52
780.7619048,1155.619048
644.2424242,1157.484848
710.1578947,1157.842105
758.225,1158.8
805.5,1158
696.5,1160
674.5,1161
723,1161.272727
684.8333333,1162.166667
781.1034483,1163.172414
766.5,1163.777778
757.875,1167.666667
689.0526316,1169.631579
694.5,1169
869.5,1169.5
799.5555556,1170.296296
664.1875,1174.5
683.8,1175
636.9772727,1176.568182
726,1176.8
733,1176.285714
674,1178
702.3396226,1178.811321
806.9230769,1179.615385
659,1181
879.4285714,1181.75
667.2173913,1182.695652
614.7428571,1184.914286
786.8709677,1183.806452
884.8333333,1186
583,1188.352941
807.05,1188.1
704,1189
755.9795918,1194.204082
766.7931034,1193
859.2777778,1192.888889
712.3461538,1193.653846
686.7142857,1194.880952
787.1578947,1194.842105
615.6666667,1196.5
778.5,1197.5
828.7916667,1200.333333
677.8181818,1201.181818
769.2758621,1200.931034
846,1201.125
805.875,1203.125
592.9347826,1204.282609
919.3478261,1204.695652
715.5,1205.5
835.9827586,1205.086207
695,1207.5
816.05,1206.9
643.3333333,1208.393939
745.8939394,1207.242424
625.2962963,1209.148148
771.6428571,1208.785714
608.9238095,1211.057143
663.9189189,1211.540541
757,1213.714286
640.5,1214.285714
832.8421053,1216.157895
619.5,1217.5
802.5,1217.5
588.5882353,1218.117647
661.875,1218.125
634.3809524,1219.52381
705.0526316,1222.368421
718.0083333,1223.625
650.75,1224
750.2638889,1224.111111
852.8518519,1225.777778
665,1227.5
643.3846154,1228.615385
839.4565217,1228.804348
706.9166667,1231.083333
741.3333333,1230.916667
786.5333333,1230.866667
597.5,1232.5
610.125,1231.875
726.9705882,1233.088235
748.6666667,1231.666667
624.76,1232.64
695.05,1233.1
638.05,1236.5
693.3125,1238.8125
714.6956522,1240.173913
744.0869565,1239.434783
647.0434783,1242.869565
664.8181818,1243.818182
557.3846154,1245.384615
634.5483871,1245.290323
749.6575342,1245.643836
570.5,1247
805.08,1247.4
702.1034483,1247.827586
640.8181818,1249
825.8210526,1248.821053
739.5,1250.5
654.5,1251.714286
861,1252
593.5,1254
682.9090909,1254.090909
665.7916667,1255.041667
656.5,1256
718,1261
657.8181818,1262.818182
689,1262.5
553.8666667,1264.466667
715.3548387,1264.935484
780.5151515,1264.909091
793.2857143,1266.485714
703.3846154,1270.615385
673.8888889,1277.305556
739.5,1278
901.8181818,1279.818182
767.7058824,1280.647059
550.8571429,1283.428571
805,1283.285714
724.6666667,1286.333333
610.7391304,1290.695652
790.3913043,1289.521739
599.8,1292
627.2641509,1291.849057
562.0238095,1293.738095
762.96,1293.74
577.1578947,1297.157895
736,1297
606.0869565,1298.217391
646.5,1298
684.5,1298.5
700.4285714,1300.452381
716.3947368,1302.157895
745.6111111,1302.722222
771.3809524,1303.238095
575,1309
644,1309
730.0526316,1309.263158
768.25,1309.583333
625.32,1309.68
707.0714286,1313.714286
742.974359,1313.769231
723.875,1315.875
804.625,1319.875
562.5,1321
824.375,1321.75
554.9615385,1323.307692
768.4230769,1323.384615
785.5,1323.5
592.8421053,1325.157895
645.6190476,1326.238095
746.5,1326.5
561.3913043,1326.347826
613.5,1328
635.45,1328.325
663.3333333,1328.888889
695.8461538,1328.730769
718.6666667,1329.888889
622.952381,1335.02381
646.6666667,1334.666667
661.2142857,1335.642857
738,1335.285714
678.5,1338
773.75,1338.75
616.7391304,1340.73913
709.9622642,1342.509434
669.3846154,1346.615385
796.65,1346.8
627.65,1348.35
678.5789474,1349.157895
711.9,1348.95
726.5,1358.5
725.6666667,1362.888889
688.1463415,1363.682927
744.5,1363.5
612.1818182,1369.181818
642.5,1369.285714
649.88,1369.72
751.5882353,1371.558824
603.24,1372.36
703.9117647,1374.264706
766.5,1374
620.125,1378.666667
704.44,1383.4
624.2439024,1393.158537
675.1111111,1396.972222
698.2608696,1406.73913
769.44,1405.92
636.3055556,1414.805556
624.5,1415.5
631,1415.285714
675,1418
725.875,1419.125
705.5,1426
762.875,1427.125
576.25,1429.5625
575.1176471,1435.588235
684.2142857,1435.642857
620.1538462,1439.538462
657.2105263,1439.368421
762.0967742,1439.741935
711.3846154,1441.615385
510.4137931,1445.551724
610.9130435,1445.217391
629.8421053,1445.157895
643.2142857,1444.964286
746.5862069,1446.965517
441,1448
656.3333333,1448.111111
706,1452.5
495.5,1453
775.1176471,1454.588235
756.125,1454.875
769.047619,1455.190476
399.5,1456
606.5,1458.5
744.7142857,1458
789.05,1458.9
668,1464.285714
740.5,1464
481.5,1465
763.5,1465
801.2777778,1466.166667
630,1469.5
777.2307692,1471.230769
685.5,1472.5
616.125,1473.875
546.0909091,1475.090909
601.8965517,1474.827586
652.3095238,1475.333333
739.1666667,1478.833333
419.6,1482.4
686.3333333,1484.111111
495.3333333,1485.111111
742.72,1490.88
565.9375,1491.875
513.5,1492.5
720.7878788,1494.787879
487.4,1495.8
541.5333333,1495.866667
765.3461538,1497.346154
511.1,1497.95
561.64,1499.16
629.6153846,1500.846154
820.9615385,1499.884615
716.35,1503.55
562.6,1505.066667
569.75,1507.583333
627.1764706,1508.647059
777.12,1508.28
769.5555556,1512.111111
808,1511
702.05,1513.1
399.5357143,1514.642857
506.75,1517.583333
790.2666667,1518
521.2173913,1518.913043
558.1578947,1519.157895
656.012987,1519.12987
550.4,1520.266667
417.72,1522.12
511.2,1523.2
602.6666667,1522.875
853,1523.714286
751.5,1524
426.0980392,1524.647059
479,1527.727273
675,1527
756.4666667,1527.7
786.4,1527.1
679,1529.5
747.3636364,1529.787879
651,1531.352941
820.75,1530.75
634.9615385,1532.923077
504.6153846,1536.615385
460.2857143,1537.285714
576.2666667,1538.2
722.7142857,1538
467.5714286,1540.321429
647.6538462,1540.346154
831.5,1541
662.4166667,1542.75
706.875,1542.333333
715.3043478,1542.26087
775.125,1544.875
417.2173913,1545.913043
808.125,1548.125
870.8421053,1547.842105
721.6190476,1550.238095
573.2564103,1553.307692
546.5,1554
681.6176471,1557.970588
780.1111111,1557.333333
790.5,1559.5
613,1561.115385
645,1561
662.2857143,1563
813.6875,1563.875
599.7435897,1565.153846
578,1568.5
628.8301887,1569.283019
495.5,1570.5
573,1571.5
648.5862069,1572.586207
729.6923077,1573.192308
596.7272727,1573.5
605.2258065,1574.193548
482.5454545,1575.636364
692.1034483,1576.068966
796.1666667,1576.166667
671.9259259,1579.592593
765.1764706,1578.941176
851.68,1579.32
829,1581.5
521.5128205,1582.102564
737.9285714,1582.5
881.4117647,1581.882353
530,1584
696,1585.5
583.6666667,1586.575758
677,1586.5
571.5,1588.8
684.5,1588
797.6818182,1587.681818
852.6153846,1588.384615
492,1588.789474
625.2385321,1588.082569
837.5,1589.5
503.6818182,1589.636364
484.2380952,1592.380952
703.3125,1591.9375
607.1666667,1592.770833
691.1904762,1594.142857
656.1111111,1595.822222
719.5,1596
869.25,1599.666667
510.3846154,1603.615385
622.6538462,1602.653846
675.359375,1602
688.5,1604.272727
733.8148148,1604
1095.125,1605.125
615.5757576,1609.969697
629.6538462,1609.346154
476.8095238,1610.142857
559.7,1609.85
737,1610.5
541,1611.285714
671.1351351,1614.702703
795.5625,1615.125
578.6764706,1615.558824
780.3461538,1614.653846
886.1666667,1617.722222
521.3125,1618.125
626.2352941,1618.235294
631.3333333,1619.333333
838.1578947,1619.157895
603.2105263,1620
852.8809524,1620.261905
582.1538462,1624.538462
669.7241379,1624.586207
784.8421053,1623.842105
598.5909091,1624.863636
811.1351351,1625.162162
701.0909091,1627.090909
862.4,1628.44
608.5135135,1631.513514
623.75,1631.75
680.8,1629.711111
724.7,1632.85
781.15625,1635.625
657.95,1635.9
884.6666667,1636.233333
670.3793103,1636.62069
743.3125,1640.3125
665.3888889,1642.138889
591.0909091,1645.333333
652.2857143,1646.380952
641.8139535,1648.674419
779.5272727,1647.563636
629.4583333,1648.791667
691.3142857,1649.314286
733.6333333,1650.633333
860.7647059,1649.941176
585.1111111,1651.277778
661.8181818,1651.409091
958.1034483,1652.482759
743.5,1655.272727
678.7115385,1658.173077
537.75,1661.333333
619,1661.5
686.6071429,1662.928571
710.2758621,1663.068966
516.0714286,1663.928571
730,1664.5
876.2666667,1664
627.8079096,1665.915254
778.2,1667
881.6153846,1667.615385
691.7428571,1669.257143
662.4166667,1671.333333
836.3333333,1672.333333
774.9365079,1672.68254
646,1674
737.9473684,1674.210526
863.8,1678.085714
648.5,1679
742,1680.714286
825.8461538,1681.384615
919.5,1681.5
560.3846154,1683.384615
701.8235294,1684.5
887.1428571,1685.777778
932.1176471,1686.176471
587.7272727,1687.5
598.5625,1687.75
519.0930233,1692.27907
668.0882353,1692
744,1692
721.6470588,1693
919,1693.619048
574,1694.136364
816.5555556,1693.955556
588.2142857,1696.357143
626.8333333,1695.833333
738.1935484,1695.935484
753.4,1695.96
653.125,1698.875
677.5,1701
804.5555556,1702.407407
705.4,1703.875
781.8888889,1702.722222
919.68,1703.32
736.5,1706
818.1351351,1710.054054
870.2903226,1710.870968
605.92,1712.44
542.2352941,1713.235294
647.1034483,1714
625,1714
682.5535714,1713.714286
919,1714.2
739.5,1716
834.1,1718.966667
775.8392857,1718.964286
578.9090909,1720.909091
701.1428571,1721.642857
799.3157895,1722.157895
682.36,1724.56
791.5,1723.777778
592.5454545,1726.69697
745.4545455,1729.636364
879.2962963,1729.888889
895,1730
727.7,1731.85
631.0909091,1734.318182
848.8421053,1735.842105
574.95,1737.25
642.3571429,1737.785714
746.4705882,1737.117647
723.125,1738.666667
754.0909091,1738.909091
824.3333333,1740.333333
865.2142857,1740.035714
616.76,1740.68
517.7222222,1742.111111
609.24,1743.8
815.3214286,1744.571429
638.7916667,1747.541667
842.8790323,1747.790323
568.28,1748.12
653.7272727,1750
826,1751
783.6,1752.311111
754.6082474,1755.010309
888.6,1755.4
790.7142857,1757.5
775.5925926,1759.259259
