X,Y
0,0
0,6857
6857,0
6857,6857
697.4761905,44
720.5,58.5
706.0645161,98.61290323
701.3636364,109.9090909
767,147.1363636
712.6666667,148.3333333
682.3846154,150.3846154
721.875,160.875
819.5,163.1111111
740.4736842,186.6842105
763.1304348,190.8405797
678,213.5
764.125,213.125
763.8,216
767.7142857,217.5
681.8888889,218.0555556
749.875,222.6666667
674.2222222,232.0740741
677.5428571,234.8
786.2380952,245
789.0909091,253.3636364
691.6363636,265.5454545
769,268
674.0909091,268.9090909
688.8333333,271.3333333
675.1724138,274.7931034
679.7045455,272.8181818
719.8,279
639.5882353,283.1176471
650.2903226,285.5483871
754.2903226,303.8387097
748.862069,305.3793103
820.2857143,306.7959184
745.3333333,308.25
756.5522388,311.1791045
759.8095238,315.2063492
621.4736842,315.2631579
817.0416667,314.7083333
677.7096774,316.4516129
624.3571429,317.7857143
823.4090909,317.8181818
675,321.0294118
821.5263158,322.6052632
832.9705882,324.8529412
674.0185185,327
826.9333333,328.2666667
768.0909091,330.0909091
759.0273973,331.260274
686.7894737,332
752.1,331.4
746.1230769,332.4153846
812.6470588,332.8235294
758,336.3333333
910.8,337.5
825.5,338
832.5,337.7142857
906,338.8
810.1785714,342.3214286
827.3333333,345.8939394
880.6629213,345.4269663
847.5833333,347.3888889
825.6581197,356.3803419
862.266055,351.7614679
926.5,352.5
869.1960784,350.627451
851.4237288,355.3050847
817.2711864,359.8644068
857.4117647,358.2941176
922.875,357.875
786.8666667,360.4666667
835.2666667,360.0666667
850.25,361.3333333
816.8846154,365.1538462
841,362.8
725.6428571,364.2142857
810.5454545,364.4363636
894.2178218,364.5247525
793.9464286,365.8928571
799.7222222,367.2222222
830,369.2
856.7,370.7
803.6666667,374.968254
816.0652174,373.3478261
854.4117647,373.8823529
803.7333333,378.8666667
790.5,380.5
667.6666667,384.8888889
702.1176471,393.4705882
844.1818182,407.1818182
707.2,410
661.8181818,410.5454545
809.5625,412.75
842.9803922,414.4509804
699.1698113,412.9622642
703.4693878,416.2653061
848.1666667,416.8611111
697.3846154,424.3589744
693.3243243,421.2972973
884.7058824,420.8823529
883.2,424
621.5731707,425.0487805
688.3684211,427.8421053
732,428.5454545
864.5,428.8
962.1538462,430
867.2222222,431.7777778
632.25,433.5833333
737.875,440.875
613.475,445.65
830.7407407,446.962963
799.4,453.9333333
621.3333333,454.9166667
819.8,456.35
633.6428571,460.2857143
794.6785714,460.4285714
918.5,461.2
636.1176471,463.7254902
701.3333333,465.1111111
795.2916667,466.375
639.4,467.95
695.2307692,469.3461538
637.5384615,472.1538462
707.4117647,473.8823529
637.9285714,476.8571429
709.4117647,479.1176471
771.3333333,479.6666667
721.923913,486.0543478
730.4347826,486.8478261
707.4366197,486.4929577
716.4,487.9
750.7368421,488.5789474
765.5,488.71875
713.0294118,489.0588235
747.6666667,491.6666667
695.7,493.7
776.25,495.25
779.8888889,495.6666667
718.5882353,495.8823529
723.1458333,496.875
742.8378378,497.2027027
778.5,499.7142857
784.7692308,499.9230769
682.1818182,500.9090909
732.525,501.525
749.3170732,501.3658537
686.969697,501.6969697
775.5,503.7777778
683.8421053,505
723.047619,504.1428571
687.1212121,508.5151515
711.3789474,508.9157895
721.2592593,508.5555556
703.3684211,509.7894737
713.4545455,510.5
809.3888889,511.4444444
802.2142857,513.2857143
715.0588235,514.4705882
797.5757576,514.5757576
843.1818182,514.1363636
753.9411765,514.7647059
783.3125,515.3125
758.24,516.24
850.3846154,516.3846154
692.5217391,517.173913
700,517
703.64,518.28
633.2692308,520.1153846
725.4166667,519.2916667
794.5333333,518.8666667
688.9583333,521.3333333
698.1176471,520.4117647
773.3846154,521.3846154
798.4242424,521
763.9310345,522.7241379
687.5,525
724.969697,527.1818182
789.5606061,527.8181818
797.7042254,528.6197183
802.8571429,528.7142857
669.8,529.1
806.125,530.5625
616.8888889,531.3333333
784.3333333,531.2222222
623.5333333,532.5
730.6363636,532.0909091
722.0833333,532.8333333
680.8333333,534.9166667
654.3333333,536
645.5,536.5
661.6666667,537.1111111
694,537
806.4651163,537.1046512
769.7457627,535.0169492
688,538.3913043
622.1176471,539.4117647
774.8604651,540.0930233
781.6458333,539.5
821.6923077,539.9230769
764.9,541.225
770.1142857,542.5714286
687.1176471,542.5294118
682.2727273,545.0909091
686.4285714,547.0357143
718.4615385,545.8461538
818.6,545.575
775.3333333,547.2666667
635.7692308,547.6703297
798.3684211,548
691.7428571,547.3142857
680.7375,552
764.0714286,551.4047619
793.8666667,550.4666667
782.6666667,552.0833333
833.744186,551.6744186
689.35,552.35
804.48,555.08
826.6515152,552.1969697
840.7068966,553.2068966
706.8571429,554.3214286
775,554.5581395
682.5,557.125
818.8518519,555.962963
838.9047619,557.4761905
632.3928571,557.2142857
756.5054945,557.8901099
813.7222222,557.8888889
831.5172414,557.7931034
700.754717,558.6792453
835.7307692,559.8846154
984.3333333,558.6666667
777.7826087,559.8695652
721.6153846,561.2307692
651.1538462,560.8076923
751.4615385,561.8461538
762,562.5
805.7333333,562.3333333
830.0689655,563.2758621
798.4347826,563.4782609
984.0714286,562.8571429
735.2,563.5
825.5820896,563.2985075
846.2,563.44
726.6666667,564.5333333
772.2439024,564.3902439
744.3235294,565.3823529
816.9130435,566.2173913
739.9230769,566.7692308
752.5,566.7142857
756.0666667,564.8666667
834.9130435,566.3913043
648.8971963,571.5046729
706.0714286,568.7857143
763.2027027,568.1891892
905.3292683,567
810.5869565,570.0869565
751.2,571.9142857
756.9821429,571.6428571
838.8679245,572.6037736
650.75,573.5
716.6097561,573.6829268
618.5,574.5
711.5454545,574.3939394
815.8095238,573.8571429
612.5555556,574.7777778
731.5,575.2
798.826087,576.9782609
686.1568627,575.4509804
761.0833333,576.875
676,577.4117647
690.9666667,577.5333333
750.8125,578.375
723.5,579
822.6981132,575.5943396
717.7222222,580.1666667
740.0535714,581.375
814.8125,581.0104167
654.2254902,578.6862745
762.5454545,580.3636364
782.2307692,581.6923077
599.0555556,580.8333333
726.8461538,582
732.9285714,582.3571429
776.40625,580.84375
824,583.9767442
838.0606061,582.1212121
646.4210526,583.4210526
687.1463415,584.902439
691.8947368,582.2631579
762.6875,583.8125
659.0731707,582.7317073
756.358209,584.641791
810.5,584.2857143
662.1818182,585
787.5833333,585.6666667
794.5806452,585.0645161
804.4482759,585.2758621
654.3846154,586.8461538
692.1666667,587.6666667
784.2777778,588.0833333
839.8214286,587.6785714
768.8333333,586.6944444
658.5333333,590.1555556
800.7777778,589.5
703,591
752.3469388,590.4693878
764.3793103,588.7241379
776.0425532,587.1702128
827.2894737,591.3421053
835,590.5
651.5932203,590.1355932
661.7,592.7
756.6947368,594.3684211
792.5368421,591.3684211
820.8651685,592.9213483
774.6758242,595.2417582
814.6666667,594.1851852
765.4,596.6
784.9302326,596.4883721
839.7142857,595.7142857
688.8333333,594.8095238
805.0487805,596.7317073
664.3043478,597.0869565
796.3333333,597.8333333
826.9183673,599.6122449
750.2666667,599.2
814.2608696,599.2608696
677.3076923,602.8461538
682.7653061,600.8877551
783.5,603.1153846
807.8086957,603.0956522
939.2105263,603.7368421
958.8888889,602.3333333
758.875,601.5535714
935.8636364,602.3181818
747.1176471,603.4705882
788.8823529,603.5882353
955.2758621,604.6206897
822.3636364,604.969697
835,605.375
860.9411765,604.9411765
619,606
649.6190476,605.1428571
653.4666667,607.6444444
675.7142857,606.2142857
738.6904762,605.3571429
752.0833333,606.5
787.2777778,607.2777778
792.8888889,607.6666667
817.3835616,604.4931507
670.8333333,608
674.3846154,609.3846154
687.0408163,609.5102041
701.5,609.2857143
758.1764706,608.0588235
771.5294118,608.4117647
778.9130435,609.0434783
620.9090909,609.6363636
738.9375,611.5625
763.0882353,609.9411765
782.4090909,610.3636364
806,609.9090909
829.1090909,607.2
822.6976744,611.8139535
865.1408451,610.4366197
882.2051282,611.1282051
746.3333333,612.1190476
775.6,612
788.3714286,613.6142857
718,612.8571429
814.15,612.1833333
827.5833333,612.5833333
646.4927536,609.5072464
829.9516129,614.6612903
652.8333333,613.5333333
702.9333333,615.8
844.6153846,614.6153846
644.4418605,617
649.75,616.75
683.5,615.5
697.5882353,616.5588235
754.3563218,615.3448276
774,615.96875
716.21875,616.21875
781,616
794.9242424,616.3939394
636.0882353,617.8823529
640,619.7419355
652.3589744,619.7179487
745.2307692,618.2307692
749,617.8
806.2857143,618
820.0714286,617.1428571
842.2222222,619.1481481
898.6,618.6
701.5714286,621.0714286
706.75,620.3
723.1176471,619.4705882
801.8571429,619.2857143
816.1621622,620
657.0571429,622.0857143
683.3478261,622.673913
692.7663551,620.7102804
733.92,620.08
758,620.5918367
781.8461538,621.2307692
804.25,623.925
645.9230769,623.7179487
738.7692308,622.7692308
777.6176471,621.8823529
838,622.9310345
652.03125,625.9375
706.8518519,624
720.8730159,622.984127
796.2830189,623.0377358
748.4,625.2
761.875,624.875
770.7761194,625.6716418
787.2295082,623.147541
829.3333333,623.6666667
834.1052632,624.5263158
641.25,625.8333333
792.1875,625.875
629.2068966,626.5172414
692.6938776,627.4081633
702.5925926,626.2222222
780.1785714,627.0714286
797.36,628.52
814.7179487,627.7948718
828.875,628.75
676.2957746,627.5492958
818.7954545,626.8181818
842.2608696,628.5
726,629
641.8666667,629.9333333
647.6034483,631.1896552
665.7848101,629.7594937
804.84375,631.140625
822.5394737,629.6184211
866.4814815,631.037037
898.7,630.3
654.2222222,631.1111111
790.5238095,630.8253968
799.7464789,635.8591549
712.8351648,631.6703297
760.2162162,632.2972973
771.7941176,631.8823529
782.4848485,631.2121212
937.8604651,632.3255814
651.65,633.75
658.2162162,633.3243243
698.2916667,632.625
847.9444444,632.2222222
676.1111111,633.8333333
687.6287879,632.9848485
754.0731707,633.9268293
777.0810811,631.7837838
809.1176471,634.5294118
681.2916667,635.2916667
704.140625,633.03125
790.2105263,636.2105263
668.4705882,635.2352941
672.2777778,635.2777778
714.4827586,640.0804598
748.8823529,635.7647059
784.1818182,636.1818182
817.5294118,636.5294118
612.8333333,637.0833333
647,637.826087
653.5,637.125
697.0526316,636.3684211
810.2083333,638
814.4375,637.3125
833.6875,638.0625
848,637.2
635.8333333,638.0185185
723.7777778,637.9444444
651.7333333,640.2
660.047619,639.5396825
822.25,639.4375
675.5,640.5
692.6666667,640.6166667
747.5416667,640.25
786.3076923,640
829.0361446,638.5542169
666.25,641.1590909
673.0892857,642.6964286
701.2380952,639.5714286
706.4615385,639.9230769
737,641.05
771.9937888,641.1304348
805.3571429,640.2857143
682.6964286,642.1964286
731,642
742.5769231,641.6538462
836.125,641.875
654.125,643.375
812.1764706,644.5147059
701.2444444,646.0222222
708.5614035,645.8596491
782.6363636,642
793.9,641.5333333
750.3030303,645.8484848
784.5882353,644.2941176
800.2432432,643.7567568
662.7894737,648.8596491
695.2222222,645.3888889
775.3913043,646.0869565
820.0645161,645.6451613
657,646.8965517
670.1111111,647.2962963
743.5,647.2857143
785.755102,649.3877551
793.3461538,647.8846154
805.4067797,647.0169492
829.025,647.375
686.7540984,647.5409836
729.8181818,648.5
899,648
926,648
654.6065574,650.6885246
678.4166667,648.4583333
717.962963,648.3703704
722.7083333,647.625
998.1538462,649
668.0740741,651.2222222
674.12,650.68
778.7586207,649.2758621
797.64,650.24
691.7666667,650.9
709.8333333,651
728.1904762,652.952381
838.125,651.875
686.4137931,653.5862069
697.5769231,651.8269231
704.3333333,652.4722222
791.1639344,653.9508197
848,653
680.2790698,653.6976744
711,654.2
721.6410256,653.3333333
754.625,654.3333333
777.0285714,653.1428571
800.2346939,656.6122449
808.5789474,653.0701754
584.25,655.3333333
644.5416667,652.3055556
657.4259259,656.2962963
765.8571429,651.7460317
820.2533333,654.72
692.6,656.15
771.5151515,656.0909091
829.7,655.8
537.2857143,656.5
669.9803922,655.8235294
688,657
711.640625,656.734375
743.6067416,657.2022472
748.875,658.34375
784.0208333,656.8958333
813.5333333,655.6
533.8666667,657.6
696.8695652,657.7826087
828.1538462,658.4615385
702.862069,658
726.6415094,658.509434
766.4642857,659.3571429
777.375,658.5416667
815.8181818,659.7272727
645.1818182,659.7272727
666.3902439,660.0487805
811.24,659.92
685.5116279,661.2093023
719.8888889,660.5833333
789.3243243,660.7027027
691.8,661.4285714
700.2702703,662.4054054
725.8529412,664.3235294
779.0697674,662.8604651
674.8823529,663.4117647
747.5882353,663.4117647
793.7666667,662.6666667
697.1168831,668.0909091
800,664.05
659.4193548,665.7741935
705.1111111,667.6666667
721.5,666
784.0714286,664.9285714
790.2,666
731,666.6666667
744.85,666.55
760.8536585,666.804878
679.6944444,668.5833333
778.5925926,668.9259259
786.34375,668.75
794,668.0666667
660.9,669.7
752.5151515,669.6969697
574.1111111,669.6666667
631.6037736,670.1886792
690.6666667,669.7333333
714.0909091,670.5757576
723.0588235,670.7254902
740.1111111,667.7222222
806.1956522,669.4347826
545.5,672
745.9166667,672.2083333
539.1538462,672.7692308
765,673
