X,Y
0,0
0,6857
6857,0
6857,6857
583.6875,190.0625
684.5,837.5
661.1333333,867.5333333
417.5,879.7727273
415.1111111,883.8888889
419.4,886.5
415.9756098,889.0487805
413.1,892
644.1282051,891.2051282
639.0909091,893.6363636
427.1111111,895.6666667
431.875,895.125
430.3,902.3
410.5384615,904.2307692
427.6363636,905.0909091
635.5,912
633.5,944.5
760.6153846,948.6153846
704.0869565,968.5652174
736.4,971.04
706.0909091,977.3636364
805.75,979.5833333
724.3888889,984.2777778
718.8421053,1002
764.125,1033.125
815.1875,1040.1875
688.875,1042.125
796.2352941,1044.235294
692.9130435,1047.391304
708.7931034,1053.482759
731.5,1058.5
725.9259259,1063.074074
670.7,1063.85
694.3888889,1064.944444
667.2666667,1066.933333
748.3333333,1066.875
705.4375,1069.25
860,1070.2
664.1111111,1071.333333
718.0909091,1070.636364
663.875,1075.125
729.4375,1076.25
638.4545455,1076.272727
662.5294118,1079.882353
672.5,1079.714286
711.1111111,1082.666667
648.2857143,1083.5
719.8888889,1084.333333
639.0952381,1084.428571
644.5,1084.5
684,1084.166667
714.8148148,1086.592593
731.5862069,1086.137931
636,1087
646.5483871,1089.064516
694.3846154,1090.384615
740.4615385,1089.846154
681.8965517,1091.586207
691.3333333,1092.5
665,1095
726.5652174,1094.826087
659.85,1094.4
673.7142857,1095.5
706.5384615,1097.153846
711,1098
826.8,1098.5
831.5,1097.5
858.5,1099
862.2758621,1099.103448
675.5517241,1102.103448
632.2857143,1104.5
678.6666667,1105.285714
743.8571429,1103.666667
660.1538462,1106.461538
707.9333333,1105.733333
740.5,1106
668.9333333,1106.733333
701.9444444,1107.111111
719.2173913,1108.130435
681.6153846,1108.615385
645.4285714,1110.809524
726.7931034,1112.034483
632.2162162,1111.432432
709.6363636,1113.909091
637.3888889,1115.222222
682.2857143,1114.5
677.3684211,1118.052632
712.2857143,1117.928571
839.3636364,1119.090909
638.9565217,1119.782609
644.8695652,1121.478261
700,1122.825
729.3636364,1124.727273
645,1125.8
702.1071429,1126.714286
683.5,1128.5
794.4166667,1129.75
650.1052632,1133.578947
755.9354839,1133.935484
696.7692308,1135.153846
732.9756098,1134.170732
692.8421053,1136.684211
826.8125,1138.625
700.1666667,1140.083333
706.5633803,1141.394366
657.5,1141
773,1142.5
625.9677419,1144.032258
786.9230769,1145.153846
730.6875,1146.625
714,1147
867.2,1148.44
675,1150
741,1150
637.6818182,1151.136364
704.0909091,1150.636364
744.4666667,1150.666667
745.8,1154.333333
819.3846154,1154.384615
692.6842105,1156.157895
702.2,1156.2
866.0606061,1156.575758
682.7142857,1157.5
771.125,1159.125
685.2,1160.5
658.1428571,1162
746.125,1161.875
865.6764706,1161.941176
704,1164.5
818.25,1163.4375
672,1165.5
727.1363636,1165.363636
625.8823529,1166.058824
646.5,1166.5
656.5,1167.157895
735.952381,1167.809524
611,1169
681.7142857,1168.5
712.6153846,1168.615385
762.5,1169.285714
822.7647059,1170.294118
844,1170
675.125,1174.125
736.1875,1176.625
745,1176.105263
693,1178
623.2083333,1179
629.7931034,1179.37931
649.375,1178.1875
684.625,1180.875
716.0714286,1181.595238
674.3333333,1182.111111
761.6363636,1183.090909
626.1860465,1183.488372
724.125,1186.125
654.6956522,1186.434783
688.3333333,1187.888889
617.2857143,1188.178571
724,1189.5
642.5,1192.5
839.6,1191.6
631.4117647,1193.176471
628.1290323,1196.709677
614.88,1200.46
621.8372093,1198.395349
644.8666667,1198.533333
646.1,1201.8
625.4814815,1204.074074
631.5384615,1204.769231
611.6153846,1206.384615
651.4117647,1207.117647
645.25,1208.5625
637.8,1209.5
656.7333333,1211.333333
737.6,1212.6
869.5,1213.16
785.15,1214.2
609.3888889,1215.722222
772.5882353,1216.882353
594.9565217,1217.826087
615.1428571,1218
621.5757576,1218.060606
652.4117647,1217.882353
671.6153846,1218.384615
686.5882353,1218.117647
648.1666667,1219.375
703.6388889,1219.638889
693.9583333,1220.541667
585.2666667,1221.333333
592.1,1222.9
622.6923077,1223
712.4788732,1225.126761
668.875,1225.125
646.3181818,1225.863636
705,1229
630.4876033,1234.570248
660.9680851,1231.37234
828.25,1229.583333
644.1176471,1230.529412
627.75,1235.25
710.1785714,1234.464286
620,1235.724138
704.5517241,1234.310345
797.5,1234.5
694.08,1236.16
644.4166667,1236.75
704.8,1239.133333
741.8139535,1239.511628
607,1241
658.6923077,1241.115385
691,1240.5
804.0909091,1241.181818
619,1242.625
699,1241.5
623.7446809,1241.361702
679.9375,1242.125
675.9393939,1242.333333
799,1244
805.6470588,1244.411765
643.85,1244.9
789.1886792,1246.716981
600.3846154,1245.615385
764.0909091,1245.636364
583.4705882,1246.647059
596.6571429,1247.542857
655.5357143,1248.642857
742.55,1248.4
641.3333333,1249.083333
775,1249
626.12,1250
691.9333333,1249.733333
750.3333333,1249.666667
744.4666667,1251.4
636.3023256,1253.209302
705.9393939,1254.969697
678.4482759,1256.068966
743,1256
776.6666667,1257.111111
604.3636364,1257.681818
687.3846154,1257.615385
712.4210526,1258.421053
626.0909091,1258.636364
616.0425532,1258.808511
630.358209,1262.597015
661.4,1260.4
645.5510204,1263.102041
795.5,1261.285714
622.8181818,1262.590909
776.25,1262.416667
685.125,1262.25
792.4583333,1264.458333
678.0833333,1264.625
712.5,1265.2
697.125,1266.125
654.4,1268.4
668.1034483,1268.275862
708.1764706,1268.147059
682.3636364,1269.090909
616.5652174,1270.434783
632.875,1270.9375
667.0526316,1273.473684
693,1271.5
738.75,1270.5625
637.7,1272.8
712.9090909,1271.909091
646.7,1273.9
678.6410256,1276.102564
698.3461538,1275.769231
632.0645161,1277.548387
657.0967742,1276.290323
640.8888889,1278.333333
691.8888889,1278.333333
650.4117647,1279.117647
707.95,1279.1
633,1282
785.875,1282.125
666.9666667,1283.666667
674.1764706,1282.941176
677.1818182,1283.818182
617,1284.785714
626.137931,1285
717.36,1284.98
724.0833333,1286.166667
677.5,1287.25
785,1287.5
672.5,1287.8
648.8571429,1289.02381
615.6,1289.6
619.5,1290
630.4,1289.6
688.6530612,1289.755102
593.9,1289.733333
747.5,1291.5
562.5,1292
590.7222222,1292.222222
626.6,1291.6
657.3846154,1291.615385
647.4722222,1295.416667
695.125,1294.125
741.6956522,1294.217391
623,1294.666667
685.7,1295.3
798.6,1295.4
578.7142857,1295.5
564.7391304,1297.391304
630.7142857,1298
625.8,1298.8
779.7037037,1298.777778
683.7,1300.3
699.4782609,1299.347826
663.7380952,1300.833333
599.5,1302
650.0833333,1301.75
711.6153846,1302.384615
719,1305.352941
593.7391304,1305.521739
649.3636364,1305.545455
657.8604651,1307.44186
688.4,1307.6
600.5833333,1309.25
611.5,1309.714286
647.9090909,1309.636364
621.3846154,1311
707.4318182,1312.909091
604.1111111,1311.444444
607.6792453,1315.018868
657.7777778,1314.722222
644.2222222,1315
620.05,1317.25
715.92,1318.04
726.5,1318
799.962963,1317.222222
677.8,1319.5
710.6428571,1319.214286
563.3913043,1319.652174
669.2,1319.5
660.3157895,1321.052632
674.5882353,1320.882353
628.8387097,1323.322581
602.2903226,1322.709677
594.8421053,1324.842105
605.5,1326.5
661.2857143,1325.5
719.8823529,1326.411765
677.1578947,1327.736842
672.4,1330.12
628.5882353,1329.882353
691.6153846,1332.076923
703.3846154,1332.384615
644.875,1334.875
649.875,1335.125
671.1111111,1334.666667
630.6363636,1335.939394
610.8333333,1336.416667
606.8709677,1338.774194
648.6153846,1338.384615
756.6153846,1338.615385
610.5,1340
673.4242424,1340.333333
721.5,1339.714286
696.3846154,1340.615385
610.2857143,1343.5
720.5,1343
706.1111111,1345.111111
656.8333333,1346.642857
661.6666667,1346.466667
722.5,1349.285714
619.1052632,1349.5
626.5714286,1348.619048
717.3333333,1349.888889
595.047619,1350.809524
654.5,1351.714286
658.1538462,1353.576923
688.2307692,1354.769231
632.6086957,1355.913043
691.2352941,1355.882353
616.4,1357.85
677.1578947,1357.842105
638.6363636,1359.090909
702.6296296,1359.592593
644.6428571,1359.785714
698.5,1360
716.5,1360.285714
629.6666667,1364.666667
654.3333333,1366.733333
646.5,1367.5
649.8,1369.1
697.3846154,1369.461538
633.6666667,1370.888889
675.5,1371.5
690.5333333,1370.666667
638.7432432,1374.905405
733.1785714,1373.107143
749,1373
658.125,1377.875
712.1578947,1379.157895
643.4827586,1381.137931
652.36,1382.12
628.9459459,1382.837838
634.0769231,1383.961538
647.5294118,1384
726.5,1385.5
674.4333333,1386.8
628.6,1388.6
723.5882353,1389.882353
712.85,1391.7
737.2352941,1391.882353
756.6153846,1392.615385
664.2857143,1394.333333
683,1394
754.3846154,1395.384615
749.1777778,1400.6
642.4848485,1400.363636
700.8666667,1401.533333
705.8064516,1401.387097
645.5333333,1403.8
690.56,1404.12
648.8333333,1405.083333
636,1406
639.3333333,1407.75
646.05,1408.55
693.7333333,1410.8
646,1412.5
614.9382716,1413.493827
627.2459016,1411.688525
658,1414.5
736,1414.2
619.8181818,1415.454545
623.75,1415.25
685.7419355,1416.774194
728.5384615,1416.153846
633.3333333,1417.920635
694.25,1417.666667
609.1153846,1419.817308
731.0909091,1418.636364
640.0263158,1420.578947
713.5862069,1420.586207
666.4117647,1422.647059
618.8214286,1423.178571
657.125,1424.125
727.5,1423.5
687.1621622,1425.702703
638.5,1426.5
643.26,1428.58
667.4324324,1428.540541
618.2758621,1430.413793
726.6785714,1429.178571
613.0153846,1430.538462
755.5,1431.5
642.3076923,1434.615385
666.375,1434
727.2916667,1434.416667
761.0714286,1433.857143
634.8571429,1435.190476
653.3714286,1433.857143
696.7272727,1436.090909
758.7,1436.3
619.3684211,1438.210526
631.1176471,1437.588235
609.0666667,1439.666667
648.2432432,1440.216216
613,1442.5
630.8125,1441.8125
653.6595745,1440.531915
645.625,1444.125
691.5,1443.5
426.0909091,1444.636364
680.5897436,1444.948718
633.8947368,1444.973684
616.0485437,1448.398058
661.9272727,1447.272727
608.8333333,1449.388889
459.4516129,1449.83871
732.8823529,1449.529412
428.0333333,1450.633333
449.7428571,1450.228571
659.0454545,1451.727273
728.8666667,1451.466667
445.125,1452.5
643.3703704,1451.037037
651.5517241,1451.586207
433.8035714,1453.339286
617.4782609,1455.043478
632.5555556,1454.611111
621.6216216,1456.675676
636.7,1456.05
428.3448276,1458.448276
660.7586207,1458.103448
740,1458
414.3333333,1459.833333
649.9111111,1458.755556
456.25,1460.583333
657.2857143,1461.142857
406.4761905,1462.142857
432.5454545,1461.363636
609.4677419,1459.112903
718,1462
726.5833333,1462.75
449.527027,1461.662162
459.5285714,1465.4
713.2,1465.1
413.6046512,1466.77907
424.3953488,1466.348837
717.9090909,1466.636364
636.2857143,1467.5
429.5753425,1469.342466
669.05,1469
422.4285714,1471.071429
441.4492754,1469.768116
739.5,1469.714286
776.3846154,1470.384615
434.9375,1472.09375
450.0555556,1469.944444
650.8,1472
662.1538462,1473.230769
413.8571429,1473.428571
451.027027,1475.621622
692.3636364,1475.090909
712.4594595,1476.378378
701.9090909,1476.636364
422.2394366,1477.985915
476.125,1479.125
651.2238806,1478
440.9666667,1479.8
440.4375,1484.875
677.7222222,1482.888889
734.2857143,1483.5
453.9444444,1483.148148
657.6666667,1484.888889
711.2571429,1485.942857
471.0263158,1489.315789
589.3255814,1488
663.3,1487.75
585.3333333,1490.666667
656.6785714,1489.821429
440.3,1491.4
465.6363636,1491.545455
633.7142857,1490.904762
455.5289855,1494.318841
665.3529412,1492.647059
640.452381,1492.880952
447.0909091,1494.363636
650.6086957,1495.521739
696.5,1494.5
701.8205128,1495.871795
553.6521739,1495.391304
646.9090909,1495.636364
433.9142857,1497.457143
575.0222222,1499.2
589.8888889,1499.666667
626,1501.054545
646.3846154,1499.615385
680.8888889,1499.666667
558.484375,1502.453125
715.2857143,1501
453.1627907,1502.697674
642.7142857,1502.25
669.5675676,1501.243243
689.5,1502
705.0588235,1501.823529
442.0526316,1503.789474
446.64,1502.68
476.3,1503.425
699.1818182,1503.090909
793.3636364,1503.454545
426.8541667,1503.75
432.3157895,1503.684211
637.8666667,1504.466667
684.9090909,1505.363636
459.2857143,1505.166667
467.9242424,1505
597.8181818,1505.818182
621.5058824,1508.470588
635.2666667,1509.8
657,1507.291667
693.1875,1508.1875
811.5,1508.5
614.3913043,1509
429.1142857,1510.142857
455.0392157,1510.156863
777.5,1509.714286
468.7222222,1510.777778
472.5,1511.5
644.2826087,1511.73913
660.025641,1510.794872
425.4666667,1513
434.75,1511.45
477.0740741,1512.222222
665.7333333,1513.3
736.9090909,1514.363636
433.5833333,1515.208333
438.6666667,1514.833333
458,1515.75
618.7307692,1516.192308
747.8214286,1515.785714
652.483871,1516.870968
429.962963,1516.740741
550.7391304,1516.956522
643,1517.444444
424.4827586,1518.804598
581.5,1517.714286
587.6052632,1518.210526
675.5263158,1517.842105
694.4583333,1518.166667
781.6315789,1518.052632
555.5,1519.3
560.5,1519.5
628.5263158,1519.368421
636.1764706,1518.921569
