X,Y
0,0
0,6857
6857,0
6857,6857
657,223
714.75,263.65
719.125,265.875
779.8888889,293.3333333
788.5789474,328.9473684
786.6428571,333.2142857
769.2222222,341.5925926
759.5,355.4230769
758.1666667,359.25
745.6666667,418
749.5555556,418.1111111
628.9285714,465.8571429
625.2363636,466.6727273
644.9090909,481
655.2,485.5
657.9,486.8
657.7368421,490
689.5,514.2857143
616.6111111,518.1111111
625.7222222,532.4444444
741.1612903,533
622.4210526,535.1578947
735.7368421,534.2631579
585.7142857,549.5
637.6666667,552.1111111
672.5,552.5
639,556
605.7692308,556.2307692
727.2857143,559.3571429
658.8181818,563.0909091
655.5,566.2857143
647.5294118,573.1764706
590,576.6666667
827.625,577.4
587.1666667,577.5833333
775.8461538,579.4615385
679.6923077,582.4615385
616.64,587.84
658.8,589
603.875,595.875
696,599.5
822.5,606.3333333
536.8,610
593,610
766.137931,614
788.7142857,615.6571429
921.875,621.875
619.25,622.5833333
606.25,624.0833333
725.7272727,624.2727273
616,648.2727273
652.5,648.1875
728.6666667,647.25
736.127451,649.5588235
795.6923077,650.0769231
727.5,651
638.6363636,659.9090909
726.5,663.7142857
736,666
710.7777778,668.8888889
731.1304348,670.173913
760.5,669
616.3684211,669.0526316
707.75,669.9166667
726.9655172,671.4482759
619.6818182,672.4090909
624.0869565,673.5652174
653.25,674
658.4444444,674.2777778
740.2571429,674.6
750,675.3636364
620.9166667,677.3333333
624.4166667,677.5833333
654.5625,679.25
704.2857143,681.6428571
675.5789474,683.7894737
719,687
709.7777778,687.1111111
658.9411765,691.7058824
652.2857143,693.4857143
728.6875,692.8125
629.7692308,694.2307692
664.75,694
671.875,694.875
668.1666667,696.9166667
670.375,698.75
697.7931034,699.862069
629,700
690.6551724,702.5517241
696.6875,705.9375
588.9090909,708.9090909
714.3846154,710.3846154
612.3529412,710.7647059
672.1724138,712.0689655
684.875,713.875
651.75,724.5
655.7058824,724.2941176
653.1515152,729.030303
779.3636364,759.5454545
759.3673469,768.4081633
795.3,768.6
706.6363636,772.9090909
885,787
882.1111111,788.3333333
797.2941176,810.7058824
844.6363636,814.9090909
845.9333333,828.0333333
629.7,839.3
555.1818182,839.6060606
712.6666667,847.8888889
583,859.5
584.7272727,863.2727273
620.5757576,868.3333333
624.6363636,870.5454545
930,878.2
653,883
865.3125,896.9375
712.7647059,899.7352941
746.6666667,905.1666667
743.2,907
746.6153846,909.6666667
676.0909091,914.6818182
523,917.875
921.4,931.8666667
920.1666667,936.5666667
1011,948.75
448.0833333,959.3333333
606.5,960.2222222
646.5,964.2
650.3333333,965.8888889
648.8181818,975.8181818
690.4375,983.25
668.097561,987.2439024
662.0833333,992.75
675.2264151,992.6981132
656.3265306,993.9591837
527.5,994.7857143
676.1,999.1
647.0526316,998.8157895
653.9787234,1000.893617
670.8297872,1000.723404
663.5,1001.210526
703.1818182,1001.636364
656.7222222,1004.111111
666.8333333,1005.866667
672.2413793,1007.689655
654.0416667,1010.708333
666.7647059,1010.470588
763.6818182,1011.363636
856.3636364,1011.090909
670.5,1015
654.4615385,1016.692308
659.3636364,1021.909091
675.6769231,1024.846154
654,1026.416667
617.125,1027.875
566.4090909,1030.227273
627.7222222,1041.861111
683.6428571,1043.214286
739.6153846,1052.615385
610.2173913,1054.173913
739.9333333,1056.833333
745.8571429,1056.857143
590.9,1060.7
638,1063.5
802.5833333,1063.833333
664.1333333,1067.4
712,1066.244898
801.9230769,1067.230769
741.4615385,1074.846154
712.5357143,1076.678571
625.5,1077.333333
700.2222222,1077.333333
717.7241379,1077.655172
742.25,1078.416667
753.9090909,1079
748.8181818,1081.181818
772.4615385,1080.205128
823.6153846,1082.153846
752.85,1087.55
812.75,1087.333333
610.4545455,1089.363636
734.8,1089.6
731.8285714,1092.685714
730.4814815,1097.222222
772.3962264,1096.396226
795.4285714,1097.857143
740.6923077,1106.307692
726.6333333,1105.766667
661.4545455,1109.636364
740.8,1110.3
801.125,1116.875
830.25,1122.416667
723.2,1123.766667
977.9,1123.1
665.6923077,1124.461538
980.952381,1126.285714
723,1129.842105
626.4,1132.066667
827.4375,1132.25
642.6666667,1135.666667
645.9090909,1135.636364
795.1481481,1136.777778
779.8780488,1136.121951
785.5797101,1139.681159
790.8636364,1139.818182
647.1111111,1142.333333
779.92,1141.56
778.1052632,1152.763158
692.0833333,1155.583333
775.8,1156.6
819,1156.5
648.7894737,1157.052632
679.3,1164.4
775.5,1164.6875
721.6666667,1165.866667
806.0833333,1164.833333
717.5625,1165.75
682.5625,1168.5
906,1170
988.4782609,1171.217391
814.0344828,1171.310345
686.75,1173.1
808.2580645,1171.967742
858.7142857,1173.178571
663.4117647,1174.882353
632.7111111,1175.177778
683.4444444,1176.611111
908.2222222,1177.888889
753.2105263,1176.315789
772.8888889,1177.666667
750,1179.333333
686.6666667,1179.111111
904.8888889,1179.888889
771.3333333,1181
722.6078431,1182.039216
790.7272727,1182.272727
807.3333333,1182.111111
643.90625,1184.40625
785.9090909,1181.575758
778.2857143,1184.5
601.875,1185.125
650.7818182,1187.236364
735.5454545,1190
826.3709677,1190.419355
794.1509434,1188.509434
786.7105263,1189.368421
725.5,1191.875
731.3636364,1191.909091
657.1066667,1192.24
736.0909091,1193.363636
631.7058824,1193.882353
685.8,1194.5
789.6666667,1194.619048
647.0819672,1193.245902
751.9555556,1197.622222
839.3846154,1195.487179
832.122449,1197.142857
640.6666667,1198
826.2380952,1196.571429
682.9444444,1199.666667
666.4545455,1199.818182
687.0952381,1199.238095
842,1200.5
623.8666667,1202.4
691.0714286,1201.678571
776.125,1205.375
832.4375,1202.3125
673.875,1204.0625
753.9090909,1203.909091
807.3666667,1203.533333
666.7222222,1204.333333
686.3181818,1204.363636
689.4347826,1207.869565
677.1666667,1208.583333
672.2666667,1208.8
783,1211
831.125,1211.333333
1019.6,1210.6
624.9090909,1211.636364
835.5384615,1212.384615
661.3703704,1214.851852
729.5714286,1214.809524
828.2,1215.9
669.7093023,1218.069767
689.7058824,1220.352941
620.6153846,1221.461538
687.8823529,1224.588235
694.4186047,1223.186047
668.72,1224.56
670.5555556,1229.333333
581.2105263,1229.842105
593.0526316,1229.210526
693.7666667,1230.333333
688.0689655,1230.241379
622.9130435,1231.608696
664.5714286,1229.5
670.4375,1233.75
599,1235
762,1234.5
672.875,1236.875
862.96,1236.76
691,1239
456.3953488,1239.976744
675.9583333,1240.666667
737.5,1242.2
721.9444444,1243.888889
607,1246.65
679,1245.935484
657.0909091,1247.954545
738.1666667,1247.472222
743.1923077,1248.884615
673,1249
733.8888889,1249.333333
863.4,1250.2
748.3157895,1250.578947
614.5,1252.5
730.9090909,1252.454545
626.893617,1252.829787
714.25,1254.25
739.6666667,1254.055556
792.7105263,1254.605263
716.8888889,1257.333333
861.125,1257.125
621.0833333,1259.333333
710.8125,1259.4375
722.8181818,1259.545455
754.5,1260.25
624.1538462,1261.153846
629.9411765,1260.764706
759.826087,1260.195652
725,1262.083333
803.9090909,1262.045455
631.6363636,1267.954545
807.1428571,1268
663.2631579,1268.368421
602.4,1269.7
607.5,1270.5
693.5833333,1270.25
631.4137931,1273.551724
637,1274.536585
820.3333333,1275.25
748.3333333,1279.642857
789.6363636,1278.909091
793.7391304,1278.608696
864.1818182,1280.818182
638,1283.8
919.3333333,1287.944444
688.6666667,1292.083333
611.4074074,1292.925926
719.5,1293.2
637.9411765,1294.823529
693.0625,1295.3125
744.64,1297.24
724.1428571,1298.761905
822.625,1298.5
819.0625,1301.3125
726.8181818,1303.136364
624.2,1304
824.6666667,1304.583333
432.5,1305.285714
739.0833333,1305.833333
763.0666667,1309.333333
869.0294118,1311.147059
697,1311.5
856.4038462,1313.230769
864.4705882,1314.779412
920.875,1315.875
622.3,1317.3
854,1317
782.6,1318.8
856.5,1319
622.875,1322.125
776.8333333,1323
862,1323.5
844.5,1327
854,1329
695.125,1331.375
666.9090909,1331.363636
870.5806452,1331.741935
720.1363636,1333.363636
871.3559322,1336.288136
698,1334.090909
725.6097561,1331.829268
834.2,1334
860.3947368,1334.526316
710.9433962,1334.415094
855.875,1334.875
700.875,1336.125
839.2,1335.5
633.3636364,1336.909091
769.88,1335.76
623.5,1338
709.5,1339.5
714.7777778,1339.703704
653.0909091,1339.636364
789.4677419,1343.629032
1059.25641,1345.025641
582,1345
614.0882353,1343.588235
715.0416667,1345.291667
765.6666667,1344.888889
1054.923077,1345.538462
729.3269231,1346.653846
1055.941176,1349.764706
603.3571429,1349.619048
811.5882353,1350.117647
870.4814815,1350.407407
596.8529412,1351.029412
669.2777778,1351.555556
675.3636364,1352.909091
735.7333333,1352.8
612.5,1355.807692
680.1111111,1353.666667
649.8333333,1356.125
595.3043478,1355.869565
603.5714286,1356.321429
617.4117647,1357.882353
658.4461538,1359.384615
592.8571429,1359.857143
713.1590909,1359.545455
645.4,1359.963636
989.3846154,1361.384615
792.5454545,1362.181818
599.6666667,1362.47619
638.92,1363.36
708.6875,1364.03125
787.826087,1363.869565
863.5,1365.5
685.25,1364.571429
504.875,1367.125
804.4285714,1368.321429
644.8333333,1368.666667
501.5,1369
834.4,1369.3
843,1369.333333
862.6,1369.1
634.6833333,1369.85
799.3333333,1370.785714
644.8888889,1373.888889
793.25,1373.25
604.5,1375.7
802.8888889,1374.888889
631.0740741,1375.814815
635.875,1376.53125
735.8,1377
428,1377.8
639.7037037,1378.37037
784.0232558,1377.116279
778.0597015,1378.701493
830.24,1379.2
802.7777778,1381.944444
823.7619048,1381.952381
588.75,1381.85
620.0816327,1381.979592
821,1384.387097
611.8571429,1383.952381
703.0384615,1384.307692
810.6315789,1384.105263
747.75,1384.583333
786.3382353,1384.558824
793.4074074,1384.62963
699.6,1385.6
755.047619,1386.190476
657.6969697,1385.666667
773.1086957,1386.456522
840.6,1387.933333
744.92,1387.56
817.6410256,1389.435897
611.4347826,1389.913043
825.1818182,1388.272727
733.4545455,1390.181818
807.8125,1388.8125
862.5789474,1390.315789
669.3636364,1390.909091
811.6666667,1390.9
827,1391
589,1391.8
792.1764706,1393.453782
585.5,1393
616.1333333,1392.566667
783.9047619,1392.595238
754,1393.5
590.5384615,1395.307692
596.375,1397.25
667.5789474,1395.368421
589.125,1398.875
734.1176471,1399.411765
784.4285714,1398.714286
593.4375,1399.71875
759,1401
816.962963,1402.185185
723.030303,1402.727273
534.375,1405.8125
1021.375,1405
707.7948718,1407.589744
719.6964286,1407.321429
816.5,1407
838.4074074,1405.759259
1022.588235,1408.235294
716.0909091,1408.363636
746.1538462,1408.615385
590.5625,1410.75
606.2307692,1411.153846
648.7777778,1412.388889
639.3125,1412.8125
725.7692308,1413.653846
591.9090909,1414.363636
624.7666667,1413.666667
703,1415.5
588.3571429,1415.785714
627.5714286,1417.642857
665.4285714,1417.238095
682.5636364,1417.309091
721.0526316,1416.684211
689.0967742,1417.612903
833.3333333,1417.888889
601.5,1420.5
703.4736842,1419.789474
796.2758621,1420.137931
686.9375,1421.3125
628.9565217,1421.826087
717.45,1421.75
691.6875,1422.9375
819.5384615,1422.846154
675,1424.625
688.8181818,1424.727273
714,1425
743.8095238,1424.52381
754.9444444,1424.666667
643.5151515,1427.121212
747.6923077,1425.692308
810.40625,1425.65625
815.5,1426.285714
665.1666667,1424.966667
757.3636364,1427.727273
578.7419355,1428.322581
620.8571429,1429.214286
650.0434783,1429.608696
680.9090909,1429.363636
732.0833333,1430.583333
779,1429.391304
784.2368421,1429.5
675.0204082,1431.755102
585.9411765,1433.176471
582.0989011,1435.395604
615,1433.45
645.72,1433.88
668.1935484,1434.322581
780.2,1433.64
663.4,1435.4
459.1071429,1436.857143
605.4,1437.35
574.8529412,1438.647059
578.4736842,1441.973684
632.375,1439.3125
596.875,1440.3125
649.9736842,1440.157895
739.875,1440.875
776.5882353,1440.294118
589.8191489,1440.287234
618.8,1442
593.8888889,1442.777778
623.0833333,1442.75
841.4,1443.733333
605.725,1444.025
737.4,1446.2
647.59375,1446.96875
780.5769231,1445.961538
590.2727273,1448.409091
596.7857143,1447.142857
783.1363636,1448.363636
802.1111111,1447.740741
558.7058824,1448.294118
608.5,1449.5
627.3666667,1450.533333
720.7,1450.8
572.3157895,1453
723.1111111,1452.555556
786.3103448,1452.689655
568.9333333,1454.666667
596,1454.5
615.6326531,1455.612245
761,1454.75
756.6666667,1454.133333
818.9230769,1455.2
618.8181818,1459.181818
651.84375,1459.375
708.6285714,1459.571429
780.2727273,1460.090909
804,1460
822.975,1459.975
571.4444444,1461.388889
616.875,1462.875
761.9756098,1465.121951
803.4230769,1464.076923
811.6222222,1466.266667
706.7857143,1476.785714
757.4857143,1478.371429
616.8653846,1483.730769
808.25,1484.333333
611.5,1486.5
675.0784314,1488.862745
621.6363636,1489.272727
614.8333333,1491.263889
627.875,1491.875
800.125,1492.125
622.875,1493.125
805.2,1492.666667
331.1923077,1495.076923
798.5333333,1494.733333
333.1333333,1498.533333
610.5,1498.045455
