X,Y
0,0
0,6857
6857,0
6857,6857
707.2745098,8.274509804
714.0740741,8.666666667
698.94,9.04
689.72,11.62
716.4166667,13
680.8481013,16.49367089
725.9066667,13.72
688.1333333,17.4
733,17.90909091
736.2916667,19.16666667
740.1842105,21.92105263
671.7142857,21.71428571
744.2307692,25.96153846
666.1016949,27.77966102
750.4666667,29.16666667
661.7,32.9
754.1578947,33.42105263
757.8235294,38.32352941
763.5238095,46.14285714
768,54.71428571
644.1578947,57.57894737
774.5,61.9
779.9210526,68.34210526
783.25,73.16666667
634.6666667,74.03703704
787.6666667,77.46153846
630.2972973,80.02702703
791.5217391,82.69565217
626.625,85.25
793.9130435,87.34782609
797.2857143,91.61904762
801.744186,97.39534884
620.7241379,96.82758621
619.9393939,103.0606061
807.5,105.0357143
729.4565217,103.7173913
733.8333333,105.1666667
617.3846154,110
727.7857143,109.2857143
730.5789474,110.5263158
811.4545455,110.6363636
808.6153846,111.6153846
616.8947368,116.1578947
814.4666667,115.1333333
817.6315789,119.8947368
619.9,119.2
680.7142857,119.3571429
822.7333333,125.8
613.25,128.3214286
720.625,130.1875
611.1333333,133.5333333
720.3333333,134.5555556
827.0555556,134.4444444
820.0217391,136.4347826
608.9375,137.8125
777.40625,139.03125
770.8333333,140.3333333
767.625,141.25
775.3181818,142.5909091
811.1666667,140.1666667
717.75,141.5833333
830.1578947,141.3684211
716.0909091,145.3636364
780,145.5
756.8888889,146.7222222
833.2105263,147.5789474
752.6923077,147.8461538
800.3,154
615.4210526,154.6842105
790.5,153.7727273
604.9444444,156.1666667
646.2666667,157.8333333
651.6521739,157.8695652
692.3709677,156.7096774
618.5,158.875
683.8961039,160.025974
842.7234043,160.4893617
713.875,161.875
747.7,163.8
679.3571429,167.1428571
847.037037,167.2222222
849.8,172.4333333
706.5238095,172.1428571
792.2625,169.3625
792.4666667,179.5111111
852.0869565,179.0434783
853.8823529,183.5294118
796.2068966,184.9655172
856.047619,187.7619048
796.5,190
859.3783784,196.4594595
599.28125,196.5
601.8888889,197.6666667
706.6,199.6
595.6666667,202.7222222
595.6428571,207.5714286
800.2,205.5
863.2941176,206.2941176
719.05,207.75
864.5882353,210.9411765
594.0909091,212
715.1794872,214.0512821
602.7142857,216.2857143
592.5555556,216.9259259
866.8421053,217.6842105
861.5625,220.625
594.7142857,220.9285714
713.3846154,221.3846154
602.8461538,225.3846154
595.8,225.9
597.1481481,229.5185185
592.575,226.7
725.7692308,230
870.09375,233.0125
590.6363636,234.0227273
839.1764706,235.2941176
846.8888889,235.4444444
729.3333333,236.3333333
608.4,238.32
811.8543689,241.5728155
874.88,241.84
588.6071429,242.2857143
877.4090909,247.8863636
789.1481481,247.5555556
794.5,247.1
797.7,248.6
802.6206897,247.3103448
585.3478261,248.4782609
782.1428571,248.2571429
774.6779661,252.6101695
879.8148148,254.5925926
583.125,257.125
881.2727273,260.2272727
580.8,262.52
753.8823529,264.4117647
850.25,265.5833333
757.5,266.5
880.7241379,266.5517241
884.8,266.08
804.6153846,270
710.6666667,270.25
791.8181818,270.3181818
888.745098,273.2941176
579.0754717,272.7924528
795.6666667,274.1111111
800.5454545,275.6363636
585.2083333,277.875
577.8064516,281.9354839
893.787234,281.7021277
889.5,283.5
798.1,284.1
585.5106383,282.9148936
589.3571429,290.8214286
732.3333333,292
896.4444444,293.0555556
571.6410256,298
810.3157895,296.8421053
891.3333333,297.6666667
569.8709677,304.5806452
626.2307692,301.7692308
901.5454545,301.5454545
609.2,303.7
807.3271028,306.5327103
870.2666667,304.9333333
891.8918919,305.1621622
874.6666667,305.625
749.0952381,309.1428571
871.6923077,308.5384615
883.4711538,311.6538462
873.7857143,312.2142857
903.4571429,312.3571429
888.1923077,311.8076923
748.5,316
574.3,316.75
894.125,316.5
568.1666667,315.95
887.2941176,321.9411765
900.1522843,324.4060914
565.8095238,324.4047619
879.8888889,324.0555556
765.125,325.25
895.2173913,328.9130435
884.2894737,327.4210526
821.125,332.125
824.9375,331.6875
563.0666667,332.9777778
863,332.5
896.2,333.3
890.3333333,334.5
886.5384615,334.6153846
856,336
669.8076923,338.5384615
909.8695652,337.3478261
562.2857143,339.5
771.1428571,337.9642857
853.5,339.3333333
665.4166667,339.8333333
900.7027027,339.7297297
567.0909091,341.6363636
875.1315789,342.6315789
882.7307692,342.3333333
868.828125,339.875
894.6052632,343.6052632
861.9259259,345.962963
901.26,347
757.1111111,348.3333333
867.1206897,348.5689655
906.125,346.25
916.1891892,344.0810811
811.9545455,348
908.7105263,352
559.25,351.3333333
850.6363636,350.0909091
893.7368421,352.1578947
856.9655172,351.1264368
556,353.3076923
849.8125,353.6875
916.7,353.96
909.1428571,356.9285714
884.1875,356.875
845.5405405,357.8648649
558.8918919,359.5135135
907.5714286,360.8571429
927.8059701,364.1492537
903.1621622,365.2432432
919,363.6504854
807.7428571,366.6
800.9666667,367.9
627.5344828,368.362069
793.6190476,368.5714286
797.3513514,371.2162162
835.1666667,368.9166667
926.8529412,370.7941176
558,370.3333333
901.3846154,370.6153846
932.575,371.85
561.5789474,372.1052632
790.5217391,371.3913043
738.5294118,373.3529412
555.6666667,375.8518519
572.5,375
779.8478261,375.25
938.9473684,375.9473684
568.25,376
790.8623853,377.4495413
800.7956989,378.9462366
945,375.3125
681.3684211,376.5526316
550.125,378.875
742.7333333,379.1666667
773.5606061,380.1969697
827.125,379
833.025641,380.2564103
558.1851852,380.9259259
747,381
752.5384615,381.3846154
758.625,381.3333333
766.6557377,382.442623
550.625,382.9375
845.4507042,384.084507
562.9565217,386.5217391
946.4324324,385.472973
559.75,386.75
694.6666667,389
764.125,387.875
771.5,388.5
891.7894737,389.8421053
550.1111111,392.3333333
553,392.6
692.5,393
888.6363636,392.8181818
843.2631579,393.7894737
739.875,395.125
883.0447761,395.8656716
949.6296296,396.3333333
676.2835821,396.8208955
759.3333333,397.4666667
683.1529412,399.9058824
948.9285714,401.6428571
563.0833333,402.8333333
678.0441176,405.6323529
550.952381,406.3809524
950.1891892,407.2972973
676.0793651,411.4285714
954.7105263,407.0526316
591.4328358,412.6119403
880,414
958.6621622,416.472973
845.56,413.64
953.2222222,416.6444444
790.5714286,422.6190476
553,423.05
957.48,424.42
957,429.2222222
889.625,431.625
958.6904762,433.6666667
962.6451613,429.8387097
781.5,431.5833333
966.3809524,432.8095238
543.9333333,434.2
864.4230769,434.974359
781.3428571,436.2571429
540.6363636,434.9545455
646.0833333,435.75
856.25,436.2916667
883.6190476,435.952381
891.3333333,435.0833333
658.5333333,437.6
716.8695652,437.1956522
870.7777778,437.2962963
536.8421053,437.1578947
620.5,437.8
628.1153846,437.6923077
640.2083333,437.7916667
804.7619048,437.7142857
879.68,438.64
618.125,439.875
633.6060606,440.3636364
699.4615385,440.3846154
962.4228571,445.0514286
968.6,439.8
658.9473684,444.2105263
864.4117647,442.8823529
535.8333333,444.4333333
621.6,445.0666667
821.2,446.4
825.5,446
859.8695652,445.9130435
900.3516484,444.1648352
594.0833333,447.6666667
968.5376344,450.6451613
816.5,448.5
600.05,450.25
535.1111111,451.4722222
856.4090909,451
897.72,452.78
764.0588235,452
768.1666667,452.1666667
851.5,452.2
601,454.6923077
615.7647059,453.0588235
946.8888889,456.3333333
616.3076923,459
958.8461538,460
964.1481481,459.2222222
609.6551724,460.7241379
949.08,460.56
968.3404255,462.4680851
939.5714286,464.2142857
611.0344828,466.0689655
835.8947368,464.0526316
676.1219512,464.7560976
964,465.5925926
972.1395349,467.9767442
974.9818182,464.1090909
833.3333333,467.75
967.8863636,471.8636364
535.7741935,471.5806452
530.5555556,472.7777778
822.66,471.38
563.6764706,476.4117647
566.7916667,474.1666667
829.2631579,474.2631579
979.7285714,473.3571429
974.2820513,477.0512821
825,478.84
540.5,479.5
570.1666667,478.2777778
980.4705882,479.8235294
537.16,480.8
808.6666667,480.6666667
922.125,480.875
569.6296296,481.5925926
542.75,483.4583333
563.9411765,483.2352941
971.125,482.6666667
555.9615385,483.5576923
823.1111111,485
840.6837607,484.6581197
984.1351351,483.2162162
978.7152778,489.625
972.6538462,490.0384615
834.6666667,491.6666667
524.1754386,492.3508772
752,492.5
718.2727273,493.9090909
817.4444444,495.2222222
986.5967742,494.4354839
972.0810811,496.8648649
814.5,498.5
980.9032258,499.3548387
522.5,501.8571429
750.9137931,500.9655172
982.7586207,502.8275862
824.7464789,505.943662
972.7941176,502.5588235
977.0196078,506.2941176
819.4117647,506.8823529
522.5,507.5
672.4444444,508.1111111
727.0869565,508.6086957
985,508.3278689
585.1111111,509
753.1265823,512.164557
979.6956522,512.3478261
986.75,515.1590909
517.7272727,513.5454545
690.3035714,515.6428571
748.0416667,517.4166667
811.5,516.5
981.1578947,516.7368421
530.5357143,516.6428571
780.25,518.5833333
520.140625,517.21875
798,521.8421053
705.7272727,524.6727273
774.5,522.8
795.25,525.1071429
936.1428571,522.8571429
939.8095238,521.8571429
518.875,524.625
802.7291667,524.6041667
697.8181818,526.5194805
792,528.0769231
965.4666667,527.8666667
535.9285714,528.5
802.6666667,530.5925926
645.6136364,530.4090909
517.8378378,533.3243243
641.8888889,533.1111111
788.6428571,531.8571429
796.71875,531.640625
990.6789668,530.1734317
538.1590909,533.5227273
764.8780488,532.6097561
784.4242424,534.2121212
543.1071429,534.9285714
672.5483871,535
718.6666667,535.1111111
791.1052632,535.7894737
536.2222222,538.4444444
610.5,537
649.1111111,536.6666667
620.5,538.75
661.7878788,542.0909091
693.3888889,541.1111111
516.65,544.55
625.88,545.88
514,551.7454545
998.2352941,545.7176471
624.4736842,550.2631579
994.6551724,550.2931034
970.3809524,552.4285714
1003.378378,554.1891892
518,557
714.4615385,558.8461538
998.5,560.2424242
1006.421053,558.4736842
738.2647059,565.4117647
689.3913043,564.2608696
1006.62963,564.9074074
512.2820513,567.0512821
522.5333333,568.3333333
1007.066667,570.2
999.9367089,571.2531646
671.8571429,573.5
885.8333333,574.2142857
508.8,575
877.7837838,575.2162162
512.3333333,577.625
832.8965517,576.8965517
669.6666667,578.4
881.44,578.8
1005.656442,581.5705521
506.9285714,579.7142857
874.1875,580.5
831.0540541,582.5540541
902.6666667,582.1111111
995.775,583.075
577.2264151,584.1886792
823,583
868.6666667,583.1333333
971.6956522,582.826087
506.3125,584.0625
669.7096774,584
699.8,585
807.2222222,585.3333333
820.0869565,585.7826087
638,586.2
801.4782609,586.4782609
824.2307692,586.6153846
510.3469388,584.8367347
813.3333333,587.6
1006.888889,589.9444444
504.6363636,588.4545455
617.6176471,592.1176471
1008.48,592.92
502.36,594.84
620.2727273,595.2272727
632.3571429,594.2857143
1013.916667,593.1666667
763.0666667,594.3333333
1010.666667,597.2666667
681.7,596.3
767.3333333,596.4761905
642.7692308,598.8461538
1005.75,598.75
506.3333333,600.7333333
578.4242424,600.8787879
672.6888889,600.0555556
499,601.5
681.2,601.44
651.0740741,603.0740741
1010.037037,602
916.5555556,604.3333333
991.5769231,603.2692308
743.7586207,607.3103448
784.625,606.75
1016.878378,600.9864865
630.125,608.125
738.75,607.0833333
563,609
769.1538462,608.5384615
999,608.5
500.7142857,607.5714286
652.6862745,609.5098039
724.5353535,612.6060606
983.875,610.125
1013.169811,608.6792453
605.5384615,611.3846154
613.1764706,610.2941176
625.3076923,610.6923077
751.25,610.1875
1019.292,620.64
589.7894737,613.2105263
594,612.8823529
657.9210526,613.7368421
736.6326531,611.6938776
499.5135135,614.027027
668.5,614.6666667
729.7272727,614.1818182
806,614
615.9361702,615.106383
626,615
629.125,614.875
733.3703704,616.1111111
741.8387097,616.0806452
881.2068966,616.7586207
621.1515152,616.7575758
885.8823529,615.7352941
497.5185185,620.1851852
735.76,619.44
535.7083333,620.0416667
659.125,620.125
722.4324324,619.972973
729.9615385,620.6153846
724.9,623.45
736.625,624.4583333
732.55,624.65
966.4594595,626.2162162
574.7586207,624.8275862
746.8888889,626.3333333
874.6,626.3
495.6226415,629.3018868
1007.363636,626.5454545
630.5555556,627.9444444
691.3333333,629.5925926
728.5901639,627.8196721
1012.466667,627.1333333
1025,628.625
504.5833333,629.75
966.4444444,631
1009.681818,631.0454545
1026.518519,631.2592593
826.3333333,631.5333333
596,633.5
885.6190476,632.4285714
891.1851852,632.6666667
731.5777778,633.9111111
896,633.1111111
885.3055556,636.3888889
987.2631579,634.4736842
893,637
1016.897638,639
1022.732143,637.5
1026.6875,636.78125
650,636.5
684.9090909,636.6363636
500,639.5
629.5773196,640.7319588
1010.8,639.5
643.2857143,642.2142857
881.0833333,641.4583333
494.6551724,640.9655172
692.483871,640.6774194
768.6428571,641.5714286
742.9,642.5333333
622.3076923,643.9230769
782.8571429,644.1428571
1028.04,643.12
491.8333333,644.8333333
565.125,644.875
731.5438596,643.4561404
808.1086957,644.7391304
896.5,645.8
1028.714286,648.3714286
1034.133333,647.1111111
667.4444444,649.1111111
964.1111111,648.3333333
813.7333333,648.9
872.8823529,649.6470588
1010.125,650.125
