X	Y
0	0
0	6857
6857	0
6857	6857
757.4166667	141.5833333
727	165.8
755.3222222	202.0666667
676.8	205.7333333
756.9545455	210.7272727
824.8333333	221.6666667
821.1818182	223.8181818
685.53125	233.0625
688.125	240.5625
688.2058824	258.3529412
768.6111111	261.2777778
770.2121212	266.7878788
769.6363636	273.2727273
766.7857143	275.3571429
767.5	279.5
859.6774194	289.5806452
849.75	292.5
854.5714286	293.1428571
763.9268293	301.3414634
767.3913043	309.0434783
646.375	314.875
652.6666667	322
768.3913043	323.7391304
671.6666667	327.1111111
680	329.6428571
685.7	331.9
770.2586207	330.2413793
717.7272727	347.8181818
719	352
815.0588235	363.2352941
917.625	385.25
630	410.5
630.6666667	414.3333333
691.7115385	423.8653846
811.1418919	439.7364865
820.3095238	426.8571429
824.75	428.25
694.9333333	429.7
817.65625	432.5625
821.0903226	441.5096774
691.5	431.5
692.875	436.125
695.875	437.125
810.6041667	451.7708333
821.7692308	447.2307692
882	449.5
694.0384615	462.1923077
700.3	463.15
602.1428571	492.7857143
596	494.5
614.6	503.4333333
618.6538462	506.9615385
929.8888889	507.6666667
940.2	509
623.1967213	513.0327869
645.5	515
676.5	515.6666667
669.7368421	526.7894737
784.2666667	530.9333333
668.5263158	538.4473684
957.0263158	550.8157895
960.14	560.04
746.625	562.25
701.125	566.125
876.9642857	570.4017857
882.8	567.1
886.3389831	565.4576271
963.2073171	570.4756098
885.7619048	575.5714286
889.4137931	573.137931
882.5384615	578.5897436
869.2631579	578.4210526
877.1803279	580.1147541
647.7692308	592.7692308
746	594.5
657.5862069	594.9310345
652.6818182	599.3636364
657.7407407	600.7777778
880.9090909	601.0454545
811	603.5
578.9	604.3
806.125	605.875
795.2975207	615.0991736
802.2884615	614.7307692
597.5	613.3333333
587.5	613.8
606.8181818	614.25
692.4444444	614.7222222
838.480916	618.5725191
741.3076923	618.9230769
731.5416667	621.7916667
738	620.5625
747.25	620.6666667
741.4285714	622.4285714
639.2	624.5
744.5	624.2222222
827.0833333	624.4166667
683.7391304	626.4782609
722.875	627.125
796.7333333	627.3333333
842.5	626.8
833.8148148	626.6296296
797.875	630.875
826.84	630.76
788.1153846	634.6538462
829.0714286	637.8571429
696.483871	638.7580645
734.4210526	640.1578947
799.0833333	643.4166667
929.6666667	644.25
987.9090909	645.3636364
831.9166667	648.4166667
796.5	648.5
921.4375	651.25
829.9285714	654.2142857
617.1111111	652.8888889
832.2857143	656.2380952
662.0727273	658.1272727
835.2	657.7
1033.8125	659.1875
831.8421053	660.4210526
672.1923077	662.1153846
801.2	662
654	664.5
799.6363636	665.0909091
841.125	664.875
677.56	668.2
580.3076923	673.6538462
684.8181818	671.9090909
837.3333333	672.4666667
688.1111111	672.6666667
724.5625	678.6875
795.09375	679.90625
725.9166667	682.25
729.2777778	683.9444444
794.45	685
691	689.5
757.5	692.5
681.4	695.6666667
689.0833333	713
691	715.8823529
666.2857143	718.7857143
666.6666667	723.0952381
817.0416667	745.0416667
724.8888889	747.3333333
728.375	748.75
679.1111111	751.6666667
726.0333333	753.0333333
510.3225806	755.5483871
515.1142857	759.5428571
891	769
894.7368421	769.3684211
894.6	773.2
785.4545455	784.0606061
855.3703704	789.2592593
657.7777778	797.5
694	806.0384615
726.875	807.125
511.2727273	808.9090909
515.3333333	810.8666667
729.9333333	815.6
524.05	817.3
602.8666667	827.4
605.7586207	831.4137931
610.1	836.225
567.5	840.2
684.8684211	843.2631579
581.1489362	845.2765957
625.6567164	851.4328358
766.9090909	867.6363636
850.9090909	877.7878788
709.5384615	877.8846154
608.2	900.3666667
611	904
730.9583333	913.25
729.5384615	916.6153846
946.1111111	915.8888889
576	920.5
575.5	924
754	924
943.9019608	925.5686275
584	927
851.6666667	927.4666667
589.5789474	929.5789474
945.9090909	929.6363636
812	931
944.625	932.25
813.0909091	935.3636364
939.8411215	938.7009346
451.5	940.0666667
740.8	938
991.8358209	942.4402985
738.25	940.5833333
764.6888889	941.4444444
546.875	942.125
552.125	943.875
934.3	947.1833333
763.1875	948.8125
669.875	948.875
819.5454545	950.8181818
929.877193	953.4035088
672.2777778	956.1666667
694.5	957.5
787.4	957.8
927.8181818	961.1363636
922.2	965.5444444
694.7	961.5
694.1578947	966
923.25	972.1666667
694.3636364	970.8181818
719.4444444	970.6666667
722.8148148	969.1851852
696.2608696	980.6956522
854.8888889	983.2222222
663.5	992.9
853.65	994.1
820.6	996.0666667
570.7333333	999.0666667
663.0869565	998.5217391
752.5	1002.5
661.6885246	1009.647541
820.9411765	1012.588235
691.5454545	1014.636364
662.2153846	1019.523077
620	1019.5
661.3269231	1027.384615
782.3333333	1027
826.9285714	1026.857143
662.4166667	1033.291667
816.85	1032.4
660.4642857	1037.464286
463	1040.8
662.0909091	1047.454545
952.36	1057.56
657.6979167	1060.3125
1062.125	1063.875
1064.909091	1063.636364
955	1064.647059
957.8181818	1066.545455
658.8666667	1068.066667
807.9230769	1071.153846
438.4130435	1077.391304
513.2727273	1079.272727
897.1923077	1082.730769
901.1929825	1088.45614
512.8928571	1088.464286
656.2241379	1091.37931
789.3636364	1089.454545
510.75	1092.8
600.125	1092.125
787.5263158	1095
726.6666667	1102.895833
838.875	1115.125
834.5	1117
578	1122.5
1022.25	1122.25
1017.666667	1122.888889
848.8	1124
857.1333333	1126.711111
1005.111111	1126.888889
659.2222222	1128.822222
865.4767442	1130.860465
974.44	1129.92
859.3333333	1137.11828
981.7111111	1133.933333
867.44	1139.52
664.6	1137.933333
980.5	1140.25
397.0357143	1144.071429
402.1794872	1143.25641
408.5	1144.85
419.2962963	1149.296296
417.3076923	1152.076923
793.744186	1158.348837
988.2903226	1158.451613
564.7027027	1160.027027
1160.590909	1158.772727
792	1162.166667
515.6428571	1176.285714
559	1177.5
1093.217391	1179.434783
456.875	1180.125
459	1182.8
514.125	1182.125
1080.882353	1186.588235
459.9354839	1188.193548
1076.285714	1189.238095
1070.619048	1192
654.1538462	1193.538462
399.3636364	1201.818182
433.3225806	1201.096774
440.5294118	1202.235294
443.7	1204.7
768.125	1203.875
424.2777778	1203.833333
436.6363636	1205.545455
757.4	1205.55
755.2	1208.4
763.4	1208.4
759.6842105	1209.631579
753.0833333	1210.666667
1034	1213.391304
427.9454545	1211.945455
469.6470588	1220.441176
945.2	1222.84
592.5	1227.5
916.125	1231.875
878	1233.837209
594.5555556	1235.777778
649.1111111	1240.018519
911.875	1238.875
644.0886076	1248.227848
631.6666667	1246.888889
648.675	1248.85
622.2941176	1248.294118
554	1250.5
675.2352941	1250.294118
678.56	1253.08
673.1333333	1256.466667
678.5	1257.375
682.5833333	1258.75
641.8	1262.2
437.6153846	1269.923077
641	1268.75
684.35	1271.6
817.5172414	1271.103448
944.1034483	1280.758621
941.5454545	1285.227273
481.0344828	1287.741379
977.5531915	1287.085106
844.0909091	1289.636364
575.1428571	1290.685714
896.125	1289.875
891.3333333	1291.555556
937.2777778	1292.277778
846.0526316	1294.473684
625.1666667	1298.888889
638.1428571	1299.071429
795.2837838	1302.878378
788.3617021	1302.531915
1030.517241	1307.37931
746.6923077	1307.884615
856.8181818	1307.363636
899.375	1308.25
790.1578947	1308.947368
881.5	1309.5
1012.939394	1312.939394
610.6521739	1313.913043
974.25	1314.5625
902.6875	1321.625
913.9310345	1319.586207
917.4117647	1320.058824
604.6666667	1322
845.56	1323.08
973.9259259	1324.259259
576.8571429	1327.857143
683.6	1328.057143
725.5909091	1328.977273
605.7857143	1328.857143
576.5	1332
681	1332.5
420.2857143	1333.285714
603.5	1334
677.2758621	1333.862069
573.8095238	1336.619048
682.3571429	1336.071429
895.3846154	1337.615385
1079.941176	1342.852941
440.4166667	1345.708333
920.8181818	1346.181818
1158	1346.5
624.6666667	1347.666667
542.875	1349.875
440.4615385	1351.384615
1152.5	1350.5
541.4545455	1352.818182
918.975	1352.525
622.6470588	1354.352941
915.2857143	1355.571429
621.2857143	1358.928571
897.75	1357.4375
827.03125	1360.0625
898.0909091	1361.363636
886.5	1364
623	1365.846154
946.6	1367.1
878.1724138	1369.931034
879.6666667	1372.75
925.6296296	1370.777778
592.1111111	1388.277778
651.9	1389.9
925	1392
496.0384615	1396.269231
796.3333333	1397.25
510.3076923	1401
581.9310345	1400.103448
516.1	1401.8
870.7777778	1402.888889
896.7	1408.7
574.2380952	1411.571429
730.6666667	1417.111111
775.7708333	1421.1875
873.440678	1425.694915
472.6	1427.1
724.5	1428.5
1073.5	1428.722222
476.2727273	1429.909091
870.4	1445.1
512.6122449	1445.755102
407.8125	1455.1875
412.7142857	1455.357143
449.65	1456.3
395.5555556	1457.444444
402.6590909	1458.795455
1153.666667	1458.388889
423.3209877	1461.148148
497.3846154	1468.615385
433.8888889	1468.666667
449.6666667	1469.6
501.625	1468.5625
895.0555556	1471.833333
1045.454545	1470.636364
758.4666667	1477.933333
1050.625	1478.75
809.9361277	1498.371257
839.2857143	1483.5
619.1111111	1485.851852
641.8888889	1487.333333
865.2631579	1487.631579
758.125	1488.875
819.0454545	1493.659091
625	1491.5
803.64	1499.08
841.5	1495
350.1538462	1503.230769
641.8888889	1505.444444
865.8888889	1506.666667
1147.8	1514.9
1144.333333	1516.333333
929.5	1523.107143
932.8	1527
459.7142857	1533.785714
710.0909091	1535.363636
461.125	1536.875
512.7	1537.1
514.1578947	1544.368421
567.0909091	1544.204545
393	1545
600.75	1550.583333
572.875	1554.375
576.2894737	1552.473684
600.2857143	1554.642857
359.3333333	1556.466667
364.875	1556.375
354.9333333	1557.8
349.4545455	1559.977273
688.96	1560.24
601.375	1561.75
1114.636364	1563.090909
634.5882353	1565.647059
688.75	1566.125
689.6	1570.133333
610	1576.5
607.6666667	1579.266667
366.5	1599
325.8888889	1600.666667
629	1602
877.1818182	1605.818182
526.3684211	1608.596491
518.6944444	1608.5
520.1	1613.05
523.5	1614
925.1111111	1612.888889
437.8	1623.7
620.875	1626.125
923.25	1625.75
361.4347826	1626.826087
366.3636364	1626.545455
438.5	1627.2
1084.8	1629.9
438.8863636	1634.159091
441.3703704	1638.259259
444.9285714	1638.857143
1024	1646.2
433.0232558	1649.604651
441.1052632	1649.526316
520.125	1650.875
971.5	1655.5
569.4705882	1665.235294
843.6428571	1666.071429
1090.714286	1668.5
904.2	1670.9
536.8461538	1672.923077
1075.833333	1678.75
526.8	1693.766667
1036	1696
890.8	1697
578.5333333	1701.866667
583.2083333	1702.791667
760.3846154	1703.384615
687.6	1705.733333
583.1764706	1707.294118
579.8636364	1707.727273
689.625	1709.375
692.8333333	1711.833333
581.5952381	1713.52381
443	1716.96
844.25	1716.333333
495.125	1717.125
569.3125	1718.5
688.8181818	1718.181818
452.0909091	1719.363636
458.4615385	1719.384615
554.1818182	1719.181818
396.875	1719.875
492.9090909	1719.636364
982.0909091	1720.090909
334.9090909	1720.636364
387.2666667	1721.933333
578.1333333	1722
570.5	1723.5
489.5	1724
537.5294118	1724.588235
710.5384615	1724.307692
714	1725
485.48	1726.28
575.9047619	1725.619048
541.2727273	1727.227273
709.3461538	1728.5
713.6666667	1729.380952
510.6363636	1730.909091
562.875	1731.666667
685.8947368	1732
620.2222222	1735.666667
720.6875	1735.9375
377.1428571	1739.142857
374.3636364	1741.636364
869.880597	1741.179104
1061.066667	1741.2
873.620915	1751.235294
879	1745.2
1019.5	1746
666.6315789	1747.526316
1156.733333	1747.933333
788.3636364	1751.090909
655.5	1752.5
670.6862745	1751.176471
1155.5	1754.8
591.6990291	1759.349515
585.7096774	1755.645161
586	1759.666667
873.5833333	1760.5
325.5	1761.5
354.25	1769.25
1175.555556	1770.777778
1000.4	1776.266667
942.6190476	1779.571429
947.8	1780.266667
571.6829268	1786.682927
1038.416667	1786.416667
430.3157895	1788.263158
569.6666667	1790.388889
1010.636364	1796.363636
1102.666667	1798.333333
348.875	1800.125
351.4166667	1802.083333
550.1875	1804.8125
998.3636364	1803.909091
995	1805.583333
991.6666667	1808.666667
544.2083333	1812
404.09375	1825.375
927.875	1828.875
426.952381	1836.47619
1181.777778	1837.333333
805	1841.5
1143.241379	1843.793103
920.2	1846.5
1137.28125	1846.8125
416.3636364	1848.318182
1025.904762	1849.619048
1011.666667	1857.933333
350.0806452	1857.548387
877.5925926	1865.666667
940.016129	1866.258065
1003.736842	1867.842105
492.375	1869.75
1175.954545	1871.863636
955.875	1878.875
563.625	1882.5625
521.4594595	1883.216216
676.2702703	1883.459459
560.7857143	1885.428571
334	1888.157895
339	1889.5
562.1333333	1888.866667
872.8076923	1890.923077
998.15	1891.2
370.4615385	1895.384615
374.5	1896
730.6351351	1901.5
1153.875	1899.25
635.9583333	1898.875
639.0694444	1902.763889
1150.5	1901
735.3157895	1901.894737
737.7272727	1904.363636
577.1111111	1905.055556
1054.869565	1904.73913
632	1906
916.8974359	1907.410256
582.0666667	1908.266667
761.15	1910.7
787.6	1909.933333
581	1912.166667
1040.611111	1912.333333
584	1913.833333
418.4642857	1916.107143
