X	Y
0	0
0	6857
6857	0
6857	6857
544.5	169
590.6	170.8
545	214.5
741	224.5
631.5	225.5
637.5	227
650.5	228.5
607.5	229
657	229
629	248.2857143
567.5	252.5
783	259.5
552	261.5
556	265.5
516.3333333	270.3333333
581.5	271.5
600	276
594.25	295
524.5	321
509	337
514.2	337.4
548.5	343.5
543.5	356
548	362.5
551.4285714	367.7142857
601.5	380.5
486	384
562.875	384.125
682.8	384.6
557	407
520.7142857	408
606.875	412.875
570.7142857	423
763.7142857	427
543.2857143	428
737	432.5
532.7142857	439
516.7142857	441
508.5	449
614.3333333	453.6666667
836	456.5
462.2	458.6
658.6666667	462.125
705.4193548	465.8387097
718.5	466.5
469.5	481
721.4347826	481.9565217
623.5	488.5
737.2222222	493.3888889
570.125	502.875
729.2592593	508.7037037
632.5	512.5
590.5909091	516.4545455
669.8666667	520.9
596.125	531.875
734.5	534.2
653.6666667	536.4444444
613.6428571	551.7857143
635.5	552.2857143
714	556.2857143
489.5	557.5
736.1176471	559.5882353
720.4	560.2
649.2258065	566.1935484
723.3846154	570.3846154
712.0625	581.1875
683.125	581.6666667
583	590
671.952381	592.1904762
708	593
481.2857143	598
470	599
635.9130435	600.2173913
481.5	603
455.875	605.125
689.5	609.5
749.1071429	608.9642857
720.7241379	614.3448276
590.9047619	624.1666667
754.8181818	624.1818182
669.2857143	627
650	628.5
700.1	629.1
579.9	634.66
672.03125	634.9375
705.4761905	634.9047619
596.6875	636.625
652.8125	636.03125
662.2	653
643.125	654.125
707.2857143	656
721.4848485	658.3939394
591.3888889	660.75
593.5833333	669.75
605.5	676.5
745.6	676.2
673.8214286	679.2142857
741.5	679.5
654.9259259	680.4074074
632.3142857	681.8142857
458	697
712.3076923	699.1153846
767	702
564.4	708.2
719	713
467	724.2857143
502	724.5
607.5	728.5
660.2857143	735
642	736.5
851	745
579.7222222	772.8333333
527.0894309	782.7317073
819.6086957	785.2086957
767.8	785.5
681	791.6363636
644.6944444	792.4722222
571.5555556	799.1388889
598	800.3529412
613.1176471	801.4117647
716.372093	802.4186047
589.0833333	803.9166667
650.4827586	807.2758621
642.1818182	810.1818182
589.2631579	811.5789474
599.7142857	815.6190476
614.9230769	816.6666667
606	823.5
646.6744186	832.8604651
656.2608696	868.6521739
723.5	882.5
620.6	886.2
654.1428571	897.6071429
652.5333333	904.8666667
592.5	914.8
698.3333333	924.6666667
591.3913043	934.0869565
616.125	934.125
605.4814815	935.4074074
629.1176471	941.5882353
460.8421053	955.1578947
622.2894737	955.9473684
540	967.5
684.3809524	967.952381
559.2941176	980.6470588
674	985
788.5	993
593.5	1021
718.7142857	1041.5
651	1066
574.9090909	1089.090909
741.125	1096.875
889	1100.714286
597.2	1103
739.9333333	1105.8
748.1111111	1107.333333
690.5	1111
511.875	1112.125
732.2857143	1120
682.2777778	1120.833333
773.4	1121.6
1055.111111	1129.666667
745.5483871	1130.096774
801.2916667	1131.708333
792.4736842	1134
807.5	1137
779.875	1141.825
721.5	1143
847.8695652	1149.478261
733.5	1154.5
748.6363636	1161.909091
709.7058824	1161.705882
740.0508475	1162.372881
722	1164
836.1666667	1163.833333
747.3333333	1167
704.8421053	1168.157895
662.6666667	1174.333333
830.3863636	1176.840909
645.3846154	1179.384615
650.1538462	1180.461538
699.975	1179.7
672.2105263	1181
843.4166667	1185.25
648	1186.136364
744	1187.5
749.3846154	1187.384615
661	1191
752.7419355	1193.258065
676.2857143	1197.428571
727.7142857	1205
699.7333333	1205.333333
777.5925926	1206.814815
674.2631579	1210.631579
770.125	1209.875
646.6764706	1211.735294
715.8333333	1214.277778
537.8421053	1217.157895
869	1218.708333
837.1034483	1220.551724
629.3928571	1220.821429
725	1221.2
843.7333333	1223.2
678.2	1224.266667
773.7142857	1224.5
733.5	1227
757.9590909	1226.595455
715.6794872	1227.820513
818.7368421	1232.684211
669.36	1233.24
697.4166667	1237.25
605.8421053	1237.842105
656.5	1238.5
752.5	1239.5
741	1244.5
861	1245.5
786.7368421	1246.157895
772.6197183	1246.788732
637.2333333	1249.366667
680.6764706	1252.147059
755.4	1257.6
770.2424242	1257.575758
638.8	1259
686.76	1258.96
748.875	1258.666667
852.6	1258.6
566.6538462	1259.730769
645.4	1260.6
781	1260.285714
586.75	1261.392857
626.1034483	1262.172414
677.7222222	1263.611111
775.3666667	1263.633333
763.5714286	1264.380952
672.05	1266.1
891	1266.2
846	1267.2
858.5	1269
829.6153846	1270.615385
766.6538462	1274.653846
852.8421053	1277.157895
548	1278
732.5	1278.5
697.5645161	1279.677419
812.8888889	1279.722222
858.9714286	1281.6
787.4186047	1281.488372
801.5588235	1283.764706
832.125	1283.53125
761.7142857	1284.452381
866.5517241	1285.758621
661.5238095	1288
747.1041667	1288.625
790.1904762	1287.952381
616.952381	1289.119048
644.6285714	1293.371429
729.9375	1292.6875
630.5454545	1293.5
659.5	1296
792.75	1297.083333
602.8	1298.4
678.9076923	1299.523077
757.6027397	1299.219178
787.5	1299
827.9924812	1299.609023
633.8333333	1300.833333
806.6486486	1303.891892
692.0540541	1307.945946
707.9666667	1309.1
727.0212766	1306.673759
795.5	1309.109756
822	1311.5
628.7391304	1314.304348
768.5483871	1314.580645
853.5	1315.5
611.5531915	1316.340426
803	1316
823.9565217	1316.717391
780.8666667	1319.7
786.875	1319.125
763.484375	1320.6875
804.0481928	1321.192771
681.6818182	1323.363636
709.3684211	1323.473684
700.3488372	1324.44186
691.5	1326
668.1834862	1327.752294
758.6	1328.2
650.1891892	1329.135135
684.7142857	1331.942857
800.125	1331.125
830.25	1331.444444
621.3333333	1331.875
555.5	1334.5
574.2857143	1336
642.0909091	1335.909091
690.7619048	1339.809524
755.5	1339
676.56	1341.92
718.7435897	1343.435897
747.4791667	1344.625
821.5	1344.8
808.972973	1344.837838
706.6	1346.2
679.75	1348.05
692.5757576	1347.939394
686.3846154	1351.615385
791.5	1352.5
816.15625	1352.0625
743.5882353	1354.558824
679.9285714	1356.857143
759.4888889	1358.911111
713.5	1362
812.0666667	1362.4
629.6666667	1364.888889
509.0909091	1364.909091
802.1666667	1365.083333
618.9285714	1369.285714
652.6	1369.4
761	1375
663.125	1376.125
599.05	1377.9
560.4375	1380.0625
721.3666667	1379.633333
617.2941176	1380.5
646.2857143	1382
805.3	1382.333333
688.3571429	1383.214286
790.6	1385.2
631.4054054	1389.027027
881.6451613	1389.193548
745	1391
617.8421053	1391.842105
685	1392.5625
719.85	1395.55
828.84375	1395.625
848.2758621	1396.172414
714	1399.5
765.5714286	1398.619048
597.6666667	1400.111111
621.1875	1400.1875
610.125	1405.125
660.2631579	1407.578947
582.04	1408.4
675.4545455	1408.363636
590.6315789	1409.684211
619.5882353	1409.352941
736.7894737	1411.631579
716.12	1415.2
533.3529412	1416
657.1578947	1416.842105
671.5	1418
756.525	1418.7
580.5217391	1422.391304
624.6	1424.4
785.3333333	1425.111111
761.9090909	1431.909091
635.3076923	1433.461538
747.0952381	1433.190476
625.195122	1433.731707
647.64	1434.76
734.2173913	1434.347826
666.4	1438.4
793.6666667	1441.125
706.1551724	1442.362069
540	1443.714286
713.9090909	1444.090909
732.875	1445.6875
643.8148148	1446.407407
571	1449.5
664	1450
611	1451.5
513.9142857	1453.542857
664.5	1454.5
785.2727273	1454.848485
761.6153846	1458.615385
605.3333333	1459.666667
734.4545455	1460.636364
733.2352941	1466.764706
648.6315789	1469.210526
606.4	1470.4
536.4864865	1473.216216
747	1474.5
544.7142857	1477
712.03125	1477.34375
522.6153846	1478.384615
623.7272727	1478.5
640.3125	1480.375
554.3888889	1481.555556
605	1482.5
617	1483.5
694.9	1485.7
553.875	1489.666667
823.35	1489.7
544.6666667	1493.333333
676	1493
726.125	1495.875
732.8421053	1496.157895
786.1764706	1498.411765
586.7894737	1501.315789
577.5384615	1502.153846
623.4137931	1502.275862
692.7931034	1501.965517
760.7222222	1502.037037
572.6363636	1504.090909
655	1506.5
747.8	1506.914286
560.125	1507.875
594.3846154	1511.384615
624.5	1512
737.4084507	1513.126761
753	1513.714286
552	1519
638.5	1518
582.6470588	1521.941176
678.125	1525.125
623.2142857	1528.642857
582.6666667	1532.666667
504.8181818	1540.818182
787.7272727	1542.818182
683.1176471	1544.588235
633.6875	1546.1875
657.6666667	1553.666667
718.125	1553.125
549.3809524	1554
756.3636364	1555.909091
656.1538462	1561.615385
770.3846154	1565.384615
361.5	1567
541.5882353	1569.117647
675.8181818	1569.181818
693.6818182	1568.522727
659.4583333	1571.208333
713.2	1571.5
682.2222222	1574.055556
555.125	1575.3125
631.375	1576.95
611.2857143	1578.214286
714.8095238	1578.761905
538.7142857	1580
1062	1580.863636
1055.441176	1582.176471
646.2	1583.24
687.5	1590.333333
672	1594.892857
564	1596
926.8333333	1595.833333
655.6923077	1596.923077
604.4482759	1599.310345
697.8409091	1601.727273
637.6666667	1604.888889
476.9090909	1608.636364
755	1608.5
607.6923077	1609.653846
715.2	1609
742.5	1609
796.3636364	1611.090909
642.2307692	1614.5
429.2857143	1615.5
704.969697	1615.363636
626.5	1618.5
666.7241379	1621.586207
699.2857143	1622
635.8888889	1625.666667
662	1627
627	1628.5
701.7272727	1628.181818
738.2	1628.933333
641.2142857	1630.321429
680.5641026	1632.641026
503.3846154	1636.384615
618	1636.236842
779.6956522	1636.869565
456.3333333	1637.888889
608.0769231	1637.961538
654.2105263	1638.947368
765.0666667	1638.733333
413	1640
421.3333333	1640.333333
679.75	1641.5625
717.6315789	1644.578947
726.5	1644
433.5	1647
586.5384615	1646.846154
678	1648.285714
475.92	1649.56
699.030303	1650.424242
594.5	1651.5
752.1851852	1652.851852
415.0909091	1654.636364
647.4375	1656.25
653.6666667	1659.75
484.1785714	1661.732143
422.5	1663
470.5	1664
777.7428571	1665.685714
631.5	1669.5
621.1454545	1669.727273
653	1671.714286
754.3333333	1670.888889
645.4492754	1674.275362
673.7142857	1674
686.6666667	1674.125
517	1675.714286
473	1677.5
667.5	1678.8
781.2222222	1680.5
553.3684211	1682.280702
693.8076923	1682.192308
609.15625	1683.34375
793	1683.5
730.5737705	1687.04918
498	1688
535.4347826	1689.086957
712.12	1690.24
846.9230769	1689.807692
773.5	1691.5
875.3846154	1691.384615
513.3846154	1693.384615
553.5	1693.5
575.5	1694.8
744.5	1695.5
782.3076923	1694.884615
507.8918919	1696.243243
409.1666667	1697.166667
633.7954545	1697.613636
541.7272727	1697.5
595.1363636	1698.454545
750.5769231	1698.948718
491.2	1700.44
708.05	1699.25
515.75	1702.333333
621.3333333	1702.333333
642.4	1702.563636
738.95	1703.6
578	1706
815.275	1707
716.3181818	1706.863636
771.7889908	1708.458716
863.1818182	1708.818182
563.4444444	1711.111111
622.125	1710.875
691.3684211	1711.526316
471.6363636	1714.090909
839.6321839	1715.724138
705.3333333	1716.25
816.5945946	1716.837838
527	1721.5
712.6545455	1721.454545
701.6341463	1722
521	1723.5
600.6666667	1724.333333
636.5882353	1727.882353
848	1728
680.9714286	1729.6
432.1785714	1730.107143
603	1730.210526
702.1935484	1729.645161
657.3103448	1731.655172
591.8333333	1732.777778
874	1733.285714
627.7	1735.3
604.3571429	1737.785714
647.3846154	1737.615385
613.7142857	1739
637.7	1738.9
589	1745.346154
629.173913	1744.565217
689	1745.5
892.05	1745.1
575.1578947	1746.842105
926.3333333	1748.5
943.4666667	1748.3
600.5	1750
493.2173913	1750.869565
650.530303	1751.181818
666.8928571	1750.928571
725.9285714	1751.47619
608.7272727	1752.181818
810.8076923	1751.884615
561.46	1753.68
576.5	1754.714286
598.2	1755.4
782.78125	1757.0625
718.5	1757.5
753.75	1760.84375
540.8913043	1760.978261
581.027027	1762.459459
653.5185185	1762.888889
738.4545455	1763.636364
631.3	1764.266667
674.1298701	1764
487.1935484	1765.387097
607.4074074	1765.481481
563.88	1765.8
876.6666667	1768.888889
522.3925234	1769.64486
843.0555556	1769.888889
559.0416667	1771.708333
644.4705882	1772.647059
750.5	1772.5
836.5714286	1772.380952
515.1612903	1773.935484
500.4333333	1775.266667
732	1777
583.4390244	1777.853659
655.1636364	1778.163636
744.6333333	1777.833333
682.921875	1778.65625
522.3846154	1780.384615
623.8888889	1780.638889
792.6428571	1781.214286
851.64	1782.853333
872.05	1781.7
564.6666667	1784
676.5	1784.5
518.8979592	1786.020408
546	1784.789474
558.2857143	1785
594.08	1786.44
773.8076923	1785.923077
832.9565217	1787.26087
923.5	1787.5
628.3846154	1788.615385
937.3	1789.7
503.5384615	1791.538462
648	1791
663.5862069	1791.034483
710.25	1790.75
723	1791.5
637.2631579	1792.452632
844.972973	1794.891892
526.24	1795.8
586.4137931	1794.931034
651.5	1795.5
835.6333333	1795.633333
558.4117647	1795.735294
691.3939394	1795.515152
493.5	1800.5
580	1800
622.8333333	1801.066667
706.3870968	1799.548387
512.3333333	1801.666667
873.8222222	1801.644444
855.7083333	1803
699.6666667	1804.333333
542.3529412	1806
615.4242424	1807.242424
494.5	1807.714286
