X	Y
0	0
0	6857
6857	0
6857	6857
693	48.93617021
705.6666667	170.5
881.75	238.5833333
886.8125	285.625
853.8125	291.375
884.2105263	292.0526316
804.3571429	301.2142857
835.6	307.1333333
847.2564103	348.2051282
855.05	353.45
871.4666667	353.4
840.2894737	356.6315789
825.6296296	356.7407407
819.3809524	359.1190476
859.9411765	358.5882353
864.7391304	359.4782609
824.8809524	363.4285714
830.6296296	364.4444444
725.6222222	366
812.6363636	367.6363636
813.3939394	371.4545455
853.5142857	367.9047619
834	374.0769231
814.5	376
844.6785714	376.5
831.1842105	380.8684211
824.7837838	380.5675676
839.25	381.9166667
835.2	384.4571429
818.75	384.3392857
832	387.3461538
827.8421053	388
809.056338	387.5070423
812.9836066	391.6065574
824.3125	391.8958333
807.5	399.35
825.0344828	399.2068966
719.6410256	401.6923077
813.3846154	402.3846154
820.8333333	404.8333333
826.6428571	405.7857143
713.9130435	406.6304348
803.8888889	407.1111111
816.5	408.0588235
822.3333333	409
821.3	412.8
961.6	428.0666667
948.16	432.24
961.8571429	432.4047619
961.2068966	438.4827586
845	442.2619048
961.7058824	444.6764706
843.2121212	446.6666667
627.5	451.2857143
962.6896552	451.9885057
866.1463415	458.4634146
965.6666667	459.6888889
603.125	464.125
966.325	467.0625
971.6521739	466.5217391
873.4736842	471.8421053
973.0526316	473.3157895
968.7777778	474.5
799.5	482.5
956.4736842	486.3684211
680.2608696	490.2173913
957.6666667	491
966.6666667	496.1111111
805.6206897	501.9655172
814.0833333	502.6041667
820.8421053	502.8421053
852	506.1875
972.125	505
804	506.2
722.7428571	507.8857143
550.3571429	512.2142857
973.6585366	513.3170732
796.1818182	514.5454545
805.5517241	513.0862069
710	521.4193548
787.1609195	521.1724138
798.1351351	522.027027
805.8125	521.375
546.2666667	525.9333333
724.5526316	524.5526316
796.4029851	529.0298507
552.3913043	526.3478261
779.5	527
728.3414634	528
784.2258065	528.0967742
803.0789474	528
746.8684211	528.1052632
791.173913	529.826087
818	528.5
633.5833333	530.625
768.1395349	530.9767442
973.2142857	531.0714286
763.3428571	535.6857143
789.32	533.88
742.6818182	535.5454545
793.0454545	536.2727273
593.76	536.68
745.8888889	538.7222222
542	540
596.9375	540.0625
758.1666667	540
592.9714286	542.1142857
742.5909091	540.9545455
810.95	544.4666667
719.5	544
723.675	544.675
779.5	543.7142857
795	543.6111111
799.4084507	542.8591549
779.5	548
718.85	549.6
710.9692308	548.7846154
792.7951807	551.6385542
700.875	551.875
756.7407407	552.2037037
806.5	552
782.4	553.6
715.3636364	554.0909091
778.1020408	555.1020408
801.125	552.875
576.25	555.5833333
734	555.625
772.8857143	553.6857143
788.2777778	555.7222222
797.875	556.75
814.047619	555.2142857
790.1578947	559.4736842
817.3529412	558.8235294
810.2631579	560.245614
804.3333333	559.8888889
771.4625	559.7625
788.95	564.85
778.125	564.125
685.3529412	565.4117647
702.3333333	565.5
781	565
796.6842105	564.2
813.8125	568.5625
670.125	566.125
667.3333333	567
772.6	567.6
809.4528302	569.1509434
710.3636364	571.0909091
802.1111111	570.8888889
771.68	572.82
777.673913	571.7391304
782.3529412	572.5882353
805.25	573.3125
797.2777778	573.2222222
801.6	574.4
824.9318182	575.1590909
655.7666667	575.3666667
687.0740741	575.962963
710.7575758	575.5757576
724.7857143	576.2857143
791.6842105	576.8157895
784.4	578.2
710.8571429	579.8095238
777.84	580.92
821.0140845	582.7323944
714.75	583.95
735	584
806	583.5
691.6666667	586.9666667
776.46875	587.53125
815.6842105	589.0263158
825.3953488	592.3139535
791.3448276	591.8275862
811.0736842	595.3052632
801.3376623	596.4545455
818.625	597.375
660.5918367	600.0612245
665.7777778	599.4444444
773.4382022	599.9775281
679.1886792	602.5188679
754.4285714	600.2857143
800.6428571	605.2142857
686	601.6363636
663.9333333	604.4
756.5925926	605.0740741
777.125	605.125
745.5740741	607.4074074
752.2352941	607.0588235
826.125	607.125
775.5185185	610.7962963
646.625	610.5416667
663.5	610.8
750.6571429	613.4285714
647.7083333	615.875
834.4	615.4
643	616.9444444
755.5	619.4074074
666.425	620.95
729.5333333	625.8666667
754	627.5
826.6666667	628.8095238
836.5333333	628.8666667
703.7	629.7
637.24	632.1
726	630.5
810	631.3529412
667.5172414	634.4827586
636.3636364	635.0909091
672.1875	634.8125
762.3846154	636.3846154
842.5238095	637
684.1764706	637.8235294
827.8888889	637.3333333
664.5	639.5
772.8333333	638.4333333
777.1702128	639.5106383
887.5862069	639.5862069
679.8409091	640.6590909
738.875	642.875
699.1111111	644.3333333
748.6153846	645.3846154
831.1320755	646.0754717
818.5	647
786.5	647.7777778
852.6	647.3333333
741.1818182	649.5909091
824.4347826	648.2173913
841.6626506	646.5542169
847	645.3478261
890.2580645	648.4193548
782.8604651	649.6976744
609.2413793	650.7931034
650.9166667	651.7291667
680.8	652
687.125	653.3333333
724.1590909	654.3181818
856.4	654.3
827.1388889	655.7777778
851.9565217	656.0869565
740.8113208	657.3773585
808.359375	658.453125
727.5	660.5
839.7027027	659.8108108
794.0540541	660.6486486
762.3125	663.6875
698.3333333	664.9583333
756.0909091	664.9090909
833.8780488	662.5365854
800.7142857	666.0816327
847.0434783	665.2608696
830.483871	670.4700461
850.5666667	667.7
842.9350649	668.3896104
720.9375	669.3125
837.59375	668.34375
785.4	671.8666667
775.675	670.625
794	672
802.1176471	672.5882353
856.1111111	672.3333333
768.1	673.8
668	676.5
789.4864865	676.2702703
829.8297872	677.9361702
692.8823529	677.4117647
804.5	677
849.5978261	677.0108696
837.8870968	680.6129032
697.875	680.125
788.3181818	681.5681818
795.5	682.21875
832.5217391	683.6521739
798.6923077	685.1538462
844	684.5263158
952.7222222	683.7777778
711.2666667	685.0666667
957.1	684.7
809.9090909	687.3181818
675.5925926	691.4074074
789.5777778	690.8666667
834	690.6
702.875	692.125
730.7333333	692.2
806.1111111	691.8888889
838.5454545	693.7454545
694.875	695.875
728.0952381	696.0952381
842.4193548	696.3548387
673.5	697.5
829.2	696.92
807.12	697.3466667
691.75	699.125
801.64	701.22
815.1875	699.34375
763.7741935	701.1612903
782.48	701.04
688	702.1111111
758.5675676	702.4324324
948.0666667	703.7333333
712	706
764.9130435	706.6521739
825.3333333	706.5333333
760.8181818	708
816.4098361	706.2622951
842.3333333	707.5333333
804.7	708.6
680.3373494	710.1204819
785.5925926	707.5185185
801.5	710
830.4210526	709
763.5384615	712.1923077
835.9666667	712
688.1578947	712.8421053
807.3636364	712.4545455
603.0576923	715.8269231
712.5	715.5
809.8823529	715.7058824
759.5909091	716.0909091
675.5	716.2727273
679.173913	717.3043478
834.6086957	717.9130435
802.9090909	718.6363636
813	719.5
704.8387097	720.1935484
730.1111111	721.6666667
749.25	720.4
769.16	720.52
783.3846154	720.4615385
1005.777778	721.5
617.3157895	722.1578947
709.65	722.95
774.2307692	722.8461538
717.2903226	723.9032258
733.6	722.8666667
778.9230769	722.6923077
749.2068966	724.6206897
665.6666667	725.6111111
812.2666667	725.8333333
844.8958333	726.9583333
755.7647059	729.2941176
774.4848485	728.7575758
791.0405405	725.972973
778.6111111	731.0555556
816.4	730.3538462
723.9444444	731.2222222
783.7733333	730.8133333
795.2258065	733.2580645
800.4588235	729.9176471
810.5555556	732.8148148
699.25	734.1666667
721.5555556	735.3888889
742.525	736.8
757.5	737.1666667
810.7105263	739.6052632
774.4545455	737.8409091
710.9	740
769.7586207	739.2413793
815.5714286	738.7142857
829.7647059	739.4117647
725.1538462	738.3076923
842.64	740.24
720	740.8333333
768.1081081	742.8108108
833.05	742.2
812.3888889	742.5555556
812.5	746.2857143
832.7941176	746.6764706
661.0833333	747.3333333
741.3529412	747.5294118
1028.3125	746.75
720.0909091	749.1363636
748.140625	748.203125
774.4102564	747.7948718
714.3823529	749.1176471
781.125	748.875
821.5333333	748.6333333
784.1818182	750.5454545
1030	751.2962963
725.8461538	754.6538462
822.46	754.72
713.2162162	756.972973
815.7142857	756.9642857
794.755102	760.2040816
759.122449	761.244898
801.25	759.5833333
754.5882353	763.4705882
947.5555556	762.6666667
723.6545455	765.7454545
950.25	763.5833333
948.3571429	766.7142857
638.0689655	767.3103448
757.9090909	766.7727273
723.8695652	773.0869565
705.5	776.8
865.75	778.1785714
891.25	779.5833333
982	786
962.8367347	791.2653061
559.1052632	797.4210526
550.6666667	798.8888889
556.7391304	800.5652174
790.9074074	801.8888889
579.375	808.34375
583.9090909	809.6363636
748.5	816.5
938.0909091	816.6363636
735.5192308	817.6538462
537.1111111	823.1111111
541.1818182	823.4545455
859.5	837
867.85	838.95
997.5	840.2857143
950.5454545	840.6363636
736.6666667	843.4666667
874	864
697.1923077	869.1538462
704.5	869.5
930.96	869.24
921.1111111	873.6666667
841.5	891.5
874.7333333	900.5
789.5714286	900.7857143
791.5	904.5
751	905.1052632
740.2461538	906.3076923
727.1176471	906.2352941
812.125	908.125
733.3846154	912.3846154
801.75	911.25
880.6363636	912.0909091
717.0784314	912.372549
813.5	913
741.3636364	915.0909091
806.6363636	915.2424242
841.4117647	914.7647059
697.8	918.8
591.5	920.5
657.1515152	920.3333333
715.3846154	921.3846154
812	924
761.4	931.52
771.4782609	931.3913043
768	935
678	941.1176471
1014.925	941.375
740.8888889	945.3333333
767.2	945.36
677.7878788	946.7878788
748.7272727	951.0909091
774.2631579	952.3157895
692.6153846	956.6153846
695.9	957.2
686	957.8
885.2142857	959.4761905
800	962
805.6875	961.7708333
885.7391304	964.173913
741.173913	964.6521739
744.8484848	964.6060606
737.2857143	966.7857143
862.0967742	968.8709677
690.6666667	970.1111111
1010.5	979
720	984
943.3846154	989.6153846
942.4	993.1333333
854	995.8
854.0909091	999.3636364
730.1111111	1023
812.5333333	1021.933333
707.4583333	1027.333333
758.375	1028.583333
793.1428571	1028.071429
718.34375	1031.78125
774.3559322	1033.728814
793.25	1034.4
897.6190476	1035.428571
670.2	1036
713.016129	1038.33871
779.5128205	1039.589744
773.8769231	1042.707692
713	1043.5
733.4444444	1042.888889
767.5	1044
573.1428571	1046.357143
577.6363636	1046.909091
804.8461538	1047.461538
793.4	1051.6
734.72	1050.88
765.7560976	1051.414634
772.7735849	1053.226415
718.2394366	1055.549296
732.9736842	1056.289474
725.9047619	1055.34127
770	1057.107143
808	1055.619048
798	1056.722222
766.3947368	1060.368421
774.0625	1059.9375
755.5	1062.5
1015.6	1063.4
746.6545455	1065.827273
775	1064
761.5	1064.5
787.3389831	1068.991525
918.4408602	1069.365591
912.6666667	1068.583333
824.5714286	1070.428571
817.5	1071
823.8582677	1077.496063
833.2307692	1074.038462
724.7777778	1076.666667
768.125	1077.125
838.6231884	1077.971014
792.4259259	1079.611111
724.25	1082.15
792.7619048	1084.571429
776.3333333	1082.915493
953.5483871	1085.709677
751.8787879	1086.454545
775.6486486	1090.621622
815.1153846	1088.096154
770.9230769	1090
859	1090.5
716.6538462	1090.730769
753.5625	1092.8125
765.4519231	1096.557692
748.5130435	1099.878261
781.9090909	1096.181818
776	1097
787	1098.969697
953.5	1100.5
755.36	1102.86
829.6842105	1104.842105
752.2616822	1108.392523
853.95	1105.65
782.6078431	1106.5
825.5185185	1105.407407
720.4367816	1107.08046
727.1875	1106.3125
762.3888889	1106.111111
737.0769231	1109.230769
759.2	1111.5
766.6666667	1110.444444
792.5217391	1112.869565
728.9101124	1112.52809
788	1112.538462
815.6956522	1114.73913
745.5806452	1115.096774
754.8026316	1115.75
821.9259259	1116.407407
949.5	1116
767.2083333	1117
725.6153846	1118.461538
821.9166667	1120.833333
739.5384615	1120.846154
768.2222222	1121.444444
784.3211009	1121.944954
792.9375	1120.4375
837.9722222	1121.277778
754.483871	1122.645161
826.5	1125.222222
855.25	1124.95
740.9142857	1125.914286
782	1127
725.1176471	1128.588235
734.1428571	1123.514286
768.0909091	1128.363636
741.1153846	1131.538462
754.25	1129.75
866.8431373	1130.117647
732.0384615	1130.019231
723.625	1131.625
746.0222222	1131.288889
783	1132
738.4	1133.84
767.3181818	1134.136364
727.9268293	1134.243902
735.4571429	1137.714286
831.6363636	1135.909091
742	1137.5
750.6578947	1136.342105
760.4615385	1137.230769
787.3875	1140.35
758.0769231	1141.897436
828.3636364	1140.909091
743.2666667	1141.666667
772.0625	1142.3125
835.125	1142.3125
825.25	1143.583333
704.0740741	1145.740741
731.3544304	1144.316456
738.8125	1144.8125
749	1145.333333
709.34	1143.94
808.6363636	1145.5
775.1142857	1146.457143
715.0283019	1147.839623
694.875	1148.875
724.8888889	1148.444444
740.64	1149.32
783.5	1147.833333
720.9166667	1148.583333
732.9	1150.4
750.4	1149.8
828.4255319	1149.319149
705.0512821	1152.307692
780.4285714	1151.142857
841.6818182	1152.772727
721.9	1153.8
641.2280702	1153.964912
728.9069767	1152.883721
708.88	1155.68
715.6829268	1156.878049
703.35	1159.116667
727.1333333	1158.733333
716.9	1160.6
722.7931034	1163.275862
713.8888889	1164.333333
704.0921053	1165.184211
859.6730769	1165.884615
