X	Y
0	0
0	6857
6857	0
6857	6857
667.7096774	16.83870968
662.6363636	20.09090909
722.8823529	26.47058824
744.5	53
742.1481481	57.07407407
757.75	61.4
763.4444444	67.11111111
769.875	72.125
773.7173913	79.86956522
778.9230769	83.69230769
783.4090909	87.22727273
704.56	96.08
719.8947368	104.1052632
716.9259259	105.4074074
800.6	113.64
599	119.8
805.5666667	121.7666667
809.4285714	127.8571429
813.1538462	135.8076923
593.3157895	137.2631579
708.0833333	137.4444444
707.25	140.375
589.75	148.0208333
820	151.5
588.25	155.9375
809	159.3076923
824.4666667	160.3333333
587.5223881	163.0298507
764.25	164.2083333
827.75	166.625
767.2380952	166.6190476
591	169.375
829.8	171.7
831.6666667	175.5833333
839.125	184.875
703.6521739	189.6521739
842.6129032	192.0967742
707	193.7222222
610.8181818	194.3636364
701.9318182	194.9545455
705.75	198.4166667
624.5	201
847.875	200.5
849.8571429	206.8571429
771.3157895	226.3684211
774.2777778	224.8888889
860.295082	224.6229508
763.3846154	235.6153846
828.7931034	237.7241379
867.5742574	236.4158416
872.7741935	246.6129032
874.8518519	251.8518519
634.0285714	250.3714286
673.952381	251.6190476
875.9444444	257.2777778
585	257
730.0526316	258.5789474
771.1578947	262.1578947
726.9803922	263.4901961
829.2941176	267.4117647
879	266.0232558
859	266.5
559.2	272.3
880	273
880	278.5
880.6764706	284.2941176
881.8823529	289.5294118
812.24	290.6
794.0909091	291.0454545
799.1785714	292.1428571
815.2142857	293.8571429
792.2222222	296.2222222
884.1666667	297.3333333
799.875	298
795.5555556	300.1111111
791.7368421	302.8947368
584.05	303.275
664.7777778	303.3333333
881.875	303.875
666	306.3333333
791.5	307.5
591.25	310.625
882.7687075	308.7755102
791.6153846	311.3846154
889.1960784	311.8823529
662.627451	315
891.3178295	322.1705426
790.35	318.35
880.9387755	318.5510204
666.4146341	319.8536585
720.5619048	323.8095238
895.5882353	322.4705882
660.5294118	320.8823529
786.8666667	320.4333333
882.7662338	325.4935065
584.6153846	327.0769231
898.8928571	331.9285714
575.5483871	332.483871
567.75	333.75
570.9230769	333.3076923
831.5	335.7
544	339
830.125	338.875
643.0909091	340.2727273
547.4761905	343.3333333
786.5384615	344.8461538
752.3846154	347.6153846
897.3666667	348.0333333
666.0833333	348.5
908.2	353.1
757.525	355.25
763.2692308	357
790.0140845	357.1408451
908.9298246	360.9122807
767.0454545	363.2272727
728.8888889	363.1851852
790.15	364.15
794.35	364.7
732.7857143	368.5
906.3611111	369.7777778
735.5294118	374.2941176
909	374.6
792.2	373.5
908.0222222	378.7555556
907.5384615	382.5384615
910.6637931	389.1465517
566.4285714	385.1428571
563.6875	389.5
853.8518519	389.1481481
690.3333333	392.7333333
851.26	394.32
574.52	394.32
686.4210526	395.6315789
788.875	396.875
745.3333333	397.3333333
850.6153846	398.3846154
913.0172414	400.0862069
915.9058824	408.3647059
773.7857143	412.1190476
920.5944056	420.9230769
636.8059701	413.3059701
877.88	411.3333333
768.0930233	417.6511628
871.6111111	415.6666667
772	419.2244898
640.8461538	420
762.3538462	421.5846154
776.3333333	421.7380952
575.6	424.25
773.9875	430.6875
534.875	428.125
760.2571429	428.6571429
763.147541	431.7540984
538.7272727	432.6363636
768.3921569	431.8823529
915.8076923	435.9230769
931.3195876	433.8762887
936.3333333	441.4047619
766.9767442	441
773.8823529	441.7058824
541.8269231	442
939.6666667	445
626	446.5
546.7368421	448.4736842
834.5	446.5
947.5962733	452.2795031
702.4	449.7
815.5384615	449.6153846
812.25	451.6666667
560.1142857	454.6857143
809.3333333	457.75
943.3125	457.0625
703.7666667	458.9
949.3846154	459.3846154
885.75	463.75
946.4	462.1777778
958.956044	465.2857143
945.8	466.2666667
510.55	468.45
697.3636364	467.9090909
947.8857143	470.3714286
636.4347826	471.7826087
527.9090909	473.6363636
679.5	473.983871
519.3157895	476.8947368
950.1111111	476.2592593
959.96	475.56
508.483871	475.8709677
931.7391304	477
963.9591837	477.755102
589.5555556	479.6666667
676.3636364	478.6363636
686.875	479.875
512.6875	480.71875
507.8888889	483.0555556
521.8571429	482.1428571
954.9473684	481.6315789
960.5454545	482.7272727
678.25	484.9852941
684.1111111	487
954.8235294	488.1764706
676	494.2647059
965.2833333	492.0416667
508.2727273	492.0454545
959.119403	493.3283582
646.8461538	495.1794872
652.9714286	499.2285714
512.2142857	499.8571429
674.3125	501.125
959.9402985	502.4626866
678	504
701.6875	503.5625
705.8918919	504.6756757
710.7777778	505.3333333
507.7916667	506.5833333
701.0555556	508
968.2524272	507.6990291
506.5652174	512.6086957
880.6923077	514
962.6078431	511.7058824
505.4166667	517.4166667
880.5769231	517.5769231
968.53125	519.53125
875.2941176	518.1176471
869.6	520.72
510.7659574	523.7021277
501.8571429	524.5142857
730.8235294	525.8235294
853.375	527.875
499.7	533
575.1176471	529.5882353
935.8888889	530.1111111
579.125	532.0625
848.4	532.24
578.2352941	536.5294118
972.1153846	533.7307692
623.1935484	536.5806452
680.4545455	539.3636364
977.6	540.0666667
498.0909091	539.6363636
508.5	541.2
843.5428571	540.2571429
981	541.5
497.0625	545.34375
654.0909091	547.3636364
679.7741935	548.0322581
689.9130435	547.6086957
840.2608696	547.0434783
976.8571429	547.7301587
837.5769231	551.1923077
986.25	549.7857143
701.2142857	550.6428571
984.1643836	554.3287671
833.6956522	554.2173913
980.7647059	555.8823529
493.1818182	556
900.8909091	555.6
908.1632653	557.4081633
981.2857143	559.7619048
892	560.75
490	564.6451613
779.2	562.5
775.7727273	565.4090909
798.8823529	566.4705882
986.7383178	565.1495327
879.8461538	567.4615385
689.6666667	570.1111111
815.952381	570.5952381
798.2631579	571.1578947
868.1111111	570.7777778
801.9722222	574.1944444
488.5531915	573.4042553
807.7692308	574.5
813.3333333	574.7777778
987.5697674	573.744186
990.5714286	580.5
990.15	584.675
778.325	584.5
487.952381	584.6666667
649.3333333	585.75
990.7222222	592.0138889
483.8461538	590.3076923
557.1463415	589.8292683
776.0666667	589.7333333
915.2916667	590.4583333
920.6428571	592.1428571
756.8888889	592.8888889
996.8444444	593.0222222
491.7107438	602.1818182
716.3857143	597.0285714
919	595.9814815
994.3214286	600.8035714
707.6363636	601
999.8888889	601.3333333
633.1111111	604.3333333
630.7222222	607.8333333
1002.018868	608.7169811
485.2	607.36
725.82	609.86
598.2444444	612.6
732.3636364	612.9090909
604.1086957	614.9130435
660	614.5
506.4166667	614.7777778
520.375	616.5625
600.71875	619.3125
610.1290323	616.9032258
999.4262295	614.2131148
524.5833333	617.9166667
999.95	622.875
526.6153846	620.1538462
486.3076923	621.3461538
761.8108108	620.972973
765.875	621.125
833.9354839	619.9677419
496.5384615	622.8461538
1009.325112	641.9461883
613.3243243	623.9324324
764.7272727	625.5909091
563.9	628.05
484.5833333	630.4166667
627.975	632.2375
777.1	631.2
531.5909091	632.7727273
780.6363636	631.4090909
913.6938776	631.8979592
537.3809524	634.1904762
479.7142857	634.5
917.1067961	638.2718447
470.7692308	635.1025641
631.3809524	639.4761905
467.7894737	641.4210526
641.6666667	641.25
954.8	642.5
974.6666667	642.0833333
635.6666667	642.7333333
756.6153846	644
640.1794872	645.8205128
655.6	646.1
906.9423077	646.0961538
465.255814	648.3953488
902.6666667	647.75
652.1428571	649.5
996.9189189	649.2972973
754.9666667	651.7666667
470.3125	653.9375
733.6153846	653.6153846
893.5986842	654.1710526
466.05	659.05
654.4098361	659.295082
885.1212121	660.9090909
657.8181818	663
882.475	664.25
877.2631579	664.1052632
1015.419753	666.2962963
939.7272727	665.8181818
874.0555556	667.2777778
879.5757576	668.7878788
465.4047619	671.3809524
683.8421053	670.1578947
568.9333333	670.4666667
573.4375	670.03125
1000.512821	669.2051282
881.7931034	673.1724138
530.4761905	673.0952381
614.9305556	672.8055556
876.0833333	673.1666667
1020.419512	680.4926829
466.4651163	681.1627907
613.122807	679.9298246
718.6	678.8666667
714	680.6666667
477.4090909	683.1818182
526.3333333	684
617.6923077	682.5384615
463.8095238	685
470.6607143	688.1964286
757.3529412	687
753.6666667	689.9333333
460.6818182	691.6818182
531.12	690.64
712.96875	691.125
760.6153846	690.4615385
534.5714286	691.5
997.9375	692.6875
610.328	692.928
465.75	692.6428571
1002.75	693.875
1024.409091	693.1136364
1027	696.8541667
659.2586207	696.2241379
714.8571429	696.8095238
746.5454545	696.030303
541.25	697.4166667
753.64	696.88
827.72	697.28
822.6	697.8222222
464.3137255	699.1176471
740.5384615	698.6153846
746.875	704.5480769
456.9642857	699.6428571
653.7826087	701.2173913
658.2307692	703.2307692
727	703
1027.147368	704.5473684
637	704.3333333
642.0634921	706.952381
736.0952381	705.6190476
1032.121212	707.6666667
455.6363636	706.9090909
1029.055556	712.5555556
737.5	710.7777778
1033.741935	719.4516129
454.0909091	712.6363636
583.7142857	714.5
586.6363636	716.9090909
588.25	714.8333333
708.6666667	716.8888889
592.3	720.7
452.6666667	720.0833333
485.7692308	723.2307692
595	723.3333333
450.0877193	725.4912281
593	725.8461538
682.7894737	726.5789474
485.2	727.9
618.0833333	729.7916667
785.6	728.6
488.4807692	732.0384615
1035.78125	731.09375
1038.3125	737.5625
449.0634921	738.047619
838.5	738
1040.0125	743.825
843.9090909	742.9090909
464.5402299	742.0344828
662.0487805	742.7073171
1034.12	744.58
735.3181818	746.6818182
1041	748.875
1042.5	751.2391304
446.3953488	748.9302326
841	752.5555556
443.1458333	757.2916667
821.3617021	755.5106383
838.25	754.7
448.3913043	755.3913043
844.4827586	756.8965517
847.525	754.025
1044.806452	758.3333333
452.3157895	757.7368421
828.1363636	758
463	759
1035.214286	754.6428571
832.8421053	759.5263158
627.1186441	763.6101695
457.047619	762.0952381
730.8461538	762.6410256
1037.304348	762.4347826
1045.830508	769.6440678
461.7916667	764.5
825.4565217	764.5
885.3636364	765.3636364
458.5882353	766.4705882
728.0952381	766.5238095
812.7196262	764.4672897
442.8333333	764.8333333
439.66	769.34
845.1052632	769
1039.809524	770.9761905
842.7647059	770.7647059
805.9090909	772.030303
822.1891892	772.2702703
941.1111111	772.0555556
674.1764706	774.2352941
670.6666667	776.3717949
843.2666667	774.6666667
804.4375	777.25
1041.3	778.15
1050.661017	782.1186441
805.25	780.125
814.0689655	778.2758621
438.3888889	779.8611111
809.3461538	781.6538462
847.4285714	780.4285714
480.4111111	779.4555556
1047.923077	783.8846154
676.0263158	785.3947368
1043.24	784
941.2666667	783.4
437.5	785.7777778
488.6363636	787
441.5	785.2307692
973.75	787
566.3333333	786.9333333
935.3043478	786.6304348
845.025641	785.6923077
784.7857143	788.6428571
971.3333333	789
435.8888889	789.6666667
494.2666667	792.0666667
1049.428571	790.3142857
961.3333333	794
1044.815789	791.0263158
843	792.5283019
922.8686869	794.1111111
990.3448276	796.2068966
929.5	796.2
438.4878049	797.2682927
840.7413793	800.6551724
1006	796.6
995.5614035	800.0877193
1001.90625	798.125
1008.791667	798.5
919.3529412	799.8235294
588.4090909	799.5454545
1048.683824	799.1544118
449.6875	802.375
914.4716981	799.3584906
923.9166667	801.9166667
910.9459459	805.027027
1055.743243	808.1756757
1058.971429	803.6571429
592.8666667	803.5333333
984.7826087	804.0869565
432.0909091	804.6363636
834.9333333	805.1333333
1006.347826	803.7826087
453.8214286	806.6785714
904.6470588	806.1764706
1048.835443	810.5949367
441.9642857	805.3928571
1002.130435	806.8695652
1051.888889	807.3333333
1006.894737	809.3157895
904.125	810.125
429.893617	810.893617
433.3076923	813.8461538
546.5	817.5
967.3333333	816.9166667
428.7368421	817.8421053
849.2727273	817.1818182
444.2432432	818.5945946
852.5	819.5
425.3953488	820.6511628
904	819.5
989.7741935	821.4516129
669.3783784	820.6216216
993.0909091	820.3636364
1053.486842	823.3552632
949.0714286	823.7380952
1062.6	825.9111111
431.1904762	822.3015873
796	823.2
799.2	823
673.6428571	824.3214286
1066.32	825.08
859.75	825.5
939.5	826.6153846
805.4571429	827.2
856.5789474	826.8421053
1046.8125	826.875
426.2857143	828
455.21875	826.6875
533.8313253	831.5662651
538.8235294	830.5
712.2962963	828.5925926
925	829.5
637.40625	829.90625
423.1627907	834.7209302
968.0769231	832.8461538
1059.4	832.9
1068.068966	834.5517241
513	834.3333333
840.6666667	834.7333333
1047.466667	836.3333333
1053.315789	835.2631579
797.5217391	836.0869565
919.7887324	834.084507
1062.95	837.725
1016	836.3333333
444.3846154	838.3846154
760.125	838.5
913.7272727	837.4545455
1066.764706	841.7058824
440.8	838.8
998.8	838.3666667
917.625	842.5
544.6388889	843.6018519
989.956044	844.5164835
424.1052632	840.9473684
819.5757576	841.7272727
941.6818182	840.9090909
959.05	842.75
912.9	843.8
1019.875	843.875
762.3636364	845.0909091
776.25	845.0625
1071.563636	845.1090909
418.5641026	844.8205128
801.875	845.5
935.5698925	846.4623656
424.2073171	849.097561
978.3684211	849.2894737
417.2142857	850.5
431.2	850.3
1069.258065	851.2580645
520.6666667	852.8333333
928.5882353	851.5882353
1065.684211	850.3157895
