ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,352.5,233.884615385,1
1,2,393.679245283,238.716981132,2
1,3,401.158730159,245.142857143,3
1,4,421.333333333,245.125,4
1,5,347.230769231,251.961538462,5
1,6,406.909090909,255.909090909,6
1,7,372.0,263.40625,7
1,8,435.592592593,266.925925926,8
1,9,471.5,267.352941176,9
1,10,333.720930233,290.465116279,10
1,11,344.666666667,294.641025641,11
1,12,460.565217391,299.826086957,12
1,13,517.705882353,309.705882353,13
1,14,460.071428571,391.142857143,14
1,15,437.5,393.5,15
1,16,519.222222222,396.888888889,16
1,17,374.157894737,402.842105263,17
1,18,393.358490566,406.150943396,18
1,19,384.95,406.175,19
1,20,374.4,409.933333333,20
1,21,531.157894737,411.526315789,21
1,22,483.5,412.272727273,22
1,23,411.0,419.0,23
1,24,494.5,419.833333333,24
1,25,464.46,438.88,25
1,26,460.288888889,447.288888889,26
1,27,528.066666667,449.366666667,27
1,28,475.769230769,456.538461538,28
1,29,609.444444444,527.5,29
1,30,674.375,541.333333333,30
1,31,723.840909091,549.318181818,31
1,32,622.953846154,553.215384615,32
1,33,698.55,558.15,33
1,34,774.976190476,570.785714286,34
1,35,634.055555556,576.666666667,35
1,36,769.275862069,579.413793103,36
1,37,567.9,582.38,37
1,38,811.5,584.076923077,38
1,39,641.916666667,600.027777778,39
1,40,802.795454545,603.886363636,40
1,41,820.580645161,610.548387097,41
1,42,669.433962264,614.867924528,42
1,43,830.625,623.75,43
1,44,770.666666667,628.757575758,44
1,45,760.133333333,641.133333333,45
1,46,913.369863014,655.904109589,46
1,47,919.615384615,658.846153846,47
1,48,916.447368421,662.842105263,48
1,49,901.830508475,669.423728814,49
1,50,893.2,675.5,50
1,51,898.689655172,676.827586207,51
1,52,807.25,681.666666667,52
1,53,841.355555556,691.377777778,53
1,54,802.866666667,702.2,54
1,55,772.666666667,741.875,55
1,56,885.0625,757.78125,56
1,57,835.019607843,773.843137255,57
1,58,896.681818182,774.863636364,58
1,59,844.888888889,785.166666667,59
1,60,825.681818182,803.136363636,60
1,61,885.047619048,837.833333333,61
1,62,877.145454545,850.136363636,62
1,63,874.56,866.88,63
1,64,898.847826087,876.130434783,64
1,65,894.325581395,878.441860465,65
1,66,863.322580645,934.903225806,66
1,67,834.344827586,970.310344828,67
1,68,822.642857143,975.607142857,68
1,69,711.073170732,1041.09756098,69
1,70,716.95,1040.85,70
1,71,735.863636364,1047.25,71
1,72,707.277777778,1048.38888889,72
1,73,717.789473684,1048.36842105,73
1,74,676.875,1088.325,74
1,75,755.928571429,1087.80952381,75
1,76,720.4,1109.17777778,76
1,77,603.282051282,1112.20512821,77
1,78,731.411764706,1118.41176471,78
1,79,609.355555556,1120.93333333,79
1,80,720.742857143,1121.74285714,80
1,81,675.839285714,1128.39285714,81
1,82,747.928571429,1138.52380952,82
1,83,758.5,1141.71428571,83
1,84,683.860465116,1156.09302326,84
1,85,592.368421053,1169.36842105,85
1,86,712.585365854,1172.82926829,86
1,87,586.489795918,1176.28571429,87
1,88,658.290322581,1177.93548387,88
1,89,580.0,1179.5,89
1,90,814.294117647,1186.5,90
1,91,580.957446809,1189.0,91
