ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,435.538461538,231.871794872,1
1,2,436.642857143,237.0,2
1,3,443.2,244.08,3
1,4,415.5,246.25,4
1,5,437.811764706,248.282352941,5
1,6,499.25,252.138888889,6
1,7,418.458333333,251.791666667,7
1,8,489.5,252.6875,8
1,9,441.444444444,254.777777778,9
1,10,414.0,255.66,10
1,11,406.3,259.966666667,11
1,12,496.419354839,262.661290323,12
1,13,412.139534884,263.209302326,13
1,14,430.195121951,263.317073171,14
1,15,418.292929293,262.909090909,15
1,16,401.5,265.25,16
1,17,394.837837838,264.716216216,17
1,18,504.3,266.625,18
1,19,406.825,268.375,19
1,20,498.909090909,267.454545455,20
1,21,382.727272727,268.090909091,21
1,22,491.96,267.84,22
1,23,497.24137931,270.620689655,23
1,24,389.548387097,271.612903226,24
1,25,480.0,273.843478261,25
1,26,486.25,271.4375,26
1,27,398.279069767,273.430232558,27
1,28,473.7,266.457142857,28
1,29,434.204819277,272.56626506,29
1,30,392.142857143,274.714285714,30
1,31,425.564516129,274.983870968,31
1,32,486.5,276.0,32
1,33,434.722222222,278.277777778,33
1,34,440.708333333,280.0,34
1,35,451.379310345,284.448275862,35
1,36,444.810810811,284.891891892,36
1,37,505.24137931,287.689655172,37
1,38,439.166666667,289.354166667,38
1,39,448.88,290.48,39
1,40,499.714285714,291.485714286,40
1,41,523.92,292.48,41
1,42,442.086419753,294.802469136,42
1,43,504.2,295.1,43
1,44,512.972222222,297.75,44
1,45,517.548387097,297.919354839,45
1,46,438.333333333,300.875,46
1,47,441.046511628,305.674418605,47
1,48,441.76,312.04,48
1,49,516.631578947,314.263157895,49
1,50,417.518518519,322.296296296,50
1,51,435.882352941,326.235294118,51
1,52,441.3,327.4,52
1,53,474.958333333,327.458333333,53
1,54,445.863636364,330.272727273,54
1,55,434.024390244,331.658536585,55
1,56,544.125,332.75,56
1,57,538.368421053,334.473684211,57
1,58,448.428571429,335.571428571,58
1,59,431.892857143,342.642857143,59
1,60,439.136363636,347.636363636,60
1,61,534.818181818,354.613636364,61
1,62,446.888888889,366.62962963,62
1,63,524.488372093,367.465116279,63
1,64,522.75,373.0,64
1,65,422.071428571,373.214285714,65
1,66,514.821428571,374.392857143,66
1,67,527.733333333,373.333333333,67
1,68,534.266666667,388.666666667,68
1,69,419.1875,389.729166667,69
1,70,414.178571429,392.357142857,70
1,71,468.206896552,393.896551724,71
1,72,477.5,394.083333333,72
