ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,245.0,13.5,1
1,2,208.28125,20.0,2
1,3,185.084507042,23.676056338,3
1,4,179.588235294,29.1176470588,4
1,5,185.766666667,31.8333333333,5
1,6,192.662650602,31.313253012,6
1,7,173.615384615,31.6666666667,7
1,8,203.09375,35.4609375,8
1,9,176.205882353,36.2205882353,9
1,10,376.5,36.0,10
1,11,383.236111111,44.5972222222,11
1,12,162.076923077,45.0769230769,12
1,13,429.707317073,50.6341463415,13
1,14,138.892857143,50.5,14
1,15,254.0,52.2,15
1,16,186.3125,53.1875,16
1,17,229.367647059,53.8382352941,17
1,18,451.44,59.86,18
1,19,475.785714286,66.5,19
1,20,426.980392157,69.2156862745,20
1,21,404.746268657,71.4328358209,21
1,22,262.137254902,71.862745098,22
1,23,408.214285714,74.0357142857,23
1,24,426.827586207,73.8965517241,24
1,25,144.863013699,73.4246575342,25
1,26,299.0,75.5,26
1,27,490.180555556,86.75,27
1,28,525.5,87.5,28
1,29,508.5,88.7,29
1,30,506.948717949,94.4871794872,30
1,31,550.081632653,98.5102040816,31
1,32,107.533333333,103.733333333,32
1,33,171.205128205,102.41025641,33
1,34,94.125,112.875,34
1,35,557.289156627,127.891566265,35
1,36,102.175,131.6,36
1,37,608.40625,133.28125,37
1,38,606.355555556,136.822222222,38
1,39,131.0,138.0,39
1,40,481.419354839,144.451612903,40
1,41,78.3928571429,145.125,41
1,42,627.921052632,146.657894737,42
1,43,386.210526316,152.157894737,43
1,44,444.75,153.535714286,44
1,45,441.384615385,156.102564103,45
1,46,492.4125,158.0,46
1,47,381.5,166.0,47
1,48,66.8787878788,170.575757576,48
1,49,612.69047619,175.357142857,49
1,50,87.6304347826,178.260869565,50
1,51,300.24,177.94,51
1,52,540.533333333,178.577777778,52
1,53,544.333333333,177.444444444,53
1,54,438.478873239,180.056338028,54
1,55,65.4307692308,186.615384615,55
1,56,367.971428571,189.785714286,56
1,57,314.109375,195.109375,57
1,58,701.047619048,195.095238095,58
1,59,704.3,198.2,59
1,60,709.153846154,198.282051282,60
1,61,516.840909091,199.727272727,61
1,62,183.034482759,200.982758621,62
1,63,177.052631579,201.736842105,63
1,64,678.925373134,201.791044776,64
1,65,333.826923077,203.576923077,65
1,66,523.774193548,202.564516129,66
1,67,168.416666667,203.516666667,67
1,68,683.051282051,204.666666667,68
1,69,679.6,210.4,69
1,70,444.833333333,210.606060606,70
1,71,726.778947368,213.042105263,71
1,72,107.675324675,215.350649351,72
1,73,745.602739726,221.506849315,73
1,74,542.435897436,226.256410256,74
1,75,461.388059701,226.208955224,75
1,76,720.952380952,231.154761905,76
1,77,385.333333333,231.125,77
1,78,275.566037736,231.735849057,78
1,79,367.694444444,234.305555556,79
1,80,416.078431373,235.901960784,80
1,81,659.602564103,238.807692308,81
1,82,778.741935484,243.580645161,82
1,83,68.9166666667,244.916666667,83
1,84,499.5,245.0,84
1,85,765.846153846,245.346153846,85
1,86,759.076923077,253.679487179,86
1,87,788.846153846,255.820512821,87
1,88,310.0,257.0,88
1,89,791.564102564,260.461538462,89
1,90,159.092307692,260.030769231,90
1,91,441.87037037,260.703703704,91
1,92,434.771428571,261.685714286,92
1,93,644.571428571,262.734693878,93
1,94,659.966666667,264.055555556,94
1,95,700.592592593,265.814814815,95
1,96,68.3333333333,267.274509804,96
1,97,530.14,267.58,97
1,98,586.857142857,268.19047619,98
1,99,780.775,267.65,99
1,100,533.452380952,272.452380952,100
1,101,777.658536585,270.756097561,101
1,102,379.65625,271.21875,102
1,103,412.111111111,271.055555556,103
1,104,528.944444444,272.722222222,104
1,105,457.765625,274.671875,105
1,106,319.843137255,278.490196078,106
1,107,440.793103448,278.172413793,107
1,108,719.298507463,280.149253731,108
1,109,448.196078431,281.37254902,109
1,110,416.538461538,282.230769231,110
1,111,595.5,283.590909091,111
1,112,250.741935484,285.580645161,112
1,113,824.5,286.5,113
1,114,111.172413793,286.896551724,114
1,115,286.266666667,286.666666667,115
1,116,781.306666667,289.253333333,116
1,117,831.203389831,289.271186441,117
1,118,309.038461538,291.653846154,118
1,119,835.736842105,292.078947368,119
1,120,138.269230769,294.25,120
1,121,432.481481481,292.037037037,121
1,122,462.11627907,294.11627907,122
1,123,429.228070175,297.736842105,123
1,124,557.2,296.36,124
1,125,828.423076923,298.288461538,125
1,126,557.230769231,300.423076923,126
1,127,833.459459459,300.0,127
1,128,846.925373134,301.865671642,128
1,129,794.372881356,302.101694915,129
1,130,672.195402299,304.32183908,130
1,131,715.132075472,304.452830189,131
1,132,717.107142857,309.214285714,132
1,133,317.4125,309.025,133
1,134,497.095238095,309.476190476,134
1,135,330.666666667,310.75,135
1,136,325.083333333,313.395833333,136
1,137,632.821428571,313.571428571,137
1,138,737.796296296,315.537037037,138
1,139,861.12,315.08,139
1,140,866.090909091,315.5,140
1,141,334.38,315.54,141
1,142,575.346938776,315.653061224,142
1,143,85.7575757576,316.757575758,143
1,144,863.916666667,318.666666667,144
1,145,521.2,319.835294118,145
1,146,331.907407407,323.055555556,146
1,147,308.811764706,323.470588235,147
1,148,427.851851852,322.055555556,148
1,149,336.666666667,322.606060606,149
1,150,395.909774436,323.503759398,150
1,151,451.941176471,324.661764706,151
1,152,138.769230769,325.461538462,152
1,153,182.34,326.92,153
1,154,136.114285714,329.685714286,154
1,155,785.5,330.0,155
1,156,410.0,330.891891892,156
1,157,389.563636364,336.745454545,157
1,158,873.870967742,341.225806452,158
1,159,869.823529412,343.588235294,159
1,160,323.0,343.5,160
1,161,599.559322034,342.186440678,161
1,162,807.46835443,344.35443038,162
1,163,181.4,345.6,163
1,164,485.117647059,345.411764706,164
1,165,356.933333333,345.933333333,165
1,166,647.75,346.931818182,166
1,167,490.433333333,350.6,167
1,168,368.15625,353.3125,168
1,169,394.96875,354.1796875,169
1,170,207.311111111,354.977777778,170
1,171,409.5,355.5,171
1,172,491.052631579,355.473684211,172
1,173,463.836363636,358.0,173
1,174,495.283333333,358.116666667,174
1,175,879.0,358.680851064,175
1,176,735.083333333,365.5,176
1,177,899.285714286,366.607142857,177
1,178,444.027027027,368.459459459,178
1,179,906.387096774,368.387096774,179
1,180,784.276595745,369.255319149,180
1,181,915.642857143,370.017857143,181
1,182,785.818181818,373.515151515,182
1,183,915.512820513,376.102564103,183
1,184,441.0,376.0,184
1,185,756.5,378.785714286,185
1,186,116.225806452,382.591397849,186
1,187,461.470588235,380.970588235,187
1,188,388.113636364,382.613636364,188
1,189,466.765957447,383.0,189
1,190,393.806451613,385.387096774,190
1,191,119.625,386.8125,191
1,192,401.288888889,388.933333333,192
1,193,439.152542373,388.898305085,193
1,194,116.909090909,393.318181818,194
1,195,413.698113208,392.849056604,195
1,196,664.194444444,394.013888889,196
1,197,490.519230769,395.634615385,197
1,198,174.424242424,395.757575758,198
1,199,122.568965517,396.982758621,199
1,200,525.692307692,399.369230769,200
1,201,306.157894737,401.210526316,201
1,202,377.807692308,400.115384615,202
1,203,147.692307692,400.884615385,203
1,204,941.433333333,400.466666667,204
1,205,939.644067797,405.491525424,205
1,206,196.56097561,405.658536585,206
1,207,114.65625,408.03125,207
1,208,195.564102564,410.41025641,208
1,209,485.310344828,414.206896552,209
1,210,131.106557377,416.032786885,210
1,211,465.5,419.791666667,211
1,212,416.348484848,426.651515152,212
1,213,483.5,426.5,213
1,214,438.0,428.0,214
1,215,460.192307692,430.038461538,215
1,216,901.962264151,429.716981132,216
1,217,191.967032967,432.582417582,217
1,218,562.307692308,431.230769231,218
1,219,652.048387097,432.822580645,219
1,220,927.558139535,433.034883721,220
1,221,130.5,434.0,221
1,222,650.566666667,437.233333333,222
1,223,321.717948718,436.179487179,223
1,224,278.877192982,438.98245614,224
1,225,979.689655172,439.034482759,225
1,226,129.202380952,442.202380952,226
1,227,231.5,442.666666667,227
1,228,121.0,445.5,228
1,229,128.548387097,446.903225806,229
1,230,236.096774194,445.35483871,230
1,231,504.58,445.64,231
1,232,499.80952381,448.952380952,232
1,233,467.5,451.0,233
1,234,549.409090909,449.924242424,234
1,235,390.75862069,452.775862069,235
1,236,538.171052632,451.276315789,236
1,237,155.925925926,454.592592593,237
1,238,995.163265306,453.428571429,238
1,239,346.653846154,455.75,239
1,240,641.189189189,458.72972973,240
1,241,993.3125,461.0,241
1,242,466.328947368,460.657894737,242
1,243,979.5,461.0,243
1,244,973.479166667,464.6875,244
1,245,979.684210526,465.157894737,245
1,246,386.708333333,467.0,246
1,247,141.326530612,472.316326531,247
1,248,177.672727273,469.109090909,248
1,249,972.28,469.94,249
1,250,132.774193548,470.919354839,250
1,251,586.547619048,471.166666667,251
1,252,466.233333333,472.066666667,252
1,253,493.458333333,472.4375,253
1,254,966.384615385,472.615384615,254
1,255,565.371428571,474.142857143,255
1,256,769.658823529,474.647058824,256
1,257,654.655172414,475.724137931,257
1,258,491.194444444,481.0,258
1,259,192.70212766,485.436170213,259
1,260,393.175438596,487.438596491,260
1,261,924.58974359,486.769230769,261
1,262,507.519230769,489.134615385,262
1,263,926.885714286,490.0,263
1,264,854.825396825,496.126984127,264
1,265,149.833333333,497.444444444,265
1,266,914.533333333,498.444444444,266
1,267,706.316666667,500.05,267
1,268,914.305555556,502.583333333,268
1,269,943.574074074,502.5,269
1,270,705.3,504.9,270
1,271,1004.18181818,507.090909091,271
1,272,806.583333333,510.261904762,272
1,273,352.02173913,511.282608696,273
1,274,997.791044776,511.895522388,274
1,275,1043.75675676,512.486486486,275
1,276,176.380952381,513.476190476,276
1,277,881.070175439,513.877192982,277
1,278,1000.85714286,514.928571429,278
1,279,548.39,515.09,279
1,280,444.386363636,516.295454545,280
1,281,594.723404255,516.319148936,281
1,282,677.826086957,516.0,282
1,283,1040.0625,517.3125,283
1,284,478.625,518.078125,284
1,285,565.9,517.925,285
1,286,1045.7962963,519.259259259,286
1,287,255.568627451,521.588235294,287
1,288,1051.23913043,522.565217391,288
1,289,423.733333333,522.311111111,289
1,290,1045.85714286,524.19047619,290
1,291,841.109589041,524.98630137,291
1,292,891.058823529,524.549019608,292
1,293,1041.0,526.5,293
1,294,1046.56521739,528.826086957,294
1,295,553.103448276,530.827586207,295
1,296,704.142857143,530.071428571,296
1,297,707.379310345,532.344827586,297
1,298,720.625,533.803571429,298
1,299,1062.44705882,533.294117647,299
1,300,544.925925926,534.592592593,300
1,301,1057.94117647,537.588235294,301
1,302,269.551020408,540.06122449,302
1,303,934.078125,540.375,303
1,304,194.96,540.56,304
1,305,899.903225806,541.741935484,305
1,306,405.909090909,544.348484848,306
1,307,675.491803279,544.770491803,307
1,308,506.771428571,545.742857143,308
1,309,235.276595745,546.531914894,309
1,310,665.0,550.35483871,310
1,311,765.802816901,550.14084507,311
1,312,484.8625,550.825,312
1,313,517.75,552.483333333,313
1,314,523.068965517,553.103448276,314
1,315,917.034482759,554.948275862,315
1,316,843.146666667,556.693333333,316
1,317,671.909090909,557.454545455,317
1,318,1082.1372549,557.176470588,318
1,319,1079.02941176,560.558823529,319
1,320,766.171428571,560.685714286,320
1,321,939.854166667,561.354166667,321
1,322,1088.75,562.4375,322
1,323,625.482758621,563.689655172,323
1,324,630.0,565.411764706,324
1,325,860.25,564.25,325
1,326,1082.13043478,565.782608696,326
1,327,344.293333333,566.933333333,327
1,328,696.290322581,565.467741935,328
1,329,704.644444444,565.933333333,329
1,330,662.318181818,567.727272727,330
1,331,684.481818182,568.381818182,331
1,332,971.5,570.5,332
1,333,1098.70491803,573.918032787,333
1,334,829.05,576.55,334
