ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,190.0,103.8,1
1,2,141.153846154,124.615384615,2
1,3,217.090909091,124.636363636,3
1,4,163.615384615,126.615384615,4
1,5,253.090909091,130.636363636,5
1,6,504.875,133.875,6
1,7,516.333333333,146.75,7
1,8,143.384615385,152.615384615,8
1,9,191.880952381,156.666666667,9
1,10,325.0,161.8,10
1,11,454.266666667,170.333333333,11
1,12,226.0,172.5,12
1,13,138.833333333,188.0,13
1,14,495.2,188.0,14
1,15,610.777777778,188.111111111,15
1,16,245.363636364,191.454545455,16
1,17,395.588235294,205.882352941,17
1,18,578.133333333,214.466666667,18
1,19,179.818181818,241.181818182,19
1,20,445.615384615,244.384615385,20
1,21,708.538461538,254.153846154,21
1,22,555.5,275.0,22
1,23,360.5,276.5,23
1,24,317.0,279.0,24
1,25,362.7,279.8,25
1,26,315.416666667,282.0,26
1,27,423.125,284.875,27
1,28,353.875,292.875,28
1,29,402.5,295.8,29
1,30,777.411764706,301.882352941,30
1,31,551.117647059,326.411764706,31
1,32,802.5,343.5,32
1,33,596.090909091,355.636363636,33
1,34,758.0,360.5,34
1,35,613.5,361.0,35
1,36,203.5,371.5,36
1,37,599.935483871,383.258064516,37
1,38,922.875,386.125,38
1,39,770.545454545,402.636363636,39
1,40,310.875,409.875,40
1,41,649.333333333,418.75,41
1,42,900.25,419.95,42
1,43,786.666666667,428.75,43
1,44,497.916666667,433.25,44
1,45,266.0,437.0,45
1,46,313.0,437.384615385,46
1,47,557.125,439.875,47
1,48,959.384615385,442.384615385,48
1,49,248.090909091,443.636363636,49
1,50,783.909090909,451.636363636,50
1,51,728.95,452.9,51
1,52,758.875,478.125,52
1,53,509.0,480.074074074,53
1,54,548.933333333,483.333333333,54
1,55,679.0,485.5,55
1,56,730.588235294,488.352941176,56
1,57,361.363636364,490.090909091,57
1,58,228.5,492.5,58
1,59,815.0,494.5,59
1,60,508.384615385,499.384615385,60
1,61,296.047619048,502.80952381,61
1,62,310.263157895,502.578947368,62
1,63,952.9,510.633333333,63
1,64,1012.04545455,512.227272727,64
1,65,536.636363636,514.090909091,65
1,66,513.125,516.125,66
1,67,534.5,524.5,67
1,68,276.7,525.3,68
1,69,748.8,527.5,69
1,70,943.80952381,528.952380952,70
1,71,655.428571429,532.857142857,71
1,72,652.933333333,542.733333333,72
1,73,264.846153846,543.615384615,73
1,74,750.666666667,547.083333333,74
1,75,271.888888889,555.666666667,75
1,76,567.615384615,565.384615385,76
1,77,462.5,567.5,77
1,78,866.888888889,571.666666667,78
1,79,249.875,573.875,79
1,80,641.0,577.5,80
1,81,659.875,579.0625,81
1,82,939.384615385,580.384615385,82
1,83,620.5,592.0,83
1,84,990.888888889,591.555555556,84
1,85,365.0,593.2,85
1,86,530.5,594.2,86
1,87,651.375,593.75,87
1,88,899.846153846,595.769230769,88
1,89,514.363636364,601.909090909,89
1,90,969.214285714,603.357142857,90
1,91,785.333333333,607.111111111,91
1,92,1059.69565217,608.304347826,92
1,93,859.0,616.720930233,93
1,94,450.461538462,618.153846154,94
1,95,447.333333333,619.0,95
1,96,504.090909091,618.636363636,96
1,97,444.909090909,620.727272727,97
1,98,699.0,621.8,98
1,99,899.882352941,622.411764706,99
1,100,600.0,623.0,100
1,101,410.6875,624.0625,101
1,102,527.052631579,623.789473684,102
1,103,1022.0,626.0,103
1,104,997.090909091,628.363636364,104
1,105,896.888888889,629.333333333,105
1,106,423.888888889,633.111111111,106
1,107,809.5,636.0,107
1,108,722.75,636.875,108
1,109,726.555555556,639.444444444,109
1,110,888.0,644.0,110
1,111,638.538461538,645.307692308,111
1,112,537.071428571,648.142857143,112
1,113,984.0,655.266666667,113
1,114,766.2,655.5,114
1,115,930.444444444,655.666666667,115
1,116,381.384615385,656.615384615,116
1,117,1098.53846154,658.846153846,117
1,118,1146.5,659.0,118
1,119,844.5,660.5,119
1,120,875.0,661.25,120
1,121,885.538461538,664.615384615,121
1,122,881.923076923,666.923076923,122
1,123,600.5,669.2,123
1,124,1069.61111111,670.611111111,124
1,125,1118.2,676.0,125
1,126,871.25,678.416666667,126
1,127,691.5,683.8,127
1,128,321.230769231,688.384615385,128
1,129,1031.71428571,687.5,129
1,130,671.0,689.352941176,130
1,131,362.782608696,690.391304348,131
1,132,708.5,690.0,132
1,133,621.692307692,694.0,133
1,134,443.636363636,696.090909091,134
1,135,407.25,697.625,135
1,136,716.25,701.416666667,136
1,137,642.333333333,702.75,137
1,138,685.0,706.5,138
1,139,434.2,713.0,139
1,140,610.666666667,713.111111111,140
1,141,927.555555556,716.777777778,141
1,142,645.615384615,717.615384615,142
1,143,746.846153846,719.461538462,143
1,144,904.888888889,719.444444444,144
1,145,333.380952381,723.571428571,145
1,146,304.181818182,724.818181818,146
1,147,373.384615385,726.384615385,147
1,148,938.588235294,728.352941176,148
1,149,1002.875,730.125,149
1,150,945.166666667,734.083333333,150
1,151,396.5,735.0,151
1,152,620.5,737.5,152
1,153,1069.6,737.6,153
1,154,498.0,741.0,154
1,155,844.866666667,742.933333333,155
1,156,842.529411765,750.647058824,156
1,157,863.090909091,750.363636364,157
1,158,716.846153846,751.384615385,158
1,159,751.5,754.0,159
1,160,784.615384615,753.615384615,160
1,161,567.909090909,758.818181818,161
1,162,965.538461538,759.384615385,162
1,163,651.153846154,760.230769231,163
1,164,339.055555556,762.111111111,164
1,165,799.8125,762.625,165
1,166,818.529411765,761.137254902,166
1,167,478.352941176,765.411764706,167
1,168,717.714285714,765.5,168
1,169,910.235294118,765.764705882,169
1,170,426.266666667,771.666666667,170
1,171,680.75,775.25,171
1,172,706.0,775.5,172
1,173,1138.38461538,779.615384615,173
1,174,1110.35,782.45,174
1,175,1066.03571429,784.107142857,175
1,176,426.666666667,790.555555556,176
1,177,853.5,793.5,177
1,178,455.5,793.714285714,178
1,179,714.785714286,799.214285714,179
1,180,1096.09090909,799.363636364,180
1,181,1060.52380952,804.857142857,181
1,182,442.666666667,808.111111111,182
1,183,675.411764706,811.882352941,183
1,184,757.384615385,817.384615385,184
1,185,999.083333333,818.166666667,185
1,186,776.090909091,825.363636364,186
1,187,817.36,839.12,187
1,188,956.0,839.5,188
1,189,1157.5,839.5,189
1,190,420.5,841.0,190
1,191,445.4375,841.75,191
1,192,1056.0,839.5,192
1,193,645.526315789,844.368421053,193
1,194,1055.38095238,843.380952381,194
1,195,656.75,845.333333333,195
1,196,813.105263158,846.473684211,196
1,197,873.0,847.0,197
1,198,713.388888889,847.5,198
1,199,570.0,852.0,199
1,200,630.411764706,854.117647059,200
1,201,777.227272727,853.045454545,201
1,202,1165.44444444,861.666666667,202
1,203,828.666666667,866.166666667,203
1,204,420.642857143,867.214285714,204
1,205,1180.78571429,867.357142857,205
1,206,916.625,868.5625,206
1,207,682.142857143,871.071428571,207
1,208,660.230769231,872.153846154,208
1,209,1018.25,873.416666667,209
1,210,1104.125,874.875,210
1,211,1032.0,876.5,211
1,212,933.384615385,878.384615385,212
1,213,1134.71428571,878.5,213
1,214,990.909090909,881.363636364,214
1,215,1088.95,881.1,215
1,216,458.5,881.714285714,216
1,217,919.307692308,885.923076923,217
1,218,816.85,887.6,218
1,219,738.5,889.0,219
1,220,907.071428571,889.571428571,220
1,221,790.642857143,892.214285714,221
1,222,728.033333333,903.266666667,222
1,223,712.05,904.25,223
1,224,1137.9047619,906.523809524,224
1,225,778.153846154,907.538461538,225
1,226,584.0,911.0,226
1,227,996.25,912.416666667,227
1,228,1100.6,912.4,228
1,229,967.666666667,913.083333333,229
1,230,805.125,917.125,230
1,231,931.842105263,917.842105263,231
1,232,1008.93939394,925.424242424,232
1,233,610.214285714,926.178571429,233
1,234,536.818181818,927.454545455,234
1,235,642.288135593,927.593220339,235
1,236,780.8,930.1,236
1,237,914.714285714,931.5,237
1,238,879.8,933.5,238
1,239,1158.42857143,934.071428571,239
1,240,1062.86666667,935.466666667,240
1,241,1141.73684211,936.263157895,241
1,242,765.916666667,937.083333333,242
1,243,1119.0,938.0,243
1,244,623.814814815,939.814814815,244
1,245,1139.71875,940.5625,245
1,246,332.5,943.0,246
1,247,816.166666667,947.944444444,247
1,248,1084.75,948.5625,248
1,249,379.285714286,951.5,249
1,250,837.75,951.25,250
1,251,761.083333333,954.166666667,251
1,252,636.384615385,956.076923077,252
1,253,1084.5,961.5,253
1,254,1051.0,962.789473684,254
1,255,867.142857143,964.0,255
1,256,1018.18181818,963.818181818,256
1,257,781.777777778,968.5,257
1,258,875.485714286,971.514285714,258
1,259,480.5,976.2,259
1,260,673.111111111,981.333333333,260
1,261,902.0,980.8,261
1,262,1142.27777778,981.111111111,262
1,263,433.75,983.25,263
1,264,559.107142857,982.964285714,264
1,265,945.357142857,982.785714286,265
1,266,629.090909091,983.636363636,266
1,267,308.636363636,984.909090909,267
1,268,1120.25,992.666666667,268
1,269,711.722222222,993.611111111,269
1,270,609.185185185,997.037037037,270
1,271,827.0,999.210526316,271
1,272,1153.6875,998.9375,272
1,273,875.5,1002.5,273
1,274,430.818181818,1004.18181818,274
1,275,809.25,1007.08333333,275
1,276,706.0,1010.0,276
1,277,847.588235294,1015.88235294,277
1,278,1117.5,1016.5,278
1,279,356.111111111,1019.72222222,279
1,280,698.117647059,1021.41176471,280
1,281,684.888888889,1025.66666667,281
1,282,306.0,1030.0,282
1,283,679.833333333,1031.72222222,283
1,284,873.642857143,1033.21428571,284
1,285,565.368421053,1033.47368421,285
1,286,615.307692308,1034.0,286
1,287,1046.84210526,1034.15789474,287
1,288,1084.83333333,1042.08333333,288
1,289,681.875,1045.125,289
1,290,651.625,1049.25,290
1,291,1141.66666667,1049.73333333,291
1,292,588.636363636,1051.09090909,292
1,293,737.0,1053.2,293
1,294,556.2,1055.5,294
1,295,697.111111111,1060.33333333,295
1,296,482.714285714,1064.5,296
1,297,1082.875,1065.125,297
1,298,953.277777778,1066.11111111,298
1,299,310.5,1067.5,299
1,300,1052.38888889,1068.27777778,300
1,301,986.875,1075.125,301
1,302,1139.85,1074.85,302
1,303,294.8,1076.0,303
1,304,1121.90909091,1075.81818182,304
1,305,570.636363636,1077.09090909,305
1,306,818.0,1078.0,306
1,307,1109.0,1078.5,307
1,308,685.454545455,1079.18181818,308
1,309,711.222222222,1080.88888889,309
1,310,999.285714286,1081.5,310
1,311,974.230769231,1082.84615385,311
1,312,683.555555556,1087.66666667,312
1,313,471.0,1089.66666667,313
1,314,344.0,1091.2,314
1,315,831.25,1091.58333333,315
1,316,286.777777778,1092.5,316
1,317,526.5,1091.71428571,317
1,318,676.5,1093.8,318
1,319,955.615384615,1094.38461538,319
1,320,768.25,1095.5,320
1,321,689.888888889,1098.66666667,321
1,322,873.163636364,1100.27272727,322
1,323,415.636363636,1102.90909091,323
1,324,942.5,1104.0,324
1,325,575.5,1107.0,325
1,326,911.4,1107.36,326
1,327,981.875,1108.125,327
1,328,693.5,1110.8,328
1,329,628.2,1115.5,329
1,330,684.888888889,1115.66666667,330
