ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,347.5,57.5,1
1,2,328.344262295,59.4262295082,2
1,3,241.871794872,61.1282051282,3
1,4,307.129032258,61.1935483871,4
1,5,221.6,62.5,5
1,6,320.511627907,62.1395348837,6
1,7,335.538461538,63.0,7
1,8,198.0,64.8461538462,8
1,9,265.1875,68.3125,9
1,10,323.294117647,69.5882352941,10
1,11,346.705882353,67.9705882353,11
1,12,354.638297872,70.9361702128,12
1,13,408.926829268,72.6829268293,13
1,14,301.416666667,72.9166666667,14
1,15,283.58,74.0,15
1,16,422.060606061,75.7878787879,16
1,17,384.888888889,75.3333333333,17
1,18,270.528089888,75.3820224719,18
1,19,219.674418605,76.2325581395,19
1,20,429.875,77.125,20
1,21,172.151515152,77.8787878788,21
1,22,238.352941176,77.4705882353,22
1,23,276.310344828,79.3793103448,23
1,24,288.727272727,80.3636363636,24
1,25,291.411764706,82.4117647059,25
1,26,451.5,84.0,26
1,27,164.0,85.6956521739,27
1,28,205.191489362,85.9361702128,28
1,29,231.233333333,85.3333333333,29
1,30,254.696969697,93.1666666667,30
1,31,359.03030303,93.0606060606,31
1,32,165.285714286,93.3285714286,32
1,33,481.519083969,95.7786259542,33
1,34,148.461538462,98.1923076923,34
1,35,278.56,98.32,35
1,36,502.650793651,99.9523809524,36
1,37,377.359375,99.796875,37
1,38,493.811320755,100.283018868,38
1,39,192.051948052,101.168831169,39
1,40,312.653846154,101.057692308,40
1,41,505.853658537,104.292682927,41
1,42,138.536585366,104.317073171,42
1,43,510.85483871,106.467741935,43
1,44,282.925925926,106.407407407,44
1,45,131.028169014,111.549295775,45
1,46,225.125,108.05,46
1,47,402.931034483,107.586206897,47
1,48,519.266666667,110.133333333,48
1,49,506.552631579,113.631578947,49
1,50,534.651162791,112.11627907,50
1,51,145.736842105,113.526315789,51
1,52,472.343283582,113.089552239,52
1,53,526.0,115.695652174,53
1,54,353.340909091,117.886363636,54
1,55,540.384615385,118.307692308,55
1,56,543.25,122.0625,56
1,57,552.209302326,123.325581395,57
1,58,377.902439024,122.268292683,58
1,59,547.285714286,122.642857143,59
1,60,247.023255814,124.418604651,60
1,61,175.875,125.946428571,61
1,62,120.0,126.891891892,62
1,63,281.022222222,127.577777778,63
1,64,286.922077922,126.818181818,64
1,65,556.953488372,127.023255814,65
1,66,291.5,127.205882353,66
1,67,570.620689655,130.206896552,67
1,68,566.315789474,131.421052632,68
1,69,559.162162162,134.405405405,69
1,70,567.538461538,138.961538462,70
1,71,576.980769231,142.471153846,71
1,72,173.797101449,142.231884058,72
1,73,508.055555556,143.916666667,73
1,74,587.2,145.5,74
1,75,540.659574468,145.14893617,75
1,76,392.196428571,148.446428571,76
1,77,104.952941176,151.082352941,77
1,78,579.0,154.756097561,78
1,79,129.733333333,155.8,79
1,80,607.041666667,158.125,80
1,81,616.234042553,164.212765957,81
1,82,604.897435897,164.974358974,82
1,83,623.555555556,166.888888889,83
1,84,470.256410256,166.615384615,84
1,85,114.333333333,171.733333333,85
1,86,349.333333333,172.25,86
1,87,644.7,181.3,87
1,88,590.126984127,182.777777778,88
1,89,661.698795181,189.602409639,89
1,90,671.476190476,189.666666667,90
1,91,329.409638554,189.240963855,91
1,92,90.2,191.125,92
1,93,642.189655172,191.327586207,93
1,94,481.696428571,192.553571429,94
1,95,666.590909091,194.136363636,95
1,96,647.793103448,195.655172414,96
1,97,244.916666667,196.5,97
1,98,503.160714286,197.107142857,98
1,99,102.323529412,198.882352941,99
1,100,557.403508772,201.070175439,100
1,101,607.085714286,201.028571429,101
1,102,683.066666667,202.813333333,102
1,103,89.2682926829,202.926829268,103
1,104,692.904761905,205.904761905,104
1,105,132.545454545,209.909090909,105
1,106,94.4102564103,213.282051282,106
1,107,707.5,214.125,107
1,108,697.793103448,214.103448276,108
1,109,86.9090909091,218.090909091,109
1,110,115.217391304,221.695652174,110
1,111,165.588235294,222.333333333,111
1,112,255.865384615,221.865384615,112
1,113,511.088888889,225.133333333,113
1,114,621.111111111,225.805555556,114
1,115,725.868686869,227.646464646,115
1,116,555.5,226.357142857,116
1,117,125.578947368,233.210526316,117
1,118,317.510204082,233.510204082,118
1,119,370.740740741,234.851851852,119
1,120,730.189655172,236.086206897,120
1,121,531.137931034,242.413793103,121
1,122,474.9,242.525,122
1,123,362.064516129,245.35483871,123
1,124,243.375,244.578125,124
1,125,750.346938776,245.775510204,125
1,126,197.061538462,246.353846154,126
1,127,439.693877551,249.510204082,127
1,128,370.12195122,251.56097561,128
1,129,581.682926829,250.658536585,129
1,130,389.384615385,251.615384615,130
1,131,759.319444444,252.013888889,131
1,132,454.5,253.0,132
1,133,751.222222222,253.148148148,133
1,134,534.125,254.125,134
1,135,694.033333333,255.766666667,135
1,136,754.230769231,256.384615385,136
1,137,224.116666667,256.95,137
1,138,597.25,257.75,138
1,139,759.944444444,259.0,139
1,140,394.088235294,260.676470588,140
1,141,375.5,262.0,141
1,142,767.6875,261.9375,142
1,143,778.046153846,261.953846154,143
1,144,351.895833333,263.520833333,144
1,145,703.0,265.2,145
1,146,362.485294118,268.073529412,146
1,147,781.5,267.5,147
1,148,256.875,270.666666667,148
1,149,351.232142857,271.446428571,149
1,150,396.290322581,272.451612903,150
1,151,779.710526316,272.473684211,151
1,152,355.923076923,273.897435897,152
1,153,379.909090909,273.136363636,153
1,154,438.038461538,273.692307692,154
1,155,784.44,273.92,155
1,156,788.80952381,272.857142857,156
1,157,793.827586207,273.655172414,157
1,158,359.633333333,277.7,158
1,159,376.181818182,276.545454545,159
1,160,410.8,277.925,160
1,161,717.149253731,278.253731343,161
1,162,432.676470588,279.676470588,162
1,163,402.391304348,279.956521739,163
1,164,120.157894737,282.263157895,164
1,165,165.552631579,281.078947368,165
1,166,348.833333333,281.266666667,166
1,167,565.916666667,281.833333333,167
1,168,798.111111111,281.0,168
1,169,430.0,284.35483871,169
1,170,333.850746269,284.52238806,170
1,171,792.339285714,284.25,171
1,172,356.341463415,286.317073171,172
1,173,389.714285714,286.5,173
1,174,421.523809524,287.619047619,174
1,175,363.210526316,287.894736842,175
1,176,538.243243243,288.378378378,176
1,177,369.966666667,288.733333333,177
1,178,401.25,290.764705882,178
1,179,418.545454545,291.636363636,179
1,180,594.224489796,291.408163265,180
1,181,697.066666667,290.866666667,181
1,182,795.947368421,291.368421053,182
1,183,452.973684211,292.894736842,183
1,184,431.230769231,294.5,184
1,185,478.357142857,293.892857143,185
1,186,324.72972973,293.297297297,186
1,187,677.686567164,295.0,187
1,188,247.731707317,296.390243902,188
1,189,359.588235294,295.941176471,189
1,190,369.538461538,295.153846154,190
1,191,377.306122449,295.795918367,191
1,192,157.083333333,297.222222222,192
1,193,415.3,296.6,193
1,194,403.482758621,297.793103448,194
1,195,783.325581395,298.372093023,195
1,196,390.235294118,298.852941176,196
1,197,398.378378378,298.135135135,197
1,198,408.4,298.4,198
1,199,313.814814815,300.333333333,199
1,200,348.553571429,300.107142857,200
1,201,374.545454545,301.909090909,201
1,202,699.232142857,301.803571429,202
1,203,821.556818182,302.022727273,203
1,204,360.515151515,302.393939394,204
1,205,804.466666667,303.933333333,205
1,206,394.15,304.925,206
1,207,427.894736842,304.842105263,207
1,208,467.5,305.8,208
1,209,437.507042254,306.14084507,209
1,210,444.5,305.916666667,210
1,211,482.5,306.222222222,211
1,212,424.363636364,308.272727273,212
1,213,312.078431373,309.764705882,213
1,214,511.25,309.03125,214
1,215,797.807692308,309.807692308,215
1,216,829.75,309.625,216
1,217,362.333333333,311.0,217
1,218,833.470588235,311.176470588,218
1,219,129.724137931,312.413793103,219
1,220,385.526315789,312.631578947,220
1,221,460.035714286,312.0,221
1,222,347.5,314.714285714,222
1,223,422.02173913,314.217391304,223
1,224,483.5,315.5,224
1,225,830.222222222,316.555555556,225
1,226,835.333333333,315.484848485,226
1,227,358.555555556,318.5,227
1,228,415.818181818,318.0,228
1,229,454.8125,318.75,229
1,230,646.3,318.1,230
1,231,381.636363636,320.090909091,231
1,232,684.2,319.581818182,232
1,233,788.97826087,320.347826087,233
1,234,837.8,320.088888889,234
1,235,466.105263158,322.421052632,235
1,236,524.644444444,322.688888889,236
1,237,346.791666667,324.125,237
1,238,409.5,324.5,238
1,239,845.333333333,325.0,239
1,240,244.358974359,325.435897436,240
1,241,416.45,325.4,241
1,242,848.333333333,325.222222222,242
1,243,186.931818182,326.659090909,243
1,244,379.260869565,327.043478261,244
