X,Y
0,0
0,6000
6000,0
6000,6000
190,103.8
141.1538462,124.6153846
217.0909091,124.6363636
163.6153846,126.6153846
253.0909091,130.6363636
504.875,133.875
516.3333333,146.75
143.3846154,152.6153846
191.8809524,156.6666667
325,161.8
454.2666667,170.3333333
226,172.5
138.8333333,188
495.2,188
610.7777778,188.1111111
245.3636364,191.4545455
395.5882353,205.8823529
578.1333333,214.4666667
179.8181818,241.1818182
445.6153846,244.3846154
708.5384615,254.1538462
555.5,275
360.5,276.5
317,279
362.7,279.8
315.4166667,282
423.125,284.875
353.875,292.875
402.5,295.8
777.4117647,301.8823529
551.1176471,326.4117647
802.5,343.5
596.0909091,355.6363636
758,360.5
613.5,361
203.5,371.5
599.9354839,383.2580645
922.875,386.125
770.5454545,402.6363636
310.875,409.875
649.3333333,418.75
900.25,419.95
786.6666667,428.75
497.9166667,433.25
266,437
313,437.3846154
557.125,439.875
959.3846154,442.3846154
248.0909091,443.6363636
783.9090909,451.6363636
728.95,452.9
758.875,478.125
509,480.0740741
548.9333333,483.3333333
679,485.5
730.5882353,488.3529412
361.3636364,490.0909091
228.5,492.5
815,494.5
508.3846154,499.3846154
296.047619,502.8095238
310.2631579,502.5789474
952.9,510.6333333
1012.045455,512.2272727
536.6363636,514.0909091
513.125,516.125
534.5,524.5
276.7,525.3
748.8,527.5
943.8095238,528.952381
655.4285714,532.8571429
652.9333333,542.7333333
264.8461538,543.6153846
750.6666667,547.0833333
271.8888889,555.6666667
567.6153846,565.3846154
462.5,567.5
866.8888889,571.6666667
249.875,573.875
641,577.5
659.875,579.0625
939.3846154,580.3846154
620.5,592
990.8888889,591.5555556
365,593.2
530.5,594.2
651.375,593.75
899.8461538,595.7692308
514.3636364,601.9090909
969.2142857,603.3571429
785.3333333,607.1111111
1059.695652,608.3043478
859,616.7209302
450.4615385,618.1538462
447.3333333,619
504.0909091,618.6363636
444.9090909,620.7272727
699,621.8
899.8823529,622.4117647
600,623
410.6875,624.0625
527.0526316,623.7894737
1022,626
997.0909091,628.3636364
896.8888889,629.3333333
423.8888889,633.1111111
809.5,636
722.75,636.875
726.5555556,639.4444444
888,644
638.5384615,645.3076923
537.0714286,648.1428571
984,655.2666667
766.2,655.5
930.4444444,655.6666667
381.3846154,656.6153846
1098.538462,658.8461538
1146.5,659
844.5,660.5
875,661.25
885.5384615,664.6153846
881.9230769,666.9230769
600.5,669.2
1069.611111,670.6111111
1118.2,676
871.25,678.4166667
691.5,683.8
321.2307692,688.3846154
1031.714286,687.5
671,689.3529412
362.7826087,690.3913043
708.5,690
621.6923077,694
443.6363636,696.0909091
407.25,697.625
716.25,701.4166667
642.3333333,702.75
685,706.5
434.2,713
610.6666667,713.1111111
927.5555556,716.7777778
645.6153846,717.6153846
746.8461538,719.4615385
904.8888889,719.4444444
333.3809524,723.5714286
304.1818182,724.8181818
373.3846154,726.3846154
938.5882353,728.3529412
1002.875,730.125
945.1666667,734.0833333
396.5,735
620.5,737.5
1069.6,737.6
498,741
844.8666667,742.9333333
842.5294118,750.6470588
863.0909091,750.3636364
716.8461538,751.3846154
751.5,754
784.6153846,753.6153846
567.9090909,758.8181818
965.5384615,759.3846154
651.1538462,760.2307692
339.0555556,762.1111111
799.8125,762.625
818.5294118,761.1372549
478.3529412,765.4117647
717.7142857,765.5
910.2352941,765.7647059
426.2666667,771.6666667
680.75,775.25
706,775.5
1138.384615,779.6153846
1110.35,782.45
1066.035714,784.1071429
426.6666667,790.5555556
853.5,793.5
455.5,793.7142857
714.7857143,799.2142857
1096.090909,799.3636364
1060.52381,804.8571429
442.6666667,808.1111111
675.4117647,811.8823529
757.3846154,817.3846154
999.0833333,818.1666667
776.0909091,825.3636364
817.36,839.12
956,839.5
1157.5,839.5
420.5,841
445.4375,841.75
1056,839.5
645.5263158,844.3684211
1055.380952,843.3809524
656.75,845.3333333
813.1052632,846.4736842
873,847
713.3888889,847.5
570,852
630.4117647,854.1176471
777.2272727,853.0454545
1165.444444,861.6666667
828.6666667,866.1666667
420.6428571,867.2142857
1180.785714,867.3571429
916.625,868.5625
682.1428571,871.0714286
660.2307692,872.1538462
1018.25,873.4166667
1104.125,874.875
1032,876.5
933.3846154,878.3846154
1134.714286,878.5
990.9090909,881.3636364
1088.95,881.1
458.5,881.7142857
919.3076923,885.9230769
816.85,887.6
738.5,889
907.0714286,889.5714286
790.6428571,892.2142857
728.0333333,903.2666667
712.05,904.25
1137.904762,906.5238095
778.1538462,907.5384615
584,911
996.25,912.4166667
1100.6,912.4
967.6666667,913.0833333
805.125,917.125
931.8421053,917.8421053
1008.939394,925.4242424
610.2142857,926.1785714
536.8181818,927.4545455
642.2881356,927.5932203
780.8,930.1
914.7142857,931.5
879.8,933.5
1158.428571,934.0714286
1062.866667,935.4666667
1141.736842,936.2631579
765.9166667,937.0833333
1119,938
623.8148148,939.8148148
1139.71875,940.5625
332.5,943
816.1666667,947.9444444
1084.75,948.5625
379.2857143,951.5
837.75,951.25
761.0833333,954.1666667
636.3846154,956.0769231
1084.5,961.5
1051,962.7894737
867.1428571,964
1018.181818,963.8181818
781.7777778,968.5
875.4857143,971.5142857
480.5,976.2
673.1111111,981.3333333
902,980.8
1142.277778,981.1111111
433.75,983.25
559.1071429,982.9642857
945.3571429,982.7857143
629.0909091,983.6363636
308.6363636,984.9090909
1120.25,992.6666667
711.7222222,993.6111111
609.1851852,997.037037
827,999.2105263
1153.6875,998.9375
875.5,1002.5
430.8181818,1004.181818
809.25,1007.083333
706,1010
847.5882353,1015.882353
1117.5,1016.5
356.1111111,1019.722222
698.1176471,1021.411765
684.8888889,1025.666667
306,1030
679.8333333,1031.722222
873.6428571,1033.214286
565.3684211,1033.473684
615.3076923,1034
1046.842105,1034.157895
1084.833333,1042.083333
681.875,1045.125
651.625,1049.25
1141.666667,1049.733333
588.6363636,1051.090909
737,1053.2
556.2,1055.5
697.1111111,1060.333333
482.7142857,1064.5
1082.875,1065.125
953.2777778,1066.111111
310.5,1067.5
1052.388889,1068.277778
986.875,1075.125
1139.85,1074.85
294.8,1076
1121.909091,1075.818182
570.6363636,1077.090909
818,1078
1109,1078.5
685.4545455,1079.181818
711.2222222,1080.888889
999.2857143,1081.5
974.2307692,1082.846154
683.5555556,1087.666667
471,1089.666667
344,1091.2
831.25,1091.583333
286.7777778,1092.5
526.5,1091.714286
676.5,1093.8
955.6153846,1094.384615
768.25,1095.5
689.8888889,1098.666667
873.1636364,1100.272727
415.6363636,1102.909091
942.5,1104
575.5,1107
911.4,1107.36
981.875,1108.125
693.5,1110.8
628.2,1115.5
684.8888889,1115.666667
851.2083333,1115.75
769,1117.5
1087,1123.5
716.4,1128.4
1056.916667,1134.083333
1079.1,1135.95
693.5,1137.5
954.5,1139.636364
844.6,1142.6
649.3846154,1143.384615
589.1842105,1150.236842
1135.8125,1149.6875
463.2222222,1151.222222
781,1151.5
588.2413793,1155.655172
487.5555556,1157.777778
828.5,1157
748,1165
231.75,1169.25
570.6666667,1169.111111
1138.304348,1170.782609
261.4210526,1172.578947
763.3846154,1173.615385
