X	Y
0	0
0	6000
6000	0
6000	6000
341.1397849	41.86021505
417.5396825	43.53968254
430.2459016	46.6557377
348.5714286	51.5
404.2571429	57.65714286
315.4821429	60.03571429
332.5223881	60.08955224
486.0519481	60.76623377
360.2	60.95714286
312.6	62.46666667
249.544	63.104
360.3703704	65.22222222
227.075	70.05
274.4078947	70.72368421
489.2142857	69.64285714
240.2666667	75.06666667
527.3866667	75.82666667
218.5319149	77.78723404
438.9428571	78.08571429
539.3333333	81.90277778
439	84.41176471
306.6571429	85.6
529.6990291	87.37864078
303.8	89.4
523.5	90.25
260.5	92.5
394.2837838	93.13513514
197	93.27027027
264.125	94.25
496.875	96.875
186.7931034	99.03448276
190.9387755	97.81632653
197	100
183.6086957	102.9565217
189.9677419	105.483871
179.8	105.5
332.5294118	106.0588235
565.5555556	106.6666667
330.3142857	110.0857143
466.3	109.48
452.4556962	109.9873418
604.078125	110.78125
189	112.68
381.22	112.5
596.2758621	111.4482759
464.6578947	114.1052632
620.4285714	112.3809524
571.2680412	113.6804124
175.8409091	116.6363636
308.6962025	116.5949367
181.46875	120.203125
553.25	119.375
176.5714286	122.5357143
575.125	120.875
406.8571429	122.2857143
189.6666667	122.75
618.047619	124.9285714
610.78125	126.28125
521.3571429	127.25
520.4047619	132.0238095
656.3513514	132.4594595
302.9	136.62
389.2711864	137.9661017
181.9090909	138.4090909
647.5	137.675
167.65	138.9
338.075	138.85
644.8	141.4285714
665	141.5
474.097561	142.1219512
570.9302326	141.8139535
251.5753425	142.3835616
618.5909091	144.4545455
671.4487179	144.7948718
602.2	149.02
597.8947368	151.5263158
173.7241379	155.3448276
687.779661	156.0338983
692.5625	156.78125
204.4117647	157.6470588
651.6896552	160.7586207
699.0408163	162.2857143
254.9263158	164.8
651.8139535	165.8372093
706.7272727	167.0909091
627.1470588	168.1617647
160.1014493	172.884058
710.7692308	171.7692308
717.6666667	172.8172043
183.1463415	174.4146341
610.5	175.0375
684.4117647	174.8823529
606.28125	177.09375
707.09375	176.921875
706.3	181.925
212.8867925	183.7358491
176.0588235	188.2352941
214.0344828	190.362069
723	189
206.8571429	191.5714286
742.1860465	191.6744186
723.0434783	193.6304348
211.3125	195.1875
224.5102041	195.5714286
577.6575342	196.8219178
218.5	198.2666667
222.8	200.44
537.6575342	199.3424658
544.1304348	198.326087
245.7945205	199.7123288
157.5373134	201.8731343
239.8333333	202.9333333
743.8333333	204.6212121
250.1724138	206.9310345
687.8275862	207.7241379
692.06	208.44
627.5	210.6
304.0512821	216.5641026
730.5466667	218.56
307.5833333	219.75
742.8214286	218.8928571
347.8235294	220.5098039
636.5846154	221.3076923
347.4210526	224.6842105
439.2352941	223.6176471
197.6923077	225.2051282
406.4634146	224.4878049
279.1578947	226.8421053
740.2033898	227.2542373
290.6666667	229.2708333
150.372549	230.2843137
389.5	231.6190476
824.3088235	235.3823529
710.0119048	239.6547619
213.65625	247.46875
388.9189189	247.4864865
395.84	248.1
446.0714286	250.375
482.8095238	249.9047619
152.64	252.36
253.9512195	253.6829268
416.3571429	252.5238095
398.8780488	255.4146341
448.9512195	256.3902439
328.8846154	259
838.1238095	259.3142857
411.9166667	260.9444444
583.0178571	260.7142857
860.5529412	261.8941176
134.4166667	264
435.0540541	263.8648649
674.5	266.2058824
868.9811321	266.3584906
847.6969697	266.969697
420	268.8947368
413.7272727	269.6363636
449.7931034	269.862069
788.0377358	269.7924528
761.8	272.8714286
472	275.3809524
847.6666667	276.28125
865	276.2
160.4827586	276.5862069
156.3529412	278.3823529
205.8518519	279.1851852
881.7605634	279.4366197
402.2790698	280.8372093
472.1176471	281.5882353
888.5641026	284.1794872
231.2295082	283.9344262
462.12	283.84
505.6	284.4
881.25	286.75
469.5	287
663.22	286.9
694.8846154	287.3076923
452.6666667	289
873.4878049	289.5609756
826.3787879	289.5909091
364.7222222	291.875
891.9166667	291.7916667
875.76	295.6
885.8125	294.6875
843.9565217	295.3913043
479.1875	297.3125
337.5384615	299.6153846
363.0232558	299.8604651
871.375	299.625
884.7936508	299.6825397
497.6	301.6
881.8902439	304.6585366
892.2142857	302.9285714
500.1818182	304
351.2391304	305.0217391
499.2142857	307.6428571
565.32	308.16
758.1384615	310.6
340.5	310.44
886.9166667	311.1666667
503.1343284	312.5970149
166.1428571	313.3626374
243.9310345	315.1206897
518	319.3880597
905.3066667	318.8933333
212.6521739	320.7101449
506.7317073	321.7804878
786.3913043	322.0652174
915.5	321.5714286
670.5230769	324.8461538
357.3571429	325.4761905
277.875	327.875
625	330.8
872.8240741	332.8240741
890.8181818	332.1818182
828.4117647	332.745098
362.1111111	334.8888889
461.2553191	335.1702128
936.3157895	334.4210526
768.9642857	336.1071429
375.5	338.4
472.8823529	339.4117647
933.3043478	340.0434783
568.3421053	340.9210526
254.9230769	342.4923077
744.015873	342.1428571
183.0909091	344.8181818
361.9032258	341.4516129
333.4107143	344.5714286
363	345.9
531.4516129	345.4193548
351.9047619	347.6190476
929.4347826	347.173913
348.85	350.7
925.4791667	350.3333333
357.3030303	349.5757576
275.5	351
450.9901961	350.7843137
665.7407407	350.8518519
531.1111111	352.4444444
381.5789474	356.8245614
216.5	356.78125
415.2045455	356.5909091
637.7721519	357.9113924
401.2307692	358.6410256
318.2911392	359.8607595
454	363.5
372.8846154	364.3076923
607.025974	363.6363636
262.7894737	365.0526316
342.4285714	365.0612245
409.82	366.58
899.375	367.625
377.6034483	371.5862069
767.9333333	371.7333333
429.8505747	372.9885057
452.9361702	374.6382979
737.9666667	373.1
531.375	375.15625
896.3125	375.484375
490.6785714	378.3214286
928.3417722	378.7088608
627.4666667	380.0166667
991.9803922	380.7058824
376.030303	382.1818182
963.7121212	382.3181818
402.5	383.5
409.5714286	383.5428571
529.65	384.225
388.258427	383.8314607
555.7857143	386.2142857
475	386.5
384.6875	389.375
376.9090909	389.0909091
402.2727273	393.8787879
489.36	392.82
396.2545455	396.8545455
316.6964286	395.625
313.1071429	398.1071429
542.1666667	398.3541667
353.7941176	401.0294118
406.1911765	402.3970588
787.5	402.5
149.4375	404
273	406.7647059
475.5	409
187.0740741	410.5925926
497.7037037	411.1481481
412.5	412.6923077
921.2272727	413.2878788
972.8333333	413.8974359
155.942029	412.8115942
403.625	419.21875
420.7567568	419.3783784
529.4285714	418.9428571
495.8604651	419.9302326
624.1	420.0333333
642	423
