X	Y
0	0
0	6000
6000	0
6000	6000
423	203
460.195122	220.1463415
420.8823529	229.4117647
437.4482759	228.1034483
429.0857143	233
439.9878049	234.7439024
461.0285714	234.4857143
444.4210526	234.8421053
424.1034483	235.8965517
510.0864198	235.7160494
515.8	237.0222222
465.2777778	237.8333333
483	237.375
432.6538462	238.3717949
513.0571429	242.4
503.2424242	243.0909091
423.7884615	242.8653846
455.8888889	243.1111111
452	246.5333333
437.5540541	245.6486486
429.1111111	247.1587302
472	248.5
522.24	249.168
434.8611111	252.0833333
442.5227273	250.7272727
498.5714286	252.7714286
421.85	254.075
502.5555556	255.3333333
407.5625	257.375
428.393617	257.3510638
420.1612903	261.0806452
498.3695652	260.9565217
413.5714286	266.5
511.7826087	267.0869565
529.5	267.5
462.8913043	267.4565217
503	267.5185185
468.1333333	270.5666667
558.1754386	283.2631579
445.4705882	285.6470588
564.9375	288.3125
441.1785714	291.3928571
458.1688312	314.5974026
417.9230769	319.3076923
569.6315789	318.4736842
596.6666667	321.4444444
502.2	324.5
448.1470588	325.0588235
581.2307692	325.8461538
460.5192308	325.9230769
452.6388889	329.3611111
562.3809524	330.4285714
572.2631579	331.6315789
459.8285714	332.6285714
455.3125	334.5
445.3230769	342.9846154
563.8823529	351.4117647
466.3846154	354.8076923
550.1034483	354.8965517
555.2391304	358.0869565
566.2941176	360.5294118
545.7787611	360.7256637
441	362.2413793
497	371.5
575.0322581	371.1290323
445.6842105	372.6491228
464.3333333	373.5555556
548.24	384.68
501.0147059	398.1029412
523.5	400.8
542.1333333	400.4666667
516.173913	411
518.5	415.2857143
611	443.5
696.7931034	479.5862069
637.9615385	485.9230769
682.5	490.65
710.8	490.56
642.959596	490.8888889
660.125	502.84375
685	502.6
698.4032258	503.4193548
703.9722222	504.1666667
685.9	508.05
677.4545455	509.5454545
756.3265306	520.3673469
747.7714286	522.3714286
757.2619048	525.9761905
707.5	526
762.9787234	528.106383
732.2857143	528.75
715.7333333	529.7666667
723.4166667	530.3333333
685.6956522	534.2608696
765.0769231	534.3076923
710.0833333	534.8333333
747.7045455	539.3295455
817.5238095	538.9047619
822.2173913	540.5652174
812.1666667	542.8484848
715.2105263	546.2105263
822.2321429	547
748.940678	549.3135593
702.5833333	554.4166667
746.9310345	556.362069
776.2	556.36
694.1931818	560.0909091
727.2121212	557.7575758
739.0697674	556.4651163
852.2	558.05
747.1914894	562.212766
739.9814815	562.9444444
831.8888889	562.8888889
818.8141026	561.6346154
772.9883721	562.5
712.8979592	566.6122449
719.0769231	567.6923077
698.3333333	570.0980392
875.5180723	572.8915663
770.1666667	573.2222222
867.295082	573.5737705
714.6746988	575.5180723
728.5319149	576.4042553
760.3606557	580.8688525
707.1860465	582.6976744
811.2857143	582.2142857
916.9090909	582.9454545
755.8333333	585.0208333
867.25	583.84375
773.720339	588.0338983
782.875	587.25
872.21875	587.484375
908.125	588.125
763.2025316	589.8734177
786.2068966	590.0344828
791.4	590.4
776.8	592.5
720	595.5
809.96	595.56
855.7969925	596.0451128
823.4615385	597.8461538
717.6842105	607.4210526
819.1904762	610.3928571
890.4827586	610.9655172
790.2	612.2571429
795.4597701	614.9310345
964	616.5
848.2666667	621.1666667
953.04	622.62
792.0683761	625.2649573
838.35	625.6
962.5833333	624.1666667
947.125	627.25
874.6153846	628.3846154
960.475	630.5
965.8095238	629.952381
972.2857143	629.75
936.4528302	632.3396226
842.5806452	634.9354839
930.4210526	635.7894737
795.875	636.90625
823.0932642	637.4611399
935.9677419	637.9677419
961.9565217	640.3913043
941.1923077	640.25
786.3333333	640.4666667
946.8604651	645.372093
952.75	644.8076923
957.6506024	648.1204819
803.0769231	648.6153846
967.5882353	650.4705882
858.6071429	649.2857143
786.0222222	650.9777778
824.7931034	649.7413793
879.3783784	652.3243243
975	651.5
816.5813953	653.255814
980.7272727	652.7272727
783.7368421	655.3157895
794.2068966	655.637931
936.5925926	655.1851852
787.0408163	658.9591837
979.969697	657.2424242
987.5283019	658.6698113
805.8636364	661.6363636
789.6	663.7
940.7380952	663.1428571
944.1348315	667.2247191
975.2692308	666.6538462
812.8108108	671.1351351
799.1142857	674.1142857
895.4848485	674.6060606
870.0338983	675.9830508
1002.816327	678.1020408
821.0707071	678.4242424
994.12	680.3
944.8085106	683.7021277
852.9375	684.71875
987.02	685.02
996.3958333	686.2291667
960	686.8695652
1003.5	687.1111111
887.6428571	688.4285714
953.6875	688.1875
957.1666667	692.1388889
990.1612903	691.0967742
851.6756757	693.0810811
859.725	692.3
997.25	692.3125
947.9607843	693.6078431
992.5932203	697.3898305
840.5	699.5
848.1304348	698.6521739
864.8414634	704.304878
899.1206897	703.3275862
995.5714286	703.2857143
902.8	706.6
1004.612903	707.483871
995.2413793	708.7931034
927.5	710
1008.525	710.475
859.125	711.125
867.7045455	715.2045455
882	715.5
903.5	714.7222222
993.65625	714.78125
1004	717.9166667
892.8666667	719.4666667
955.147541	719.7540984
896.5714286	722.2142857
1006.071429	721.8571429
1017.569444	722.875
705.7692308	724.1538462
741.7	726
995	725.0581395
896.7826087	726.9130435
995.2727273	732.1363636
872.9285714	733.9285714
894.8461538	733.4615385
921.625	733.75
907.8285714	740.2
916.7111111	745.4888889
944.64	745.12
926.1111111	748.1111111
908.9	749.7666667
922.25	750.75
847.4516129	752.7096774
919	755.56
850.75	758
898.559322	757.5932203
858.1666667	766.0833333
859.5	771
875.7407407	774.1851852
868.9552239	776.5671642
867.5121951	785.1463415
871.9795918	790.4489796
869.59375	796.125
885.3684211	794.7368421
881.5217391	796.7826087
726.8709677	799.4193548
856.3913043	799.0434783
832.0810811	801.4594595
888.6153846	801.3846154
850.5833333	805.2083333
948.6363636	807.9090909
840.4	810.25
923.5	811
894.8809524	813.0238095
842.4615385	813.7692308
840	816
866.2615385	816.8
876.7142857	816.6190476
883.4166667	817.3166667
876.5666667	820.9
881.902439	823.6341463
727	822.8461538
845.8387097	823.6774194
872.9137931	824.4482759
855.1666667	824.9861111
726.9512195	828.4390244
741.6666667	828.25
859.6533333	828.1866667
847.8727273	831.6545455
865.525	831.8
880.2068966	831.0344828
861.1774194	837.6290323
730.4657534	835.1232877
888.8461538	834.8461538
894.3888889	835.2777778
854.0666667	837.6
867.8857143	838.2857143
889.175	840.225
893.6666667	841.4444444
874.25	841.75
855.4901961	846.3529412
850.3666667	844.6
