X	Y
0	0
0	6000
6000	0
6000	6000
920.3958333	110.2083333
924.2941176	113.6176471
918.8072289	120.6746988
759.7857143	121.7857143
917	128.8823529
914.6363636	131.7272727
696.3333333	142.5
697.4939759	149.4096386
912.5	154
676.05	156.1
699.8571429	156.9285714
700.1428571	159.7142857
702.1818182	166.5681818
698	169.2352941
700.4	173.6
829.2	176.3
826.5	177.8
656.0967742	192.4516129
648.6428571	196.5
927.1875	204.625
650.5	205.5
832.8888889	209.2222222
659.5	211.5
635.875	213.125
836.6666667	213.2666667
703.9473684	217.7368421
801.6666667	216.9166667
800.125	220.125
921.5333333	223.2333333
696.3333333	224.1111111
859.030303	225.9393939
801.5333333	228.3333333
817.5	232.8333333
823.972973	232.2297297
828.5333333	230.8666667
841.375	230.5625
844.3636364	232.9090909
830.5882353	235.7647059
892.8181818	235.5
789.0714286	239.5604396
834.3157895	237.9473684
917.9259259	236.8518519
802.6701031	238.0721649
891.5	239.0714286
778.25	239.5
814.7826087	239.3478261
799.1818182	241.8181818
807.7272727	239.2727273
820.3125	240.875
839.6451613	244.2419355
916.5625	242.25
810.7560976	244.3414634
817.9230769	242.6153846
824.7333333	243.0666667
779.6666667	244
815.4666667	244.6666667
786.0952381	246.8571429
819.9642857	249.1071429
913.4545455	246.3636364
910.0606061	250.4545455
759.0555556	249.962963
764.7333333	251.2222222
824.4210526	248.8947368
814.2	251.7555556
754.75	251.75
858.8	252.6
883.3846154	253.2820513
824.375	253.6875
863.3243243	255.5945946
878.1111111	254.2222222
902.7777778	255.4444444
747.2727273	256.2727273
793.1111111	256.6666667
825.7083333	257.7916667
750.3846154	258.3846154
807	259
816.5531915	258.9148936
794	260
852.3333333	261.2083333
858.8	261.3333333
892.5	262.5
722.483871	263.483871
827	263
797.8	264.0117647
830.1034483	266.3103448
850.8333333	266.5833333
826.2222222	266.1111111
844.5	266.4666667
865.5	269.9583333
781.8923077	268.4769231
895.8571429	268.047619
847.6	268.8666667
817.453125	271.671875
851.6666667	270.1111111
721.125	271.125
725.8125	271.90625
803.8148148	272
885.825	270.75
890.75	270.7
789.6153846	271.6153846
794.55	271.65
846.9090909	272.3636364
874.2875	277.29375
880.7213115	271.3442623
897.125	271.875
824.5714286	270.9142857
713	275
893.2666667	275.3333333
830	275.7916667
727.5925926	277.8148148
804.2	277
884.9565217	276.8695652
763.65	278.4
866.8139535	279.5116279
852.32	278.8
816.3428571	279.2857143
881.3333333	279.75
722.75	281.5714286
727.4285714	281.7857143
788.1176471	280.5882353
739.8947368	280.8421053
703.6428571	283.7142857
707.6666667	284.1538462
712.9090909	282.3636364
746.8571429	282.7857143
848.9130435	282.826087
842.3793103	284.137931
769.3333333	285.6666667
729.4171123	290.3475936
744	285.875
807.8888889	286.6666667
756.5	287.5
818.15	286.75
862.3852459	287.3114754
868.8333333	286.7291667
844.5882353	288.1176471
852.8071429	291.6785714
710.4358974	288.5128205
751.2340426	288.2978723
836.4444444	290.3148148
795.173913	290
757	291
790.2307692	290.6153846
821.4	291.6
831.8095238	291.0952381
891.7	291.3
766.4927536	292.3623188
799.1	291.4
918.1111111	292.3333333
706.0909091	293.7575758
712.4090909	293.1363636
828.625	292.375
748.1	293.3
812	294.5833333
788.4545455	295.1818182
801.3125	294.75
830.25	295.5625
624.2666667	295.6666667
821.6	296.05
877.5	296.5
710.8125	297.5
749.5294118	297.2058824
850.1428571	299.5142857
833.4736842	298.3684211
756	299.1538462
816	299
860.1428571	297.8333333
717.6492537	301.5895522
730.9333333	300.4
785.875	299.875
828.65	299.15
918	300
735.5	300.5
743.7857143	300.6071429
865.7	299.8
888.8	301.44
805.627907	301.6046512
818.6666667	302.2666667
825.15625	301.90625
830.8571429	303.1904762
864.2222222	303.1111111
840.9354839	304.2580645
848.5806452	304.5483871
585.2906977	306.9302326
740.35	305.4
922.5	304.5
715.3333333	308.6111111
777.2727273	306.9545455
798.0909091	306.6363636
826.3235294	309.0147059
783.1777778	307.3555556
803.56	308.72
810	307.1388889
831.25	307.125
838	307.5
868.8703704	307.4259259
722.2083333	309.2916667
728.8888889	308.6666667
739.9	309.05
855.75	308.4375
756.787234	309.9148936
773.5333333	310.1333333
769	310.5
780.7777778	311.8888889
853.3	311.3
878.4444444	310.5925926
777.0222222	317.9555556
784.2972973	312.9189189
744.1818182	312.1818182
811.5090909	313.2181818
823.6666667	314.0952381
847.8888889	313.3333333
865	315.3939394
752	314.8947368
786.8571429	316
805.1538462	314.6538462
737.8461538	316.5384615
887.2272727	316.9545455
729.0379747	316.7848101
832.7777778	317.5
823.5	318.65
801.1111111	319.1111111
750	319.3918919
851.8888889	322.9157088
736.5882353	321.8823529
747.1	322.2
784.125	322.6527778
814.6153846	322.4615385
859	318.8275862
886.3846154	322.1538462
861.21875	321.96875
702.576	329.728
708.6056338	321.8732394
713.4271845	327.1456311
808.6304348	323.7391304
720.75	325.75
727.4918033	327.704918
762.5	327.2857143
775.0823529	327.3529412
788.6190476	326.952381
800.5842697	327.8988764
832.7272727	327.6363636
866.5	327.2
888.8888889	326.3333333
785.1538462	327.6923077
724.5714286	330.2142857
782.6521739	331.3043478
806.3529412	331.2352941
794.2307692	329.8461538
691.1836735	332.5102041
697.3043478	334.3478261
707.375	333.375
710.2105263	334.2631579
721.125	333.125
790.2391304	333.1521739
810.9285714	332.0357143
780.375	334.78125
786.05	335.85
797.125	334.875
751.875	336.875
871.137931	336.2068966
684.6666667	337.3333333
704.65	340.25
807.4146341	338.8536585
869	341.2
877.5172414	338.5172414
682.7222222	340.1111111
784.0625	340.125
873.875	340.125
700.0857143	340.8
737.4	341.6
755.5384615	341.6153846
761.2	341.125
767.04	340.8533333
779.7407407	343.1851852
791.0517241	342.7758621
877.2307692	343.6153846
580.5294118	343.6470588
808.375	344.375
716.6923077	344.2820513
798.8888889	345.3333333
805.5	347.5
819.875	347.125
722.9230769	347.7948718
776.5652174	348
868.68	350.36
710.0576923	350.8076923
828.2307692	352
865	351
703.6197183	354.2676056
729.8	351.7
508.1538462	353.2307692
775.3125	354
787.8888889	354.3333333
611	354.5
730.2941176	355.7058824
712.05	358.2
822.0416667	357.125
619.8888889	357.6666667
733.4509804	359.0392157
779.7931034	357.3103448
889.5423729	360.0338983
789.1944444	358.2777778
896.5254237	362.5084746
701.171875	361.09375
704.5	362
723.4705882	361
900.6428571	362.2142857
785	363
793.8	363
869.3636364	363.0909091
821.1111111	364.3333333
841.4646465	366.8585859
860.4857143	363.8857143
516.8888889	365.3333333
581.2	365.3333333
718.9590164	367.5737705
732.5777778	366.5111111
712.5714286	367.5102041
706.2941176	367.8823529
863.6857143	368.1714286
823.8571429	369.0714286
857.2580645	369.2258065
819.2619048	370.452381
747.1052632	371.7368421
844.6460177	378.9734513
845	372.8461538
770.3142857	372.2285714
683.96	374.24
699.2777778	374.1666667
813.8173913	376.5304348
853.3793103	375.6551724
720.1212121	375.3636364
773.4186047	376.2790698
825.8970588	376.4705882
859.5357143	375
740.1878354	389.4329159
822.3333333	377.6666667
728.1348315	376.0224719
