X	Y
0	0
0	6000
6000	0
6000	6000
864.6923077	275.9615385
860.0869565	278.826087
821.0285714	280.2857143
854.9761905	280.3333333
865.474359	284.9102564
858.3414634	286.3414634
886.2272727	283.7727273
817.1578947	285.3684211
872.0784314	286.254902
853.942029	289.5362319
884.8333333	290
776.5416667	291.0416667
794.2666667	289.9833333
881.55	291.95
889.3611111	291.0277778
837.7391304	295.1304348
874.3888889	295.4444444
773.6	295.75
843.2631579	295.4473684
787.9565217	296
891.9705882	296.5882353
794.4666667	297.4
863.1315789	295.4605263
852.2333333	297.5111111
870.0925926	299.3148148
858.2058824	301.1470588
801.7058824	300.7058824
885.2444444	302.4888889
797.1923077	303.5192308
878.75	303.95
858.0952381	305.047619
863.3636364	304.0909091
795.6363636	309.5454545
884.125	313
805.761194	312.4029851
793.1	315.8
868.8666667	316.4
770.2	317
800.6818182	316.3409091
867.5	320.4090909
881.0625	324.6875
819.59375	327.71875
826.4693878	327.2857143
811.6666667	327.962963
875	330.5
792.8421053	330.8421053
811.5	332.3235294
842.0322581	330.6774194
830.5	331.5
816.5263158	333.1578947
831.7142857	336
814.16	338.08
826.2298851	335.4137931
834.9375	337.375
840	337.7391304
819.71875	338.640625
848.2142857	337.6428571
785.65	340.55
836.5	341.2222222
827.2631579	342.6315789
832.9090909	341.6363636
850.9130435	342.2608696
845	344.7894737
789.3333333	345
822.5384615	345.9423077
828.1818182	348.2727273
833.3555556	348.3555556
786	349
891.2272727	348.5909091
884.1496063	353.015748
813.5575221	349.3893805
894.2045455	353.0454545
834.4130435	354.7608696
821.9375	353.6875
812.75	357.25
826.6170213	356.2553191
768.3333333	357.3333333
805.7794118	355.0735294
816.4210526	358.7368421
820.5869565	359.2391304
796.9130435	360.2608696
890.5555556	358.6666667
835.8888889	360.9555556
882.3076923	360.2307692
815.25	363.4285714
851.56	363.96
777.1212121	363.3939394
810.1617647	364.8970588
909.9090909	363.6363636
799.7916667	364.625
831.1758242	364.6043956
772.3142857	366.6285714
792.804878	366.8292683
821.3636364	367.2272727
838.1333333	368.0666667
845.5	368.5
769.3461538	370.1538462
788.21875	371.84375
823.55	372.6
850.0909091	372.3636364
912.88	372.16
842.5666667	374.2666667
853	374.2
869.8695652	373.7826087
776.375	374.1875
838	375
767.9827586	377.0172414
782.8163265	377.6122449
868.4583333	378.7916667
789.4102564	379.025641
876.5263158	379.3684211
796.8484848	379.3939394
804.6818182	378.5
838.2777778	381.1666667
862.5	380.7727273
800.2307692	383
874.5	385
778.961039	385.7142857
811.4516129	385.1935484
806.9090909	387.5909091
825	387.8888889
817.3655914	388.8064516
839.9130435	388.1086957
865.5	390.5
814.0606061	393.6666667
838.6666667	393.6444444
861.9090909	391.9090909
781.9803922	392.4117647
792.5454545	393.9318182
829.4736842	393.3947368
777.5	395
797.3666667	397.8333333
783	401.5
864.1153846	400.9230769
790.8857143	403.2761905
799.037037	403.4814815
874.7142857	403.5714286
892.125	406.875
782.3428571	409.9142857
797.7777778	408.3333333
888.125	410.875
781.2222222	414.8888889
841.3333333	413.4166667
787.4722222	414.6944444
835.8333333	413.7083333
827.875	417.325
778.75	417.4375
835.3076923	420.4230769
784.2608696	420.4347826
816.4888889	422.6222222
780.9230769	421.0769231
827	424.5
819.5454545	426.8636364
815.7407407	429.0740741
849.8	429.5
828.5810811	430.7567568
823.125	436.125
854.7777778	435.5
617.6666667	443.5555556
727.5	502.8
823.9230769	506.3076923
817.8611111	508.875
818.4285714	516
813.0285714	517.3428571
754.7142857	523.5
815.1111111	523.1851852
691.9259259	524.5925926
762.1923077	523.6923077
824.2307692	524.2820513
820.3636364	525.8787879
815.5238095	528.3809524
823.5714286	537.5238095
815.7142857	541.3571429
823.9047619	542.5714286
828.2619048	543.452381
813.5192308	545.5192308
819.1875	545.1875
708.9090909	547.3636364
776.5909091	546.6363636
840.1176471	550
831.4615385	550.1538462
690.1481481	552.0740741
781.1578947	551.3157895
786	554.6315789
688.6153846	555.4615385
758.5882353	557.2352941
823.4545455	559.6363636
675.9166667	560.8333333
741.5	562
772.0638298	562.7021277
777.8125	564.375
819.4915254	565.1694915
830.6	565.1125
824.5555556	566.4814815
739.1578947	569.1578947
774.5666667	571.4333333
746.875	571.875
768.4285714	573
759.9090909	574.3636364
716.8205128	574.974359
685.56	578.32
810.5	579
806.8666667	579.6
707.6666667	581.7333333
693	582
807.1904762	583.1428571
757.2727273	584.2727273
798.6521739	589.4565217
803.7222222	591.2222222
807.3529412	590.6470588
710.5	593
788.4210526	598.4210526
808.1724138	598.6551724
801.6521739	598.5
813.2	601.3
793.3428571	602.2857143
752.5	604.5
758.375	604.75
799.6774194	604.6129032
806.8888889	605.0833333
732.125	604.875
765.0666667	604.4
774.6101695	608.6779661
811.1428571	606.7714286
724	608
803.9333333	608.6
838.75	608.6666667
750.5833333	610.75
778.2916667	611.4166667
761.3846154	612.3846154
782.6842105	612.8815789
801.5869565	612.7826087
794.9545455	618.8181818
768.0645161	619.6451613
789.5909091	617.5909091
786.9411765	619.3529412
684.8	623.5
748.2820513	623.4102564
763.1515152	624.5757576
721	625.5
681.4444444	626.6666667
885.3793103	627.6896552
791.875	627.875
661.8974359	630.1282051
801.2666667	628.9333333
653.0952381	632.5714286
673.125	632.8958333
683.6666667	632.6
800.3	633.3
790.24	635.24
632.9545455	636.9090909
666.5	638.4090909
654	638.4137931
681.1538462	640.2307692
665.4117647	645.0588235
661.8333333	645.5833333
646.2051282	646.8589744
659.125	647.625
672.8	646.9
682	647.5238095
653.85	648.825
677.0983607	648.9016393
680.9259259	652.7407407
668.7222222	652.5555556
649.7169811	654.0566038
683.6153846	655.7692308
654.2777778	660.1666667
664	664
674.4285714	666
669.1111111	669.6666667
719.875	672
674.2903226	672.516129
726.4285714	671.6190476
643.8888889	675.3333333
660.2857143	674.6428571
703	682
703.3	688
710.3529412	688.6176471
694.8181818	689.9090909
655.1333333	692.2222222
699.1818182	692.0909091
693.5	693
702	693.8
696.8823529	694.8235294
698.2222222	697.6666667
701.3125	697.9375
653.1612903	700.2258065
548.5384615	702.8461538
695.1176471	706.5882353
647.3076923	707.2307692
687.0909091	706.3636364
698.8461538	707.6153846
692.8076923	713.525641
630	713
699.4444444	713.3333333
554.1	719.1
695.1176471	719.1764706
691.1363636	719.7727273
648.4615385	723.2051282
683.6153846	723.3846154
