X	Y
0	0
0	6000
6000	0
6000	6000
879.8421053	95.10526316
872.8666667	99.06666667
921.5	100.5
922.9411765	105.0588235
825.9333333	118.7333333
844	120.8
858.2105263	123.4210526
887.8235294	122.9411765
852.1111111	123.6666667
921.7846154	120.8615385
882.9411765	124.9411765
872	125.8
843.875	126.875
889.3571429	127.2857143
886.125	127.875
893.3	128.4
880.9166667	136.3333333
924.6363636	136.0909091
943.0735294	140.6617647
939.2830189	150.245283
937.047619	159
887.8636364	162.5454545
936	163.5
935	167
932.9019608	173.0196078
931.32	179.44
929.2619048	185.0952381
798.3846154	191.3846154
779.1111111	205.1111111
776.5	208
739.7272727	228.0909091
909.4444444	239.7777778
905.75	244.75
691.9375	245.6875
696	247
700.4210526	249.6315789
901.2727273	249
706.5	254.5
800.875	256.125
791.6666667	261.1212121
821.5	260.5
785.490566	270.5660377
784.1290323	275.9032258
788.6	275.1333333
579.015873	284.8888889
774.5957447	287.7978723
785.2040816	293.4693878
929.9545455	294.7878788
638	298.1914894
792.8169014	298.6760563
801.3783784	300.027027
598.9705882	300.6764706
605.05	301.6
798.3	301.3
926.0909091	303.6363636
531.875	304.375
797.7419355	306.516129
696.8823529	307.1176471
794.7058824	306.2941176
530.2142857	308.0714286
923.962963	309.4074074
532.1875	310.625
700.8965517	312.0344828
704.6666667	310.5666667
533.9	314.3
707.5128205	315.8974359
535	318.1428571
920.875	316.7083333
537.15	321.85
912.4666667	321.8666667
916.3043478	323.2391304
908.5	325.5
503.5652174	334.9130435
933	337.0869565
507.6875	338.0625
498.8888889	338.2777778
500.875	343.1666667
894.1111111	353.6666667
506	374.8
947.5882353	382
741.9047619	385.4761905
945.8333333	387.25
743.4888889	392.4
747.04	401.2
768.9791667	399.5277778
879.5	403.3333333
769.1774194	405.1290323
430.125	409.875
760.2941176	410.5882353
876.6363636	410.5909091
763.6923077	412.2307692
515.04	415.72
516.5454545	419.3636364
518.9473684	423
396.8	428.3111111
1021.771429	427.0857143
653.875	431.125
1017.9	431.7
1014.857143	436.5714286
477.1111111	436.3333333
1012.538462	442.0769231
482.125	445.125
1009.8	446.8666667
1006.47619	449.7619048
1004.137931	454.3793103
399.9	453.95
999.2702703	456.027027
403	457.6666667
445	459.826087
998.7619048	460.952381
397.875	466.875
988.5882353	468.1764706
1039.5	472
353.3809524	478.2380952
837.6666667	477.1111111
1009.083333	477.6666667
879.6111111	482
359.625	485.375
606.1111111	483.6666667
876.8461538	485.0384615
436.0588235	489.4313725
364.7058824	489.5882353
840.9411765	493.2352941
841.3529412	498.7058824
499.3636364	499.0909091
502.5384615	507.4615385
390.1886792	511.1698113
503.9	511.2
505.9285714	516.2142857
545.5714286	519.6190476
588.3396226	517.8490566
620.875	520.125
661.32	522.3
547.6428571	523.7142857
1079.266667	525.0666667
663.3888889	530.9722222
547.6428571	529.5714286
841.1111111	530.6666667
858.5769231	531.1923077
866.5	531.875
666.0625	533.8125
863.75	533.3333333
665.8965517	540.0344828
519.8888889	543.6111111
667.7407407	546.6296296
522.5555556	549.1111111
524	553
525.3076923	555.9230769
507.1818182	560.5454545
526.8823529	560.9411765
332.5333333	560.5666667
514.6	565.2
341.2987013	564.8831169
528.2916667	566.9166667
673.1935484	568.9677419
527.4347826	573.4565217
347.0625	573.125
280.6153846	576.6153846
991.52	576.6
513.0909091	577.7272727
284.0909091	579.3636364
985.2068966	582.0344828
355.0833333	586.9166667
982.5	586.2777778
402.2972973	592.0540541
362.2631579	599.8947368
1031	599.9090909
402.5833333	601
1027.555556	600.8888889
1116.333333	600.8333333
535.5	603
1117.2	605.7
1025.115385	606.8269231
535.6153846	608.3846154
651	613.5
1018.4375	615.4375
406	617
399	618.5
1013.5	621
417.5342466	623.7808219
423.96	625.4
1010.875	625.25
991.625	626.5
1000.696429	626.25
426.6111111	629.2777778
420.8461538	631.7692308
422.6153846	634.9230769
1005.014085	633.4366197
425.2903226	639.6774194
930.5	642
431	646.3478261
1002.882353	644.0784314
917.6603774	643.1132075
669.09375	644.84375
380.6666667	646.3333333
290.8076923	648
325.3076923	650.5384615
261.3636364	651.1818182
295.6071429	651.7142857
333	652
595.0384615	651.2307692
918.975	652.225
299.8387097	656.8387097
916	658.5
667.2765957	656.5744681
665.0833333	670.1702899
342.2692308	660.6025641
669.9230769	661.5384615
913.8571429	663.9642857
351.2045455	669.0909091
657.64	682.752
635	676.5
638.1111111	679.6666667
637.75	683.4166667
363.125	690.125
653.8909091	692.0727273
1134.375	689.75
557.5	693.1944444
657.3928571	695.3214286
559.7272727	700.0606061
650.0357143	699.25
657.5098039	701.5686275
650.3076923	703.3333333
557.75	705.9375
652.4055944	712.0699301
557.2	709.9333333
643.4266667	709.1066667
1057.954545	712.3181818
642.7697842	721.6258993
1056.8	715.9
1084.066667	715.4666667
1055.25	719.75
285.4137931	718.4827586
1078.583333	718.0833333
580.2	718.0857143
562.2	720.4363636
567.9259259	719.5555556
1074.636364	720.0909091
555.8813559	719.8135593
1053.411765	724.3529412
914.6842105	725.4736842
479.0238095	726.8333333
1063	729.5
484.3448276	733.8275862
1046.423077	736.2307692
222.8181818	747.4090909
707.3809524	751.4285714
563.8666667	752.5333333
624.0574713	750.5977011
568.5	753
546.9444444	757.6388889
562.4090909	758.4090909
569.6153846	758.3846154
585.5128205	759.5641026
589.2	762.6
613.2142857	762.7142857
618.9047619	761.5714286
619.2352941	765.4705882
614.75	768
618.3589744	771
607.7435897	773.8589744
612.6956522	774.2173913
616.45	776.5
613.0869565	778.826087
734.6315789	777.6165414
355.0526316	777.6842105
605.2	779.4
285.3636364	779.5454545
358.1111111	779.7777778
584.0769231	779.9615385
973.125	780.7083333
277.5454545	783.5
580.6875	782.375
609.2063492	783.015873
606.5789474	787.0789474
576.3666667	786.2666667
458.4	790.4
569.1111111	789.6666667
511	792
602.4767442	792.7674419
344.6153846	794.2692308
562.2	793.2
554.8888889	794.5555556
289.6666667	797.1111111
560.8666667	797.3
815.1111111	796.6666667
498.5555556	798.3333333
493.8333333	801.5277778
561.2631579	801
719.5	801.5833333
556.5833333	802
712.4285714	803.4
458.7857143	803.5714286
948.9166667	803.9166667
551.0588235	806.5882353
557.6774194	806.1935484
564.3636364	805.9090909
273.4590164	808
501.3846154	806.8461538
500.125	810.875
553.9259259	812.7407407
1134.913043	812.6086957
278.6086957	814.8695652
