X	Y
0	0
0	6000
6000	0
6000	6000
878	11.2
868.5609756	13.34146341
899.5833333	14.83333333
893.8076923	16.73076923
874.9090909	15.03030303
882.1538462	17
888.03125	17.3125
863	17.33333333
864.45	20.4
858.8888889	24.44444444
806	54.5
733.5	100
599.9166667	164.9166667
594.3846154	168.5384615
589.1707317	173.4634146
604.2727273	173.2727273
986.3636364	177
600.6842105	177.3157895
586.9019608	180.8627451
986.3636364	182
573.8604651	184.0930233
580.8235294	183.6470588
569.0833333	185.1666667
564.4615385	187
780.7666667	189.6333333
986.25	188.5625
573.7105263	190.6578947
777.6363636	193.9545455
781.4186047	196.9069767
550.6833333	200.3333333
798.2727273	201.0909091
801.5	201.5
540.7142857	205.6785714
546.9428571	206.4285714
984.7222222	208.1666667
744.0857143	213.4
531.8571429	213.3571429
737.7887324	214.5774648
981.1111111	216.3333333
537.1111111	216.7777778
736.5	218.8
914.6875	219.125
522.2222222	221.1666667
538.3846154	221.3846154
980.8709677	223.5806452
915.7272727	224.7272727
898.3333333	228.8571429
709.5625	230.09375
910.1538462	228.9230769
692.1034483	231.5172414
697.5483871	233.1612903
902.8857143	234
912.2	233.1
686.0714286	234.8571429
714.1363636	233.8181818
706.0714286	236.3163265
979	237.3076923
717.9607843	238.3333333
898.4594595	238.2972973
504.6060606	237.5454545
687.030303	239.8181818
713.1166667	243.7666667
718.52	243.16
496	243
765.6315789	242.5263158
770.875	243.875
899.5932203	244.4576271
979	241.6923077
506.2654867	246.3451327
686.125	245.125
746.5	246
489.3225806	247.983871
691.0789474	247.2631579
978.6538462	247.8076923
711.7027027	250.4054054
716.8888889	250.9777778
784.3666667	249.6333333
902.9761905	248.5
682.0555556	252
705.4	252.6
692.36	252.32
725.4318182	251.1136364
977.9375	253.25
780.7142857	253.5
685.25	254.8214286
711.5142857	256.1142857
514.1875	255.375
702.5833333	255.8333333
724.4285714	256.2380952
787.7718121	259.6107383
974.7692308	257.5769231
696.8064516	257.2903226
687.6	258.6
717.1294118	260.1058824
695.4	261.2
704.9876543	260.9382716
732.3714286	259.6
826	260.6764706
971.2727273	261.2727273
721.9545455	265.1590909
472.76	265.44
688.125	265.125
794.1111111	264.6666667
961.8	265.76
714.7843137	267.1372549
473	270.5
690.8095238	269.1190476
771.3333333	269.5333333
579.9545455	269.9545455
776.65625	269.6875
780.1	271.75
691.5925926	274.4074074
968.75	273.1875
719.0689655	274.137931
783.6470588	274.9117647
794.4333333	275.0333333
773.7333333	277.2
961.5	275.25
460.6666667	275.7333333
455.8205128	280
787	279.3076923
790.1363636	277.9545455
968.4375	279.5
784.853211	284
933.0941176	280.1294118
814	281.8333333
722.6363636	283.2727273
791	282.5333333
799.6735294	289.3264706
814.7647059	284.9411765
692.6666667	284.0833333
600.2142857	286.8571429
693.1666667	286.9166667
724.3870968	286
811.12	287.96
874.8888889	289.3333333
689.3043478	291
816.0952381	290.047619
819.7	291.1
444.8823529	292.8823529
533.4307692	292.6923077
700.6363636	292.8242424
721.2166667	292.6
737.75	292.875
812.030303	292.9393939
822.6	293.9333333
464.8823529	295.2941176
715.6578947	297.2368421
725	297.5
860.3	296.7
917.5294118	297.7058824
441.5882353	298.0588235
710.2300885	296.300885
737.4090909	297.8181818
867.4895833	301.625
914	297.6428571
536.3913043	299.8695652
808.5833333	299.5
833.6	298.15
926.4761905	298.6190476
784.7272727	300.4545455
911.0714286	299.8571429
831.1333333	301.4666667
538.7096774	305.7741935
852.88	302.72
913.2105263	302.4736842
920.974359	302.3076923
856.3333333	304.8888889
876.625	304.34375
913.5909091	306.3181818
917.5294118	307.4705882
976.8571429	306.7142857
911.5	309.5
963.6363636	308.6363636
429.7	316.95
425.3333333	320.2142857
845.4545455	320.3636364
406.893617	335.7234043
727.25	337.375
885.84	335.52
883.625	339.125
403.3823529	342.6470588
879.8333333	342.1666667
725.7142857	341.6428571
806.7777778	346.1111111
453.7777778	346.2222222
1010.5	346.1666667
874.4761905	349.8809524
879.3636364	349.9090909
455.6875	351.125
396.6585366	350.5609756
390.7	356.3
385.56	359.72
1017.157895	362.6842105
1020	367.05
371.5882353	368.4117647
754.2	368.7
787	371.2
1020.9	372.2
783.8333333	374.5833333
1022.722222	375.8333333
746.578125	376.8125
775.4166667	379.3240741
422.4285714	382.6190476
766.8813559	383.2033898
360.5833333	384.1666667
743.8	383.15
753.5	383.1875
759.3333333	385.1111111
778.9	384.2
747.1086957	387.0869565
1023.380952	386.8571429
782.7222222	389.4444444
755.1147541	390.3278689
769.5185185	390.7777778
775.5882353	389.9803922
762.9322034	392.5423729
1025.038462	393.0384615
750.275	392.15
350.6129032	393.5806452
880.05	396.7
766.5	399
343.5	399.75
882.5333333	399.8666667
878.3333333	401.1111111
842.6140351	400.9298246
396.9473684	404.4473684
518.8596491	404.4385965
823.2916667	408.0833333
1026.267717	411.9527559
877.4615385	409
758.1764706	411.2941176
826.8	410.7
332.7407407	412.6296296
825.7777778	414.1111111
399.75	413.2916667
329.137931	418.9310345
1018.172414	418.1034483
822.9090909	418.4545455
817.1904762	420.2380952
327	425.7586207
1011.888889	426.8888889
851.875	428.875
1035.512821	430.7948718
803.9565217	436.9130435
1006.454545	434.8181818
324.9659091	437.1931818
1039.285714	438.0714286
401.1470588	438.3823529
516.8461538	442
812.0108696	448.1304348
323.6923077	450.6752137
690.6944444	452.5833333
1042.84375	451.4375
805.3103448	454.1954023
810.5614035	459.7719298
690.5882353	456.7647059
879.1304348	457.7391304
874.0625	459.3125
336.8	460.25
308.6666667	462.4
354.125	461.875
340.5714286	463.952381
802.925	462.975
807.3684211	465.2631579
839.8	464.3
356.7777778	465.8888889
608.5454545	466.2727273
880.36	466.44
801.0869565	469.2173913
877.7826087	470.4782609
884.5454545	470.8181818
301.2580645	472.6451613
363.0545455	471.8
438.1612903	475.2580645
610.6923077	473.3846154
1064.5	476.5
843.4947368	474.5684211
840.75	480.05
842.6363636	483.2727273
659.2037037	487.037037
843.7608696	487.5869565
389.6363636	492.0909091
293.0909091	491.1818182
392.7	494.5
662.2777778	496
396.375	497.0833333
288.7972973	500.2972973
504.8484848	494.719697
661.1666667	498.7222222
587.2571429	499.1428571
841.1111111	502.3333333
590.0384615	504.6923077
663.8846154	503.8076923
764	506.6206897
1082.75	508.375
510	509
549.2075472	510.0377358
664.9333333	510.0666667
279.53125	508.75
