X	Y
0	0
0	6857
6857	0
6857	6857
715.8421053	13.15789474
648.125	13.875
708.1111111	22.66666667
707.75	26.33333333
660.8105263	33.44210526
739.8421053	40.15789474
672.125	44.33333333
757.2666667	50.8
680.9111111	53.62222222
667	54.5
674	53.1627907
666.125	62.125
704.875	62.875
719.8444444	66.91111111
772.3714286	70.71428571
652.5	74.1875
708.875	81.875
628.7272727	88.22727273
687.0833333	88.08333333
658	93.44
633.7619048	95.0952381
656	96.78947368
770.2222222	98.44444444
778.25	100.95
639.2	106
819.46875	115.875
708.6	119.4
711.875	119.125
744.3333333	120
816.5686275	121.3333333
797.375	120.5625
711.9333333	122.2666667
811.5	122.5
799.5882353	123.8823529
803.36	124.32
810.7727273	126.5454545
730.3846154	131.3846154
767.5	133
651.875	133.875
820.5454545	137.9090909
693.3	139.7
807.1111111	142.5
724.5	143.5
774.8	146
791.7	146.7
827.125	145.875
668.8	151.5
822.8181818	151.9090909
660.875	153.125
822.875	155.7916667
835.9130435	162.8695652
627.1818182	164.0909091
827.8181818	165.1818182
799.8846154	176.2692308
844.9142857	190.1714286
725.5	191
845.4590164	200.147541
653.1818182	203.5454545
583.8333333	212.4166667
734	213.9827586
583	215
584.7826087	217.3043478
854.9814815	220.9074074
777.0588235	222.4117647
746.1111111	229.6666667
609.65	233.1
853	233.7894737
857.5	236.1111111
624.4	239.5111111
853.44	239.56
573.8531469	240.1538462
778.0307692	241.1384615
595.3846154	244.2307692
843.6111111	244.7777778
741.5	246
668.4666667	247.6666667
575.4090909	249.8636364
599.2121212	250.4242424
680	249.8
641.8823529	251.4705882
671.1666667	251
778.8	251
570.5862069	252.7241379
598.2857143	254.7142857
650	255
644.8181818	254.9545455
569.3846154	257.0384615
571.4444444	261.9259259
851.4090909	265.4886364
583.2857143	265.5
785.1153846	267.1153846
611.5	269
632.8	269
766.875	270.875
682.6944444	273.0555556
585.1176471	272.5882353
602.3214286	274.8928571
775.3636364	276.3636364
633.9655172	278.0344828
586.862069	279.1034483
805.34375	279.6875
749.15	281.35
772.25	280.9375
584.5789474	282.2631579
799.6153846	281.3076923
589	283
622	282.8
658.6842105	282.5263158
789.862069	282.2758621
662.1481481	284.037037
752.4285714	283.7142857
804.8292683	284.6585366
845.6	284.7142857
575.1764706	283.9411765
597.7333333	285.6666667
816.6571429	284.6571429
563.8461538	286.3461538
747.875	285.875
849.2	286.68
572.3181818	286.3636364
873.7019231	289.6346154
612.84375	289.359375
641.5	288.7142857
841.84	289.4
758.3636364	289.5454545
833.25	289.6666667
844.7647059	291.7058824
562.1818182	292.5
632.7333333	293.0666667
835.3846154	294.3846154
677.2631579	295.4210526
708.5	295.2
862.3913043	295.6521739
563.7352941	295.8529412
783.8222222	297.6222222
604.8571429	298.7142857
679.7142857	297.6428571
775.6315789	297.6315789
570.3636364	299.3636364
646.4666667	298.9666667
675.2	298.5
573.7096774	300.7096774
577.3333333	300.7037037
593	300
676	301
838.1	301.2
787.5322581	302.5483871
656.3846154	304.3846154
641	304.2941176
647.625	304.75
842.0888889	306.2222222
792	305.8333333
856.0285714	306.8571429
644.8	307.1
697.15	307.35
664.3333333	309.8888889
690.0588235	309.7058824
686.85	311.25
704	311.5
840.6	311.6
579.3333333	313
580.125	315.5
825.483871	316.2580645
631.2857143	315.6428571
641	316.1176471
780.6216216	317.2432432
776.4285714	316.952381
558.0909091	319.3636364
789.125	320.125
550.1764706	326.2352941
562	326
665.6363636	325.9090909
555.3928571	326.2857143
637.5	327.5
558.8947368	328.4210526
582.2	327.5
598.5238095	327.1904762
602.3448276	330.1724138
834.7727273	329.2727273
872.4	329.4
587.4857143	330
848.2857143	330.5
552.3666667	331.3666667
805.25	330.75
769.2	332
794.2083333	333
762.875	334.5
789.6363636	334.0909091
874.28125	332.75
883.8113208	333.6037736
541.875	336.125
596.5	336.25
745.625	335.625
879.6176471	335.9705882
593.3846154	337.5384615
791.6	337
623	338.0666667
894.7727273	336.5909091
542.75	338.875
598.875	339.125
553.8125	339.75
581.8888889	341.3333333
890.0425532	341.4255319
895.2272727	342.1818182
572.2857143	342.5
745.6	342.08
554	343.5
618.8888889	344.1111111
639.4666667	345.6666667
745.9333333	345.8
786.7777778	345.537037
570.6666667	346.2
655.6666667	347.1111111
802.8888889	346.3333333
554.3333333	348.3333333
557.75	348.5
643.2777778	348.5833333
619.2941176	349.2941176
904.0526316	352.9122807
694.5	353
550.3076923	353
572.5	353.8125
569.5625	354.875
912.25	354.5
632.5	356
909.2758621	356.1724138
549.4285714	356.7857143
862.8	357.5
563.4	358.6
583.9411765	359.5588235
727.0740741	358.5925926
913.7857143	359.1428571
588	360
633.4	360.04
710.2857143	359.5
619.5	361.2857143
632.4444444	363.1111111
898.9210526	365.9210526
583.5	369
587.5	369.5
832.6153846	370.3846154
539.3888889	370.1111111
640.8888889	372.6666667
637	373.5
806.4	373.9333333
836.2941176	372.2941176
843.5	374
809.9565217	375.7391304
838.7857143	375.8928571
652.6363636	377.9090909
842.75	377.75
847.4	377.6
580	378.6428571
670.125	379.875
840.4	380.4
853.6666667	380.9333333
856.1666667	381.75
626.6666667	381.7333333
667.9130435	382.8695652
738.5	383
788.125	383.125
849.5757576	385.030303
809.2727273	384.7272727
637.9166667	387.75
633.8823529	388.5294118
669.2857143	391
576.8	392.5
665.2	391.7
672.5263158	391.8421053
809.6666667	391.8888889
574.4615385	393.6153846
826	393.2
681.7741935	394.7741935
863.4583333	396.125
684.8	396.5
912.2619048	399.1428571
751.5806452	401.3548387
807.90625	401.28125
906.4594595	401.5405405
559.875	403.125
651.5	402
804.875	404
929.7012987	404.6103896
628.0377358	407.4339623
673.9090909	407.3636364
841.6470588	407.1176471
845.9047619	407.5238095
874.3125	406.1875
885.0909091	407.5
679.8	407.1
876.0769231	409.3076923
603.1538462	408.7692308
796.7272727	410.5909091
843.5714286	411.4642857
872.4210526	410.1052632
600.35	409.85
800.3636364	410.0909091
891.625	411.03125
790.95	412.25
849.8	412.2
889.5625	414.375
933.2682927	411.7073171
883.9318182	412.7272727
533.1818182	416.3181818
799.92	414.84
835.6363636	415.5
839	415.8076923
864.3191489	417.2553191
554.8571429	416.1428571
926.8101266	416.1898734
886	418
934.3333333	418.8333333
806.0666667	418.6
673.8333333	418.8333333
797.8985507	419.6811594
735.5	421
887.6153846	422.0384615
738	422.1111111
794.2105263	423.8421053
633.25	425.375
857.490566	426.3773585
545.0833333	425.125
838.2564103	424.9230769
894.0434783	426.1449275
560.3636364	426.5454545
580.2857143	427.5
539.9047619	426.8571429
775.7142857	427.5
921.5588235	428.3823529
544.55	429.45
529.8461538	431
697.8461538	429.3846154
866	429.5
882.6140351	430.754386
523.6444444	430.4444444
582.8	430.5
727.6111111	431.1111111
694.4705882	431.8823529
809.75	432.4375
726.21875	434.59375
594.5	435.5
690.9714286	435.3714286
831.5517241	435.4482759
732.375	435.25
591.875	437.125
779.9230769	436.3076923
834.2333333	438.5333333
890.6363636	438.3181818
536.9583333	438.2916667
594.8	439
949.3181818	439.1363636
953.2777778	438.9444444
634.625	438.75
540.1470588	440.4117647
640.4680851	441.6808511
794.8139535	440.9767442
628.1495327	441.2149533
883.4	442.2
867.0588235	444.0392157
798	444.9565217
837.9038462	444.4423077
884.5714286	445.6190476
526.5522388	445.3880597
930.0769231	447.2307692
953.5603448	447.5603448
641	447.2
562	448
600.6428571	448
822.9142857	447.5428571
899.2439024	447.1341463
604.0434783	448.4782609
946.3888889	449.4444444
747.4347826	451.6086957
751.6111111	449.3518519
821.4	451.65
568.3061224	453.0408163
650.7307692	453.3076923
758.4117647	452.8823529
763.3103448	452.3793103
523.1216216	455.472973
769.8484848	455.1515152
671.5416667	454.1666667
922.2631579	455.6315789
707.9090909	457.3636364
928.505618	456.4719101
651.9411765	457.2352941
658.1111111	458.2222222
793	457.5
946.8363636	458.5272727
705.0909091	458.6363636
797.2222222	457.6666667
525.9230769	460.6923077
822	460
627.1142857	459.4857143
765.5625	461.375
631.3125	462.1875
627.4	464.72
623.4285714	464.2142857
650.4130435	465
860.3636364	466.9090909
528.6875	466.8125
697.4736842	468.4210526
538.4	469.25
555.1875	468.375
662.4166667	468.9166667
682.9047619	469.2857143
693.6	468.4
534.1363636	469.0681818
936.3846154	469.6153846
949.6060606	471.7575758
531.5	473.3529412
552.9117647	472.2058824
525.3529412	472.4117647
578.6585366	471.1219512
811.5	472.4
817.5652174	472.2173913
698.7222222	473.6111111
521.75	473.6875
702.0952381	474.6190476
806.5	473.7142857
815.9166667	475.0833333
971.4117647	475.3529412
532.4705882	479.7058824
581	479
904.0526316	480.9210526
529.125	481.1666667
513.9701493	481.880597
693.125	482.75
995	483
532.0588235	484.5882353
969.1842105	488.3684211
757.5384615	487.8461538
508.8181818	490.1818182
579.2051282	492.0512821
652.7407407	491.4444444
860.5	491.5
913.5	492.2
697.125	493.125
654.2068966	495.137931
709.1176471	494.8823529
921.5	495.5
814.6	497.28
832.6	497.4
765.1707317	497.7560976
840	498.5
925.4285714	498.7142857
525.9868421	499.4342105
949.0769231	502.3846154
718.6666667	503.1111111
773.2105263	503.0526316
851.8947368	503.5263158
885.3793103	504.137931
893.6216216	502.9189189
514.3309353	505.6115108
855.64	504.6
868.2857143	506.5
496.2857143	508.5
519.0555556	509.8888889
649.1538462	508.6153846
652.0833333	508.4166667
727.2857143	507.5
734.7	507.5333333
887.7916667	508.5833333
962.8823529	508.5294118
930.8444444	508.2222222
537.875	510.125
781.6774194	510.4516129
841.6363636	512.0909091
815.4782609	513.8695652
975.4918033	514.6229508
818.2222222	515.3333333
913.0434783	514.7391304
627.7361111	513.0694444
513.6956522	516.5217391
817.0909091	518.3636364
961.712963	516.6203704
972.0952381	518.0952381
508.5	520.5
969.5744681	521.7446809
1012.125	521.125
551.137931	521.5517241
819.3125	524.5
520.2857143	524.7619048
905.03125	525.65625
551.7777778	526.5555556
511.8421053	526
520.0625	528.6875
674.8888889	526.6666667
890	527.3636364
969.8888889	527.2222222
525.9117647	527.6911765
634.03125	527.4375
929.5	528.125
503.3369565	527.9673913
818.9090909	530.3636364
509.7979798	533.4040404
530.4761905	531.8095238
670.5	532.5
674.6285714	532.4285714
653.1818182	533.5454545
877.1904762	534.1904762
945.375	535.84375
984.1578947	533.7105263
664.4375	535.75
704	536
582.5714286	537.7142857
599.25	537.5
602.8	536.9
656.3928571	537.5
790.6333333	537.3666667
979.4230769	538
517	538
880.5322581	538.6935484
971.4285714	538.3809524
985.2444444	541.0222222
488.5	539.5
503.8823529	539.5882353
512.4736842	540.7368421
675.3888889	539.6666667
839.875	539.875
966	539
544.6875	541.1875
661.9375	540.4791667
543.1	544.3
655.1875	544.625
666.96	543.96
953.2142857	544.0357143
969.9210526	544.2894737
773.1111111	545.6666667
673.4864865	546.2432432
966.875	547.65
545.8529412	548.1470588
635	548.5
974.86	547.92
979.1428571	547.4285714
657.1428571	548.2857143
661.45	551.2166667
668.5526316	550.3684211
484.2	551
684.1481481	550.6666667
696.8181818	551.0909091
672.0588235	552.1764706
500.0714286	553.1428571
575.22	553.76
654.125	552.875
903.4418605	552.6511628
970.75	553.6428571
668	556.4761905
842.8732394	554
983.1185185	554.8481481
637.4	554.9
695.2222222	555.7777778
803.625	555.75
837.9642857	557.1428571
959.6111111	556.8611111
574.64	558.44
969.3684211	557.6315789
641.173913	558.6086957
912.6666667	559.4242424
964.66	559.74
843.2553191	562.4468085
936.1428571	558.6666667
1005.111111	559.7222222
648	560.75
676.875	561.125
754.75	560.4375
785.5925926	561.5185185
848.2962963	561.1851852
854.6444444	562.0666667
500.2093023	563.5348837
539.2608696	564.2173913
656.2	563.8571429
551.2222222	564.6666667
662.3	565.4
967.8	565
993.25	564.875
496.1111111	567.3333333
549.0714286	567.1428571
913.32	567.44
537.6153846	568.3846154
494.7222222	569.2777778
887.1129032	570.7741935
955.2432432	568.6621622
492	570.8
936.7692308	571.3846154
979.6451613	572.0645161
972.6125	571.175
650.3913043	574.5217391
1017.434783	574.3478261
506.825	576.7
516.3448276	577.1034483
917	577.1153846
1015.5	577
967	577.7083333
987.6268657	574.0597015
503.8666667	579.3666667
843.875	579.125
885.5833333	579.2916667
994.137931	580.7241379
1000.75	578.5
492.2807018	579.3947368
875.0222222	582.5777778
888.4	581.6
971.4880952	582.297619
511.4871795	583.0769231
521.9411765	583.9411765
940.140625	582.125
978.9917355	582.1570248
998.544	588.056
516.1702128	586.7446809
577.7142857	585.7619048
653.7058824	586.1764706
912.7073171	585.5365854
834.4210526	589.1052632
985.65	589.1
663.3	589.1666667
909.8888889	590.5555556
1010.611111	591.1111111
951	591.7058824
561.1111111	591.7777778
943.8488372	591.255814
818.15	592.2
929.8076923	592.5384615
507.3157895	594.4210526
925.0909091	593.8181818
954.3015873	594.7301587
980.9361702	593.0638298
512.7708333	595.3333333
563.8823529	595.6470588
815.52	594.64
976.6842105	595.5263158
560.6	595.4
