X	Y
0	0
0	6857
6857	0
6857	6857
700.5	340.5
589.6666667	411.6666667
694	464.5
728.8095238	475.1428571
559	477
763.3333333	505.3333333
732.1	505.95
777.6153846	513.7692308
811.3333333	531.6666667
556	532.5
745.2857143	538.3571429
735	558.5
797.8	562.5
841.5	563.5
826.5	570.5
780	572.5
703.6666667	573.6666667
670.4782609	579.0434783
800.5	586.5
763.4761905	600.1428571
796.8	600
711.9090909	603.6363636
730	606.2857143
747	609.5
796	609
654.2	615.6
851.8	617.5
668.5	625
659.6666667	635.1111111
710.5	636.5
803.4285714	637.7142857
754.8333333	641.5833333
790.2	642.4
633.3846154	645.3846154
686.4666667	644.8666667
707.8125	651.625
808.3703704	653.8518519
751.4545455	657.1818182
792.25	656.25
682	658
828.125	658.125
753.5	660.5
666.3846154	667.6153846
777.4285714	669.3809524
791	671
687	672.5
689.4117647	676.6470588
734	691
740.6666667	697.3333333
766	714
811.36	716.12
766.6666667	718.5
816.6666667	765.5833333
601.3333333	802.3333333
697.7368421	828.0526316
681.95	829.75
733.5	932.5
735.3333333	937.6666667
715.5	975.5
692.5384615	977.8461538
745.7058824	991.7058824
694.5	998.5
703.2777778	997.6111111
714.6666667	1021.333333
683.6666667	1037.466667
778.3	1046.7
816.8	1048.1
753.7857143	1052.642857
845.5	1054.5
822.7142857	1060.428571
802.75	1064.05
686.25	1068.4
722	1077.5
788.5	1077
721.5882353	1084.647059
812.875	1095.125
816.5	1095
841.8181818	1095.227273
744	1098
824.0909091	1100.909091
792.5263158	1107.578947
753.2333333	1109.766667
655.5517241	1110.62069
876.125	1113.6875
826.3333333	1116.666667
710.125	1117.125
732.8	1122.4
716.3333333	1129.666667
776	1130
738.5	1131.7
678	1140.8
733.2857143	1142.5
657.3684211	1142.947368
838.0357143	1142.589286
903.5	1146.5
734.6666667	1147.888889
670.3333333	1160.666667
777	1166
788.5714286	1168
860.0909091	1167.909091
755.6666667	1169.916667
694.6666667	1172.333333
730.8	1176.4
698.3333333	1179.208333
749	1179.826087
669	1180
842.5652174	1182
684.8125	1184.1875
781.3333333	1185.333333
787.3	1189.371429
752	1189.727273
856	1193.5
647.9166667	1195.083333
769.3636364	1196.545455
741.5	1197
885.5	1200.5
680.875	1203.875
803.2727273	1205.5
680.6666667	1208.888889
864.0666667	1213.733333
744.6666667	1222.111111
886.5	1222.5
905.9090909	1222.818182
919.6	1222.2
678.2307692	1226.769231
842.4117647	1226.588235
888.0833333	1227.166667
785.5	1228.285714
820.8888889	1229.444444
793.875	1230.125
834	1230.307692
757.6666667	1232.666667
901	1234.5
822	1237.5
761.3571429	1239.214286
894.2142857	1239.357143
797.6666667	1239.666667
780.1818182	1241.545455
745.8823529	1241.588235
797	1242
697.6	1244.333333
889	1244
740.2727273	1246.909091
880	1251.5
751	1252
703.6666667	1253.333333
688.6666667	1255.666667
818.4210526	1256.578947
850.68	1257.32
681.5	1258.5
793.6666667	1258.142857
711.625	1261.1875
777.7777778	1262.388889
862.4210526	1265.052632
878.1785714	1264.214286
804.6666667	1265.333333
659.7333333	1267.2
885	1267
852.6666667	1268.125
805.5	1271
731.8888889	1275.518519
642.5	1277
866.5	1279.5
654	1284.5
707.4444444	1288.833333
915.8666667	1290.466667
634	1291
764.5	1293.5
811.5555556	1295.111111
748.3333333	1298.333333
723	1300
900.1	1300.95
726.3636364	1302.090909
693.3333333	1304.333333
780.5	1305.5
788.8	1304.6
811.1	1307.05
866.5	1308.5
618.6	1309.4
833	1311
1028.5	1310.714286
671.8	1318.666667
713.5	1319.5
831	1321.8
904.1666667	1320.958333
733.5	1322
743.5	1322
751.4	1322.8
799.1578947	1323.157895
660.25	1327.5
902.3333333	1327
817	1328
788.5	1330.5
731.4117647	1330.882353
808.4782609	1334.043478
691.9090909	1335.636364
734.2857143	1337.095238
753.1818182	1339.181818
836.3333333	1339.666667
652.1176471	1343.411765
814.5	1344
715	1345
697.1875	1349.53125
709.875	1348.666667
663.6470588	1354
819.2463768	1355.478261
904.030303	1355.909091
645.6666667	1357.666667
722.6666667	1362.333333
887	1368
729.6571429	1372.057143
673.3	1374.5
723.2857143	1379.571429
667.675	1382.25
781.7333333	1386.066667
687.8333333	1386.583333
672.5	1389
700	1389
757.5	1389.5
743.75	1391.3
879.2777778	1391.833333
696.2666667	1395.066667
870.9459459	1395.540541
735.5	1397.208333
762.5	1398.5
699.8666667	1401.466667
741.2857143	1408
633.4117647	1409.411765
820.5925926	1411.925926
748.5	1412.5
863.5	1412.5
719.5	1413
760.32	1412.06
665.5	1416.5
696.6086957	1417.956522
720	1419
802.1333333	1418.866667
616.3157895	1420.315789
709.5	1422
753.2307692	1428.333333
831	1428.5
655.3636364	1429.090909
798.8571429	1429.071429
719.5	1432
799.5833333	1434.25
835.875	1434.875
656.0833333	1437.166667
714.7	1437.7
719.4090909	1445.772727
819	1447.714286
760.5	1449
806	1452.2
830.8125	1453.1875
697.5882353	1454.117647
735.7	1455.7
746.6666667	1455.888889
800.1034483	1455.689655
872.3076923	1458.179487
659	1460
748.5	1461.5
822.5	1461
676.4545455	1463.181818
731.5	1462
767	1466.5
690	1467.5
636.5	1468
710	1468.285714
852.05	1470.1
805.375	1471.5625
817.4727273	1473.672727
629.4210526	1475.736842
690.3888889	1476.722222
854	1477.285714
790.1304348	1477.869565
756.6666667	1480.5
842	1480.5
684.5	1484
767.5	1485
715	1493
673.2162162	1494.810811
697.6153846	1500.615385
752.5	1505.5
722.6153846	1510.615385
730.0555556	1510.833333
803	1511.5
710	1516.5
721	1517
765.5	1517.5
637.5	1520.5
682.1034483	1521.413793
756.3157895	1521.526316
707.8	1522.6
804	1525.285714
735.6666667	1528.733333
720	1530
754.08	1532.52
672.4	1535.8
737	1536.714286
662.6	1537.2
607	1538
739.5	1540
776.5714286	1540.714286
695.5	1543.5
651.6086957	1545.521739
785.047619	1546.380952
853	1546.8
727.3333333	1548.333333
747.75	1550.333333
813	1559
617.5	1560
973.7	1561.8
747.8823529	1562.588235
735.3636364	1567.909091
782.5625	1567.25
807	1568.714286
746.8333333	1569.833333
653.4444444	1574.740741
756.3846154	1580.384615
752.6666667	1583.333333
703	1584.5
724.5	1587.5
717	1588
659.9230769	1589.384615
736	1592
700.2857143	1595.5
770.5	1598.5
663.9090909	1600.636364
797.5	1600.5
779	1604
829.5	1606.5
660.8888889	1609.222222
749.5	1609.5
590.5	1611
759.875	1613.125
704.5	1619.5
765.8	1624
672.8	1627.6
740.9130435	1628.521739
668.5	1629
723.4090909	1630.363636
761.5	1630.5
700.2	1633
732.2	1635.1
771	1636
782	1637.5
817.6363636	1639.454545
741	1640.714286
801.2380952	1641.047619
669.6	1645.6
710.9583333	1645.916667
746.5	1648.5
646.9166667	1649.75
736.5	1650
898	1650
666.6470588	1651.941176
715.3333333	1653.666667
703.3333333	1659.333333
859.6428571	1661.214286
739.8888889	1662.333333
812.6	1662.8
636.2777778	1670.388889
691.2857143	1672.5
634	1679.2
763.1162791	1679
798.5882353	1681.117647
851.1666667	1682.333333
891.8	1682.6
791	1688.5
642.1333333	1692.533333
763.5	1693
720.95	1694.5
831.5	1697.5
882.8666667	1697.466667
594.9032258	1700
611.44	1699.08
738.9375	1703.375
755.8	1704.5
624.5	1706
846.2	1706.4
665.6	1706.6
888.75	1707
636.3846154	1710.384615
703.5	1711.5
815.5714286	1711.285714
753.4	1712.95
838	1712.695652
567.4210526	1713.421053
806.375	1714.375
845.5	1715
799.6363636	1723.909091
706.6153846	1724.461538
877	1725.333333
565.6470588	1728.294118
711.5416667	1731.125
814.3125	1731.75
884.9615385	1731.730769
837.8181818	1734.181818
892	1735.5
576.7368421	1736.052632
815.8	1738.8
845.6363636	1739.909091
683.5	1740.5
762.2105263	1740
981.5	1740.285714
751.3333333	1745
870.5	1746.5
696.5	1749
743.952381	1749.047619
774	1749.888889
668	1756
753.8571429	1755
810	1754.833333
691.7826087	1761.630435
831.8333333	1760.666667
706.1666667	1761.166667
616.8461538	1762.538462
658.3809524	1762.571429
821.0952381	1763
640.5	1765.315789
559.5	1766
850.3888889	1767.277778
766.5	1769.5
846	1769.5
566.4	1771.8
629.4117647	1772.117647
610.5882353	1775.117647
743	1775.5
750.2	1774.76
764.8	1774.8
680.6153846	1776.538462
779.5	1777
826.2857143	1779.5
844.5	1779.5
864.5	1781.5
648	1782
776.375	1782.625
808.2307692	1783.769231
626.25	1784
844	1785
861.3333333	1786.533333
784	1787.285714
576.9375	1789.5625
703.5	1789.5
845.3333333	1790.333333
646.3333333	1791.333333
677.5	1791
685.6666667	1792.111111
617.6153846	1796.615385
669.1176471	1796.411765
637.2	1796.6
688.5	1797.5
722.75	1796.916667
589.8333333	1799.166667
768.3	1798.7
813	1799.5
873.6315789	1800.052632
685.5	1800.714286
615.6333333	1802.6
742.5	1804.5
836.5	1806.5
884.2857143	1814
835.4	1816.6
585.6875	1819.1875
667.3333333	1819.533333
773.8823529	1818.588235
686.5	1822.5
699.3055556	1822.416667
955.125	1823.875
779.3939394	1828.666667
795	1829
819	1830.5
810.2666667	1836.666667
700.0625	1837.40625
764.1111111	1837.666667
876.2857143	1838
670.5	1839.5
643	1841
658.5714286	1842.619048
753.5	1844.5
805.9411765	1844.411765
683.8333333	1844.833333
861.4545455	1845.636364
935	1846
811.5	1850.5
577.5	1853
666.0909091	1854.636364
866.875	1853.6875
730.5	1855.714286
900.6153846	1856.384615
851.8823529	1857.411765
886.5	1858.5
962.8125	1859.375
929.4	1860.8
811.8461538	1862
559.1578947	1863.842105
572.3636364	1864.090909
654	1864
623.9	1865.8
701.5263158	1866.157895
707.8421053	1866.157895
822	1867
722.5	1868.5
759.6666667	1868.333333
934	1869
870.7142857	1871
942.4782609	1870.913043
562.5	1874.25
882.0666667	1873.266667
672	1875.25
771.5	1875.5
712.3333333	1876
581	1877.333333
666.1111111	1879.333333
685.1538462	1879.538462
572.5	1879.714286
616.1666667	1881.166667
749	1881
895.3529412	1882.529412
768.3333333	1882.888889
823.375	1883
936.4545455	1883.636364
620.5	1888.5
648.3333333	1888.916667
816.1875	1887.625
799.5882353	1889.705882
565.1666667	1893.611111
646.5	1893.5
881.8431373	1894.392157
722.3333333	1893.888889
570.6	1895.2
656.5	1895
685.75	1895.625
1181	1898
755.3333333	1899.111111
605.25	1900.583333
621.6842105	1900.421053
873.0833333	1902.916667
814.625	1905.75
832.9285714	1905.214286
844.4	1905.6
575.8	1906.5
641.6538462	1910.153846
692	1910
772.3	1910.1
873.7142857	1910
935.8571429	1910
815.5	1913.5
709.8823529	1914.411765
923.8421053	1915
672	1915.5
601	1918
714.875	1918.125
907	1918
824.9090909	1920.363636
600.1111111	1924.666667
632.5	1926.5
741.6666667	1926.333333
813.8888889	1927.333333
551.9285714	1927.857143
560.5	1928
863.6153846	1928.615385
584.8333333	1929.166667
842.5	1928.75
591.1666667	1929.833333
754.4117647	1929
799.8823529	1933.588235
593.5454545	1935.818182
683.2941176	1934.882353
833.5882353	1935.117647
352	1936
647.4615385	1936.153846
708.2	1937.266667
934	1937.5
694.2432432	1938.108108
884.8333333	1938.166667
600.8571429	1939.428571
951.125	1938.875
767.3	1940.4
872.7647059	1943.529412
609	1944
676	1944.5
758	1945
941.1	1945
706.9333333	1948.733333
728.4285714	1947.904762
772	1948
879.6666667	1947.733333
714.8823529	1949.529412
734.9333333	1949.6
569.1764706	1950.352941
601.2580645	1949.451613
681	1950.5
947.2352941	1949.941176
868.5333333	1954.333333
671.1818182	1957.545455
742.1666667	1959.166667
603	1960
709.75	1961.5
771.5	1961.222222
555.5714286	1961.714286
800.5	1962.285714
869.6666667	1963.333333
878.6153846	1962.769231
642.3333333	1964.666667
747.7407407	1965.388889
920.6923077	1965
860.5	1966.5
548	1969.5
580.4285714	1969.142857
741.5	1972.5
618.4	1973.2
676.9333333	1974.266667
634.5	1975.85
825.8695652	1976.434783
656.7083333	1977.208333
790.3333333	1977.333333
859.6666667	1979.333333
881.2727273	1978.954545
717.4666667	1980.133333
922.4117647	1980.117647
746	1982.642857
637	1984
773.7272727	1987.454545
724.9803922	1986.666667
687.5882353	1989.352941
704.5	1989
613.4666667	1990.666667
749.952381	1993.714286
796.5	1994.5
760.3636364	1996.090909
898.7142857	1997.428571
903.1428571	1997.285714
814.92	1998.6
613.4375	1999.625
622	2000
646	1999.5
683.4285714	1999.285714
921	2000.846154
854.2307692	2003.846154
635	2006
704.3846154	2006.384615
812.0588235	2005.588235
897	2008
916.5757576	2009.30303
941.7142857	2009.5
651.5	2011
755.5	2011.5
840.8421053	2012.157895
669.3846154	2013.615385
608.1538462	2015.538462
649.6428571	2015.785714
857.5	2018.5
622.5	2020.5
589.7142857	2021
711.5	2022
736.2	2024.55
817.4210526	2023.421053
949.15	2024.55
643.5	2026.5
707.7619048	2026.190476
843.6315789	2026
777.28	2027.16
619.8333333	2027.833333
631.3333333	2028.111111
955.5	2030
615.1666667	2030.833333
