X	Y
0	0
0	6857
6857	0
6857	6857
757.3846154	207.6153846
777.6153846	218.3846154
676.2727273	236.3636364
820.8043478	272.673913
676	281
854	280.8
823.8444444	286.8888889
824.8085106	292.2553191
826.875	298.75
832.3448276	309.1034483
860	306
695.625	312.25
823.6	315.6
845.5	314.5
812.44	323.68
835.4166667	325.6979167
813.1	327.8
818.1111111	331.4222222
806.7058824	332.6470588
831.25	333.55
828.1875	334.3125
808.5555556	336.2777778
819.8214286	337.4642857
812.1111111	338.6666667
797.8571429	340
806.9722222	342.0277778
818.4210526	342.8947368
811.6	346.4
804.8	348
811.3157895	356.0526316
809.9444444	359.6111111
824.5	400
857.125	435.125
921.6153846	437.3846154
790.4166667	463.7083333
773.5	466.5
851	467
784.675	468.425
777.5102041	471.2040816
775.2972973	480.1621622
758.8	483.4
762.0769231	483.7692308
754.9642857	485
725	485.7894737
750.5	486
731.2	487
722.4117647	488.8823529
758.4545455	489.4242424
720.6666667	492.6190476
742.1851852	490.4074074
745.8	491.7
740.4444444	494
748.7575758	494.4545455
735.1692308	496.2307692
716.744186	496.7906977
744.2222222	496.4444444
721.6875	497.4375
728.212766	499.1489362
764.1911765	501
749.9591837	501.1632653
755.1111111	504.3333333
781.5	503.5
740.1276596	505.3829787
749.4210526	507.3157895
771.8095238	506.4285714
758.5	507.75
790.4473684	507.6315789
700.7692308	509.3076923
765.8666667	507.6
742.8571429	510.5714286
714.3809524	511
762.9666667	511.2666667
794.7878788	511.6060606
703.6129032	513.516129
753.1142857	513.8571429
688.6470588	515.1176471
735.9268293	515.902439
769	515.5
685.4166667	516.9166667
703.6666667	517.0833333
725.3846154	517.1730769
786.875	517.875
692.8823529	519.4705882
698.4179104	519.4179104
708.9047619	518.7619048
721.1111111	518.6666667
775.25	518.6071429
770.075	521.15
742.7878788	521.5151515
758.25	519.8035714
732.2857143	520.8412698
813.9166667	522.5833333
727.4782609	523.7391304
806.5689655	525.5689655
723.3913043	525
748.8148148	525.962963
796.49	525.23
738.7866667	527.16
788.4193548	526.983871
682	526.8
701.5757576	526.9393939
779.1506849	526.3561644
692.8333333	527.2878788
684.4166667	530.25
756.6419753	529.4074074
713.1016949	530.8813559
766	531.95
781.4444444	531.6111111
809.0666667	532.8333333
680	531.2391304
735.5185185	532.0740741
671.4545455	533
728	532.8666667
732.9230769	534.7692308
776.4814815	534.9259259
745.8333333	536.3888889
671.5333333	536.2666667
701.1428571	538.2857143
761.0851064	539.0851064
767.1785714	540.9761905
719.1842105	538.6052632
708.8970588	541.2941176
730.75	538.96875
772.5	540.3421053
737	541
691.4285714	541.4285714
724.7142857	541.5
758.037037	543.037037
779.0465116	543.4186047
820.15	542.75
704.5	543.1666667
730.5	544
723.6666667	544.4761905
748.9347826	546.1304348
719.0434783	545.7173913
672	548
710.3	546.9
736.6923077	546.7948718
807.6	547.96
701.6862745	548.5882353
715.9130435	549.2608696
741.5121951	549.1463415
762.3466667	549.36
835.48	549.76
732.0454545	549.4090909
816.4509804	550.5490196
663.8	550.56
775.3431373	550.5196078
653.6818182	551.6818182
754.5	552.3333333
808	552
729.8947368	554.0789474
772.1818182	554.8181818
717.5483871	554.3870968
721.8064516	554.2580645
800.15	554.1
768.7083333	555.4166667
817.84	556.16
694.2105263	555.9473684
761.125	556.125
826.7459016	561.3688525
842.8461538	556.5384615
791.7727273	557.9090909
813.1206897	557.4827586
821.6521739	558.4347826
734.3783784	559.7027027
759.8888889	561.2222222
784.1041667	560.4791667
692.8148148	561.4074074
711.3478261	560.9782609
768.8529412	561.1764706
809.7826087	561.2608696
825.1666667	561
839.25	561.4166667
753.627907	559.9767442
778.2857143	563.5918367
697.5	563.5
843.4571429	562.1428571
719.4324324	566.7207207
793.0649351	564.3766234
818.1041667	563.5
739.5681818	565.6136364
840.6470588	566
728.75	567.5416667
780.4560811	575.1790541
808.1764706	566.4705882
754.7333333	568.3333333
784.2619048	567.952381
830.2439024	568.2926829
804.1607143	570.6428571
837.1666667	569.4583333
736.3846154	570.5384615
791.9253731	572.0298507
799.1463415	571.4634146
813.6741573	572.6067416
819.45	571.15
828.9333333	571.7333333
729.892562	575.9173554
720.4805195	573.5324675
744.8947368	573.5789474
763.5535714	574.4285714
704.8181818	573.9636364
755.6521739	576.4347826
819.4556962	578.3544304
834.6060606	576.8484848
673.5416667	577.125
694.3571429	578.4761905
802.490566	579.5660377
825.6666667	575.4285714
723.027027	580.972973
671.8846154	580.8846154
687.9807692	581.8269231
744.1904762	581.0952381
779.09375	581.75
679.6451613	582.4516129
699.3846154	581.6923077
706.7179487	582.3333333
733.4090909	583.5909091
796.7222222	581.0925926
808.2747253	582.5384615
829.4868421	583.9078947
695.7826087	583.7391304
748.8823529	582.4117647
763.4803922	585.8823529
821.5849057	586.0188679
758.2205882	586.8088235
816	585.8965517
746.0874317	592.9180328
790.05	587.7
680.9821429	588.5357143
737.6363636	586.7878788
742.4615385	587.6538462
778.7826087	587.3913043
812.1153846	588.7307692
690.9473684	586.3157895
714.5238095	587.3809524
786	587.952381
829.1818182	589.0909091
832.5	588.2857143
685.8684211	590.1052632
689.5	590.1
717.8229167	593.3333333
824.2352941	590.8235294
704.8108108	591
728.6431373	595.1098039
782.0571429	592.4
738.05	594.75
754.8709677	592.3870968
773.3015873	593.3174603
803.483871	594.1505376
831.3333333	593
700.6969697	595
785.65625	595.125
795.3563218	594.5747126
819.9	593.7
769.2307692	595.5769231
694.6363636	595.9090909
733.3076923	596.0769231
756.2962963	595.962963
813.7263158	597.9157895
823.6447368	598.4868421
708.2337662	598.012987
759.7868852	600.2786885
736.1333333	598.3333333
829.1568627	600.0980392
778.9423077	599.7692308
787.3333333	598.2857143
684.0888889	601.3111111
835.9333333	600.6666667
716.5645161	601.0645161
750.4277108	604.3012048
764.3448276	600.4482759
769.3087248	605.2751678
790.6144578	601.9759036
810.65	603.5
693.1052632	604.2105263
702.08	604.68
707.8571429	605.4285714
799.09375	604.34375
838.6666667	603.6666667
678.4230769	605.5769231
714.9	606.0666667
823.7272727	605.7727273
686.2	606
782.3617021	606.2978723
697.2727273	607
739.968254	605.8730159
720.2631579	608
727.2666667	608.3333333
732.4074074	607.2222222
777.1315789	608.2631579
808.2377049	609.0327869
818.56	606.16
709.5789474	608.9473684
762.25	609.25
783.8666667	611.6
799.5294118	609.8235294
820.8421053	610.3684211
827.9693878	610.6836735
795.8571429	610.3928571
701.4827586	612.2068966
735.5423729	612.9661017
742.6857143	612
816.1851852	613.8888889
688.2857143	615.1785714
718.5	613.2916667
725.0769231	613.4615385
754.62	613.92
767.8333333	614.5833333
790.512987	614.6493506
800.1428571	614.5714286
775.775	613.975
721.0952381	617.5238095
760.7727273	613.0757576
770.3125	615.6875
795.8	614.4
711.5	614.4583333
729.5454545	615.9818182
807.6283186	619.3274336
820.1428571	616.7142857
745.7816092	618.5172414
772.125	617.875
693	619
698	619.5
751.9333333	619.0666667
822.7777778	619.7222222
704.2790698	620.6511628
716.0909091	619.4090909
779.5777778	618.5111111
793.3571429	622.2619048
801.0491803	623.4098361
828	620
679.0204082	621.4489796
686.3333333	622.2222222
784.047619	620
816.7083333	621.0416667
766.2380952	621.9714286
774.744186	622.6511628
828.3181818	623.8636364
665.5	624.2857143
714.84	623.8
719.7058824	623.5882353
819.8181818	624.6363636
859.2	624
699.3	625.3
764.2727273	628.1515152
730.7380952	625.3095238
738.8333333	623.3611111
746.0909091	625.6363636
780.25	626
785.137931	627.1034483
790.4782609	626.6086957
805.8235294	626.7647059
812.7894737	625.9473684
826.4705882	627
686.1538462	628.4615385
796.6764706	628.4117647
673.8793103	632.0517241
736	630.7818182
773.4375	629.3125
809.8387097	630.2903226
667.875	632.1666667
714.2264151	633.9245283
744.9090909	631.6363636
751.9473684	631.8947368
786.3065693	634.3649635
831.3947368	631.7105263
758.9325843	632.0674157
768.8275862	633.862069
816.0967742	631.483871
722.6071429	634.25
805.6744186	634.6976744
681.625	633.375
774.2083333	634.5833333
745.8536585	636.6341463
765.7368421	637.1842105
687.6	637.52
728.53125	636.9375
900	637.8
680.8888889	638.3333333
759.8095238	639.3809524
773.7407407	639.1481481
665.2702703	641.6486486
671.15	640.45
715.2857143	641.0357143
725.0714286	640.1428571
764.4242424	642.5151515
770.3529412	641.9411765
796.4	642.3333333
691.4347826	643.6521739
684.4	644.86
668.3235294	646.0588235
674.7735849	646.9811321
704.804878	646.2682927
759.1666667	646.4285714
767.9642857	646.3214286
795	647
679.5384615	647.8461538
734.4	649.44
762.4814815	649.6296296
711.0588235	650.8235294
790.1111111	650.6666667
685.8666667	651.6666667
705.0833333	651.7916667
766.8125	651.0625
719.8709677	653.4516129
756.1428571	652.4761905
723.7727273	654.2727273
709.9333333	655.5333333
715.3793103	655.1724138
746.9666667	652.4666667
753	654.3846154
765.4230769	654.5
789.5333333	655.9333333
740.1	657
760.45	656.75
752.3838384	660.5454545
701.7083333	660.6666667
729.7692308	660.2307692
717.9032258	660.4193548
837	661
741.6949153	662.9830508
757.6315789	664.6052632
784.6666667	663.8888889
795.8	664
680.3793103	664.0689655
694.2857143	666.5
745.1081081	665.9189189
762.6153846	665.6153846
789.8125	665.6875
704.9642857	666.5714286
711.6666667	667.25
710.92	671.32
766.5185185	671.2222222
755.8387097	675.7741935
745.4736842	676.6315789
697.5	678
742.1481481	677.8888889
715.9814815	677.962963
713.2083333	681.9166667
709.3461538	684.2692308
764.2	685
702.5806452	687.483871
694	686.5
559	717
948	771
536	773
534.3846154	828.3846154
1012.875	849.875
915.2	873.9
918.5333333	875.6666667
842.7352941	928.9117647
759.8181818	930.5454545
737.6875	948.6875
740.4666667	952.4333333
684.5263158	961.5438596
728.36	959.16
677.8	965.5
731.8307692	968.2615385
683.7446809	969.2765957
718.6666667	978.5
758.3157895	978.1578947
736.25	980.6666667
716.7142857	982.6071429
685.4615385	983.1538462
687.0526316	986.3684211
723.7435897	986.1025641
736.5581395	989.8372093
741.4736842	991.5
708.1315789	992.8684211
778.5	992.5
782.5	993
719.0507246	999.5
788.05	994.15
710.2553191	999.3191489
741.9090909	996.9090909
794.9285714	995.6666667
793.7777778	999.3333333
784.2954545	999.5227273
704.125	1003.125
779.3684211	1002.596491
722	1005.25
777.8421053	1007.526316
787.9047619	1007.214286
782.625	1008.9375
706.5142857	1010.571429
729.7567568	1010.432432
753.3793103	1010.137931
839.05	1009.7
765.5454545	1013.060606
745.8085106	1013.382979
843.6923077	1013.307692
848.8421053	1016.842105
733.625	1017.625
792.5789474	1018.421053
718.5	1019.285714
846.5	1020
762.902439	1018.780488
748.1346154	1022.173077
809.3157895	1020.526316
818.5	1021.125
757	1021.5
783.1	1022.25
850.9655172	1022.793103
839.6447368	1022.973684
732	1025.15
767.5833333	1024.75
813.1282051	1024.717949
755.4761905	1025.857143
785.2631579	1027.131579
809.125	1025.875
740.6461538	1029.138462
819.9245283	1029.301887
829.7142857	1027.5
679.9	1027.9
759.7692308	1027.769231
748.125	1028.875
1010	1029
756.2727273	1030.181818
776.75	1031.583333
766.3030303	1033.424242
791.7894737	1033.578947
742.25	1036.375
755.5789474	1034.105263
780.8	1034.7
785.9411765	1035.411765
800.8787879	1033.757576
762.0769231	1036.384615
812.875	1036.125
846.5	1036
751.5121951	1037.609756
806.2857143	1038.178571
769.8235294	1038.764706
781.2307692	1038.230769
715.25	1039.541667
736.3770492	1042.868852
786.6818182	1044.875
720.2592593	1041.740741
774.974359	1044.051282
780.2244898	1044.326531
707.4	1045
744.4705882	1044.823529
812.6290323	1045.177419
832.3636364	1045.136364
725.4782609	1045.26087
756.0666667	1047.693333
768.4852941	1046.779412
822.1714286	1048.742857
834.3	1049.55
782.5416667	1050.5
793.5542169	1049.168675
746.3103448	1050.965517
766.5714286	1051.857143
805.4230769	1050.730769
813.9726027	1052.575342
681.3333333	1053.083333
754.1818182	1054.272727
820.6190476	1053.285714
781.9428571	1054.971429
663.5	1054.5
712.625	1055.8125
755.0588235	1057
788.4666667	1055.333333
729.5714286	1056.857143
765.7719298	1056.54386
667.95	1058.4
672.7777778	1058.5
750.7916667	1058.375
810.6363636	1058.090909
829.5	1057.857143
786.1904762	1058.666667
686.5263158	1060.210526
854.7777778	1059.527778
747.4285714	1061.642857
806.8421053	1060.473684
710.2727273	1062.5
724.2	1061.4
822.952381	1061.190476
776.2708333	1064.875
868.7777778	1063.611111
716.75	1065.4375
741.9166667	1065.333333
804.0416667	1064.666667
687.971831	1066.690141
712.75	1067
724.9090909	1066.218182
757.2692308	1067.846154
730.5625	1066.5625
763.0454545	1068.079545
695.2727273	1068.045455
699.1666667	1067.916667
780	1068.357143
783.4477612	1066.358209
794.8484848	1068.151515
736.4897959	1070.489796
806.0212766	1070.829787
820.2307692	1070.211538
742.725	1072.9
781.8	1073.9
704.4	1072.6
708.6851852	1071.722222
749.5	1074.370968
779.1875	1072.75
810.4444444	1073.333333
754.4761905	1073.809524
826.0555556	1075.555556
866.125	1074.875
715.9090909	1073.590909
721.1846154	1076.876923
728.2222222	1077.166667
804.8421053	1076.526316
687.9298246	1076.22807
715.1612903	1079.290323
744.75	1078.375
808.962963	1078.222222
706.9104478	1078.940299
738.05	1077.75
845.4081633	1079.714286
699.84375	1079.875
759.5752212	1082.79646
776	1079
790.2575758	1081.969697
723.3846154	1083
768.6363636	1082.909091
676	1084
710.3333333	1085.058824
736.0169492	1085.322034
801.5	1084.5
844.6	1084.4
686.6071429	1085.5
774.90625	1086.21875
796.9714286	1086.257143
850.7454545	1085.218182
725.0869565	1087
741.0833333	1086.916667
814.8823529	1085.882353
861.7906977	1088.55814
765.5142857	1087.428571
783.36	1087.92
787.8709677	1088.548387
808.3934426	1088.704918
819.6851852	1087.592593
780.1538462	1089.615385
793.3333333	1088.625
659.5	1089.5
736.2941176	1092.235294
704.2156863	1090.745098
827.826087	1090.463768
790.1428571	1092.964286
812.9777778	1091.977778
839.8	1091.9
724.2222222	1091.722222
763.0909091	1093.090909
654	1095
698.1	1094.533333
859.9333333	1094.666667
754.5306122	1096.969388
710.7647059	1097.823529
715.2307692	1096.461538
727.1142857	1096.742857
736.8333333	1096.888889
797.1666667	1097
806.0212766	1097.148936
816.7307692	1097.634615
811.3809524	1097.952381
684.4054054	1097.432432
715.53125	1100.625
