X	Y
0	0
0	6000
6000	0
6000	6000
471	244.7575758
451.5	251.5
480.5409836	275.1311475
497.9032258	287.0645161
398.0769231	304.4230769
524.8461538	312.3846154
415.05	330.1
537.0222222	333.8888889
528.1707317	343.4146341
389.2653061	355.3877551
381.2285714	357.1714286
468.5490196	370.9411765
456.9565217	383.2608696
419.1230769	390.5692308
464.4473684	393.9210526
467.9487179	391.3589744
435.8055556	397.9444444
530.0625	399.90625
544.0571429	407.8142857
464.5	413
548.2580645	416.2580645
493.4594595	427.9189189
655.2857143	520.4761905
748.4193548	532.983871
668.6666667	541.7179487
708.2857143	545.8928571
673.6470588	546.5882353
702.5641026	548.6153846
832.6037736	561.9433962
766.2195122	563.1463415
838.5609756	565.097561
857.875	569.6666667
691.5	580.6363636
703.1714286	590.3142857
898.6222222	591.3333333
806.3055556	594.9166667
797.7708333	603.2291667
749.5949367	603.4683544
699.875	612.875
877.0434783	618.7826087
905.05	620.075
952.3	624.3666667
922.5	628.5
885.804878	635.8780488
921.5	661.2727273
982.2758621	662.4137931
803.9791667	662.3125
780.125	672.7708333
987	679.6190476
901.1052632	701.4210526
949.3684211	701.2105263
846.4074074	708.5555556
1012.794118	708.6470588
986.9583333	727.4166667
952.9	733.425
834.0588235	736.1568627
909.5	736.6842105
894.25	740.25
954.2826087	742.3043478
910.2413793	743.8965517
903.78125	750.0625
910.4255319	754.4255319
857.8472222	776.5555556
727.6153846	811.5384615
855.8709677	814.9032258
734.7419355	819.5483871
722	825.125
723.0909091	833.0909091
733.1886792	836.2830189
873.2142857	838.6428571
878.1111111	840.1851852
871.4324324	844
896.3214286	848.625
879.9259259	862.9876543
851.5	870
866.025641	870.2051282
896.265625	877.640625
859.4137931	932.862069
845.34	953.48
841.8837209	962.8837209
726.2178218	1013.772277
670.3050847	1020.576271
700.2089552	1021.985075
736.6530612	1023.673469
745.1621622	1024.567568
700.7142857	1027.928571
746.1818182	1029.909091
657.25	1030.55
663	1030.333333
717.5	1031.297297
709	1033.716981
653.3170732	1037.658537
665.9361702	1041.553191
752.4705882	1054.764706
749.84	1059.36
739.8550725	1059.521739
649.3692308	1061.984615
746.3289474	1068.052632
711.6833333	1080.15
736.24	1080.68
606.7636364	1088.872727
680.5	1091.222222
609.5	1095.307692
595.8947368	1105.815789
638	1108
749.6530612	1111.653061
632.0740741	1117.888889
634.7714286	1124.571429
750.1363636	1125.045455
692.3333333	1125.97619
858.0357143	1130.160714
824.1071429	1131.053571
910.4761905	1131.809524
877.1428571	1132.809524
809.7254902	1137.215686
599.8035714	1138.571429
832.9558824	1138.411765
773.6393443	1141.770492
697.4782609	1144.376812
913	1149.333333
883.25	1154.178571
672.4615385	1155.846154
681.6603774	1158.54717
838.1818182	1158.090909
731.1964286	1162.053571
817.3793103	1163.206897
810.7142857	1163.928571
593.2328767	1168.69863
609.8461538	1180.884615
713.12	1181.12
704.8571429	1181.857143
657.3728814	1182.491525
596.2439024	1184.073171
788.6785714	1184.75
817.9230769	1184.384615
779.3703704	1195.938272
846.1904762	1197.071429
803	1200.136364
616.3428571	1201.228571
720.1754386	1203.438596
912.4137931	1205.068966
788.8181818	1208.75
795.45	1211.1
856	1213.163265
599.96	1213.4
810.3953488	1213.674419
966	1219.5
927.2	1221.916667
717.3333333	1223.6875
891.4571429	1224.085714
889.1428571	1228.095238
658.1896552	1228.758621
953.6491228	1229.701754
945.5243902	1232.231707
562.2424242	1236.69697
565.9677419	1238.258065
872.5384615	1238.057692
868.45	1239.4
879.3432836	1239.268657
949.7857143	1239.392857
645.9873418	1241.113924
594	1243
894.7073171	1243.634146
941.547619	1244.642857
945.9333333	1246.133333
603.7321429	1248.303571
944.1621622	1250.351351
623.5	1249.5
958.7209302	1256.255814
819.1219512	1258.146341
843.5	1258
609.275	1264.2
814.4761905	1264.492063
641.21875	1264.78125
648.7446809	1267
802.1323529	1271.676471
923.1428571	1279.785714
937.7631579	1280.921053
957.9090909	1282.136364
804.7222222	1283.333333
831.2195122	1284.414634
938.1153846	1285.5
840.968254	1285.68254
808.2881356	1289.237288
930.2702703	1290.108108
822.1538462	1292.282051
836.6923077	1295.076923
934.5172414	1297.758621
911.3684211	1302.789474
922.95	1307.075
839.575	1310.625
975.0816327	1311.040816
979.8214286	1316.196429
936.0909091	1316.909091
1002.888889	1320
973.1454545	1321.472727
854.4782609	1326.956522
959.8269231	1341.903846
967.1538462	1349
892.2758621	1350.62069
983.779661	1353.033898
898.2941176	1367.676471
972	1373.5
890.6315789	1380.789474
877.1785714	1387.345238
973.9090909	1387.090909
971.8148148	1393.481481
931.92	1395.44
952.469697	1414.909091
968.627907	1416.860465
937.6585366	1419.97561
960.7162162	1421.243243
907.9459459	1422.72973
914.9375	1427.375
590.5	1435.8125
753.2058824	1438.147059
595.3953488	1440.465116
758.9411765	1507.176471
765.65	1510.7
1097.575	1535.175
997.9166667	1583.666667
970.6538462	1600.076923
826.75	1601.375
975.2424242	1601.909091
817.5348837	1611.418605
1065.068182	1627.954545
875.0615385	1630.923077
1022.833333	1630.208333
882.6888889	1631.222222
1072.890411	1634.726027
897.2	1635.5
874.4	1637.6
876.5555556	1642.166667
869.4081633	1646.102041
844.453125	1648.046875
1053.853659	1647.756098
914	1653.745455
984.1304348	1653.978261
1078.208955	1663.029851
1084.522727	1662.477273
826.5510204	1665.795918
1040.75	1667.25
1055	1668.325581
1060	1671.125
1072.148148	1674.111111
1061.565217	1677.956522
1032.222222	1683.5
885.75	1708.75
827.5	1725
833.82	1728.58
811.5	1733.6
925.7272727	1735.772727
1015.253968	1741.079365
930.1470588	1746.470588
829.1666667	1751.5
925.137931	1764.5
776.7435897	1764.615385
940.2758621	1765.396552
1009.808511	1769.851064
945.175	1775.225
854.0175439	1778.649123
533	1801.352941
875.24	1811
833.2982456	1816.333333
901.6153846	1817.115385
903.6363636	1824.454545
559.9833333	1825.683333
967.440678	1826.033898
914.2884615	1829.519231
976.9259259	1828.592593
491.09375	1830.9375
964.54	1850
530	1850.84375
969.8163265	1855.408163
813.9666667	1857.7
817.9705882	1857.323529
537.2666667	1858.333333
543.4285714	1858.367347
974.8392857	1859.785714
852.4310345	1859.913793
971.673913	1866
787.3055556	1868.361111
566.2727273	1874.5
905.5	1875
947.32	1874.76
986.1176471	1877.313725
873.5483871	1880.096774
827.9795918	1882.122449
501.2291667	1883.833333
