X	Y
0	0
0	6000
6000	0
6000	6000
435.5384615	231.8717949
436.6428571	237
443.2	244.08
415.5	246.25
437.8117647	248.2823529
499.25	252.1388889
418.4583333	251.7916667
489.5	252.6875
441.4444444	254.7777778
414	255.66
406.3	259.9666667
496.4193548	262.6612903
412.1395349	263.2093023
430.195122	263.3170732
418.2929293	262.9090909
401.5	265.25
394.8378378	264.7162162
504.3	266.625
406.825	268.375
498.9090909	267.4545455
382.7272727	268.0909091
491.96	267.84
497.2413793	270.6206897
389.5483871	271.6129032
480	273.8434783
486.25	271.4375
398.2790698	273.4302326
473.7	266.4571429
434.2048193	272.5662651
392.1428571	274.7142857
425.5645161	274.983871
486.5	276
434.7222222	278.2777778
440.7083333	280
451.3793103	284.4482759
444.8108108	284.8918919
505.2413793	287.6896552
439.1666667	289.3541667
448.88	290.48
499.7142857	291.4857143
523.92	292.48
442.0864198	294.8024691
504.2	295.1
512.9722222	297.75
517.5483871	297.9193548
438.3333333	300.875
441.0465116	305.6744186
441.76	312.04
516.6315789	314.2631579
417.5185185	322.2962963
435.8823529	326.2352941
441.3	327.4
474.9583333	327.4583333
445.8636364	330.2727273
434.0243902	331.6585366
544.125	332.75
538.3684211	334.4736842
448.4285714	335.5714286
431.8928571	342.6428571
439.1363636	347.6363636
534.8181818	354.6136364
446.8888889	366.6296296
524.4883721	367.4651163
522.75	373
422.0714286	373.2142857
514.8214286	374.3928571
527.7333333	373.3333333
534.2666667	388.6666667
419.1875	389.7291667
414.1785714	392.3571429
468.2068966	393.8965517
477.5	394.0833333
528.8217822	391.9009901
557.75	393.578125
535.9818182	394.6727273
543.125	394.875
549.0638298	395.893617
562.9166667	396.6666667
554.1111111	399.3333333
485.3090909	398.6545455
538.7307692	400.7307692
545.2978723	400.5106383
478.0819672	399.295082
529.6590909	401.5454545
475.9642857	402.3928571
482.9811321	406.9811321
541.4	406.2666667
475.3333333	408.1428571
493.1923077	408.1923077
521.7317073	408.2439024
501.96	413.16
674.2631579	484.2631579
671.1333333	486.4
677.5	487.5
680	491.1818182
658.1724138	492.9310345
653.4782609	493.826087
662.9	494.525
649.875	496.4583333
687.42	497.54
658.6056338	501.0985915
652.7222222	500.2777778
695.8723404	501
678.5263158	509.0263158
684.3125	508.75
684.6774194	513.6129032
659.4090909	513.8636364
679.0869565	515.4347826
653.6285714	518.4
685.3636364	521.0909091
680.2424242	522.3030303
651.6666667	525
660.6363636	528.3636364
649.9642857	531.1071429
656.5625	530.0625
730.475	530.875
736.3529412	531.5882353
685.627451	531.627451
740.8214286	532.4642857
690.7777778	535.1944444
681.8571429	535.9285714
707.96	536.8
714.6666667	535.0392157
725.2432432	535.8108108
737.5806452	536.1935484
731.3548387	536.3225806
718.7169811	539.4150943
689.8484848	542.9090909
682.2898551	542.0434783
709.7058824	541.2941176
730.1363636	541.1363636
736.7037037	541.1111111
744.65625	542
715.5	544.8
727.4285714	547.1964286
734.1818182	551.8181818
794.127451	551.3431373
704.6923077	552.4615385
683.9166667	555.3333333
727.6666667	553.8039216
669.7333333	555.3333333
711.483871	558.5806452
812.3636364	556.8181818
722.5	558.1111111
728.7981651	561.7981651
740.2307692	558.3846154
841.1	559.1
814.7741935	561.3548387
668.2105263	562.3508772
835.6875	561.8125
673.0879121	565.010989
693.9285714	563.5714286
677.7	566.4
703.9090909	565.4393939
720.3043478	565.6956522
735.8275862	565.137931
751.5416667	567.9166667
832.1515152	564.8787879
697.8333333	567.8148148
710.1923077	567.7307692
690	569
732.7272727	569.0909091
798.1578947	569.3157895
810.7608696	568.7391304
678.9714286	570.6571429
721.7307692	571.1153846
693	571.625
702.5909091	572.3181818
708.16	572.28
804.5164835	571.1318681
812.3018868	578.9496855
682	576
700.609375	576.875
706.7777778	576.2777778
839.5555556	576
843.171875	574.140625
850.2465753	578.5136986
709.05	580.1
693.25	580.5
817.4166667	586.8888889
849.6153846	585.9615385
855.75	587.5833333
860.6857143	587.2
689.2	588
850.8214286	589.6071429
745	593
856.2105263	591.5263158
739.6363636	592.9545455
848.35	593.1
748.0434783	595.5652174
754.9268293	593.7804878
760.1016949	597.7118644
751.0625	599.75
852.6470588	597.9411765
755.1666667	599.875
743.4090909	599.4545455
835.9142857	598.3428571
739.2222222	600.5
831.4074074	603.2037037
839.9292929	605.4343434
755.55	604.65
760.4347826	606.4347826
865.1176471	607.6078431
747.1111111	608.8888889
743.8137255	611.7843137
870.8	611.75
776.1	624.5
837.7272727	626.4090909
748.027027	626.5405405
841.5416667	628.4166667
742.7857143	627.7678571
749	631.4722222
819.8636364	631.8939394
911.1764706	630.5882353
804.2755344	643.1900238
915.6153846	633.3076923
941.744186	632.9069767
771.3695652	632.673913
815.2222222	633.7222222
910.8311688	637.5584416
922.625	633.625
919.5416667	635.625
930.2857143	635.452381
937.2352941	636.9411765
750.1139241	635.9620253
924.5	638.1176471
945.6875	637.3125
733.84375	638.59375
823	639.3333333
941	638.8571429
753.625	639.375
776	639.9538462
916.4166667	638.5
930	640.6206897
811.7560976	639.6829268
916.9814815	643.037037
936.3333333	641.3333333
782.5357143	643.9285714
830.7894737	643.3157895
774.893617	645.7234043
790.2083333	643
920.3265306	647
925.4333333	644.6666667
842.5357143	647.625
940.2619048	645.3333333
790.2222222	648.5333333
796.5531915	651.7234043
835.6756757	648.6756757
814.9333333	649.2
923.3428571	651.9142857
932.6944444	650.0277778
915.85	652.1
930.4	654.6
840.6226415	654.7169811
783.7916667	658.2083333
937.5342466	653.1780822
941.7474747	659.8888889
765.5535714	660.2321429
798.6956522	659.7826087
916.2702703	660.0540541
934.5454545	661.7272727
770.68	663.8133333
776.0277778	663.7222222
786	665.1111111
922.0217391	664.2608696
789.5	669.0625
784.8205128	670.3846154
881.9213483	667.6067416
775.55	669.6
920.6333333	671.0666667
792.5	672.25
929.5526316	673.6403509
790.08	675.2
883.8888889	674.3333333
873.7272727	675.4090909
950.6285714	675.8857143
795.2586207	677.8965517
851.5	678.7142857
882.55	679.75
924.8666667	679.7666667
787.2972973	680.7027027
799.6785714	681.3571429
930.2045455	682.5909091
794.7083333	683.9583333
852.7307692	683.6538462
884.047619	684.952381
918.1612903	682.5806452
803.6081081	686.8918919
924.1346154	686.1346154
835.3333333	690
933	688.2857143
937.625	688.625
943.6	689.45
928.2105263	691.7894737
799.5	692.3461538
921.5	691.625
