X	Y
0	0
0	6000
6000	0
6000	6000
347.5	57.5
328.3442623	59.42622951
241.8717949	61.12820513
307.1290323	61.19354839
221.6	62.5
320.5116279	62.13953488
335.5384615	63
198	64.84615385
265.1875	68.3125
323.2941176	69.58823529
346.7058824	67.97058824
354.6382979	70.93617021
408.9268293	72.68292683
301.4166667	72.91666667
283.58	74
422.0606061	75.78787879
384.8888889	75.33333333
270.5280899	75.38202247
219.6744186	76.23255814
429.875	77.125
172.1515152	77.87878788
238.3529412	77.47058824
276.3103448	79.37931034
288.7272727	80.36363636
291.4117647	82.41176471
451.5	84
164	85.69565217
205.1914894	85.93617021
231.2333333	85.33333333
254.6969697	93.16666667
359.030303	93.06060606
165.2857143	93.32857143
481.519084	95.77862595
148.4615385	98.19230769
278.56	98.32
502.6507937	99.95238095
377.359375	99.796875
493.8113208	100.2830189
192.0519481	101.1688312
312.6538462	101.0576923
505.8536585	104.2926829
138.5365854	104.3170732
510.8548387	106.4677419
282.9259259	106.4074074
131.028169	111.5492958
225.125	108.05
402.9310345	107.5862069
519.2666667	110.1333333
506.5526316	113.6315789
534.6511628	112.1162791
145.7368421	113.5263158
472.3432836	113.0895522
526	115.6956522
353.3409091	117.8863636
540.3846154	118.3076923
543.25	122.0625
552.2093023	123.3255814
377.902439	122.2682927
547.2857143	122.6428571
247.0232558	124.4186047
175.875	125.9464286
120	126.8918919
281.0222222	127.5777778
286.9220779	126.8181818
556.9534884	127.0232558
291.5	127.2058824
570.6206897	130.2068966
566.3157895	131.4210526
559.1621622	134.4054054
567.5384615	138.9615385
576.9807692	142.4711538
173.7971014	142.2318841
508.0555556	143.9166667
587.2	145.5
540.6595745	145.1489362
392.1964286	148.4464286
104.9529412	151.0823529
579	154.7560976
129.7333333	155.8
607.0416667	158.125
616.2340426	164.212766
604.8974359	164.974359
623.5555556	166.8888889
470.2564103	166.6153846
114.3333333	171.7333333
349.3333333	172.25
644.7	181.3
590.1269841	182.7777778
661.6987952	189.6024096
671.4761905	189.6666667
329.4096386	189.2409639
90.2	191.125
642.1896552	191.3275862
481.6964286	192.5535714
666.5909091	194.1363636
647.7931034	195.6551724
244.9166667	196.5
503.1607143	197.1071429
102.3235294	198.8823529
557.4035088	201.0701754
607.0857143	201.0285714
683.0666667	202.8133333
89.26829268	202.9268293
692.9047619	205.9047619
132.5454545	209.9090909
94.41025641	213.2820513
707.5	214.125
697.7931034	214.1034483
86.90909091	218.0909091
115.2173913	221.6956522
165.5882353	222.3333333
255.8653846	221.8653846
511.0888889	225.1333333
621.1111111	225.8055556
725.8686869	227.6464646
555.5	226.3571429
125.5789474	233.2105263
317.5102041	233.5102041
370.7407407	234.8518519
730.1896552	236.0862069
531.137931	242.4137931
474.9	242.525
362.0645161	245.3548387
243.375	244.578125
750.3469388	245.7755102
197.0615385	246.3538462
439.6938776	249.5102041
370.1219512	251.5609756
581.6829268	250.6585366
389.3846154	251.6153846
759.3194444	252.0138889
454.5	253
751.2222222	253.1481481
534.125	254.125
694.0333333	255.7666667
754.2307692	256.3846154
224.1166667	256.95
597.25	257.75
759.9444444	259
394.0882353	260.6764706
375.5	262
767.6875	261.9375
778.0461538	261.9538462
351.8958333	263.5208333
703	265.2
362.4852941	268.0735294
781.5	267.5
256.875	270.6666667
351.2321429	271.4464286
396.2903226	272.4516129
779.7105263	272.4736842
355.9230769	273.8974359
379.9090909	273.1363636
438.0384615	273.6923077
784.44	273.92
788.8095238	272.8571429
793.8275862	273.6551724
359.6333333	277.7
376.1818182	276.5454545
410.8	277.925
717.1492537	278.2537313
432.6764706	279.6764706
402.3913043	279.9565217
120.1578947	282.2631579
165.5526316	281.0789474
348.8333333	281.2666667
565.9166667	281.8333333
798.1111111	281
430	284.3548387
333.8507463	284.5223881
792.3392857	284.25
356.3414634	286.3170732
389.7142857	286.5
421.5238095	287.6190476
363.2105263	287.8947368
538.2432432	288.3783784
369.9666667	288.7333333
401.25	290.7647059
418.5454545	291.6363636
594.2244898	291.4081633
697.0666667	290.8666667
795.9473684	291.3684211
452.9736842	292.8947368
431.2307692	294.5
478.3571429	293.8928571
324.7297297	293.2972973
677.6865672	295
247.7317073	296.3902439
359.5882353	295.9411765
369.5384615	295.1538462
377.3061224	295.7959184
157.0833333	297.2222222
415.3	296.6
403.4827586	297.7931034
783.3255814	298.372093
390.2352941	298.8529412
398.3783784	298.1351351
408.4	298.4
313.8148148	300.3333333
348.5535714	300.1071429
374.5454545	301.9090909
699.2321429	301.8035714
821.5568182	302.0227273
360.5151515	302.3939394
804.4666667	303.9333333
394.15	304.925
427.8947368	304.8421053
467.5	305.8
437.5070423	306.1408451
444.5	305.9166667
482.5	306.2222222
424.3636364	308.2727273
312.0784314	309.7647059
511.25	309.03125
797.8076923	309.8076923
829.75	309.625
362.3333333	311
833.4705882	311.1764706
129.7241379	312.4137931
385.5263158	312.6315789
460.0357143	312
347.5	314.7142857
422.0217391	314.2173913
483.5	315.5
830.2222222	316.5555556
835.3333333	315.4848485
358.5555556	318.5
415.8181818	318
454.8125	318.75
646.3	318.1
381.6363636	320.0909091
684.2	319.5818182
788.9782609	320.3478261
837.8	320.0888889
466.1052632	322.4210526
524.6444444	322.6888889
346.7916667	324.125
409.5	324.5
845.3333333	325
244.3589744	325.4358974
416.45	325.4
848.3333333	325.2222222
186.9318182	326.6590909
379.2608696	327.0434783
209.4193548	328.4516129
368.5	327.5
448.75	328.3333333
259.6170213	331.6170213
459.2	331.5
330.4347826	333.826087
622.8372093	333.627907
740.5	333.5
817.2321429	333.3928571
843.5294118	332.5294118
392.4761905	336.6428571
587.5	337
348.2	337.88
453.7	337.85
413.8947368	339
857.9552239	338.0895522
458.2727273	339.5
471.6060606	340.8484848
535.3043478	343.826087
408.5	345
836.5	345.2857143
151.6	345.86
620.1818182	345.5227273
264.8235294	347.0882353
371.5	346.5
479.3125	348.96875
419.875	349.875
501	349.625
177.0217391	350.9782609
775.1388889	352.3888889
872.8358209	349.9104478
487.92	353.2
239.25	354.7083333
353	355.5
392.2	355.5
409.5	356
875.6808511	356.1489362
424.1428571	358
878.1578947	361.3684211
487.1363636	362.9545455
394.1428571	364.0714286
475.3928571	363.6071429
371.8947368	365.4210526
872.8235294	365.5294118
864.4230769	368.2884615
765.8095238	368.9285714
895.0952381	369.3809524
463.9285714	371.1428571
878.0909091	371.3636364
