X	Y
0	0
0	6000
6000	0
6000	6000
439.4901961	224.3333333
445.8727273	232.2363636
259.5	244.5714286
451.5	249.3888889
441.6043956	252.5384615
455	255.7111111
472.375	255.15625
490.2857143	258.9285714
478.2333333	266.2
502.9148936	267.8085106
504.375	273.375
443.3181818	274.9545455
486.203125	273.71875
453.25	276.35
460.2631579	276.3421053
490.3333333	278.3148148
484.5714286	280.3809524
472.7575758	278.6969697
441.0327869	280.0819672
435.0571429	281.2857143
441.4583333	285.75
435.1590909	286.4090909
410.5714286	287.8571429
443.2857143	289.3571429
504.9302326	292.7209302
491.9	301
563.5	301.7142857
526.4536082	313.7835052
569.6296296	312.7777778
447.725	316.475
492.0144928	318.5507246
486.9393939	321.6969697
529	321.1428571
413.6666667	323.8888889
569.3541667	325.6041667
599.6	325.6
416.4117647	334.5882353
580.5	335
597.4375	337.375
464.7848101	339.443038
406.6206897	340.2068966
457.8478261	340.9673913
495.875	340.3125
413.1509434	340.7735849
423.3970588	341.8970588
530.7222222	341.6111111
574.7	342.35
522.9545455	341.5909091
527.425	346.125
395.7741935	345
407.9193548	347.0967742
585	344.6578947
511.2708333	346.9166667
430.8421053	348.3421053
413.1956522	350.0434783
480.1538462	350.1153846
582.5	349.5
400.52	350.66
504.7972973	351.1351351
434.7291667	352.3541667
530.4666667	357.5333333
445.2361111	357.9305556
456.8484848	359.5151515
470.1521739	359.5869565
585	359.0227273
427.4444444	363.7777778
460.75	364.475
428.6811594	370.0724638
483.9230769	371.025641
433.3039216	376.6470588
481.6226415	376.6981132
436.5625	378.5
543.3611111	377.2638889
451.6785714	377.9285714
435.5	380.8333333
441	378.5555556
433.3333333	384.7916667
454.0693069	386.1782178
437.5744681	387.1276596
583.5762712	385.8813559
442.7258065	386.6774194
498.8510638	386.3617021
448.6923077	391.2051282
464.2	393.0333333
453.4285714	396.547619
458.9361702	396.0425532
523.12	397.1466667
515.9166667	398.4166667
521.34375	403.125
556.3958333	400.9791667
461.0322581	404.516129
575.4705882	404.2352941
551.55	408.5
454.8780488	412.9756098
467.0689655	415.9655172
455.3214286	418.6071429
470.4772727	420.8409091
556.2393162	419.2051282
549.6666667	424.4333333
483.1067961	426.4563107
583.6052632	427.6578947
490.7460317	432.1111111
580.5888889	443.1
700.5555556	492.7111111
689.2666667	509.3333333
729	510.5
707.4339623	511.9056604
697.8695652	514.2173913
673.1333333	521.4190476
795	522.4444444
796.9615385	521
729.9354839	521.4516129
733.6875	524.9375
678.9	525.7666667
726.047619	525.452381
668.975	528.7
687.6202532	525.6962025
746.5	528.2
674.3611111	530
682.5116279	528.6511628
763.5555556	527.8333333
726.3134328	530.7164179
756.8383838	532.3939394
770.0581395	530.5
686.5405405	535.2162162
775.3333333	532.9166667
800.4375	534.375
709.106383	534.5957447
701.6	533.5777778
720.6666667	536.047619
772.7901235	537.1604938
714.8035714	537.0535714
697.6818182	539.4848485
782.9733333	539.0133333
675.047619	539.9285714
808.5932203	539.9322034
760.0720721	542.1621622
704.0384615	543.5769231
684.2407407	544.7962963
679.7179487	548.2564103
710.4807692	545.75
754.7419355	547.6451613
702.08	549.44
812.6	551.06
714.8378378	552.3513514
701.3617021	553.893617
687.4285714	554.7
860.71875	555.125
744.5757576	553.6666667
703.5714286	559.1666667
714.96875	559.421875
708.516129	561.7741935
749.3928571	560.6785714
718.7647059	563.7941176
845.4482759	562.5862069
867.7631579	565.75
857.3636364	567.4545455
796.7142857	568.5714286
739.8409091	571.5909091
862.1458333	571.8125
680.8684211	572.3684211
783.5517241	574.2068966
732.9333333	575.7666667
767.4210526	575.9649123
879.475	578.35
884.9354839	577.5
721.3818182	578.5636364
728.5294118	583.5686275
911.3052632	588.2210526
763.7878788	589.8181818
696.8095238	590.8571429
769.44	591.2
733.8684211	593.0526316
921.2058824	593.8235294
765.1940299	595.4626866
820.8269231	596.5384615
703.4153846	598.6307692
739.375	598.375
919.7692308	599.7307692
757.5125	600.025
832.3103448	599.5517241
882.3571429	604.6428571
951.8251748	606.1958042
731.969697	606.8787879
739.8545455	605.3818182
714.3714286	607.5714286
722.3947368	608.4078947
888.2631579	608.8421053
803.5882353	610.8823529
944.0606061	616.3030303
964.3541667	617.4375
724.4193548	617.7419355
870.862069	618.9655172
916.8867925	618.9245283
849.9223301	621.6601942
816.5192308	622.2692308
914.5227273	623.7272727
948.6956522	623.2608696
745.4645669	627.2047244
810.5625	624.78125
977.0888889	625.6222222
832.8461538	626.4807692
945.1388889	627.8333333
884.6842105	629.8421053
732.7674419	632.2790698
928.7619048	631.8095238
724	633.2352941
942.8571429	633.1428571
989.3333333	632.5897436
993.6756757	640.7027027
921.8928571	643.3928571
852.8421053	648.9473684
910.2608696	648.9565217
739.52	649.64
774.6086957	654.6521739
901.04	654.24
895.8852459	656.1311475
837.5769231	659.3653846
878.4202899	660.0724638
789.1428571	662.5
841.7	665.7
893.9512195	668.6341463
926.015873	668.8412698
889.3103448	672.5172414
896.1282051	673.7435897
987.2857143	671.2380952
994.0416667	673.9583333
985.2987013	677.0519481
993.8194444	677.9027778
897.75	680.8125
918.8235294	684.6470588
932.2288136	686.0762712
845.0869565	686.7391304
896.3473684	687.4947368
974.3666667	687.6333333
936.40625	693.625
875.0555556	693.2222222
911.5688073	696.1009174
918.3333333	694.1777778
926.8666667	694.8666667
920.2903226	699
857.1594203	701.2318841
932.5686275	700.9411765
888.875	702.125
1022.288462	702.1153846
983.1282051	703.7179487
928.6153846	705.0769231
946.6	705.9428571
940.6521739	705.326087
1037.763636	706.1636364
932.1657609	718.888587
1005.543478	708.673913
942.1044776	713.2238806
921.74	713.6
939.2857143	716.6190476
1004.3	714.68
969.4807692	716.1923077
916.5940594	717.2871287
975.6666667	717.6153846
909.9493671	725.0316456
905.16	718.86
1006.826816	723.9553073
945.2666667	721.8888889
1041.173913	721.326087
923.5869565	727
984.5	724
1016.828829	725.1441441
1011.894737	728.7368421
921.5918367	731.7959184
935.1142857	730.2285714
901.1052632	732.3157895
910.68	734.62
916.7659574	733.9787234
974.1176471	733.5882353
1011.125	734.125
1016.459016	735.7868852
939.2941176	736.3882353
1044	737.2
925.2886598	740.4948454
950.8275862	755.8965517
1043.842105	757.9473684
954.3469388	760.4897959
926.0357143	762.5892857
886.8064516	781.8870968
893.5806452	778.9354839
892.8558559	790.1801802
881.6346154	787.2692308
